Chrom	position
chr3	72904365
chr7	136290507
chr17	72774497
chr9	120952435
chr6	150589990
chr1	59029638
chr13	101649957
chr6	21954215
chr16	10745922
chr17	48490790
chr2	100239657
chr13	98698146
chr15	95608636
chr2	34379730
chr16	15591105
chr5	93677510
chr12	75937216
chr20	6071032
chr1	8439340
chr18	59629219
chr3	69252878
chr12	3795720
chr18	7681471
chr12	44384335
chr15	33126916
chr18	53241126
chr11	116036281
chr1	212088654
chr12	31526271
chr2	101193117
chr8	73490305
chr1	110121232
chr1	222104869
chr3	157669622
chr10	78116603
chr4	87227894
chr12	69105283
chr10	34836257
chr2	75554170
chr12	51371784
chr14	54343782
chr14	59159364
chr15	67101358
chr18	76525411
chr10	7520878
chr2	158823716
chr12	107242371
chr17	58593337
chr3	123508391
chr7	110418923
chr2	233813925
chr12	12689676
chr6	156430625
chr11	37182208
chr6	135743757
chr3	23603186
chr19	29260075
chr10	43868240
chr11	34001728
chr4	57443947
chr7	51827921
chr9	899708
chr12	123242460
chr10	124403671
chr11	12746753
chr1	176058933
chr1	10675077
chr3	76825096
chr11	12980486
chr16	28012084
chr3	159417056
chr11	27949199
chr6	241547
chr14	76473724
chr12	10718463
chr2	103138804
chr22	19518838
chr7	25778171
chr13	104632818
chr7	132786030
chr22	19218112
chr12	83676988
chr19	39678119
chr8	15849984
chr16	70779176
chr4	63719263
chr18	74412310
chr2	174761282
chr6	114995737
chr6	21264561
chr7	70527929
chr6	153207192
chr9	102237670
chr10	86795532
chr6	10862658
chr4	148153415
chr3	71150495
chr8	139795647
chr2	45009571
chr5	163773393
chr1	47510389
chr6	133834340
chr2	23575046
chr1	224317558
chr5	143557338
chr14	71324934
chr1	226723808
chr4	150972870
chr8	28072958
chr9	124779411
chr22	27210437
chr11	11476642
chr9	120210509
chr12	124881379
chr1	78833633
chr17	59387593
chr2	45281017
chr17	83174565
chr10	79142250
chr11	84129062
chr7	76438050
chr11	105734524
chr17	40114786
chr14	60724254
chr5	16462013
chr7	18003292
chr2	88330335
chr17	30728833
chr7	1638470
chr3	87367951
chr11	131696751
chr8	134969376
chr11	2724288
chr5	74206792
chr16	48112685
chr9	82616759
chr13	45372966
chr3	93988426
chr2	178142486
chr4	61520993
chr11	61493647
chr2	53243569
chr4	135267486
chr17	68510599
chr4	183842290
chr13	47699885
chr14	50358235
chr8	129364250
chr2	50878513
chr7	1024748
chr9	131383396
chr11	128388410
chr2	18739037
chr13	77725280
chr2	99689319
chr15	73617625
chr20	6605263
chr9	111098734
chr5	154141906
chr12	89863302
chr3	130783832
chr16	82888731
chr4	145679736
chr12	26684206
chr9	112572165
chr21	40423087
chr7	91286588
chr1	9792586
chr2	16037944
chr13	25625562
chr10	29253848
chr13	94274345
chr2	145204104
chr18	58390539
chr20	58580165
chr9	34559031
chr7	28786302
chr6	156559370
chr6	133741685
chr13	97627748
chr15	60873723
chr1	170168548
chr3	114074459
chr11	70410829
chr8	68920471
chr6	13383675
chr2	121860968
chr6	15675007
chr2	6185025
chr9	121060398
chr10	15721166
chr14	89122209
chr12	63882988
chr20	54981406
chr2	236003737
chr7	88635299
chr11	111403227
chr16	7597549
chr2	29597178
chr5	94782668
chr8	25644110
chr8	102511910
chr14	69214574
chr6	47035074
chr2	79586282
