Chrom	position
chr10	112949933
chr5	131797087
chr1	23484632
chr11	76381190
chr22	41448453
chr5	148383818
chr5	181192016
chr6	10415167
chr6	24359969
chr1	9429113
chr12	6766176
chr16	11256578
chr16	19488100
chr16	66934420
chr16	88688396
chr16	89816760
chr7	44999979
chr22	42070918
chr15	69074645
chr7	66740670
chr12	15688430
chr3	9750173
chr15	43800553
chr5	74640790
chr15	40953154
chr3	42804571
chr12	56080029
chr14	102317454
chr12	57694081
chr14	92748707
chr3	113696845
chr12	113221264
chr12	121687074
chr17	7615173
chr4	75724488
chr13	75482448
chr19	6372756
chr19	17309435
chr19	49929145
chr1	100249934
chr19	12890875
chr17	68247963
chr17	76453413
chr1	40258073
chr1	32013500
chr17	63773722
chr18	50281483
chr2	88628169
chr14	50116636
chr14	20461696
chr15	67254747
chr14	20614174
chr15	65517488
chr15	51342089
chr14	50003460
chr15	48331386
chr17	75779329
chr17	83051883
chr14	69767811
chr15	40695122
chr17	77958605
chr14	105489954
chr14	54396777
chr17	60600074
chr14	102139736
chr17	78187262
chr14	93043577
chr17	81891856
chr14	73886645
chr18	11981229
chr17	8156428
chr15	74957167
chr17	7259268
chr17	28645277
chr17	7214475
chr17	3892150
chr17	28903051
chr16	84736075
chr16	68245244
chr16	67248707
chr17	36948907
chr16	58129635
chr16	46884042
chr16	30650863
chr16	28925657
chr16	28824031
chr13	50124275
chr17	42388717
chr16	11742934
chr17	42567041
chr16	4253961
chr16	2905450
chr17	49708288
chr17	50852117
chr16	2682466
chr16	2603269
chr15	90994704
chr17	51260408
chr17	57861174
chr15	89894050
chr15	76311526
chr17	58514668
chr17	59155308
chr1	629941
chr13	43879726
chr10	69318731
chr1	143221779
chr1	150487298
chr1	151254659
chr1	151540280
chr1	154272521
chr1	154972761
chr1	154983125
chr1	155323264
chr1	157045910
chr1	161390277
chr1	169893957
chr1	193122076
chr1	207752025
chr1	219173856
chr10	1049200
chr10	12042456
chr10	24724757
chr1	114716823
chr1	111739506
chr1	108746625
chr1	40665541
chr1	23368232
chr1	24848362
chr1	25998368
chr1	26784213
chr1	31645159
chr1	33472673
chr1	36149589
chr1	43349577
chr1	99850077
chr1	46517253
chr1	47508215
chr1	52056611
chr1	61077108
chr1	71081360
chr1	88684155
chr1	93846339
chr10	68332018
chr10	71218229
chr12	123383877
chr10	73772886
chr12	45729507
chr12	46372853
chr12	49264839
chr12	49337179
chr12	52279100
chr12	53452648
chr12	56104284
chr12	56300406
chr12	57752448
chr12	64405077
chr18	21740709
chr12	68808022
chr12	109097849
chr12	109845380
chr12	119667942
chr12	120686761
chr12	121352560
chr12	32896452
chr12	32106663
chr12	22625111
chr11	117907350
chr10	94363037
chr10	102245364
chr10	122063396
chr10	131981974
chr11	805253
chr11	12110406
chr11	28108359
chr11	118436223
chr12	13098243
chr11	119018685
chr11	124954121
chr12	1907716
chr12	6336728
chr12	6636017
chr12	6753511
chr12	7018200
chr18	21600786
chr1	634029
chr18	22169432
chr5	179698805
chr6	24721413
chr6	30066971
chr6	30617331
chr6	30687363
chr6	32190300
chr6	33208656
chr6	37059781
chr6	43702932
chr6	52284970
chr6	57089965
chr6	87472944
chr6	110815413
chr6	125749506
chr6	157323570
chr6	158168126
chr6	158644844
chr6	168441068
chr6	7541470
chr5	142770268
chr4	83536023
chr5	142389594
chr4	121824042
chr4	124712954
chr4	168831958
chr5	1003531
chr5	34929374
chr5	43483873
chr5	55535170
chr5	74641399
chr5	76818923
chr5	78699730
chr5	96702748
chr5	115626200
chr5	119268725
chr5	131635277
chr5	134927059
chr5	141879287
chr5	142356780
chr7	877114
chr7	4974175
chr7	21427279
chr7	27096332
chr8	125091796
chr8	142991061
chr8	144755553
chr8	144827377
chr9	32384596
chr9	34458619
chr9	36190726
chr9	85742066
chr9	95507957
chr9	107488912
chr9	120868721
chr9	127771409
chr9	128098405
chr9	128829837
chr9	128947639
chr9	132944561
chr9	135907775
chr8	94720304
chr8	73356610
chr8	48515078
chr7	112206679
chr7	30134847
chr7	43926749
chr7	44582422
chr7	47228799
chr7	65770809
chr7	92134874
chr7	100428833
chr7	122144360
chr8	28385452
chr7	129434364
chr7	130070464
chr7	149195395
chr7	156640559
chr8	17496959
chr8	23069094
chr8	25458307
chr4	84966711
chr4	76949686
chr18	28177096
chr2	71068597
chr2	148020813
chr2	159124819
chr2	199457620
chr2	200889137
chr2	218568827
chr2	229922102
chr20	348247
chr20	2470883
chr20	18587838
chr20	25407922
chr20	34876295
chr20	35616316
chr20	35664904
chr20	35742448
chr20	36773778
chr20	38926284
chr20	44210961
chr2	113890036
chr2	44167965
chr4	51842959
chr2	32627995
chr18	62187006
chr18	74496247
chr19	4328439
chr19	4472009
chr19	6425426
chr19	6753842
chr1	16237172
chr19	9835113
chr19	17337398
chr19	35775363
chr19	44747547
chr19	47113188
chr19	51689045
chr19	53103542
chr19	58362752
chr2	20051661
chr2	32357035
chr20	49278184
chr20	58892330
chr20	62123089
chr20	62642337
chr3	99817797
chr3	115147792
chr3	131381553
chr3	133895698
chr3	153161980
chr3	167735151
chr3	186109268
chr3	197960174
chr4	987401
chr4	2242266
chr4	2402265
chr4	4673305
chr4	6198845
chr4	11428970
chr4	37826652
chr4	38867654
chr4	39182395
chr3	98593818
chr3	52154793
chr3	48088907
chr22	50469992
chr21	33642412
chr21	36698799
chr22	17084831
chr22	32411959
chr22	36410152
chr22	42648868
chr22	44692330
chr22	50508400
chr3	47443312
chr22	50675298
chr3	20186292
chr3	27484482
chr3	36380416
chr3	38137251
chr3	44761727
chr3	46976812
chr1	17438640
chr19	7506700
chr1	8878768
chr1	2586563
chr1	941810
chr1	1919667
chr1	11310558
chr14	35335646
chr22	50011642
chr22	50007258
chr22	49971374
chr22	49961465
chr14	35826419
chr14	35826840
chr14	35121855
chr22	49948783
chr22	49928822
chr22	49918478
chr22	49853695
chr14	36661823
chr14	37197995
chr14	35292300
chr14	35046250
chr14	37596209
chr14	34628944
chr14	32939850
chr22	50475135
chr1	2287891
chr22	50308789
chr14	34462499
chr22	50304768
chr14	34629619
chr22	50190483
chr14	34630205
chr22	50271909
chr22	50270547
chr22	50261864
chr14	34981060
chr22	50200928
chr22	49755729
chr22	46828717
chr22	47193344
chr14	52730047
chr14	50944541
chr14	51095472
chr14	51240016
chr14	51652075
chr14	52314198
chr22	45977224
chr22	45537829
chr22	50562863
chr22	45499975
chr22	45269170
chr14	53217554
chr14	53217882
chr22	45268416
chr14	53953538
chr22	46085930
chr22	46110345
chr22	46119972
chr14	50561170
chr14	50396948
chr22	46150300
chr22	46267942
chr22	46537808
chr14	50231736
chr22	46582006
chr14	49893094
chr22	46584708
chr14	49688241
chr14	45134563
chr14	45083958
chr22	46689067
chr22	46774090
chr14	32053685
chr14	31229749
chr22	50583052
chr3	10195694
chr3	12557021
chr3	12239477
chr14	23154425
chr3	11770701
chr3	10471558
chr3	10263988
chr3	10141822
chr22	37746143
chr14	23567840
chr14	23569977
chr3	10011169
chr14	23861875
chr14	23953713
chr14	24036390
chr14	23108390
chr3	12557408
chr3	12656075
chr3	12707601
chr3	12758312
chr14	23010229
chr14	22966628
chr14	22957163
chr3	13262904
chr3	13283313
chr14	22871717
chr14	22871334
chr14	22766631
chr14	22664377
chr3	13635417
chr14	22589780
chr3	14402541
chr14	24052577
chr3	9983108
chr3	9917032
chr14	24316795
chr22	50600326
chr22	50600746
chr22	50612800
chr22	50627522
chr22	50636226
chr22	50673342
chr1	2240445
chr22	50775324
chr3	3126868
chr14	24431864
chr3	4493418
chr14	24399071
chr3	4513198
chr3	4986956
chr3	5013718
chr3	9913867
chr14	24299788
chr3	5027069
chr14	24242704
chr3	5122251
chr3	9061792
chr14	24161639
chr14	24161239
chr3	9596080
chr3	9649421
chr3	9727099
chr3	9792458
chr14	24095665
chr3	9890514
chr3	9891007
chr14	53956934
chr1	6784652
chr22	45072482
chr22	39662541
chr22	40044591
chr22	40007251
chr22	39998139
chr14	74445029
chr14	74493515
chr22	39664543
chr22	39532881
chr22	40226817
chr22	39521082
chr14	74954320
chr14	75177012
chr22	39502236
chr22	39388361
chr14	76151856
chr22	40165859
chr22	40370572
chr22	41590014
chr22	41286389
chr22	41557904
chr22	41544554
chr14	70223787
chr22	41446868
chr14	70808337
chr14	70816790
chr22	41205202
chr22	40641443
chr14	70907988
chr22	41092542
chr22	41091527
chr14	72699953
chr14	73237446
chr14	73462202
chr22	39350526
chr14	76918692
chr14	76918986
chr22	38214906
chr14	89304306
chr22	38456164
chr22	38422718
chr14	89813638
