Chrom	position
chr7	21941801
chr3	169401093
chr9	110106982
chr4	140092560
chr10	78260457
chr3	119332889
chr10	64316601
chr18	26649328
chr4	95513204
chr9	94694282
chr2	42906985
chr6	80210803
chr1	66916474
chr3	38427063
chr12	12693559
chr9	21047506
chr2	80362070
chr3	158488891
chr6	84560625
chr7	80877049
chr5	89712395
chr2	22213423
chr14	83006215
chr12	93300738
chr4	2886854
chr8	125334279
chr10	21975770
chr6	24872965
chr1	87642975
chr8	108043141
chr1	50231391
chr1	243974700
chr15	78681791
chr1	163196268
chr12	38890285
chr6	85455702
chr7	126052376
chr11	61125465
chr18	54871380
chr2	143685738
chr8	79161459
chr1	8707210
chr2	160343565
chr9	28771003
chr4	134422009
chr1	176776194
chr1	11178548
chr7	136033726
chr6	115733634
chr2	5851172
chr9	78424505
chr8	37302885
chr14	34423554
chr1	99279681
chr5	113203499
chr15	63055144
chr2	58853054
chr9	133636212
chr3	150107168
chr4	21753306
chr5	113903449
chr13	71802055
chr1	74363109
chr1	204889903
chr10	113171706
chr11	113550346
chr10	77723114
chr10	8739162
chr8	141780006
chr5	93107308
chr5	80170317
chr15	78671790
chr5	168770288
chr15	32099609
chr7	154681373
chr1	64229469
chr7	133299936
chr2	186044833
chr20	8510026
chr13	35489300
chr1	110336723
chr2	80365987
chr11	110305545
chr3	61602579
chr4	189100539
chr2	155546918
chr3	109045435
chr2	142270458
chr12	130622050
chr1	210990177
chr12	116960060
chr2	207979976
chr9	27818568
chr7	47763725
chr1	71677300
chr7	10036921
chr2	207938585
chr1	193569297
chr2	215619267
chr9	97504881
chr7	7965487
chr8	76810491
chr9	98280803
chr20	51051879
chr20	38393453
chr8	78895876
chr3	177523256
chr3	115518680
chr12	39395991
chr13	90836017
chr9	99411976
chr1	68323575
chr3	177935188
chr20	41656345
chr5	59484366
chr3	179899562
chr2	40049979
chr13	21504528
chr3	64027974
chr9	33508189
chr11	25293453
chr16	84768606
chr10	98373926
chr13	97310997
chr1	198860551
chr1	48921055
chr1	68705098
chr10	104253303
chr2	29650890
chr18	28736026
chr3	185271063
chr5	29550753
chr5	176831217
chr1	77745424
chr5	67632989
chr3	130548587
chr1	83808016
chr6	112199357
chr3	37521566
chr3	145095915
chr2	117693385
chr20	5393596
chr13	59729380
chr3	55854664
chr1	84353950
chr5	68258546
chr1	238018407
chr15	100198580
chr12	23098642
chr12	15186759
chr2	140441037
chr13	43627136
chr1	81229110
chr4	136680558
chr13	48653668
chr13	48698688
chr2	231094789
chr10	114729462
chr3	136428208
chr1	80403631
chr13	51394910
chr5	124908760
chr3	140088266
chr13	45825327
chr2	234956334
chr3	131975174
chr13	56065819
chr10	124051825
chr9	12709158
chr10	124283804
chr6	168731572
chr15	96188042
chr20	54844098
chr6	18580054
chr6	18971080
chr2	52970822
chr4	112998287
chr3	59612290
chr2	136113090
chr5	113084975
chr1	216841376
chr17	38789473
chr6	110496090
chr10	107919881
chr5	111248737
chr11	16969318
chr13	72508635
chr3	159859614
chr11	8068069
chr2	222399636
chr10	128187326
chr9	13239412
chr2	69191929
chr10	12979123
chr1	233035090
chr5	172219552
chr7	80843506
chr3	58837297
chr2	66058045
chr3	156391061
chr13	69681937
chr5	116696247
chr17	73396593
chr11	7270499
chr1	221458470
chr6	1802965
chr6	70037635
chr1	101291695
chr1	162062907
chr1	172126194
chr7	132688114
chr1	181064396
chr3	100127907
chr11	40202734
chr4	119898413
chr1	106207443
chr8	47456199
chr6	50591371
chr10	57917171
chr3	79761655
chr3	93470557
chr4	28719874
chr22	40721458
chr7	36871172
chr7	36966855
chr7	24034485
chr4	38330562
chr8	122686786
chr2	12803814
chr4	17126612
chr10	82684149
chr4	120001143
chr10	78087399
chr9	81321249
chr1	99281362
chr4	16868049
chr6	52571178
chr17	60907450
chr7	29496536
chr18	47800462
chr4	92535619
chr8	121438498
chr7	133321129
chr5	56013680
chr18	75823770
chr3	76152243
chr7	120775862
chr22	38341005
chr6	51550613
chr7	133126512
chr16	72947865
chr5	93941980
chr14	92917450
chr14	65437028
chr6	69081823
chr11	94649411
chr14	66493989
chr22	35656582
chr12	95146896
chr1	101641281
chr7	24334791
chr16	64780646
chr16	76276321
chr3	77267783
chr5	159462418
chr8	75811165
chr9	117530370
chr4	95524400
chr7	43937564
chr1	113217999
chr14	83521017
chr18	54956765
chr6	77678189
chr12	66319498
chr2	188722021
chr14	54225670
chr20	54929383
