Chrom	position
chr1	226187258
chr10	63525555
chr10	17704900
chr16	89070710
chr17	40472155
chr1	160510112
chr17	47817305
chr21	47740528
chr9	132625517
chr12	54698310
chr19	52050142
chr3	107844625
chr21	36280892
chr19	47747498
chr10	43913609
chr9	79071351
chr7	16308762
chr14	74220338
chr8	124934534
chr16	57724048
chr6	41985041
chr21	36399199
chr17	76662114
chr6	135644511
chr21	40357741
chr14	74208375
chr16	23912778
chr12	109094059
chr2	54816887
chr1	224691387
chr11	59474524
chr1	200123449
chr1	160016448
chr10	94516203
chr5	159688143
chr7	20259580
chr22	18463546
chr5	140985391
chr1	208047044
chr3	44481480
chr3	46474818
chr19	8483181
chr1	31241947
chr14	23582109
chr20	5469628
chr10	73557690
chr1	29211612
chr7	137942496
chr5	154033648
chr11	63350169
chr1	164681663
chr12	98834007
chr19	13213672
chr12	26999167
chr13	28982841
chr1	181122287
chr6	20575608
chr7	73300584
chr8	26248734
chr22	25125077
chr15	74682045
chr12	32184191
chr10	6962502
chr5	55419745
chr3	197171308
chr9	100700609
chr10	17038408
chr3	5150182
chr16	89043521
chr15	101991799
chr19	5799421
chr2	30513765
chr10	96059356
chr9	131831816
chr21	39848501
chr16	16214839
chr10	17468002
chr17	17207960
chr5	37553469
chr6	36922173
chr7	45034926
chr7	129598662
chr21	46274890
chr3	128202157
chr12	9917557
chr16	88866519
chr8	141629201
chr7	50564883
chr3	155052807
chr16	70729793
chr7	150691834
chr10	17620824
chr3	138594778
chr14	70168790
chr20	45989520
chr7	56175070
chr15	86126121
chr16	29020779
chr18	77267203
chr15	39432345
chr4	10182954
chr16	163621
chr4	40313949
chr6	84684515
chr16	75077188
chr1	153316483
chr12	32158628
chr10	75004907
chr17	65780615
chr8	128972734
chr11	118958620
chr12	117480268
chr1	47647028
chr1	247711623
chr11	57192358
chr3	167659672
chr6	15300008
chr4	124270746
chr9	135879682
chr6	49614208
chr12	133047909
chr1	16380785
chr11	61602179
chr4	142834182
chr16	27378857
chr2	220379164
chr8	106532874
chr12	50444683
chr9	126067103
chr22	45072758
chr1	22231644
chr15	92022014
chr20	31269294
chr11	61809648
chr16	27442595
chr1	160983791
chr15	64722621
chr2	70026282
chr8	103911748
chr1	108622468
chr4	6280668
chr10	75716457
chr10	94450636
chr11	12222903
chr17	61498080
chr10	45966236
chr11	126290437
chr2	72770910
chr2	182629003
chr3	53384867
chr3	134215445
chr5	76145947
chr9	134206861
chr1	19803558
chr9	114943644
chr20	32278071
chr5	139049654
chr1	235012262
chr6	34241253
chr17	35969460
chr10	121904816
chr8	8635399
chr8	10634964
chr14	31528983
chr3	16977937
chr11	8228084
chr9	125209246
chr4	185606120
chr14	69186637
chr9	136734933
chr6	56954701
chr8	27221399
chr2	122893259
chr12	102249350
chr8	21917515
chr20	30873689
chr17	46566274
chr10	12308024
chr1	60433205
chr14	89631950
chr7	116517091
chr18	22819901
chr14	65511470
chr1	101594156
chr1	93010458
chr22	41210156
chr6	147092326
chr19	35453523
chr17	53528845
chr12	700898
chr15	75247021
chr22	43659987
chr20	30263822
chr8	8932732
chr1	42347907
chr7	97762640
chr22	47000503
chr6	160522682
chr12	11951941
chr15	29156588
chr12	120103587
chr21	37802479
chr19	38807916
chr3	182655627
chr1	29210577
chr10	66627549
chr9	32554296
chr6	37270031
chr6	88466780
chr6	30484353
chr1	9471087
chr6	110711102
chr9	93927205
chr21	25644976
chr6	40683679
chr12	122087981
chr7	5497720
chr17	15394175
chr19	52051166
chr8	21716062
chr14	70704643
chr17	71007451
chr16	10456397
chr19	13180609
chr12	47601132
chr16	49732501
chr3	19853379
chr11	34460206
chr6	29932768
chr10	6515548
chr17	11812240
chr3	98302788
chr6	33873141
chr1	182269336
chr8	59969393
chr9	33240084
chr22	40725328
chr19	21785833
chr19	18655027
chr5	169705752
chr19	17416386
chr10	74080624
chr3	4575610
chr5	158821203
chr3	5470768
chr4	169343055
chr12	118768321
chr9	37197278
chr2	55367840
chr6	37282759
chr5	131332611
chr11	70316453
chr1	61514752
chr19	2950125
chr11	95467408
chr12	57382235
chr9	73100422
chr17	75567787
chr2	32993604
chr17	63169792
chr20	30198645
chr10	97291968
chr15	90358437
chr13	60035756
chr8	50023094
chr11	38560585
chr14	20945945
chr1	162342733
chr5	133268548
chr1	191793136
chr11	102212959
chr8	93107735
chr19	48825451
chr9	35109393
chr6	135516788
chr9	133413120
chr13	99706017
chr1	114922825
chr9	98225137
chr17	33887944
chr10	119171156
chr7	132174742
chr3	196239077
chr3	194898935
chr19	18429199
chr3	101249381
chr17	26314010
chr18	46307862
chr15	91445162
chr21	46677048
chr1	65696960
chr7	44120978
chr15	74838602
chr5	130976082
chr18	77361382
chr18	74826943
chr12	32207262
chr3	184190999
chr2	173260486
chr2	72110294
chr11	76411713
chr12	7830231
chr19	15955491
chr19	16197395
chr3	141765378
chr3	100008401
chr3	72338296
chr15	64126628
chr3	49843908
chr12	112789153
chr8	103603308
chr16	22227812
chr20	49307944
chr4	79531832
chr12	89787619
chr6	109625838
chr9	125094612
chr2	219152686
chr4	5005384
chr2	112812925
chr2	74263787
chr16	31547229
chr7	125301917
chr2	206645579
chr4	154059591
chr11	59728112
chr9	128047335
chr2	42587219
chr3	142804064
chr7	157194683
chr8	142318431
chr4	13983842
chr2	158786623
