Chrom	position
chr1	24528590
chr14	55737954
chr1	233380110
chr15	62408175
chr16	5006362
chr6	126362160
chr17	44364412
chr7	130692454
chr7	95060417
chr13	113375665
chr11	9682614
chr12	49260954
chr1	38000270
chr7	36327201
chr6	134067059
chr12	133177187
chr3	13937021
chr4	142600238
chr14	56060653
chr17	17936955
chr12	46867540
chr5	171782343
chr19	2056507
chr19	6863672
chr19	42388272
chr3	65938043
chr19	36083317
chr11	9532357
chr7	47615789
chr12	12809054
chr19	42954700
chr19	18788982
chr11	69066098
chr19	7410608
chr4	83786954
chr15	58625334
chr1	214296569
chr1	29432673
chr16	72016011
chr18	42475571
chr5	137413030
chr6	43302359
chr6	152037745
chr8	37548998
chr12	96028870
chr1	247536237
chr2	163287072
chr12	53902548
chr19	3710532
chr2	177517229
chr8	81143171
chr8	48437608
chr7	156929254
chr18	3045597
chr4	120002212
chr14	104544532
chr9	74828986
chr17	1480720
chr3	22755582
chr1	116350628
chr4	129732268
chr19	46418948
chr8	42698674
chr11	705043
chr7	22483166
chr3	104347194
chr1	6473102
chr19	17586581
chr3	51137919
chr11	35601387
chr19	38757911
chr12	125383149
chr8	124460220
chr15	59569004
chr12	132638624
chr6	144261362
chr7	134856522
chr1	100173267
chr19	48279938
chr17	32052938
chr21	36337919
chr4	75585147
chr15	75930900
chr9	115480330
chr8	145635275
chr19	55984023
chr1	22379090
chr16	69438583
chr17	30394156
chr17	39805117
chr3	146224665
chr3	188080374
chr19	58144493
chr8	41287803
chr15	67366821
chr12	82708580
chr19	19483970
chr9	38069774
chr3	119182642
chr19	17133272
chr9	90060773
chr6	3126820
chr15	39418344
chr19	16609946
chr2	161037897
chr6	133057561
chr16	2924972
chr17	73092413
chr5	111016814
chr5	72497878
chr2	216158615
chr13	70823673
chr20	46912744
chr16	1187731
chr22	42255305
chr10	85780047
chr19	17459719
chr12	123205816
chr18	54672156
chr2	158732891
chr1	31575449
chr15	101611160
chr6	12492733
chr12	122125049
chr15	70820702
chr22	21132101
chr10	126218836
chr22	50978259
chr2	43086226
chr16	284521
chr19	1183965
chr2	216847506
chr8	30182201
chr8	38858950
chr12	120339983
chr16	4250509
chr17	46876952
chr1	110502734
chr7	7139359
chr17	38115417
chr14	107287512
chr8	48761172
chr19	2507318
chr22	30195379
chr1	19796031
chr1	9135292
chr17	53813310
chr1	19795018
chr16	14458632
chr17	55449759
chr8	62647172
chr12	111840897
chr2	10227281
chr7	140179210
chr15	68549628
chr2	233165979
chr1	243049598
chr4	119590536
chr10	121356582
chr9	118354056
chr13	59966006
chr5	123991922
chr11	32852125
chr8	33421050
chr15	68567639
chr10	43360175
chr2	131631461
chr4	107208702
chr12	26922301
chr15	99791387
chr1	147624579
chr5	114961932
chr12	22596471
chr17	48716786
chr1	26868443
chr1	8883017
chr3	115511398
chr16	89984313
chr20	60639396
chr11	10900356
chr1	160967359
chr9	5839373
chr1	226521238
chr2	11521440
chr7	155149562
chr10	86027516
chr8	29999296
chr22	25796986
chr8	11711551
chr13	42622071
chr5	172234289
chr21	48042437
chr15	54103954
chr2	110395603
chr6	125635529
chr2	110390011
chr2	144955869
chr2	241195545
chr7	94658185
chr1	40839379
chr13	24791845
chr2	223555548
chr3	127730295
chr1	225632806
chr6	142696694
chr7	95106440
chr17	39113269
chr9	97703947
chr1	43231808
chr15	60700836
chr1	156695805
chr11	47475900
chr8	129374426
chr20	47113609
chr10	28721308
chr3	148318959
chr1	21656154
chr13	33792231
chr11	80305177
chr15	80453245
chr2	225350250
chr13	32371537
chr3	12263339
chr13	98918699
chr2	25002179
chr15	77437947
chr4	42334251
chr15	60695004
chr6	36482727
chr11	62554884
chr1	156368282
chr6	36409357
chr15	89659051
chr8	131275086
chr9	135424815
chr17	38375521
chr1	150586155
chr3	14460459
chr22	24553151
chr1	153963219
chr11	61103809
chr9	117632374
chr1	226001246
chr17	77879869
chr12	125389442
chr9	84352849
chr7	112032272
chr13	47030352
chr9	135248366
chr9	135282238
chr20	46842672
chr7	5572683
chr17	7143128
chr12	4647723
chr3	14918655
chr17	7087581
chr3	14378067
chr12	49741784
chr13	20161209
chr11	44006957
chr1	11327931
chr19	18175787
chr1	22739214
chr2	236353207
chr1	205288873
chr3	13526778
chr1	222138860
chr8	87883440
chr22	50444889
chr10	4768427
chr12	31508543
chr18	71863638
chr15	45018900
chr3	155461665
chr8	101500335
chr17	10640837
chr10	32478552
chr6	3933459
chr15	75111104
chr15	93388550
chr5	14977604
chr16	21127772
chr3	179367565
chr22	38173478
chr10	60082443
chr9	3441326
chr1	55683481
chr1	45712581
chr16	31027697
chr9	94065296
chr9	100985726
chr1	234744051
chr9	77502016
chr10	60941573
chr1	168464983
chr19	45300138
chr8	8244434
chr11	68099104
chr16	47092864
chr8	8170289
chr2	3622839
chr9	36924238
chr1	206646044
chr18	8797384
chr11	73729719
chr11	74854378
chr3	197249374
chr1	85794881
chr19	45879699
chr1	24933279
chr18	22306896
chr11	13260665
chr14	53167722
chr8	37449057
chr2	174831602
chr2	74671467
chr1	116681782
chr6	31897429
chr14	95077129
chr1	162824267
chr3	103695990
chr5	131526067
chr16	81130165
chr10	111841901
chr18	8730567
chr16	29910968
chr16	48222556
chr20	20800903
chr12	92320814
chr10	73103251
chr19	11205908
chr22	35697736
chr6	47015345
chr4	166143926
chr1	29208697
chr10	71183962
chr10	66491784
chr16	68881460
chr5	140079824
chr7	44513101
chr5	141742570
chr14	69044713
chr3	186464001
chr10	70287418
chr11	16248017
chr2	62797369
chr8	28256390
chr1	762872
chr4	160201694
chr14	65757775
chr3	188668874
chr12	72341537
chr14	64040508
chr12	67949262
chr6	28456857
chr6	111003813
chr5	133962242
chr3	193561805
chr16	52607756
chr10	71934083
chr4	153381908
chr9	37969371
chr1	82274548
chr9	124454977
chr8	71158955
chr8	19613994
chr4	154263142
chr22	36849449
chr22	36847966
chr3	99218271
chr1	169083085
chr10	18899598
chr22	39378390
chr9	101610861
chr3	47292219
chr6	134521235
chr17	57925356
chr19	46027035
chr8	24151496
chr7	73149271
chr9	112496123
chr5	150505926
chr5	993884
chr19	53700540
chr6	161340990
chr10	77190078
chr20	37089039
chr2	170982802
chr12	57119128
chr2	66662247
chr3	40841974
chr2	113976336
chr12	33050266
chr16	85950294
chr1	46109939
chr15	78441491
chr5	176753277
chr2	113592128
chr8	144629627
chr13	40976755
chr15	78357834
chr17	80739855
chr6	53544445
chr16	56736059
chr6	139135630
chr3	41013392
chr5	80263499
chr12	102285410
chr11	75287755
chr13	41837704
chr9	131218200
chr9	131201139
chr7	75588393
chr11	70049265
chr3	10262511
chr3	171685199
