Chrom	position
chr1	569410
chr12	124118241
chr14	23938907
chr18	11947378
chr1	40626976
chr1	70671285
chr15	34394119
chr1	229644108
chr12	133562936
chr19	30097190
chr12	10766190
chr4	54772257
chr3	41240925
chr9	134000971
chr12	133758078
chr15	79165158
chr19	10217013
chr3	16306505
chr9	138853221
chr4	119512862
chr3	10362818
chr4	120375868
chr22	46431945
chr10	74927849
chr22	41865111
chr4	164088100
chr12	117257228
chr8	144623636
chr14	91976900
chr5	61708581
chr9	6015668
chr2	200776031
chr11	67195914
chr19	2783304
chr1	115259413
chr19	36036471
chr11	8986002
chr2	114361449
chr16	86588828
chr7	1178020
chr1	228291056
chr11	20409002
chr15	41047478
chr16	88772875
chr9	125027140
chr1	45241152
chr20	18448018
chr16	3767627
chr17	685571
chr17	33914269
chr20	5093744
chr8	10697408
chr4	8442488
chr12	498766
chr11	60609524
chr2	122513193
chr12	44200154
chr10	69835187
chr4	492979
chr9	29214079
chr1	714074
chr2	68290162
chr6	17707181
chr14	71067412
chr16	1470768
chr16	57520506
chr16	58283846
chr21	45759321
chr1	202896384
chr6	106773685
chr5	37371213
chr17	57642944
chr2	110962628
chr16	67261016
chr19	8373414
chr8	145743354
chr22	26879813
chr19	10362858
chr16	2022033
chr8	126104063
chr10	74114729
chr16	20753145
chr20	36661864
chr2	130939185
chr4	57253689
chr7	72395576
chr7	55434008
chr6	34855841
chr2	240964804
chr11	63706303
chr11	64851674
chr11	62607093
chr7	45808658
chr17	4607449
chr5	1345302
chr2	114514309
chr2	190305828
chr19	52531682
chr20	33265060
chr13	46626924
chr1	1447442
chr3	142166863
chr1	1590639
chr6	41755389
chr6	126661258
chr9	123555721
chr16	88636809
chrUn_gl000212	40863
chr3	196295464
chr19	409235
chr3	45017698
chr7	66309980
chr1	27561010
chr13	21476905
chr2	105953795
chr11	506891
chr2	109335871
chr4	122745118
chr3	10028548
chr9	140100126
chr19	12807466
chr1	226187068
chr16	71496137
chr9	140083049
chr15	66790129
chr14	58666833
chr16	2273547
chr2	10830094
chr15	73076128
chr10	124740147
chr14	55493875
chr1	245134345
chr2	21022890
chr6	158981113
chr19	52391279
chr7	1199901
chr9	94877701
chr20	2644868
chr1	1655849
chr2	62115803
chr7	73097906
chr2	224810135
chr10	103912077
chr1	63154149
chr9	26947299
chr13	77566216
chr16	90039255
chr14	24769030
chr1	228327940
chr1	29557474
chr7	19748672
chr11	66610919
chr5	150603720
chr21	45209403
chr4	4543789
chr1	53704203
chr17	37010080
chr4	44680442
chr8	17104361
chr5	64859074
chr1	9489051
chr12	108956342
