Chrom	position
chr5	74063019
chr19	50879632
chr1	10003460
chr10	60228501
chr2	38512268
chr14	68631663
chr2	3828532
chr11	47600549
chr1	44679088
chr7	32530017
chr9	134001007
chr1	82314737
chr12	124615419
chr1	203830714
chr2	197664463
chr2	171387003
chr2	3622773
chr5	40835393
chr19	2950631
chr13	41345349
chr7	22482025
chr17	56015597
chr2	224822120
chr1	185643533
chr7	1544059
chr4	106629883
chr20	57226256
chr2	174904725
chr2	118572202
chr5	123991775
chr8	25059293
chr1	70671356
chr15	74392573
chr2	24299274
chr3	149470324
chr12	109490345
chr1	53573450
chr12	53693494
chr6	28048713
chr12	113740857
chr3	193310995
chr12	117348747
chr2	182943872
chr9	95432579
chr2	114341625
chr13	29233232
chr3	195681439
chr6	131949426
chr20	5705466
chr2	114724616
chr22	26908479
chr7	100995754
chr10	98624033
chr14	75663411
chr2	181799745
chr22	22337235
chr17	80170767
chr2	62705500
chr2	159089208
chr4	493023
chr12	46887857
chr14	75179815
chr7	129691233
chr5	892913
chr20	14966930
chr2	64211567
chr17	40925440
chr13	98702463
chr7	99149752
chr2	99771547
chr11	43902316
chr1	206785828
chr9	92171724
chr7	6617070
chr1	12664567
chr8	143751418
chr12	75905434
chr2	10091811
chr6	138580374
chr7	141438087
chr16	740447
chr13	52768618
chr1	186535781
chr21	40279188
chr12	90026756
chr6	22141772
chr22	19159190
chr1	47147611
chr8	67341221
chr15	34635375
chr5	156105717
chr3	15140684
chr19	59066412
chr1	220908111
chr7	2900534
chr4	26585627
chr10	122610819
chr4	11613710
chr19	39353439
chr15	59879505
chr5	76597482
chr5	78016600
chr7	89658989
chr13	27524283
chr15	64679995
chr19	42038172
chr20	45605730
chr5	75664953
chr3	105554567
chr6	24839127
chr11	110703667
chr4	11233823
chr13	24544003
chr2	179156249
chr2	180871871
chr5	81518887
chr13	26068436
chr4	10008023
chr4	7759679
chr5	87552084
chr17	10023247
chr2	179684789
chr13	27530806
chr2	67531959
chr6	148454547
chr2	99777296
chr1	117032216
chr2	101642821
chr11	59578282
chr2	34570934
chr1	118112484
chr6	140715086
chr13	44796054
chr5	40685427
chr4	31671190
chr15	43420093
chr6	27406179
chr3	158887827
chr4	35785874
chr2	99445358
chr11	37252031
chr11	25456868
chr3	114623690
chr11	20003072
chr7	147276369
chr7	149778503
chr11	62359090
chr6	143771879
chr15	51258671
chr11	62863976
chr11	86410616
chr3	106961669
chr2	189866985
chr5	66450639
chr5	65165797
chr17	26122420
chr7	101132170
chr2	190090877
chr7	105837320
chr9	97676766
chr6	146207573
chr5	59743484
chr7	118285955
chr5	57423941
chr2	26720549
chr7	118512909
chr11	64037540
chr11	64008380
chr19	32896505
chr11	117912850
chr22	18130421
chr11	118230283
chr3	60522239
chr5	156163225
chr7	1609738
chr5	156057656
chr7	29415934
chr12	56223431
chr3	188439934
chr5	154224604
chr12	108961930
chr5	153449624
chr16	14659445
chr2	150203039
chr7	31593471
chr3	187987018
chr2	151334800
chr19	56186540
chr12	53194863
chr12	53044866
chr19	56092331
chr3	58457286
chr2	118719033
chr6	170151753
chr2	157199100
chr2	158039618
chr12	113683826
chr1	27226882
chr12	106354341
chr5	101118188
chr2	7172079
chr12	89557858
chr1	80858218
chr1	29074878
chr7	18707438
chr3	185835667
chr12	92346964
chr16	1401909
chr1	28969648
chr9	124119495
chr16	1756093
chr1	81989011
chr12	93382632
chr20	54466906
chr2	3444330
chr3	65840870
chr2	3383449
chr7	22633874
chr1	75948745
chr7	23372754
chr5	165054996
chr7	23374423
chr12	66024505
chr6	693145
chr2	144109510
chr3	85305570
chr2	158803652
chr12	38710508
chr5	113083244
chr16	67397451
chr1	96195098
chr1	32967681
chr6	135394595
chr2	166264937
chr2	167456286
chr6	159220497
chr5	116218037
chr5	115967073
chr7	70033926
chr12	1159480
chr19	45582479
chr12	34175352
chr7	72722884
chr1	101405520
chr9	118621000
chr9	82283351
chr3	171820864
chr5	110427963
chr11	132737336
chr9	81155108
chr1	107187054
chr5	106869902
chr6	154983143
chr12	13596877
chr5	128997980
chr5	130722699
chr16	66508925
chr12	31902335
chr5	139642574
chr5	139641677
chr5	139641074
chr12	31804095
chr20	43090384
chr2	16830241
chr2	17828291
chr1	94515814
chr16	51768311
chr1	32363366
chr5	135468585
chr5	135425629
chr2	114514316
chr6	10573358
chr12	21597321
chr9	84785209
chr3	196264344
chr1	32532311
chr12	17215589
chr7	47332633
chr19	48894060
chr20	45028164
chr2	212273428
chr11	34443848
chr11	13292795
chr3	139734108
chr1	6685449
chr4	71554087
chr10	35081799
chr14	81867279
chr14	80935149
chr9	20718905
chr10	29124187
chr10	29122476
chr3	124597694
chr4	125447600
chr22	44141873
chr20	5093766
chr2	75708697
chr6	50934463
chr14	26702498
chr6	51086699
chr14	77371535
chr14	29709368
chr10	8015724
chr10	4101162
chr10	3434353
chr6	107730135
chr4	115468667
chr8	108267000
chr8	109055440
chr17	79246662
chr3	142314916
chr8	76230234
chr3	146876544
chr19	9695193
chr14	99662313
chr4	159748189
chr13	100614596
chr6	123154205
chr14	95316955
chr10	65024736
chr8	65711112
chr10	62135559
chr13	102574281
chr21	18461634
chr1	8319359
chr13	113951379
chr3	144010256
chr9	104078195
chr22	49879284
chr3	122694457
chr4	149908284
chr14	90589470
chr4	149613536
chr10	49726478
chr13	107611137
chr17	77315825
chr8	74007840
chr1	3712959
chr1	245269572
chr17	72199784
chr1	244883175
chr1	225882058
chr6	62288554
chr22	30972236
chr1	212085694
chr18	47207990
chr1	211556076
chr1	207221637
chr18	49804815
chr8	141801000
chr14	68627798
chr21	29264095
chr6	70304405
chr22	35461884
chr14	66023928
chr1	203398473
chr18	59537112
chr1	203122972
chr6	82324200
chr18	71459556
chr14	58564013
chr14	59729944
chr1	196026047
chr4	84377163
chr1	185504051
chr6	75977425
chr8	128598557
chr1	171690510
chr8	128342793
chr18	22841974
chr14	74412060
chr18	18764495
chr2	62231812
chr18	18850816
chr14	34403132
chr1	241555480
chr8	117652373
chr18	19678698
chr1	240851257
chr18	21795812
chr1	48559551
chr1	168831060
chr1	226667256
chr1	234997692
chr6	93892864
chr18	26889465
chr8	122444018
chr18	30192806
chr8	125394008
chr2	69981324
chr1	169911676
chr18	32559258
chr20	16710638
chr9	12455799
chr1	41422254
chr22	48650593
chr12	84335368
chr9	115593676
chr6	36591933
chr3	10068075
chr14	104024935
chr6	134351113
chr6	134488118
chr1	56104913
chr2	97200673
chr15	34517218
chr17	54429307
chr2	45639972
chr15	35261976
chr3	18611683
chr13	75465982
chr11	1241215
chr7	158863363
chr1	40767739
chr13	75445993
chr17	67551463
chr3	10362830
chr6	132326507
chr6	134341478
chr17	55816972
chr8	22462141
chr10	110142316
chr3	152673434
chr2	96971293
chr3	152221070
chr19	12780358
chr8	25101380
chr1	40010205
chr8	56987159
chr22	25237471
chr2	42133592
chr8	27460994
chr10	102641182
chr3	10854155
chr13	80055497
chr13	80707392
chr5	1634110
chr9	33425367
chr9	35103175
chr13	95696892
chr17	68221411
chr10	88852645
chr4	57609988
chr21	46359879
chr13	97500745
chr9	31510704
chr2	236450729
chr2	238330385
chr19	16308713
chr7	151516373
chr3	115420586
chr3	5028694
chr10	77499382
chr14	37067195
chr1	58618940
chr20	47113612
chr3	127842820
chr6	95272736
chr20	49087983
chr3	80667634
chr6	141463166
chr14	58368926
chr6	137218436
chr6	101373838
chr12	87645442
chr9	101874042
chr6	134274269
chr3	110331069
chr7	12749937
chr6	142727441
chr6	142671687
chr13	62503737
chr3	117305220
chr6	170615871
chr14	60897145
chr13	62239700
chr12	110313485
chr6	78363600
chr3	81603724
chr13	66336982
chr1	57930576
chr14	57000363
chr13	66887025
chr13	51086207
chr6	93875918
chr2	123142599
chr13	74025750
chr2	69056538
chr7	3750388
chr13	73966447
chr6	86115161
chr7	4357091
chr1	75958307
chr13	48801382
chr12	102010153
chr14	53386870
chr6	86552036
chr6	143193357
chr1	57094428
chr13	50171588
chr12	105630035
chr2	99774058
chr14	55594043
chr12	96020924
chr6	140338818
chr6	137970058
chr7	7125005
chr14	51946332
chr13	50791533
chr2	70121061
chr6	89212426
chr13	73173047
chr3	111652032
chr13	76279147
chr2	68788762
chr2	69950375
chr1	54851069
chr2	73964543
chr12	123868308
chr12	130841963
chr6	157315589
chr6	157542434
chr13	27032375
chr6	122997911
chr13	106448703
chr12	124086603
chr6	130834980
chr12	123641007
chr13	97562051
chr13	63882894
chr13	27709343
chr1	66338176
chr12	122897694
chr13	112311215
chr6	117399901
chr12	120884327
chr3	96496713
chr13	24881638
chr12	130883292
chr13	78641591
chr13	99229472
chr13	22287375
chr3	120310154
chr13	24392063
chr3	120181669
chr13	22020588
chr6	127895889
chr2	107458829
chr1	64449607
chr13	97578327
chr9	102890626
chr6	126039472
chr3	102295444
chr6	125622903
chr9	102971156
chr20	48132231
chr1	64809320
chr3	101966290
chr6	153923863
chr6	130923690
chr6	163310510
chr6	117123373
chr6	168151847
chr6	167839807
chr14	29345874
chr6	144665012
chr13	32622988
chr14	30204183
chr14	30227081
chr9	107746650
chr1	49812774
chr1	56385855
chr3	96202756
chr2	114852855
chr6	107150626
chr1	68639260
chr6	132967183
chr2	114939301
chr2	115245475
chr13	32729890
chr14	33137179
chr2	102816842
chr14	25978294
chr3	124762658
chr3	107012630
chr6	131029625
chr6	117114342
chr6	131404950
chr13	89600997
chr6	166473319
chr3	93558276
chr6	167087690
chr1	67730808
chr2	83390286
chr2	80019451
chr13	82031481
chr2	79344867
chr20	48467357
chr2	79330505
chr6	147831155
chr1	67859112
chr2	104608729
chr13	32630653
chr7	17541993
chr12	86215650
chr8	42043333
chr10	74560381
chr8	54236732
chr9	29790876
chr10	77811344
chr1	155910624
chr10	82800907
chr8	42307104
chr3	6537727
chr11	13974487
chr10	88832436
chr22	26833087
chr10	91402249
chr2	235152835
chr2	235151228
chr9	33494763
chr10	93624150
chr8	58943256
chr3	259702
chr9	27474199
chr10	71386139
chr22	49706802
chr8	70676486
chr10	55339714
chr10	59685005
chr8	67626432
chr8	66962055
chr10	61935350
chr9	26682773
chr10	65424297
chr10	66333544
chr10	67651013
chr10	68874914
chr10	71074918
chr10	71241245
chr9	27394323
chr2	234862185
chr8	37594133
chr10	95462417
chr10	122489216
chr2	220636963
chr8	11431228
chr10	127383722
chr10	127738659
chr10	130832916
chr8	8939806
chr8	1211181
chr1	147994362
chr7	158687715
chr3	23634738
chr9	37700961
chr1	147114144
chr11	6510751
chr11	7556759
chr11	9386058
chr2	222870935
chr10	117867066
chr10	98430794
chr8	19315922
chr8	31117811
chr2	233165233
chr2	232651104
chr8	29235581
chr9	34437152
chr3	10823776
chr2	229478921
chr8	24014005
chr8	23529632
chr8	23501333
chr10	110281787
chr9	35757194
chr3	14461583
chr2	226088209
chr2	225196409
chr8	70973654
chr8	71744318
chr10	48185920
chr1	173684047
chr1	212093859
chr1	220024364
chr1	172311048
chr1	224301811
chr9	12573991
chr1	227015866
chr20	16550404
chr1	228864259
chr1	231086447
chr1	232989811
chr22	39307790
chr8	121457460
chr1	235459489
chr1	235572523
chr22	39925346
chr8	136589455
chr22	36553366
chr1	240951369
chr1	207648730
chr1	180126964
chr22	31611304
chr1	178193621
chr20	24387893
chr8	145133478
chr8	144766578
chr1	201750675
chr22	33996297
chr9	6198482
chr20	22791984
chr20	22493202
chr1	205404000
chr8	142206136
chr1	205804098
chr8	141809327
chr1	237889000
chr1	241881413
chr22	28332100
chr1	163065144
chr10	17243688
chr20	32515662
chr8	87849495
chr10	32420527
chr8	82486127
chr10	32602371
chr10	33891462
chr10	34484509
chr10	36565053
chr10	43278186
chr20	1099183
chr1	160858960
chr10	45496456
chr8	75685324
chr9	22215648
chr10	14369908
chr1	163291586
chr1	242594863
chr1	163553755
chr1	244869051
chr22	30037677
chr8	111639743
chr1	245564781
chr22	29949818
chr8	107595591
chr9	18076016
chr10	5335964
chr9	18554430
chr1	165738146
chr8	102450798
chr10	7917971
chr10	8170729
chr10	8832541
chr10	12575401
chr11	10772732
chr20	36520610
chr12	83859618
chr12	22704124
chr7	48019112
chr1	96002831
chr12	14965632
chr3	55483700
chr12	19948884
chr12	20328879
chr1	95209707
chr12	23812281
chr2	212039490
chr3	56040506
chr7	44084214
chr2	161339428
chr12	27692334
chr12	28431600
chr3	57193418
chr7	42133331
chr9	84332767
chr7	49202237
chr12	13030346
chr9	84214908
chr9	82104717
chr11	133878737
chr9	82554805
chr3	52029926
chr7	72101600
chr2	170083395
chr12	1326521
chr1	100896227
chr2	169704378
chr7	68196094
chr7	65813995
chr7	64919614
chr2	167668845
chr14	61085167
chr7	52850059
chr12	31884922
chr12	38923340
chr12	42240703
chr2	145222463
chr2	142592832
chr12	67429256
chr2	138286749
chr7	22369664
chr12	71529795
chr7	21986890
chr12	73445682
chr12	73447835
chr20	44420572
chr7	20664910
chr7	20646922
chr1	81964549
chr2	135117178
chr2	134473890
chr7	16805293
chr3	62308094
chr2	145705403
chr12	46867597
chr2	145990729
chr9	87100562
chr3	57963919
chr9	87228458
chr2	155757760
chr7	35811636
chr1	91286647
chr2	153858593
chr9	88449590
chr7	33551595
chr7	33295014
chr7	30981405
chr7	30294833
chr2	149632589
chr7	29417506
chr12	56756593
chr2	171008395
chr2	171209318
chr9	81728097
chr7	134780137
chr11	47430025
chr2	204895877
chr1	118170499
chr1	118117256
chr7	130681872
chr11	58693951
chr2	202214223
chr11	60260216
chr7	128116792
chr7	127983901
chr11	62420855
chr9	71579276
chr7	123569329
chr7	123389140
chr7	120853552
chr11	47270413
chr7	135662115
chr7	114762557
chr7	135865119
chr7	147826347
chr11	19814270
chr1	148241557
chr11	20035100
chr3	29651055
chr11	21390406
chr1	148766979
chr3	31268895
chr1	145096375
chr11	33551261
chr7	140150385
chr11	35480749
chr11	42520703
chr11	43380494
chr7	136610008
chr11	65769695
chr11	67442258
chr11	125962016
chr11	107964313
chr3	47919469
chr7	93208315
chr11	112035960
chr11	114304347
chr2	177924573
chr7	90766930
chr11	115323137
chr11	115940309
chr7	87934574
chr7	87053436
chr1	109618684
chr7	81797033
chr1	108325322
chr9	80874968
chr9	80986903
chr11	109522273
chr7	95912304
chr20	38028759
chr7	96983568
chr20	38217042
chr2	196818530
chr11	68671345
chr11	69895008
chr11	70995162
chr9	74736642
chr11	79577707
chr2	187005855
chr11	88880609
chr11	92129306
chr11	93364604
chr2	182350392
chr11	94442013
chr7	98640796
chr7	97869496
chr2	167014102
chr1	179820633
chr2	66718069
chr4	4652440
chr5	101091280
chr4	4543811
chr5	102455906
chr5	103039472
chr5	105289603
chr16	84220697
chr16	82186524
chr1	22826210
chr16	80871532
chr16	80232528
chr19	45542335
chr5	111496509
chr4	2875161
chr5	114038616
chr5	115967755
chr5	116913769
chr4	1543244
chr19	47104310
