Chrom	position
chr7	90396520
chr5	147215085
chr14	62020656
chr11	4081936
chr18	13542154
chr8	129197435
chr2	238522915
chr14	59628315
chr7	74024729
chr21	40203626
chr9	32136901
chr1	97097844
chr6	1326143
chr14	61132058
chr4	155519286
chr2	234665580
chr16	54215025
chr20	32312448
chr12	26427758
chr14	94807001
chr3	195782808
chr8	107637047
chr12	93339896
chr17	17437408
chr10	60817947
chr8	134372678
chr21	16315493
chr3	31418687
chr1	230294697
chr6	83960119
chr10	114064323
chr21	46891778
chr15	101979907
chr12	49304099
chr8	124592179
chr15	78357924
chr3	107515831
chr10	62822952
chr2	47306248
chr19	2577117
chr15	101611131
chr3	193430163
chr10	93882966
chr3	193411685
chr1	24901008
chr19	2507322
chr9	74689837
chr13	50380520
chr17	7059988
chr10	5189548
chr3	196074304
chr3	185576490
chr10	74783653
chr8	62224503
chr5	95322931
chr13	107844887
chr21	38526266
chr4	70647562
chr19	41337961
chr11	43942543
chr3	170690872
chr3	186349136
chr6	7698598
chr19	3300734
chr2	46049265
chr20	17966503
chr3	56865159
chr17	5667155
chr10	18928907
chr21	45006034
chr2	191823929
chr22	36206063
chr16	8772552
chr1	33851046
chr3	152192576
chr6	16510638
chr7	73635391
chr5	140969962
chr2	46400974
chr3	56962912
chr10	18904765
chr2	43862065
chr22	35760445
chr4	10034500
chr3	57744603
chr7	37129815
chr4	10027227
chr9	125774588
chr4	69730993
chr4	10008035
chr17	2061499
chr7	36189499
chr6	16681986
chr2	10532818
chr5	156715757
chr12	39821397
chr19	3397727
chr19	2962234
chr5	90197312
chr11	111804802
chr3	56736727
chr17	5426809
chr3	151261498
chr2	192247769
chr19	4402339
chr2	74936240
chr7	158170901
chr11	113649046
chr1	155618565
chr2	74815000
chr3	53329594
chr4	169926847
chr1	32644141
chr1	32425716
chr7	98048431
chr6	15505167
chr4	70255008
chr4	146523476
chr2	45948496
chr17	4691243
chr6	107136690
chr10	21386553
chr8	41787203
chr1	156721060
chr12	31968260
chr5	90654490
chr16	5399314
chr2	234804193
chr2	10256435
chr5	140170893
chr10	79007118
chr10	22043471
chr17	76643330
chr10	19002287
chr12	93521747
chr2	234654221
chr3	152046809
chr10	79671609
chr6	107533152
chr16	4994808
chr13	24253107
chr21	44135693
chr1	155369783
chr2	46260255
chr16	3241460
chr3	53127109
chr14	78148739
chr10	21794907
chr8	48670892
chr9	89951553
chr3	146364208
chr17	80075770
chr9	123893682
chr10	75346621
chr10	28669378
chr11	67653933
chr12	46824388
chr22	33363673
chr22	33365691
chr8	26152607
chr3	61715135
chr10	28594666
chr13	27758201
chr1	36735188
chr4	68018896
chr10	117797933
chr16	12118516
chr7	72437665
chr2	101188405
chr3	148171721
chr9	124057623
chr14	76089912
chr14	76110500
chr10	75778198
chr16	89461778
chr5	153740094
chr12	81723095
chr12	81537100
chr1	147189384
chr10	29419247
chr2	237026783
chr2	42075397
chr13	28237068
chr7	40134958
chr1	41405648
chr6	149350204
chr1	41396040
chr2	75804619
chr4	15654014
chr1	41326562
chr9	94065265
chr16	13953278
chr13	48809785
chr22	33096386
chr4	62294046
chr6	149458925
chr22	33185126
chr1	147011007
chr9	93944876
chr17	80225640
chr6	109573673
chr8	125755594
chr9	124084674
chr7	72739684
chr14	76178254
chr2	10638196
chr2	10633975
chr8	25087637
chr6	151590939
chr17	78019725
chr1	38000259
chr3	149060594
chr21	45441182
chr12	89769505
chr2	159046322
chr6	106242303
chr22	35697683
chr17	833789
chr17	77967592
chr21	45340291
chr10	77279178
chr3	58025984
chr2	10592647
chr2	75059211
chr7	157090078
chr2	235682872
chr2	191245881
chr3	149224976
chr16	10356318
chr1	151172720
chr16	10782564
chr9	92003343
chr4	117279104
chr3	60723555
chr2	43063310
chr22	33906624
chr3	58566738
chr1	39558180
chr13	49200387
chr11	110168812
chr4	68565901
chr22	34027974
chr6	17312214
chr1	150552358
chr22	34116656
chr12	89586418
chr11	110216683
chr4	117283160
chr8	25097009
chr16	11198985
chr1	150849399
chr17	78465535
chr13	26637220
chr22	34397361
chr4	144145554
chr11	1320533
chr6	37668556
chr4	146725435
chr17	6810754
chr15	93351287
chr12	26857843
chr12	100578533
chr2	231220959
chr12	100583990
chr17	16954231
chr2	48572528
chr4	151223850
chr9	76158795
chr15	93412720
chr9	130369861
chr5	16888985
chr14	22179789
chr12	31899909
chr9	75886169
chr12	26421882
chr7	30840549
chr2	201232070
chr9	75665933
chr19	12248555
chr14	94851285
chr5	16744931
chr9	75594508
chr17	17382691
chr12	100831380
chr11	62270690
chr10	87647915
chr15	95010416
chr4	110535359
chr21	41053356
chr9	77854284
chr8	22613900
chr4	149950592
chr15	99295196
chr2	231930819
chr4	111029211
chr2	200842053
chr15	99235771
chr5	139409670
chr9	129893697
chr6	90813322
chr19	59066471
chr19	11347413
chr2	148567237
chr9	710146
chr3	164851501
chr17	16284369
chr14	94451471
chr8	121873810
chr14	94456475
chr5	160365723
chr13	51246365
chr5	116102346
chr9	75569699
chr9	130608856
chr2	106199522
chr6	166715545
chr9	74393176
chr12	23646733
chr2	54681801
chr2	54698690
chr5	15008802
chr3	171351886
chr11	119343121
chr15	88491331
chr3	43229807
chr3	171506742
chr15	86516215
chr6	166833997
chr20	23860923
chr17	19685002
chr5	138721988
chr12	102811059
chr1	23549002
chr2	202014111
chr9	74341008
chr2	143044349
chr12	21419102
chr22	40575274
chr9	74494745
chr15	89999018
chr6	10505968
chr19	13420881
chr8	121760375
chr13	52132080
chr10	6321723
chr15	91417550
chr1	174239232
chr11	61822266
chr11	118799583
chr11	8720102
chr12	100949735
chr9	130712973
chr5	16721053
chr19	13094522
chr15	90698459
chr2	54078332
chr10	5804666
chr6	8076107
chr6	162672457
chr8	121125918
chr10	5790431
chr9	130753422
chr19	57467263
chr15	90436443
chr17	18909576
chr15	99387262
chr11	117955109
chr4	74466782
chr8	42398609
chr1	161003084
chr3	51602244
chr5	140012811
chr17	7739686
chr11	64685783
chr6	101396891
chr10	15944814
chr9	84150637
chr17	8055747
chr20	55705502
chr20	56003808
chr3	50991449
chr5	139986760
chr3	156344127
chr13	22271198
chr1	28933428
chr11	3809280
chr6	100677628
chr20	45295775
chr7	134051440
chr5	92280980
chr1	162205146
chr12	30752701
chr10	16885407
chr17	74553220
chr13	50693900
chr7	35776584
chr12	94057301
chr8	123771126
chr3	52319552
chr2	233722126
chr3	153858001
chr11	115394866
chr3	52310875
chr17	74996115
chr6	105516475
chr17	7039046
chr14	89698844
chr17	7074815
chr12	94152943
chr2	193443737
chr6	20594677
chr22	36847843
chr2	194293187
chr11	64836945
chr11	2847346
chr8	123740974
chr10	17187510
chr1	160070993
chr2	46567272
chr7	134024424
chr7	75535622
chr12	27856788
chr1	27831466
chr5	158684863
chr17	11929317
chr1	167494087
chr17	73456100
chr21	43127048
chr17	13210130
chr10	12281049
chr17	73310113
chr3	159852942
chr20	20922448
chr11	5744024
chr10	82166160
chr6	96213754
chr4	74345229
chr15	100168791
chr15	99869073
chr7	33255753
chr4	169099144
chr22	38583601
chr2	232106658
chr9	129302883
chr14	93609324
chr2	260977
chr19	9220803
chr9	80378673
chr17	73999570
chr10	114403549
chr6	13269598
chr19	7717256
chr6	100040994
chr9	128059373
chr17	8692455
chr20	19901124
chr10	14226967
chr17	8798417
chr6	39271149
chr2	7172090
chr9	80915338
chr2	47194470
chr12	96048127
chr2	7062565
chr7	34617765
chr19	8422317
chr10	114455405
chr17	9460918
chr1	165455154
chr5	157369787
chr11	116943457
chr17	9944699
chr2	4306362
chr6	20541109
chr8	38861801
chr3	65392367
chr6	137582692
chr5	39716807
chr20	48808965
chr2	85791475
chr9	112956722
chr20	48804204
chr6	27102345
chr14	64968438
chr7	150018333
chr6	125379203
chr1	92997741
chr2	88565353
chr6	137630497
chr8	32943835
chr16	48514092
chr1	58749562
chr18	13879717
chr6	124283868
chr1	57746061
chr8	98022865
chr12	53539358
chr10	45453865
chr18	47361493
chr6	137671605
chr18	47437928
chr8	32949527
chr4	39810030
chr18	47598620
chr9	112878417
chr5	125986389
chr16	52554563
chr12	62667956
chr3	111454447
chr1	90276609
chr10	62766394
chr1	90288782
chr12	54201999
chr11	75474081
chr3	111445884
chr13	42180914
chr1	90336678
chr2	25790507
chr6	134851205
chr7	141402340
chr6	135028700
chr14	62181810
chr2	32176175
chr12	53932357
chr10	62835314
chr2	85932907
chr1	59517999
chr8	32410065
chr6	27375405
chr14	53414944
chr3	103864200
chr17	80796446
chr3	99620502
chr8	129129951
chr1	55913336
chr1	55909432
chr16	71756946
chr13	33994480
chr18	11955785
chr12	66007686
chr18	52434570
chr3	99721837
chr18	52613723
chr4	25921480
chr1	95163686
chr18	49814944
chr2	242467717
chr7	150969226
chr2	168367073
chr2	167641285
chr7	56173432
chr2	167619440
chr16	30825681
chr4	139184797
chr12	52387102
chr18	54756405
chr1	95532862
chr14	52924835
chr18	49596996
chr10	45435608
chr16	46910680
chr18	47680923
chr1	93926948
chr14	65665216
chr5	35741594
chr5	125704463
chr10	44741178
chr9	114111254
chr1	57113004
chr6	30979066
chr14	53288599
chr4	26502318
chr7	150424713
chr6	119629435
chr1	94310030
chr3	101238718
chr16	46781068
chr3	128427036
chr1	94371492
chr18	48564699
chr14	65725250
chr5	127329344
chr11	74255255
chr10	64873965
chr1	56750857
chr5	37654817
chr1	88793675
chr10	48201721
chr2	86888658
chr1	65387628
chr10	124131603
chr10	60082366
chr1	65290077
chr8	30172214
chr8	97388749
chr3	119816308
chr6	28322080
chr18	24455459
chr8	131586366
chr22	24262691
chr5	38149407
chr2	28139336
chr16	67030507
chr16	57001823
chr9	111682009
chr9	108053879
chr22	24235078
chr1	63478251
chr10	125795697
chr5	146520290
chr10	52331881
chr11	83220070
chr14	59296441
chr1	72832343
chr16	57701464
chr2	26214650
chr2	172985043
chr4	129271168
chr7	51498396
chr3	121614174
chr6	28845517
chr8	29991554
chr7	148024682
chr18	28783546
chr22	24688322
chr14	56691854
chr7	51425054
chr2	173200685
chr3	122234886
chr7	51392392
chr4	38208850
chr16	60186080
chr1	68148408
chr6	28726215
chr3	120408435
chr8	132828820
chr3	122411741
chr11	77882143
chr10	57853609
chr1	65613219
chr18	29793838
chr16	56898497
chr14	55046548
chr2	29127375
chr16	53792324
chr14	54602794
chr11	76504531
chr4	178313325
chr10	61792630
chr1	86875259
chr6	128384241
chr11	85638052
chr10	126164827
chr1	61524357
chr13	42069318
chr10	62570743
chr5	145593267
chr6	132328767
chr10	126236409
chr1	60732055
chr9	112269882
chr20	3609519
chr12	54698135
chr1	88528614
chr1	88583519
chr16	68824354
chr5	76693764
