Chrom	position
chr1	148604934
chr19	2169164
chr1	145382850
chr17	56736469
chr11	15671787
chr2	178128344
chr19	56165142
chr2	127822528
chr16	2519007
chr21	46494120
chr12	46122685
chr5	150505932
chr12	69202693
chr1	6761887
chr12	75723956
chr3	177077839
chr1	65330011
chr1	149224081
chr5	149185535
chr12	123868281
chr19	12899556
chr14	20811443
chr2	109211583
chr8	37594001
chr14	75407096
chr11	65341891
chr11	65686820
chr1	181122411
chr6	693058
chr1	149606043
chr1	10003423
chr11	62609088
chr3	40566442
chr6	131831492
chr1	23345844
chr10	74080614
chr6	74290134
chr8	61824415
chr17	17991165
chr1	155214616
chr11	116967391
chr12	25103444
chr16	75032772
chr13	42570272
chr5	151283054
chr7	7860823
chr7	39629425
chr16	22217440
chr15	64722640
chr20	30424145
chr1	1310595
chr2	55496491
chr15	75359661
chr17	8286973
chr17	8076815
chr6	31745039
chr21	37802460
chr1	110473898
chr19	45348139
chr12	120730894
chr19	44455315
chr22	35773196
chr1	145969159
chr5	79553491
chr12	51566734
chr11	70270417
chr1	160163110
chr22	42228779
chr8	143751392
chr6	147760402
chr11	69066129
chr14	100659223
chr20	52510008
chr7	22893908
chr13	115046960
chr7	72722885
chr6	40995853
chr10	95462354
chr14	68086413
chr12	31886291
chr6	28104607
chr16	84150562
chr16	70462128
chr2	65782080
chr17	42357189
chr19	17326208
chr7	75677366
chr1	44300964
chr13	100741405
chr11	59333736
chr3	5796539
chr12	56511924
chr5	148986122
chr11	62389592
chr12	123380667
chr19	56632676
chr1	201924471
chr2	112463608
chr5	132576333
chr16	3202417
chr12	24286471
chr19	45256752
chr19	8305431
chr19	18499449
chr19	2168454
chr3	41240951
chr7	5631323
chr11	47429877
chr5	171577734
chr11	268948
chr10	32636289
chr1	11969790
chr2	121832830
chr1	1837821
chr13	76056738
chr6	43139120
chr7	150725818
chr18	32821047
chr13	28735702
chr16	66550877
chr7	73687093
chr12	46121473
chr22	50329883
chr22	17652482
chr13	25497140
chr6	143832926
chr2	128458318
chr9	101553584
chr3	49377557
chr16	50316068
chr1	38455745
chr20	42381317
chr17	56494938
chr4	89378070
chr16	23568825
chr7	20259717
chr6	27639993
chr11	67981330
chr4	111119861
chr4	83295666
chr15	67383777
chr7	99933738
chr11	61809599
chr17	61678226
chr17	47592716
chr1	26496457
chr16	75279202
chr4	40207145
chr3	17784110
chr16	29302351
chr1	28975188
chr12	53473342
chr16	2653405
chr9	37800758
chr7	100781916
chr17	20059197
chr16	2265193
chr9	127421499
chr19	2096308
chr11	48028413
chr10	74032592
chr5	95309833
chr1	84972290
chr1	3817026
chr10	17658806
chr7	75368743
chr1	147994278
chr11	9385949
chr6	31528292
chr2	208890194
chr3	126627776
chr8	33371162
chr16	70438349
chr3	49063025
chr6	28048743
chr17	71128350
chr10	121652254
chr19	2266693
chr6	26156703
chr2	113033131
chr17	79824517
chr16	50718034
chr4	699784
chr11	5302061
chr1	160016387
chr19	17008249
chr1	46908328
chr7	47514955
chr5	171542041
chr1	68150975
chr11	44581095
chr1	238027803
chr7	99214326
chr1	147994383
chr10	65467240
chr17	16891654
chr7	98271154
chr1	45265633
chr1	76190440
chr1	16694228
chr1	153539094
chr7	44530281
chr19	18485339
chr2	69869920
chr16	58768215
chr16	14404672
chr8	25895037
chr19	45578649
chr1	147735923
chr22	20104955
chr6	52926787
chr6	53224417
chr1	109806436
chr18	48738151
chr17	45727231
chr6	99968928
chr14	36004548
chr9	132250989
chr5	139049810
chr18	60382275
chr11	66104244
chr6	91078904
chr17	38008700
chr20	62485803
chr11	95657203
chr15	38746353
chr15	74838706
chr21	40357739
chr15	72668374
chr6	88433156
chr6	86379759
chr10	35006110
chr11	63639627
chr6	80254861
chr7	112091085
chr12	110907164
chr7	150102462
chr1	1710441
chr13	113344177
chr6	84140848
chr7	121035026
chr1	90185305
chr1	211432368
chr5	81147837
chr17	47647596
chr19	45447207
chr5	81047241
chr6	108919644
chr10	45353311
chr2	27994641
chr22	40353115
chr1	94375106
chr10	43913775
chr8	56757200
chr12	31902290
chr9	35730328
chr1	25071523
chr16	81515172
chr9	135978701
chr16	75109306
chr22	39795737
chr17	71287737
chr17	56709081
chr6	27107102
chr17	80023775
chr1	180992037
chr3	142166975
chr17	41438531
chr6	26020840
chr5	140998772
chr17	75084842
chr19	17393563
chr1	226850688
chr6	28109682
chr3	16306412
chr4	8596277
chr1	762826
chr15	70307403
chr4	8200970
chr13	115079775
chr1	54954116
chr22	38794801
chr18	33077968
chr19	18107865
chr5	2038868
chr10	17270631
chr2	85843260
chr5	132166435
chr4	4543805
chr19	17416356
chr17	3597382
chr3	131514451
chr1	151030398
chr2	88315959
chr6	7236682
chr1	146556218
chr1	150898796
chr17	72292838
chr3	142804026
chr8	42011073
chr14	74353358
chr15	57210751
chr13	22177859
chr12	64845945
chr15	44955834
chr19	13056650
chr11	448525
chr16	88298723
chr16	68018912
chr10	89622184
chr7	28191697
chr1	148241578
chr1	148604857
chr17	48560042
chr14	71353578
chr22	25348483
chr5	138940993
chr3	170924287
chr12	51762884
chr7	65235694
chr2	113464023
chr2	153032209
chr9	140149686
chr7	72936929
chr14	23341057
chr17	45144905
chr5	179223255
chr19	11511753
chr15	64189143
chr17	73854982
chr1	148766979
chr1	27019665
chr1	144311261
chr5	138630181
chr17	78428532
chr8	125642131
chr3	156534882
chr16	89045551
chr16	81855224
chr4	124339786
chr22	19420007
chr11	88416405
chr12	118810613
chr5	172484389
chr7	75544415
chr2	177629001
chr22	50779197
chr11	67033715
chr10	46168009
chr4	122632901
chr12	125389492
chr8	107669746
chr8	8869673
chr17	37926498
chr2	25433020
chr6	39082867
chr3	69337586
chr14	95623980
chr1	45187408
chr12	860513
chr9	124813869
chr19	40324192
chr9	91193532
chr15	89545717
chr19	37808893
chr6	37787300
chr3	45106552
chr14	100706926
chr7	101034340
chr15	82554981
chr14	50470192
chr7	158497713
chr4	31293082
chr1	87170324
chr1	109697246
chr12	132940072
chr20	62258667
chr3	57678432
chr1	155112598
chr17	18684525
chr6	41904155
chr19	2289868
chr4	153701138
chr1	112135601
chr2	15870810
chr5	60704605
chr14	34513103
chr9	131464825
chr19	2463263
chr1	186344715
chr17	19552300
chr6	125622862
chr13	50571471
chr3	37217912
chr20	62169392
chr7	99063752
chr17	66007410
chr1	6614608
chr17	25833797
chr6	35696030
chr1	42335972
chr21	30671267
chr8	145064478
chr1	46598253
chr5	170845787
chr2	69945283
chr17	7482577
chr7	12755562
chr2	74756925
chr8	6286538
chr4	77997413
chr8	28259605
chr19	8067409
chr10	99447296
chr1	161187383
chr15	70786635
chr8	145008284
chr5	172261273
chr9	34186420
chr16	15684959
chr17	7760402
chr10	11220930
chr10	96943574
chr13	49107219
chr2	38152521
chr3	49967246
chr4	72978446
chr1	31229736
chr19	18794213
chr18	57585832
chr14	21572293
chr5	130970785
chr3	193852311
chr4	78079452
chr12	122232240
chr10	80876769
chr17	73343220
chr1	19642215
chr1	42193259
chr17	48556191
chr12	104808590
chr5	148931387
chr19	36630947
chr19	37064065
chr6	4135537
chr12	104850532
chr5	131762439
chr10	14690205
chr5	77590689
chr19	45194973
chr4	74386719
chr19	45414579
chr1	159880355
chr9	72874335
chr1	23671162
chr19	45317036
chr17	34091257
chr4	47487204
chr5	152860163
chr2	25433259
chr2	28582269
chr5	134240466
chr6	158452599
chr17	39940695
chr14	64108353
chr8	82199154
chr10	122610895
chr1	41274757
chr2	99953736
chr2	99953075
chr8	125649910
chr4	111333034
chr17	1626547
chr1	156076226
chr1	45987588
chr8	110552358
chr13	106753111
chr1	16359511
chr5	126852938
chr8	74432986
chr14	61123965
chr17	2907626
chr17	7740297
chr2	70141756
chr12	82752289
chr8	77912567
chr2	85493747
chr2	8442326
chr12	111843202
chr17	70403723
chr19	42388356
chr4	105416129
chr7	47621717
chr1	36839563
chr17	15862655
chr17	57864046
chr13	111522778
chr5	179246128
chr16	88767571
chr1	155158040
chr1	14866699
chr4	159593544
chr19	16999676
chr1	244979021
chr9	94909739
chr3	194293336
chr2	109830711
chr1	153919282
chr8	125624607
chr4	38162739
chr19	17246439
chr7	55376862
chr17	16318903
chr1	150459699
chr17	43213012
chr1	16840537
chr2	60780830
chr16	89894973
chr19	57078903
chr1	45241129
chr10	20292889
chr19	57831892
chr2	61061703
chr19	58838679
chr17	57906883
chr17	41855807
chr5	139493649
chr1	26868463
chr12	56498180
chr5	61699518
chr5	37738355
chr1	110881064
chr10	31320663
chr6	45649744
chr15	96630597
chr20	44519855
chr20	45624355
chr13	41634457
chr20	45986087
chr20	45989509
chr19	1184019
chr11	59521707
chr8	581055
chr19	955055
chr9	130632373
chr18	77553221
chr1	28286676
chr13	44716070
chr3	44690209
chr7	5638591
chr1	192486089
chr14	105947419
chr9	131902463
chr10	54726001
chr20	60877751
chr20	36662125
chr3	50297612
chr19	1383841
chr19	3155246
chr6	36635030
chr12	12162394
chr16	11405766
chr3	78372260
chr16	11391584
chr2	240197032
chr6	37071213
chr7	97501632
chr7	97762662
chr20	1450948
chr12	8763876
chr19	3133506
chr20	34731020
chr5	17315342
chr13	39612498
chr7	99966968
chr12	4262722
chr3	57541738
chr16	2918181
chr12	1771287
chr9	126964859
chr20	30945882
chr16	1359215
chr19	1864927
chr3	38388265
chr15	76196217
chr13	31774056
chr15	75336051
chr22	21984269
chr15	60884093
chr22	50247067
chr22	23271145
chr22	23277934
chr1	164742151
chr1	93544717
chr11	67886784
chr15	54442621
chr11	68671339
chr22	43011379
chr11	68823757
chr1	955001
chr22	32340512
chr22	41842943
chr9	140172221
chr22	40895324
chr22	35768074
chr22	40357524
chr22	38071127
chr6	109761770
chr15	45077068
chr22	39077862
chr22	39151564
chr5	76788073
chr7	139044406
chr15	63340668
chr3	5065205
chr5	68514161
chr11	62380084
chr3	28282839
chr1	206290472
chr11	108604365
chr1	205257557
chr11	64624247
chr21	36067883
chr9	135230628
chr21	36218238
chr1	205091461
chr3	16880282
chr18	54745231
chr15	63449453
chr9	14322821
chr11	65189692
chr7	142531348
chr15	65903508
chr21	43348975
chr15	65478038
chr21	43887476
chr3	13041046
chr13	53024860
chr21	47878518
chr3	5470817
chr13	32525528
chr16	9141834
chr1	32394528
chr11	8704264
chr8	132916544
chr7	75796093
chr10	73137209
chr19	11200941
chr19	10613579
chr8	41650079
chr10	72273822
chr3	150321199
chr19	10381653
chr2	192787954
chr8	38796134
chr6	27759184
chr19	11925100
chr19	10213607
chr12	32049728
chr1	25071920
chr8	37739569
chr9	35728389
chr19	9695165
chr6	29932787
chr10	71892643
chr6	30640916
chr9	35657809
chr6	30655270
chr2	179269303
chr14	73603715
chr2	209130760
chr1	181098458
chr3	186648012
chr16	75182656
chr6	141474897
chr1	235530699
chr2	145229087
chr1	12112207
chr10	135186842
chr10	135207751
chr6	12354998
chr1	56991359
chr1	11865978
chr3	171758287
chr12	46385654
chr19	13265260
chr14	71130569
chr1	170532328
chr16	67969940
chr3	170350730
chr7	73625428
chr1	59281990
chr12	49454610
chr7	73669013
chr5	118324069
chr2	178029502
chr3	128773635
chr9	36148885
chr9	122060603
chr8	29743438
chr7	90446275
chr1	31342096
chr6	33359308
chr12	25486898
chr1	224691296
chr2	226141074
chr12	25539332
chr10	70939976
chr2	225531835
chr2	232469227
chr6	31620968
chr19	8454834
chr6	34393974
chr2	219260940
chr2	232526981
chr2	220462916
chr7	91763182
chr10	73857560
chr8	128300669
chr12	132568582
chr18	52989742
chr5	14156878
chr18	52736929
chr1	27339595
chr18	53019367
chr13	34332494
chr4	162477147
chr12	132380825
chr19	4513503
chr19	3428832
chr13	31019973
chr10	76349162
chr13	51486286
chr1	35325401
chr19	33161143
chr18	54541236
chr19	16771816
chr19	8483157
chr4	145277706
chr7	2677302
chr18	44702691
chr19	14625158
chr19	14247342
chr1	32856634
chr19	18401416
chr13	33625988
chr19	14069016
chr13	33718569
chr19	13973263
chr7	12297475
chr8	137083549
chr10	74017019
chr19	13145116
chr7	10746675
chr8	129326217
chr18	48494421
chr13	31248372
chr19	4633445
chr19	16696798
chr18	51773645
chr7	17814040
chr10	46090378
chr1	27165474
chr10	73893490
chr19	18201530
chr19	10538936
chr8	135724890
chr10	74094881
chr5	400165
chr13	45941681
chr5	55555195
chr4	171011341
chr12	124965117
chr19	37288530
chr18	74779579
chr1	28201882
chr13	30333007
chr19	2163713
chr1	28382899
chr5	33850344
chr8	126315430
chr13	42951931
chr19	1897792
chr13	28982889
chr4	148658952
chr7	7606623
chr13	41237184
chr19	18155990
chr19	39926683
chr19	18109373
chr8	134552598
chr19	8634160
chr19	17637949
chr8	129026815
chr9	116890
chr19	18496955
chr19	41732224
chr19	35760777
chr19	42633670
chr10	64970648
chr13	39959895
chr7	4589485
chr7	4681613
chr5	32583895
chr19	41827824
chr19	10381114
chr7	23636967
chr18	57183783
chr5	66502952
chr19	40939997
chr9	2055443
chr19	10346956
chr18	59619552
chr19	46195143
chr10	82219059
chr9	1880416
chr19	10330645
chr18	67602823
chr8	126204276
chr9	880944
chr8	126265614
chr10	70091750
chr12	132569589
chr19	46220844
chr7	99006325
chr7	100113995
chr20	11248157
chr7	99679508
chr3	60541665
chr8	11656759
chr20	10651421
chr12	7275836
chr11	34263845
chr1	78149291
chr1	113009133
chr3	72388509
chr12	9894547
chr2	240175167
chr2	238969349
chr3	58885428
chr11	44938505
chr20	20447419
chr7	100271260
chr20	23342453
chr7	100701905
chr11	47416485
chr12	671157
chr20	33104481
chr3	52058011
chr20	33680621
chr8	8559439
chr7	101500157
chr20	35233925
chr20	35920387
chr11	56392301
chr20	36793778
chr2	238110804
chr2	234763376
chr11	126355153
chr2	198380687
chr12	27027641
chr2	203645574
chr2	203242283
chr3	133167585
chr2	200094065
chr12	31882067
chr8	37761028
chr12	12764675
chr11	9587912
chr3	140473326
chr2	197041000
chr2	196552610
chr2	196276130
chr2	196275234
chr2	208835454
chr3	125239170
chr11	14790536
chr2	213164897
chr2	215458606
chr3	118491765
chr12	25015368
chr2	219433472
chr8	28268291
chr8	28223393
chr2	224483277
chr2	224822159
chr12	16351993
chr2	231280886
chr8	25203139
chr2	232410407
chr11	33677986
chr8	8203909
chr7	102082223
chr7	81121761
chr11	65186424
chr11	94005188
chr21	45432642
chr21	45148581
chr11	65266492
chr11	65208489
chr7	114570225
chr11	65149973
chr11	109948804
chr11	102424869
chr11	65130098
chr21	36238413
chr21	36014887
chr21	35445918
chr21	34961192
chr7	139912502
chr22	21369125
chr7	137890598
chr11	85925979
chr1	93441337
chr22	47000419
chr22	44421673
chr22	29563512
chr1	94169820
chr22	32042635
chr11	69069337
chr11	73694265
chr22	39925360
chr22	38614757
chr7	127684285
chr11	72452629
chr22	39410230
chr1	90158540
chr3	29725351
chr8	3102941
chr11	121277142
chr3	43732418
chr3	44903359
chr11	120206876
chr20	49548228
chr1	86050070
chr7	104585726
chr11	121287970
chr7	150783248
chr11	121301174
chr8	182462
chr11	59578298
chr20	47329194
chr3	47032247
chr3	48511772
chr11	61054901
chr1	109642795
chr11	118663539
chr11	61137322
chr11	118098794
chr11	118085185
chr11	117881846
chr11	61348909
chr7	106358824
chr11	116943446
chr11	61772174
chr3	37011661
chr1	108479257
chr11	113545925
chr11	112498501
chr11	63334703
chr11	9082525
chr12	39298898
chr19	47747556
chr2	30875278
chr4	56412176
chr2	38603937
chr8	101156264
chr8	101484584
chr7	37376022
chr8	102149509
chr1	42801043
chr7	33745235
chr2	28113260
chr2	26187992
chr2	25642702
chr1	42217119
chr4	84285626
chr4	84469767
chr10	103639595
chr2	43446916
chr1	154327244
chr12	99231301
chr10	104885786
chr10	105378649
chr2	46542629
chr4	39611206
chr2	47145037
chr12	96094377
chr2	48475909
chr12	95497169
chr4	36553415
chr2	55647111
chr8	94753205
chr1	153571520
chr2	62733175
chr12	107174011
chr12	108496452
chr10	112534074
chr4	129209474
chr12	117354695
chr1	40132595
chr4	122618316
chr4	128982244
chr1	39456602
