Chrom	position
chr1	78620313
chr4	30068454
chr2	219369615
chr11	16925986
chr2	74010227
chr6	149235288
chr19	46374110
chr3	9098951
chr10	88093174
chr3	58463241
chr14	97362446
chr6	142851222
chr14	96686870
chr3	60356030
chr10	87586415
chr6	142192538
chr14	95679271
chr6	141907826
chr6	141653772
chr10	86681215
chr6	140923242
chr3	69086302
chr6	138310504
chr10	91077907
chr6	137579821
chr10	91526305
chr14	94564630
chr3	58308922
chr4	189425547
chr6	143400659
chr6	143634666
chr3	55518576
chr6	146957639
chr14	99568770
chr6	146700243
chr6	146275079
chr6	146100971
chr14	99467436
chr6	145756433
chr10	83190814
chr10	84407843
chr10	84523697
chr10	84589139
chr6	144845348
chr3	57920196
chr10	85618992
chr10	85901336
chr10	85994373
chr14	98696703
chr3	71805895
chr10	86576762
chr3	72245455
chr14	99755747
chr10	98929901
chr3	85516349
chr6	130674801
chr14	89672814
chr6	129304336
chr10	97402770
chr14	89571699
chr14	88986226
chr3	87209326
chr14	87109479
chr10	98519297
chr14	86154815
chr14	93527241
chr6	127008633
chr6	126890250
chr10	99266678
chr6	126548072
chr3	88595241
chr14	85758922
chr6	124189751
chr6	122622745
chr14	84295761
chr6	121176024
chr3	84988329
chr3	84837177
chr3	84185323
chr3	84007255
chr14	93138089
chr6	135600283
chr6	134610057
chr3	77793421
chr3	77837809
chr3	79587367
chr3	79598798
chr3	81824600
chr6	134059517
chr3	81929905
chr10	95153130
chr3	83167200
chr6	133769062
chr6	133685923
chr6	133474716
chr3	83237563
chr10	96061436
chr10	96076177
chr6	132286221
chr3	83315541
chr14	90503777
chr14	99737005
chr3	55472077
chr10	79652887
chr6	156617595
chr15	26023016
chr6	169008905
chr10	71082207
chr6	168514446
chr10	71191593
chr3	34902324
chr3	36170945
chr3	36842413
chr3	37990763
chr10	71852534
chr6	163742174
chr6	163693342
chr6	163392683
chr6	161774347
chr3	38119236
chr10	72263823
chr3	38157771
chr10	72331998
chr3	39428810
chr10	72895429
chr14	105830368
chr15	29684937
chr3	31675565
chr15	30813601
chr3	29426871
chr10	63930066
chr7	2261023
chr10	64458544
chr10	66441008
chr15	34648067
chr3	28700888
chr15	34022888
chr10	67079326
chr15	33905547
chr7	1126305
chr3	31523769
chr15	33430790
chr10	68153901
chr15	33226759
chr10	68798693
chr7	480954
chr15	33211631
chr15	31071092
chr6	170505530
chr6	170130043
chr3	40985346
chr10	74032415
chr14	99896608
chr3	43704913
chr3	50594471
chr14	103192532
chr14	103122249
chr3	50708778
chr6	150409856
chr3	50715129
chr3	51778180
chr3	52231654
chr10	78700634
chr10	78713847
chr3	52316771
chr10	78861598
chr3	53715924
chr14	100394543
chr3	53949737
chr10	79084337
chr3	54685428
chr6	148865601
chr3	54988846
chr6	148548671
chr3	95097692
chr14	103772271
chr3	50150901
chr10	77618460
chr10	75973117
chr6	156562172
chr6	156455061
chr3	43960639
chr3	45665350
chr3	46889887
chr3	46990692
chr14	104785001
chr3	48820889
chr3	49218713
chr3	49345776
chr3	49531404
chr14	104145487
chr6	153588527
chr14	104083076
chr10	77480229
chr10	77494246
chr10	77510870
chr6	152183672
chr10	77564050
chr6	152049732
chr10	101015167
chr3	95277876
chr14	80390965
chr6	83633356
chr3	138653767
chr6	82735367
chr10	122740861
chr6	80978558
chr3	140293822
chr3	140363999
chr14	54823035
chr14	54637450
chr14	54278275
chr14	54146743
chr14	53829735
chr10	124056524
chr6	79748074
chr10	124204917
chr6	79134855
chr6	78514268
chr14	52926459
chr14	52738606
chr6	78230806
chr14	52494641
chr14	51793954
chr3	138474434
chr14	57083655
chr6	88546928
chr10	122442953
chr3	131735756
chr3	131795910
chr10	119087688
chr14	62303468
chr6	87184955
chr6	86380960
chr14	59817153
chr6	85600932
chr6	85499065
chr14	59654371
chr14	59108042
chr3	135633260
chr3	135809419
chr6	85356899
chr6	85047998
chr14	58331277
chr3	136343952
chr6	84718632
chr14	57958947
chr6	84059358
chr6	83985904
chr3	145704230
chr14	51529253
chr6	76834598
chr3	146425576
chr14	41891808
chr6	65924622
chr3	154276114
chr10	130931469
chr6	64389549
chr3	155731018
chr3	155785861
chr6	63537566
chr3	155790943
chr14	37889228
chr14	37712268
chr10	132210331
chr14	36099795
chr6	61624003
chr6	61532944
chr10	133324312
chr14	35391165
chr6	60518072
chr14	34564994
chr3	159825660
chr11	1222973
chr14	43651962
chr10	129502352
chr3	151856288
chr3	150165903
chr14	49951086
chr3	148226479
chr10	126209128
chr14	49465344
chr10	126779363
chr6	73392386
chr14	49045179
chr6	72522769
chr10	127483888
chr6	71717230
chr14	45113321
chr10	127756465
chr3	150376781
chr6	71122341
chr3	151200796
chr10	127979757
chr14	45873439
chr6	70371635
chr6	70280682
chr3	151543681
chr6	88156829
chr3	129039774
chr3	28051062
chr3	99159551
chr14	76905058
chr10	107472578
chr3	100574730
chr10	108421472
chr10	108427362
chr10	108741166
chr10	109195273
chr14	75733095
chr10	109726693
chr10	110011898
chr10	110132869
chr3	102796926
chr3	103200614
chr6	111080964
chr14	75560091
chr3	104388789
chr10	110423749
chr6	110320047
chr6	110207850
chr10	110619685
chr3	107112575
chr3	100366613
chr10	105092241
chr10	118970882
chr6	111687752
chr10	101546070
chr3	96843709
chr10	101745491
chr14	79725219
chr6	117890414
chr10	102068411
chr14	78569047
chr3	97185813
chr6	115706598
chr10	102767016
chr6	114642117
chr6	114044760
chr3	98056235
chr3	98422155
chr10	103766183
chr14	77296305
chr10	103856964
chr6	113028202
chr6	112984147
chr6	112383398
chr6	112244008
chr6	109245638
chr10	111110054
chr6	108699909
chr3	107459073
chr3	123618938
chr14	67794059
chr6	96472491
chr3	125929847
chr6	93624550
chr10	116775107
chr10	116816397
chr3	126895781
chr14	66717982
chr3	127238032
chr3	127431227
chr3	127632650
chr14	65606662
chr10	118333161
chr14	65538860
chr6	90695503
chr14	65436568
chr6	89476452
chr10	118698536
chr3	128383703
chr6	88952493
chr3	123616849
chr6	99536691
chr10	115483506
chr14	72789936
chr3	107587968
chr3	107970159
chr3	109126030
chr3	111212690
chr10	112966383
chr6	106478023
chr3	112984668
chr14	72924550
chr10	113745573
chr10	113898208
chr14	69048639
chr3	114254237
chr3	114839222
chr3	116580069
chr3	117629108
chr14	70425559
chr14	70159050
chr14	69716297
chr10	114920665
chr10	115238362
chr3	28134417
chr3	27360628
chr15	35889008
chr21	32522791
chr21	33269287
chr7	88963308
chr7	87927146
chr21	33427809
chr15	84099292
chr21	35284438
chr1	241266338
chr15	83443649
chr21	36777417
chr15	83127949
chr15	83025847
chr21	37224028
chr21	37879118
chr15	82317751
chr7	82700909
chr15	81752700
chr1	244719907
chr7	81787182
chr1	245566330
chr1	245901788
chr7	80463704
chr21	32567076
chr1	237288287
chr1	232736212
chr7	89468341
chr1	233922055
chr7	95594406
chr21	25626971
chr7	95398714
chr21	26115570
chr7	94253179
chr21	26930247
chr21	28687780
chr7	93629501
chr21	29277638
chr1	234978096
chr21	29349884
chr1	234997414
chr21	29378945
chr7	92624794
chr7	92421845
chr7	91824402
chr1	235348929
chr21	30563821
chr21	31397655
chr21	31616414
chr1	246245198
chr7	79834795
chr7	79714300
chr1	247494896
chr15	75047253
chr7	68321270
chr7	68201836
