Chrom	position
chr2	173449338
chr8	143281715
chr8	27311547
chr6	34888068
chr3	14651650
chr20	63537934
chr12	57431124
chr1	150487261
chr1	178032017
chr15	55196999
chr1	150293872
chr11	118252244
chr3	5122232
chr1	100133004
chr16	1420809
chr6	131628256
chr11	62653391
chr12	45728860
chr12	132762283
chr1	154183240
chr10	67788637
chr8	100143973
chr17	57850052
chr19	3721469
chr1	23019346
chr16	785758
chr1	153566691
chr16	97103
chr3	4976315
chr21	29002819
chr6	44313380
chr8	37849941
chr12	132144413
chr19	1775103
chr15	90265615
chr16	71607935
chr20	62301928
chr11	93543617
chr3	51995907
chr13	60164080
chr1	145287738
chr19	2740227
chr1	144419163
chr1	121016888
chr9	120793482
chr7	2242189
chr7	726580
chr16	67873049
chr20	64286089
chr4	6917832
chr1	161422149
chr1	10679784
chr1	161540289
chr17	51153534
chr12	38316709
chr1	163321830
chr3	47282741
chr12	42326137
chr3	15099173
chr12	44948868
chr3	169763250
chr6	108835438
chr12	48106083
chr17	50397564
chr19	58499523
chr16	2047867
chr4	4542088
chr1	154983172
chr17	47067393
chr13	99501557
chr9	128656877
chr12	576303
chr16	2682439
chr16	3024271
chr20	63653351
chr16	3166046
chr1	16546002
chr1	155934486
chr12	6038328
chr1	156282977
chr16	4538913
chr18	11689170
chr4	105708716
chr13	99900561
chr7	76048033
chr6	26286490
chr6	26327605
chr17	18625770
chr14	69191950
chr14	69191512
chr14	68824979
chr17	21043668
chr19	17334896
chr11	18526935
chr6	27545733
chr1	44775401
chr11	30488811
chr3	122514772
chr14	55599602
chr7	79452268
chr4	145938913
chr11	7987146
chr7	99616499
chr10	131885542
chr3	190424720
chr14	103901244
chr6	3126633
chr10	100433985
chr6	2505756
chr1	75786304
chr19	14196208
chr6	25018149
chr7	101507974
chr19	14572087
chr17	16217170
chr5	178204427
chr19	8005950
chr7	140398538
chr2	241102368
chr6	28881444
chr6	36885858
chr3	185499004
chr3	183099568
chr15	74100229
chr3	126982687
chr2	30711828
chr13	113297008
chr15	74546259
chr16	80265882
chr11	67483258
chr10	33264408
chr19	3324591
chr2	28821447
chr15	75758548
chr16	21599506
chr10	30392701
chr6	36782931
chr1	31816150
chr11	66421766
chr10	35640623
chr17	32342204
chr14	50116642
chr6	28943699
chr22	40711646
chr4	121823949
chr11	59557498
chr17	78378642
chr17	32444404
chr3	183884899
chr6	31806734
chr8	11589670
chr17	36483087
chr10	47553465
chr6	33762373
chr1	32886731
chr12	49568123
chr10	110207596
chr16	28822656
chr12	57001622
chr12	54214913
chr1	181038626
chr19	49987292
chr8	124973278
chr9	137205695
chr4	26320732
chr1	1960102
chr12	53451958
chr1	173714918
chr12	69470390
chr6	134823079
chr17	63600851
chr12	75511671
chr1	778700
chr12	55716045
chr3	24365321
chr1	50960335
chr15	64387784
chr3	23917115
chr16	87384062
chr7	99552147
chr8	60793068
chr6	26537488
chr9	128772020
chr12	68913200
chr6	135162855
chr19	16197889
chr10	67855579
chr1	16678293
chr12	123633763
chr11	6683298
chr11	47579001
chr16	3112520
chr1	155273583
chr5	56124022
chr18	80022815
chr16	67227104
chr8	232455
chr21	33541321
chr11	9364361
chr9	11402
chr17	18087892
chr5	141041294
chr7	1504407
chr7	1460856
chr10	18651690
chr6	26311170
chr17	17840023
chr9	137618703
chr15	45201151
chr14	69880338
chr7	141738299
chr15	83011028
chr19	40348523
chr6	127343360
chr1	155017626
chr17	73312103
chr19	35135605
chr14	70359762
chr19	16496198
chr12	124829595
chr2	224585881
chr6	26123074
chr16	29081934
chr6	26064800
chr14	73772040
chr1	155609976
chr14	49853960
chr1	145157146
chr1	53238544
chr22	29388581
chr16	58392453
chr20	63658263
chr19	34428363
chr16	58129596
chr1	28329006
chr4	1712699
chr1	228103264
chr7	73308889
chr8	70839882
chr1	227735313
chr17	15699620
chr20	31968581
chr16	5033934
chr22	29553817
chr17	32135703
chr1	37990114
chr8	73356572
chr19	2950616
chr1	226547904
chr16	8797824
chr19	4723921
chr15	40382933
chr20	35771828
chr16	57462647
chr1	225976135
chr19	36666829
chr7	138460339
chr12	89526118
chr7	139340263
chr9	94726703
chr5	159263255
chr18	3297539
chr16	3175654
chr22	40177904
chr8	116755830
chr16	47141905
chr1	144412644
chr2	3575195
chr7	33423819
chr6	75243859
chr7	100336221
chr15	79596184
chr14	76812932
chr12	4604859
