Chrom	position
chr4	113094949
chr17	67049504
chr9	137437922
chr12	21499962
chr10	43218318
chr2	36380227
chr3	194012013
chr2	238129806
chr1	22839122
chr19	2469825
chr14	99602722
chr7	43582768
chr22	28923077
chr10	43229318
chr2	32463347
chr2	127909142
chr19	1813964
chr3	50174140
chr19	1773404
chr10	14244378
chr16	14616466
chr12	108836433
chr17	13702520
chr17	13599113
chr5	2038636
chr11	66892320
chr6	44556742
chr13	27578726
chr2	85014844
chr5	63334606
chr19	54676465
chr16	86893717
chr8	97649434
chr1	24828945
chr6	21103844
chr3	49112484
chr4	186720124
chr1	44759257
chr5	149513583
chr1	45243686
chr16	15482568
chr19	3857798
chr5	81850224
chr11	47185861
chr15	41309710
chr2	233112459
chr15	41126488
chr19	52139777
chr19	3191706
chr16	72001715
chr7	16847481
chr19	1235792
chr1	20101139
chr19	1172853
chr7	20331186
chr7	115038418
chr22	30325967
chr10	113844324
chr3	129004082
chr2	70522833
chr7	5503039
chr6	160293986
chr2	41964167
chr1	81726033
chr22	30921330
chr17	808067
chr14	59254581
chr10	69578066
chr18	67516101
chr10	97452528
chr7	157358526
chr17	1127008
chr10	10822098
chr9	129592991
chr16	68261770
chr7	50360593
chr1	209840032
chr19	48543289
chr14	61187389
chr11	58587283
chr16	88924781
chr7	140507158
chr17	76893932
chr7	7424537
chr17	76951704
chr1	156484686
chr7	156028015
chr10	12605886
chr11	58562713
chr19	49513663
chr2	177888843
chr1	158121866
chr14	23406836
chr11	15750860
chr7	6375985
chr7	92613383
chr8	115491743
chr13	73766274
chr5	123830783
chr2	240983959
chr13	113860832
chr2	230691296
chr2	69370808
chr10	27494337
chr10	27344744
chr6	98825607
chr2	100985101
chr22	46444465
chr19	14185894
chr5	135067663
chr17	46736320
chr20	36742759
chr16	21541250
chr13	110886670
chr5	140338512
chr18	3595739
chr16	84763770
chr16	27618834
chr12	117350345
chr2	111171688
chr16	27755355
chr14	90060740
chr2	1870097
chr6	145824551
chr17	73404445
chr10	125221209
chr10	78606969
chr9	111909588
chr17	74083523
chr9	89497240
chr22	23722931
chr7	100363295
chr12	56719252
chr22	23174007
chr3	138378016
chr3	71582229
chr17	46979209
chr11	32627273
chr3	71053667
chr6	30160185
chr5	73278897
chr9	91424304
chr22	22848656
chr4	165328932
chr22	22745960
chr9	91775527
chr15	47742595
chr1	214574138
chr10	83871752
chr2	101410942
chr3	190892596
chr20	63694479
chr3	47435058
chr6	908201
chr5	144168192
chr12	113423484
chr20	48486285
chr3	38662845
chr1	95018812
chr6	142839141
chr20	62350333
chr1	212773254
chr8	94805486
chr6	14798812
chr17	82256707
chr13	94707773
chr10	91040552
chr5	147517581
chr6	67066571
chr12	1443544
chr12	112390087
chr2	229869469
chr2	86368604
chr20	64039600
chr13	20163666
chr3	38738794
chr7	22493335
chr1	145554004
chr20	63794869
chr8	46640635
chr11	36278790
chr7	23529651
chr15	96112215
chr11	36465753
chr22	45103086
chr1	198232620
chr7	31122703
chr1	100546048
chr22	25421694
chr9	107613544
chr6	308008
