Chrom	position
chr2	40206167
chr13	76151923
chr14	42164627
chr2	209805737
chr9	111633360
chr19	57670433
chr6	72787787
chr3	30320634
chr6	158642133
chr5	27315633
chr6	45086451
chr4	135507345
chr3	146414243
chr11	27574453
chr9	17453998
chr2	67561461
chr1	31073077
chr7	12525501
chr8	144067281
chr7	83806854
chr4	20337462
chr6	111467465
chr5	39881965
chr1	32848499
chr10	91709413
chr3	167717051
chr6	100230203
chr4	140118963
chr3	45690854
chr5	77008590
chr8	51997663
chr5	106454712
chr9	26190907
chr10	35610145
chr2	58106036
chr3	146969139
chr10	59507516
chr17	80071181
chr1	114346567
chr22	24043054
chr6	41080461
chr4	126705398
chr5	167969243
chr8	35489439
chr8	16098565
chr3	148319416
chr9	74946932
chr2	188969522
chr3	110027634
chr6	63553666
chr4	39929261
chr10	52934323
chr6	122487432
chr7	83409026
chr8	79300208
chr11	65123077
chr3	33659363
chr17	60960048
chr4	112368630
chr11	62808812
chr17	14516203
chr10	98272013
chr18	47035724
chr5	77982085
chr5	103362079
chr14	51179412
chr19	39773009
chr12	77189673
chr6	147499297
chr6	120884392
chr10	24706936
chr13	83191422
chr2	203586326
chr11	35269028
chr4	26571112
chr6	37872758
chr8	60951975
chr1	19757470
chr7	121278652
chr1	165759713
chr13	94265498
chr3	83460086
chr12	8167434
chr6	63550295
chr8	101027668
chr1	150684025
chr8	123619639
chr4	159736545
chr4	9869929
chr16	80964159
chr12	88503597
chr3	47103672
chr4	54054754
chr6	122233248
chr19	41364794
chr2	203668313
chr8	71574575
chr17	8193495
chr4	55861189
chr9	72311076
chr6	1536526
chr7	81068195
chr2	206113701
chr3	138041774
chr7	11520833
chr6	112347009
chr12	106637101
chr19	56239350
chr16	83792919
chr5	56016688
chr16	82229951
chr9	94174402
chr12	18455171
chr5	90594123
chr3	136163738
chr12	86375500
chr4	101819721
chr3	110664756
chr11	83060726
chr11	38446493
chr5	108812575
chr22	31526468
chr14	84226629
chr8	17944914
chr3	58084355
chr3	39243232
chr1	211677185
chr16	54142972
chr3	196429999
chr13	67352474
chr16	51539506
chr4	152775745
chr5	93924889
chr8	122522534
chr3	83605406
chr6	18258953
chr4	68348554
chr5	94340603
chr10	101430625
chr16	29995885
chr2	26906557
chr3	131011328
chr1	214616045
chr6	145233445
chr8	42394065
chr5	109642149
chr1	220638004
chr16	72880381
chr12	17877881
chr9	111601862
chr14	80898552
chr8	72636479
chr14	29162093
chr6	149129413
chr7	78770520
chr4	118735182
chr4	127980152
chr3	38713241
chr12	50668566
chr13	66314961
chr8	79794540
chr1	217090081
chr8	112563963
chr10	89514641
chr2	217993506
chr5	92602440
chr1	215858374
chr10	89984934
chr11	122085614
chr7	77588416
chr7	77423384
chr3	99510101
chr12	15756088
chr7	114000244
chr2	200864611
chr10	34898814
chr4	113887324
chr5	115545399
chr10	27834450
chr4	33660916
chr9	27720723
chr5	79845519
chr8	92147378
chr6	117324257
chr1	100010789
chr18	60046076
chr3	157133000
chr6	29964421
chr7	110245781
chr4	146964169
chr2	200862755
chr13	49067654
chr14	58883029
chr13	49933227
chr17	72892965
chr6	38010470
chr7	113754781
chr1	23581130
chr17	71214017
chr4	109135947
chr17	70013392
chr10	2408745
chr8	69097546
chr3	30104667
chr7	106849186
chr9	33207748
chr12	9890758
chr8	27292065
chr13	40725400
chr12	7978799
chr3	153890050
chr2	163775463
chr2	165857014
chr2	161124332
chr18	46709210
chr7	103625200
chr1	18981028
chr3	153023551
chr10	14277364
chr5	145280027
chr6	122032503
chr14	51304497
chr3	37122885
chr22	39523090
chr4	27028590
chr8	82671644
chr12	6658743
chr11	60918523
chr2	167190738
chr8	108545949
chr1	107758061
chr18	29795930
chr14	45049599
chr22	42251037
chr1	108199225
chr4	40780287
chr4	40968897
chr3	146784781
chr6	121699360
chr17	52032429
chr19	6392074
chr12	14273281
chr6	83053661
chr7	16137143
chr2	191659499
chr14	37849162
chr17	47271665
chr13	55837268
chr14	37536977
chr12	14495263
chr4	70768724
chr1	86994239
chr10	60980778
chr9	108535501
chr6	73371969
chr13	31204812
chr17	27572931
chr19	29953632
chr3	78765889
chr12	64943670
chr7	123096006
chr2	138274869
chr1	233281859
chr4	165567419
chr12	15541676
chr12	47401330
chr14	38472564
chr3	49135055
chr18	70424487
chr5	113429937
chr12	102184750
chr7	29996830
chr3	98922876
chr17	64493036
chr13	35184952
chr6	115337161
chr2	185271022
chr2	147342410
chr1	245041707
chr3	146312407
chr5	64670340
chr17	59770205
chr7	17361891
chr2	187209394
chr7	31136102
chr12	62604970
chr10	52479557
chr4	179109289
chr14	64050310
chr9	22815198
chr17	56844110
chr5	84326016
chr17	56305237
chr8	107224847
chr8	110622883
chr3	98930006
chr7	117686451
chr6	133962162
chr6	117175104
chr1	182594856
chr14	103292754
chr2	38164125
chr4	80467967
chr4	128823253
chr11	28684990
chr2	69636232
chr5	133971371
chr1	65827114
chr1	67056603
chr15	85021027
chr8	95520352
chr1	51254196
chr20	41223411
chr4	80026063
chr14	21258602
chr5	107084986
chr1	37488608
chr12	24067733
chr11	15897765
chr2	37584134
chr8	121413406
chr1	66600805
chr11	110958137
chr11	17511022
chr15	68882465
chr10	127923227
chr9	120718080
chr10	110932389
