Chrom	position
chr7	150448827
chr7	108246450
chr8	141026890
chr22	35372036
chr7	12687840
chr4	183438907
chr1	37811224
chr3	9977133
chr5	172596196
chr3	126540612
chr2	108026310
chr10	98460942
chr1	234608264
chr8	86183314
chr19	45809920
chr6	40313779
chr2	77712799
chr2	162582570
chr12	123126734
chr5	82116049
chr10	71860620
chr4	8303780
chr4	69095364
chr2	200367332
chr3	153138845
chr16	56540403
chr7	143448629
chr16	56789579
chr12	116493036
chr11	29131251
chr3	111764887
chr15	27820535
chr1	61451417
chr7	18450210
chr1	182795663
chr1	196770021
chr2	85455702
chr9	23552507
chr3	136075426
chr17	19956398
chr1	778823
chr20	25310525
chr16	31390832
chr4	6974687
chr1	243312008
chr21	46289989
chr1	150663524
chr9	87013689
chr1	244967360
chr7	38034706
chr7	37902411
chr15	25867037
chr5	113051320
chr2	224223173
chr15	26101643
chr15	26102556
chr1	145759919
chr5	113088318
chr1	243563937
chr14	95531598
chr5	113040870
chr2	218131050
chr11	110403784
chr8	50046756
chr2	219089525
chr2	224141503
chr2	224103821
chr11	110428240
chr7	38432278
chr11	110735992
chr5	109139643
chr4	126251367
chr9	14661684
chr3	22276550
chr9	87030106
chr11	110933661
chr2	216007207
chr9	84951279
chr4	127131726
chr3	22917130
chr15	29511869
chr15	29411504
chr15	29062503
chr4	125690059
chr2	217026767
chr4	10672575
chr2	217276632
chr4	125780948
chr4	10196393
chr11	108193927
chr9	87338549
chr11	108246506
chr7	36961934
chr4	10154443
chr4	10096314
chr15	27874030
chr14	94971137
chr4	9946366
chr4	127072102
chr2	217737302
chr3	156796357
chr5	109049765
chr15	27790473
chr15	27655264
chr11	108343913
chr7	38950525
chr11	111443234
chr7	43179592
chr8	51161957
chr5	111131584
chr14	101966532
chr5	18050548
chr14	101931059
chr14	96867834
chr3	20450820
chr5	111112156
chr5	110996938
chr5	17881077
chr14	101409351
chr5	110371605
chr14	97760248
chr9	85847965
chr14	101129945
chr1	149846794
chr5	110324034
chr7	41161399
chr7	41239268
chr7	41331391
chr8	50848081
chr5	109857937
chr5	109697498
chr4	7017849
chr14	98380033
chr2	223635221
chr5	109468421
chr14	99417110
chr5	109359842
chr2	221460335
chr7	40573086
chr11	114546129
chr14	104867864
chr11	113319281
chr2	220132636
chr15	17022231
chr7	43136248
chr4	8230234
chr11	111565280
chr4	8228753
chr8	51583838
chr7	39625633
chr14	105434861
chr4	8222796
chr14	105408831
chr5	17203517
chr11	111852304
chr9	86163666
chr9	86407289
chr11	107385560
chr2	220747933
chr5	17261215
chr3	20657761
chr3	20564183
chr3	156613102
chr2	220992175
chr7	40438368
chr14	103137195
chr5	111373006
chr9	15122347
chr14	102941643
chr3	156542299
chr15	33698327
chr15	31041808
chr15	31106845
chr11	101693183
chr5	15433913
chr2	209395427
chr15	46042104
chr1	115426708
chr2	209371606
chr1	115401886
chr1	247953608
chr11	101362837
chr5	120882229
chr1	115179680
chr7	29133179
chr15	47622255
chr2	208782299
chr5	121110018
chr4	150038534
chr15	45407985
chr15	45225015
chr1	247386886
chr7	30112302
chr15	42811629
chr7	29998686
chr2	210271502
chr4	124743911
chr3	25751249
chr9	89023963
chr2	209766804
chr7	29971762
chr1	247447701
chr9	13588351
chr1	247769805
chr15	44368572
chr2	209868796
chr2	208482142
chr4	13616798
chr15	48001851
chr7	27655384
chr4	14580260
chr7	27796181
chr11	99452269
chr8	56971066
chr1	113859126
chr5	121974450
chr1	113819940
chr4	123811634
chr2	207356803
chr15	50777216
chr11	98952298
chr15	50997848
chr4	14872363
chr3	27430110
chr15	49715899
chr11	99494264
chr11	100561514
chr8	56384600
chr15	48168828
chr1	248216081
chr15	48323494
chr15	48390067
chr15	48500181
chr15	48514617
chr3	26847873
chr15	49479176
chr7	28145427
chr1	248592852
chr3	27114868
chr8	56689069
chr4	14284779
chr8	56920146
chr1	247183204
chr15	42432116
chr5	15702286
chr1	246415228
chr2	213764167
chr3	24059132
chr4	125499186
chr3	24142327
chr1	118877866
chr11	104541904
chr1	118615267
chr4	11463905
chr15	37856303
chr5	15993108
chr1	246458865
chr3	24411007
chr11	104043404
chr15	38059931
chr5	116951426
chr15	35743520
chr4	149270035
chr14	94824119
chr7	35702764
chr5	16438156
chr5	115382457
chr5	16382243
chr11	106507838
chr15	33188358
chr5	115854339
chr15	35175146
chr11	106420225
chr2	215156658
chr7	34507388
chr1	246149747
chr2	214985824
chr3	156051091
chr9	88258135
chr4	11929280
chr8	55372785
chr7	30450564
chr15	41078324
chr8	54841780
chr15	41281404
chr4	12409698
chr11	103170993
chr3	25092140
chr9	13960567
chr2	211144265
chr11	103097480
chr4	149738357
chr15	41981571
chr2	210577704
chr2	210567486
chr3	25277705
chr15	41057010
chr2	211618006
chr15	38685886
chr15	39654508
chr15	38905836
chr15	39236576
chr15	39453699
chr15	39543833
chr9	88390569
chr2	212186373
chr3	24781179
chr1	117553670
chr15	39942557
chr15	40647722
chr2	211723195
chr8	54615616
chr5	118596416
chr1	117557179
chr4	6557381
chr3	123137225
chr14	94821905
chr8	40735043
chr14	65963178
chr11	130426667
chr9	80516879
chr14	66152475
chr3	197131539
chr11	129969224
chr7	60994991
chr1	160001642
chr3	12441093
chr1	240492003
chr1	159880202
chr14	67127374
chr1	240499199
chr14	67352215
chr7	57300932
chr9	80485619
chr2	237818125
chr5	99651494
chr3	158992661
chr11	131279882
chr11	131052570
chr14	64347952
chr14	64350292
chr11	131000544
chr2	238841821
chr8	41000600
chr9	16708838
chr3	158849945
chr5	99438187
chr7	62731451
chr14	65177766
chr11	130763455
chr11	130646781
chr7	56053583
chr3	12515840
chr14	68156205
chr1	240905568
chr14	70955748
chr14	71209160
chr3	197837483
chr1	240888725
chr4	128841602
chr14	71597489
chr3	12753000
chr14	70362093
chr8	41935774
chr14	72522154
chr14	72525289
chr14	72662414
chr3	198025838
chr2	234739260
chr2	235511510
chr14	70359793
chr3	197310196
chr14	68635407
chr14	68320693
chr3	197353944
chr9	80893388
chr1	159184432
chr2	236726951
chr2	236722839
chr8	41797239
chr14	70358162
chr11	129451828
chr11	129444473
chr14	69066126
chr1	158639110
chr2	236095704
chr2	236030009
chr11	131349889
chr9	79986642
chr14	72971231
chr11	131408265
chr14	55467501
chr1	238590012
chr7	67900657
chr5	96533570
chr7	67602449
chr14	56889905
chr8	39054670
chr7	67111538
chr1	162645119
chr3	159741484
chr12	886407
chr14	58171281
chr3	195921506
chr14	58343731
chr20	444930
chr7	68400981
chr14	55158614
chr14	55049235
chr7	69311688
chr7	69818966
chr14	54311024
chr12	1256488
chr3	9967035
chr4	129545797
chr9	78778514
chr1	163535596
chr5	96194798
chr1	238549342
chr7	69039114
chr14	54706964
chr5	96072615
chr7	68725164
chr3	195824310
chr14	58673919
chr12	863485
chr20	259179
chr1	239785064
chr11	134599697
chr7	64840108
chr3	11329972
chr14	61648581
chr1	239736682
chr14	62103692
chr5	98714058
chr2	241276108
chr14	62585450
chr14	62718825
chr8	40296373
chr1	161300675
chr5	98851424
chr7	62891496
chr2	241241868
chr14	61187710
chr20	214579
chr3	159401272
chr12	818999
chr7	66187190
chr3	159517301
chr8	39144393
chr2	242030083
chr3	196123593
chr1	239175081
chr5	22735072
chr1	239190199
chr2	241692676
chr7	65286665
chr14	60585876
chr2	241455307
chr14	60884303
chr11	128695606
chr3	12942250
chr8	49419116
chr1	242147365
chr4	4443896
chr11	119414941
chr9	83881900
chr2	227415766
chr8	47980274
chr14	87883901
chr7	46135764
chr8	48316202
chr1	153242360
chr5	106882227
chr2	226985460
chr5	107165499
chr14	89343545
chr11	117623891
chr5	107447229
chr14	87184381
chr9	83611677
chr2	227524894
chr2	228041186
chr3	157412524
chr5	105238762
chr5	105371376
chr1	154466468
chr14	85703126
chr14	85789043
chr4	3967412
chr5	106321456
chr7	47294727
chr14	86405414
chr14	86423412
chr1	154240635
chr4	4185738
chr5	106152769
chr14	90107966
chr7	45296945
chr4	128076662
chr5	108462136
chr2	225690355
chr4	127357964
chr2	225683463
chr4	6059615
chr7	27334084
chr2	225660462
chr2	225226647
chr8	49161104
chr2	225130291
chr14	94146310
chr14	94192735
chr2	224712058
chr1	243398063
chr14	94599386
chr4	5953773
chr4	5810970
chr11	117077490
chr8	49075956
chr1	152169821
chr14	90758651
chr8	49040082
chr2	226223901
chr14	91149568
chr11	116077291
chr2	226154758
chr14	92436593
chr14	91421522
chr14	91611731
chr2	226132828
chr5	107993544
chr5	108081907
chr7	44665740
chr4	128235053
chr7	47670135
chr1	157384460
chr5	105132780
chr11	125502391
chr5	102956790
chr7	52309830
chr14	76956781
chr7	51981011
chr5	103151352
chr4	1109582
chr7	51797572
chr4	1202455
chr14	78158061
chr2	231765563
chr8	43375561
chr14	79365361
chr11	124311876
chr4	1995152
chr2	232942389
chr5	102682272
chr11	126032574
chr14	73865733
chr2	234542939
chr14	73666779
chr4	10064
chr7	54159287
chr14	73847143
chr1	157132970
chr4	273509
chr4	128604406
chr2	234299135
chr2	234268518
chr7	53877885
chr5	101948816
chr4	599124
chr11	126839634
chr14	79627256
chr2	231203287
chr14	80075100
chr14	83248119
chr11	122182064
chr14	82482544
chr2	229629243
chr8	46437132
chr4	128347266
chr3	157602618
chr8	46496780
chr1	241881641
chr9	82935194
chr2	228911068
chr1	154746806
chr9	83067777
chr9	83072699
chr14	84965479
chr7	49111909
chr1	241871231
chr8	43713261
chr1	155671944
chr7	50792127
chr11	123286455
chr11	123171129
chr3	15333837
chr5	103639173
chr3	15480059
chr11	122586240
chr7	49386991
chr5	20041778
chr14	81087426
chr1	155487744
chr14	81224422
chr7	49696167
chr14	81662926
chr15	51425718
chr10	271902
chr15	51586108
chr5	10927808
chr16	4787317
chr9	96858436
chr4	25177346
chr9	96867483
chr5	140383038
chr1	94841010
chr7	3147050
chr16	4989803
chr7	2821317
chr5	140718854
chr1	94735576
chr16	5670399
chr2	181083339
chr16	6122650
chr16	6189383
chr10	7492240
chr2	182067540
chr9	9122423
chr5	139833724
chr4	24422840
chr3	150429967
chr2	183059738
chr3	38224584
chr2	182983144
chr10	7287573
chr3	38271752
chr2	182210871
chr4	118776608
chr3	38318959
chr7	3922431
chr11	74106326
chr8	68380730
chr16	4042230
chr4	25368072
chr16	6267922
chr7	2283218
chr5	10333608
chr5	142111491
chr1	94216156
chr4	26261580
chr11	70382419
chr5	142131598
chr11	70244400
chr10	8590725
chr4	26193119
chr6	169847980
chr4	26621567
chr2	178365313
chr16	10151965
chr11	69466237
chr5	142634820
chr16	9165800
chr1	94270124
chr16	6857772
chr2	179841042
chr9	9044029
chr16	7171349
chr16	7325997
chr16	7336429
chr11	72551781
chr11	72251246
chr3	39521656
chr11	70833751
chr7	1044242
chr8	69411089
chr3	39540662
chr4	118271987
chr11	71532411
chr16	8691911
chr11	74525179
chr8	67596909
chr16	10277842
