Chrom	position
chr16	87812918
chr13	111617835
chr17	57864050
chr2	62266690
chr7	55602168
chr1	3593605
chr5	126012011
chr3	15403227
chr2	178029507
chr8	136935562
chr1	204476293
chr1	7278506
chr2	43521114
chr9	98615047
chr13	41019843
chr4	104419622
chr2	174104571
chr15	40408155
chr3	112395840
chr16	87887350
chr9	5627308
chr12	46824414
chr7	123903703
chr20	42381356
chr9	33227227
chr8	22932338
chr5	14809935
chr9	79370678
chr18	47901382
chr13	100195164
chr12	57914604
chr7	964526
chr2	69016866
chr9	88721956
chr3	112770270
chr10	20292848
chr12	124166323
chr5	140090798
chr7	7759127
chr20	20447372
chr4	105982029
chr7	65274466
chr18	36520978
chr10	65463034
chr7	134233804
chr7	47977106
chr6	36635019
chr6	106049595
chr19	36202407
chr19	47729494
chr2	46769480
chr13	30169286
chr9	21810052
chr1	70877970
chr12	9149480
chr1	25293345
chr2	129381773
chr9	21096522
chr13	50819277
chr13	50941124
chr18	13375444
chr4	72978448
chr15	85956871
chr13	78596520
chr3	119357867
chr15	57079345
chr11	4070378
chr12	111882909
chr2	241519304
chr5	158883984
chr6	43538936
chr4	13530393
chr2	208195757
chr1	206957921
chr1	12112221
chr12	110450119
chr5	77840487
chr2	204736418
chr19	50427746
chr5	171788735
chr9	2621355
chr7	66351363
chr12	123850363
chr2	54308916
chr17	78232793
chr7	7984830
chr3	5239472
chr2	113551904
chr11	95969130
chr17	61045966
chr11	9082483
chr1	36930047
chr10	74080716
chr3	155213421
chr1	33282956
chr14	62019830
chr6	135410132
chr9	1872036
chr11	85925972
chr7	131231541
chr18	47839763
chr2	181971726
chr4	185435658
chr17	72206744
chr14	76139877
chr7	44678962
chr6	47476755
chr7	88258166
chr5	142437410
chr4	129375659
chr11	16923920
chr18	20811489
chr1	101836984
chr7	126341242
chr8	61816959
chr10	106109504
chr7	90446255
chr8	126711195
chr1	234658373
chr6	42370116
chr22	50978223
chr4	108957622
chr7	130645272
chr19	8008579
chr12	52387108
chr11	48028411
chr7	130646175
chr15	66662654
chr10	14644287
chr1	184915342
chr5	76383198
