Chrom	position
chr9	132355207
chr19	47515418
chr19	1205676
chr19	4968827
chr3	196632477
chr14	90383328
chr19	49642015
chr1	171781376
chr20	37694009
chr9	37485902
chr2	8681995
chr19	14117892
chr12	55829670
chr19	6280103
chr11	28108251
chr21	39312509
chr6	87590057
chr5	179698835
chr1	27322186
chr1	54764667
chr12	102120164
chr18	49487284
chr1	3650099
chr11	126269020
chr3	155854651
chr19	2475980
chr16	15888685
chr4	165327542
chr3	100492535
chr5	180494280
chr6	36423419
chr17	1716412
chr2	191014279
chr10	124916795
chr17	50478770
chr6	31739944
chr16	30814471
chr14	23321380
chr14	100376384
chr4	3074466
chr15	43510918
chr10	102461324
chr19	16572559
chr2	65130232
chr7	151172725
chr19	46601080
chr3	196568602
chr19	49487455
chr19	40576814
chr8	94553571
chr19	40348560
chr1	9943417
chr7	44606914
chr12	64404317
chr19	13795289
chr12	1690963
chr7	6104718
chr19	3572735
chr19	41327630
chr6	10747691
chr1	225475122
chr21	39349397
chr19	50431735
chr20	833670
chr2	200526134
chr1	38859840
chr19	8413206
chr16	57462636
chr12	53268209
chr6	53548177
chr15	92820468
chr22	43187667
chr12	111397164
chr13	110713000
chr7	30504881
chr9	92293781
chr8	37762554
chr17	47650707
chr16	84504779
chr2	63840907
chr14	102524674
chr2	172103003
chr7	123749114
chr19	1507886
chr1	36397984
chr22	50276377
chr9	94726650
chr19	13747795
chr14	67600246
chr22	41666852
chr12	120087082
chr15	70099720
chr15	70097972
chr19	18281728
chr3	195443211
chr10	14954091
chr15	34101974
chr19	17309465
chr1	202342074
chr14	52552746
chr3	20186318
chr16	50741995
chr12	108515197
chr1	181088618
chr1	50960296
chr16	30634438
chr7	1160291
chr19	17391192
chr15	89088329
chr11	65858287
chr3	123201882
chr1	155610013
chr5	75717302
chr19	47349228
chr1	230642418
chr2	25878589
chr19	35612721
chr19	14529542
chr12	56224281
chr4	6673980
chr11	119381701
chr6	108558563
chr16	58629957
chr7	25125381
chr8	42152824
chr4	119454724
chr16	57536059
chr19	797307
chr19	2977352
chr2	96858149
chr15	66386762
chr5	175534269
chr9	131125523
chr12	98593597
chr11	47176942
chr19	2740105
chr9	129626210
chr6	26171982
chr3	49724057
chr17	8156473
chr19	32972058
chr6	31959046
chr17	78187135
chr11	66052258
chr13	30617733
chr6	143843292
chr1	26234135
chr11	93661588
chr16	85420919
chr11	64810662
chr21	43789426
chr12	56360268
chr17	59964628
chr6	30720246
chr1	10210421
chr17	82292645
chr12	120496007
chr17	60392334
chr2	55693866
chr10	72273862
chr4	26857573
chr5	176448309
chr15	76311504
chr20	37179195
chr8	143368690
chr12	92929390
chr15	42495610
chr19	1240363
chr14	23286233
chr17	50161604
chr9	137200868
chr9	125241550
chr9	135961462
chr7	101252453
chr2	233251543
chr15	65792365
chr19	13952281
chr8	102654049
chr7	5397309
chr1	84690624
chr7	100612306
chr11	124954093
chr20	31613011
chr3	56557134
chr20	58209996
chr19	48364257
chr3	52057467
chr6	38640057
chr17	51121052
chr2	43210797
chr16	30657868
chr13	49444164
chr5	37379213
chr20	2873434
chr1	9429012
chr6	44313362
chr17	45317221
chr22	22508814
chr11	65497542
chr22	36124127
chr9	126914727
chr1	32712380
chr7	150379240
chr14	94026413
chr16	4767255
chr20	45881157
chr1	155308726
chr14	54509760
chr11	103109404
chr1	28553001
chr7	108526367
chr14	105045887
chr10	78033792
chr19	58408541
chr1	154558959
chr5	40756065
chr16	11916111
chr11	67508308
chr4	2536364
chr11	64318110
chr12	104138166
chr19	55476544
chr6	57046615
chr3	136752444
chr1	7784040
chr10	75236075
chr22	41091648
chr3	179604735
chr3	64023542
chr19	58573437
chr5	151157824
chr14	39175121
chr19	13880319
chr16	69386049
chr17	81101911
chr11	66282600
chr16	15094338
chr6	117675380
chr19	2819822
chr7	76318145
chr17	28812539
chr16	22374707
chr5	36242201
chr2	112275494
chr1	32291984
chr9	15422650
chr19	40570700
chr17	41919100
chr17	8295455
chr2	157876426
chr9	136866384
chr11	61817013
chr1	201955337
chr2	75710914
chr19	5804159
chr18	57621882
chr12	401544
chr2	55419944
chr16	81314868
chr19	40634665
chr17	81239135
chr5	72320304
chr1	89820939
chr11	19117108
chr12	120201221
chr4	51842971
chr7	4775554
chr17	39637244
chr2	55050634
chr10	101818568
chr17	68457770
chr4	25312703
chr17	50397571
chr2	152717532
chr4	24584628
chr3	128846017
chr19	47300230
chr9	129081000
chr17	76265094
chr9	94554594
chr7	73557273
chr2	240025396
chr5	132556989
chr15	67254729
chr11	44862395
chr19	2085494
chr2	119366879
chr11	535676
chr20	17682368
chr2	46698891
chr10	63133259
chr7	152463979
chr10	71749004
chr2	20351023
chr16	30748272
chr17	57988403
chr19	12777753
chr1	46247693
chr9	93098739
chr3	141738177
chr3	14947395
chr1	211515601
chr16	66552565
chr14	90828281
chr10	71377533
chr20	543642
chr7	10940618
chr3	10026423
chr3	194315809
chr5	127030698
chr7	76166629
chr3	40309560
chr1	6554580
chr1	21334430
chr6	111873552
chr12	54304439
chr16	1971975
chr15	56887225
chr8	73008812
chr8	22715909
chr6	33410372
chr6	43369764
chr5	173056260
chr11	10743872
chr6	142147157
chr2	25342532
chr4	499209
chr7	133082179
chr3	15271986
chr3	9363071
chr3	50236085
chr15	75108733
chr5	142770312
chr15	51077261
chr6	34238157
chr15	63601635
chr5	115626185
chr2	28751592
chr22	36388101
chr3	156555238
chr1	156920541
chr13	44142013
chr1	25906501
chr17	7572657
chr12	112125456
chr17	19370740
chr12	62260259
chr10	48656454
chr5	154445894
chr13	99304041
chr2	39124417
chr20	45416074
chr15	41231171
chr17	79009833
chr1	116152279
chr17	68020032
chr15	76931641
chr10	103757924
chr3	58332762
chr1	7954241
chr1	229559102
chr1	163321839
chr21	35026855
chr7	6081505
chr15	89243849
chr17	45197996
chr10	100535935
chr10	6088891
chr17	28041666
chr11	78139661
chr14	31420681
chr19	4124227
chr20	50048603
chr17	47649807
chr1	156926348
chr9	136886348
chr7	6577434
chr22	46250374
chr19	55517100
chr20	58389166
chr1	9627149
chr11	66546134
chr19	3761581
chr10	101353923
chr19	35931575
chr19	45079218
chr6	31972168
chr10	5890105
chr6	131628343
chr4	88284829
chr16	14630168
chr4	88592399
chr3	51391141
chr7	2844422
chr14	68979437
chr19	48322122
chr19	4328533
chr17	1577345
chr1	46719188
chr10	79138013
chr1	45340076
chr12	94245020
chr19	10403563
chr6	80004535
chr1	88684231
chr4	7053160
chr19	42397066
chr1	111203973
chr10	45594976
chr1	9588638
chr11	106022482
chr12	27014511
chr7	130441063
chr1	12019358
chr19	6675051
chr19	4153551
chr19	16139937
chr9	129888666
chr7	97872313
chr19	33778199
chr12	10674170
chr3	49007275
chr4	8428510
chr12	55973895
chr9	124832875
chr14	61695271
chr17	75456557
chr17	10128141
chr16	2214965
chr20	49611295
chr5	271569
chr22	23839183
chr14	63543419
chr6	107114336
chr1	229626169
chr20	56468590
chr16	67481266
chr20	20712937
chr1	156751870
chr17	74873322
chr12	51369124
chr19	18290582
chr1	9495419
chr4	103019709
chr9	136944797
chr19	39436055
chr1	31296958
chr1	114346699
chr4	103198523
chr19	39480778
chr22	43015251
chr19	39502955
chr7	98106803
chr5	32313035
chr19	10380695
chr17	76671830
chr7	100081896
chr16	76374
chr19	1940956
chr4	146175866
chr19	43575622
chr20	63895034
chr6	43924383
chr7	128739271
chr1	154983249
chr5	95646854
chr19	45769561
chr11	2700118
chr13	99498628
chr10	133520400
chr7	76314438
chr20	63442355
chr2	207711454
chr19	3971226
chr9	130712732
chr1	165393186
chr2	96208893
chr12	6493942
chr3	9749928
chr19	45423709
chr15	90955270
chr7	76380127
chr2	241315275
chr1	155688932
chr6	110874661
chr19	15177662
chr3	13480150
chr1	222465551
chr15	90994648
chr6	41780064
chr11	46846351
chr19	45469339
chr6	109009626
chr16	87779307
chr16	85829865
chr12	100573680
chr8	22705168
chr3	9844065
chr16	85688955
chr10	95694026
chr1	155135844
chr1	206557233
chr18	58887803
chr7	75994688
chr13	37000708
chr3	194135999
chr11	33700911
chr4	55545962
chr17	74776403
chr3	17742818
chr15	40755319
chr17	49230830
chr20	23361833
chr11	126063151
chr13	98476690
chr2	38603089
chr11	63938670
chr14	100640635
chr16	3004010
chr14	76151868
chr11	76381206
chr19	4723921
chr14	69726988
chr5	1495001
chr17	41662855
chr19	33287132
chr6	24775355
chr3	11272367
chr9	2015192
chr3	150703974
chr7	158856503
chr3	138916121
chr11	119095568
chr17	48025164
chr6	24666991
chr2	9555866
chr22	37675116
chr2	26769167
chr9	92765086
chr19	29680690
chr17	82401014
chr17	81395356
chr21	28885263
chr5	141619204
chr16	70346870
chr3	48446704
chr7	100101495
chr15	64381558
chr19	58362899
chr17	39687965
chr15	92904326
chr19	8580937
chr4	6269729
chr12	74537845
chr12	123384050
chr17	8152472
chr15	64163114
chr19	8571185
chr1	152622932
chr11	76799329
chr1	94602537
chr6	135054889
chr19	35879936
chr12	121400009
chr1	22451798
chr18	35241111
chr1	223992660
chr16	88803702
chr11	64878847
chr11	47553252
chr1	214603161
chr1	224503591
chr17	82698811
chr1	9539344
chr19	48954793
chr19	48965232
chr6	25992076
chr12	2035097
chr17	48107501
chr22	20117185
chr9	95462767
chr8	1144850
chr9	112174768
chr14	73743791
chr9	112718169
chr7	74272752
chr12	56468494
chr8	67064319
chr17	75183031
chr15	74461147
chr6	30571401
chr12	6873390
chr22	21982691
chr11	125111740
chr2	97664134
chr12	121803123
chr19	42302597
chr11	123062275
chr21	43728763
chr12	47963520
chr22	23070066
chr11	10541234
chr12	49741466
chr12	57239247
chr13	19863738
chr22	46116643
chr16	11797402
chr2	233166076
chr1	206612537
chr7	2477846
chr7	92134697
chr6	49463283
chr6	6943071
chr12	120446566
chr12	642819
chr9	97411918
chr2	12057661
chr17	59331600
chr9	97922518
chr19	1260993
chr12	118136051
chr19	58555109
chr11	82901493
chr3	142578836
chr7	44986709
chr11	65888568
chr11	10858160
chr3	56683428
chr21	39380299
chr16	3611764
chr2	237966889
chr10	97334878
chr16	29973720
chr5	53482095
chr9	104991219
chr10	123154303
chr5	138352541
chr16	1943327
chr1	1891161
chr16	87493126
chr16	23149573
chr22	30279596
chr5	157743656
chr1	156660154
chr5	159773531
chr1	156097260
chr11	65214015
chr5	108748878
chr12	122896182
chr19	12919399
chr1	205286751
chr10	119313911
chr11	95231289
chr16	28822631
chr12	98515551
chr22	38461786
chr19	5622909
chr10	89701474
chr1	84621016
chr4	183407261
chr19	55461753
chr17	28951560
chr8	27311418
chr13	27620665
chr19	13731702
chr17	18377651
