Chrom	position
chr1	149911189
chr15	89182122
chr11	36171436
chr4	1037590
chr16	4994947
chr11	9386008
chr20	48782776
chr9	100684556
chr21	46784105
chr12	31902296
chr16	69564751
chr1	55894976
chr19	2169143
chr1	153539185
chr14	102438927
chr7	47826405
chr3	193807523
chr19	45959188
chr10	105668225
chr2	11884351
chr2	173118109
chr20	25218613
chr2	27943170
chr6	4359035
chr7	100781932
chr20	49057459
chr17	25680845
chr11	64622611
chr12	117257308
chr22	46409517
chr1	86073120
chr11	82782968
chr3	177077854
chr20	33893713
chr3	27575617
chr1	65363947
chr8	126525496
chr11	65149960
chr3	196758499
chr2	11076506
chr10	114847294
chr16	15684918
chr7	151451425
chr18	3603626
chr1	59249788
chr2	127822498
chr13	111522742
chr19	47747536
chr3	5065174
chr11	9587712
chr7	100743591
chr2	102844372
chr19	9186462
chr15	67095667
chr1	151284224
chr17	43449205
chr6	52382538
chr8	132869201
chr5	56989100
chr17	76588564
chr20	10492386
chr16	9141830
chr17	33390766
chr20	11248143
chr17	47049877
chr15	58624535
chr17	38471047
chr13	97794022
chr19	18392514
chr16	48157233
chr13	101045177
chr7	73694123
chr6	37759304
chr1	8933835
chr9	132096519
chr8	145992912
chr12	26427824
chr11	65239727
chr1	205254003
chr2	112456642
chr12	76371858
chr2	128165715
chr17	57915157
chr19	11646992
chr2	46542554
chr18	3653032
chr10	73620378
chr15	90709131
chr17	75230110
chr2	233853380
chr3	8671337
chr2	47100937
chr6	74290258
chr8	29522817
chr16	1052922
chr8	142037038
chr7	37071733
chr12	6387973
chr2	70369927
chr20	32978818
chr19	13991189
chr19	55728004
chr7	25165152
chr2	234883413
chr11	2421651
chr20	1396805
chr8	8168287
chr17	21191408
chr2	234259572
chr8	126442509
chr7	151384861
chr5	90576437
chr9	130681823
chr5	138897676
chr10	65467262
chr20	39632331
chr10	3852533
chr17	1018517
chr20	33113879
chr1	234908293
chr6	91078909
chr18	9743688
chr14	73525156
chr20	4116395
chr1	235111023
chr2	113998697
chr10	6317418
chr4	84469763
chr2	65058636
chr19	18788995
chr9	124049485
chr5	173191618
chr22	39570941
chr17	15824243
chr8	29595120
chr14	101539737
chr17	57864044
chr17	80225616
chr1	36852251
chr4	37649944
chr1	236074023
chr1	7462075
chr2	46166106
chr11	9634845
chr8	143757674
chr2	224590448
chr19	42772564
chr11	66659820
chr5	149696931
chr2	88899817
chr10	79110622
chr11	65683362
chr14	61570653
chr16	80061155
chr6	136931595
chr3	177063593
chr6	11318729
chr5	132576380
chr8	131540793
chr6	74414226
chr5	60704599
chr7	93930517
chr11	68890390
chr1	156630129
chr5	76102045
chr3	171847893
