Chrom	position
chr1	45050109
chr5	123991889
chr5	150163223
chr17	46657984
chr7	51674642
chr12	12993003
chr12	12556756
chr3	14332757
chr1	44733230
chr9	22124850
chr13	27530857
chr12	54753093
chr12	54427469
chr9	114736437
chr12	21972791
chr17	46321821
chr11	128435956
chr11	57959956
chr7	27154910
chr8	37405646
chr7	101741035
chr8	37160322
chr20	1380776
chr22	35500043
chr17	50726574
chr1	244511487
chr14	103500281
chr20	50477015
chr8	128506199
chr5	127185786
chr5	38693096
chr10	61368614
chr7	27179947
chr6	42524437
chr17	63573251
chr2	28291152
chr22	35530767
chr6	42386658
chr5	124363216
chr12	54422776
chr2	43390206
chr5	127094836
chr3	110375463
chr1	205276397
chr12	52355761
chr12	53319058
chr18	3603209
chr8	128598539
chr9	27007174
chr20	48782738
chr22	29672106
chr8	125089758
chr11	80235598
chr5	115881984
chr11	118313825
chr11	14013907
chr10	80295641
chr2	42283270
chr13	99466474
chr2	191674017
chr1	244819792
chr13	106749113
chr5	73714728
chr5	89487342
chr1	220132540
chr2	110448592
chr11	27223682
chr21	35344020
chr20	39677633
chr3	70326709
chr1	88184272
chr2	56070587
chr1	48193020
chr4	38572788
chr17	67531339
chr1	185615538
chr1	88354327
chr9	19202422
chr20	6940772
chr18	28979822
chr3	111809619
chr8	128227718
chr6	84174672
chr18	63526473
chr20	62662037
chr10	119221438
chr1	234959239
chr6	16755302
chr1	240947170
chr1	220220048
chr4	148689473
chr5	42855186
chr11	27259378
chr1	17923773
chr15	37262900
chr6	11258971
chr17	70614247
chr3	14269520
chr16	15684919
chr3	24670225
chr4	124400157
chr15	77359848
chr19	59031284
chr6	10542609
chr11	14279980
chr16	67750185
chr13	80707221
chr9	127532149
chr11	12188765
chr16	57842169
chr15	42431347
chr20	52765753
chr21	44141679
chr9	20408771
chr4	38281399
chr2	80497130
chr3	160385429
chr10	125607770
chr9	94557974
chr17	57202184
chr5	90490981
chr5	95247449
chr11	82804076
chr10	77165071
chr4	86087644
chr6	159194108
chr1	220292656
chr7	46581833
chr2	16607287
chr12	13025372
chr12	13056949
chr19	49061819
chr5	149325843
chr5	87491679
chr4	75409160
chr10	19337591
chr13	27557368
chr5	123998170
chr14	99264669
chr8	28943619
chr4	99706648
chr4	74319079
chr6	134482318
chr18	63573960
chr8	6474526
chr4	41127085
chr8	125543372
chr18	43027468
chr12	27443595
chr9	116051494
chr18	55464549
chr12	54410587
chr18	19759406
chr20	3418080
chr14	21250608
chr1	162319758
chr12	125312438
chr19	42238466
chr18	2539046
chr2	77795080
chr1	193518446
chr19	39174873
chr1	235111000
chr8	63922621
chr17	56465346
chr1	246841337
chr6	132849143
chr10	111923372
chr19	48151739
chr16	14750562
chr3	170720263
chr11	1061122
chr10	77811081
chr14	65598289
chr21	17032278
chr15	33418910
chr13	106836322
chr9	79414617
chr19	23586542
chr4	154126257
chr1	59351168
chr9	4508660
chr9	110947370
chr2	111943419
chr2	158345691
chr3	11518507
chr22	25409839
chr8	37218195
chr20	14966953
chr1	232818211
chr16	86019397
chr5	17070318
chr3	80606211
chr3	153850957
chr5	37086745
chr4	183266347
chr15	77739502
chr10	112618224
chr2	43388966
chr1	100819753
chr5	124078109
chr5	13567290
chr12	12461627
chr20	25378678
chr14	54800394
chr7	24708767
chr9	110919037
chr4	84129069
chr13	70965974
chr2	67264984
chr4	173647452
chr9	129413181
chr13	114147841
chr11	17563052
chr1	184899975
chr8	95204411
chr10	70982564
chr11	128884207
chr9	117743541
chr3	101546321
chr4	124365682
chr22	47138926
