Chrom	position
chr15	101488383
chr3	160115421
chr8	98276971
chr13	97291340
chr3	169976698
chr10	35781605
chr10	98374689
chr1	239131041
chr3	169745928
chr18	34169237
chr10	127455332
chr8	38254422
chr6	37049520
chr7	127565406
chr3	135626428
chr5	68810264
chr5	136560163
chr22	24680982
chr22	23891508
chr22	23243902
chr22	26014365
chr22	23337766
chr22	23339845
chr22	25467049
chr22	25228258
chr22	24932439
chr22	23707527
chr22	24912445
chr22	23966124
chr22	24601791
chr22	24890103
chr22	24815856
chr22	24049142
chr22	24222851
chr22	24267021
chr22	23226366
chr22	24337538
chr22	24491490
chr22	24492173
chr22	24801426
chr22	24288164
chr1	565314
chr22	23210802
chr22	19609385
chr22	17886423
chr22	17929827
chr22	17950172
chr22	17977851
chr22	18020306
chr22	18052619
chr22	18350545
chr22	18405074
chr22	18435260
chr22	18618817
chr22	19155444
chr22	19332283
chr22	19762189
chr22	23148061
chr22	19783057
chr22	19784398
chr22	19917707
chr22	20190775
chr22	20978544
chr22	21017452
chr22	21165592
chr22	21358318
chr22	22417667
chr22	22476067
chr22	26041300
chr22	22915487
chr22	22861925
chr22	26612119
chr22	26314554
chr22	30415672
chr22	30468549
chr22	30708452
chr22	30788153
chr22	30841537
chr22	31374859
chr22	31420156
chr22	31425466
chr22	31511765
chr22	31540874
chr22	31592585
chr22	31688141
chr22	31836544
chr22	32087548
chr22	32280348
chr22	32569181
chr22	32801757
chr22	32950876
chr22	33081204
chr22	33291639
chr22	33328683
chr22	33698698
chr22	33935283
chr22	34035803
chr22	34154403
chr22	34432862
chr22	34521979
chr22	34759815
chr22	30432875
chr22	30316452
chr22	26366595
chr22	30053219
chr22	26429542
chr22	17573521
chr22	26667210
chr22	26840131
chr22	27548447
chr22	27685495
chr22	27718828
chr22	27748818
chr22	27960456
chr22	28104121
chr22	28283940
chr22	28358393
chr22	28432312
chr22	28490160
chr22	28628570
chr22	28638003
chr22	28804041
chr22	28849217
chr22	28853480
chr22	28877291
chr22	29070218
chr22	29146504
chr22	29278308
chr22	29341139
chr22	29381722
chr22	29761281
chr22	29817288
chr22	17828012
chr21	47947075
chr22	17303370
chr21	37182996
chr21	35320210
chr21	35364655
chr21	35452190
chr21	35459188
chr21	35470876
chr21	35594015
chr21	35916475
chr21	36205195
chr21	36697640
chr21	36762342
chr21	36947703
chr21	36966017
chr21	37051710
chr21	37221108
chrUn_gl000231	18748
chr21	37632664
chr21	37649933
chr21	37731412
chr21	37802465
chr21	37925190
chr21	37954781
chr21	38012144
chr21	38187163
chr21	38239531
chr21	38320127
chr21	38757700
chr21	38777106
chr21	38801565
chr21	35266727
chr21	35093306
chr21	35076430
chr21	34939006
chr21	31704059
chr21	32288945
chr21	32405026
chr21	32662479
chr21	32735668
chr21	32766838
chr21	32814857
chr21	32891883
chr21	32913016
chr21	32915412
chr21	33232448
chr21	33577248
chr21	33608760
chr21	33757910
chr21	33761765
chr21	33786832
chr21	33851816
chr21	33865647
chr21	33918896
chr21	34053664
chr21	34078333
chr21	34182057
chr21	34383957
chr21	34543478
chr21	34585234
chr21	34742870
chr21	34888125
chr21	38822156
chr21	38843588
chr21	38847471
chr21	44403771
chr21	45104350
chr21	45202828
chr21	45249557
chr21	45377894
chr21	45436159
chr21	45967386
chr21	45990134
chr21	46000673
chr21	46243060
chr21	46277962
chr21	46286786
chr21	46560602
chr21	47261196
chr21	47266536
chr21	47339821
chr21	47370876
chr21	47453300
chr21	47465101
chr21	47471730
chr21	47513817
chr21	47662690
chr21	47715875
chr21	47759853
chr21	47827143
chr21	47906778
chr22	35103152
chr21	48030450
chr21	44699163
chr21	44210394
chr21	39296767
chr21	44094732
chr21	39525094
chr21	39592031
chr21	39743940
chr21	39907226
chr21	39977469
chr21	40063524
chr21	40073697
chr21	40214342
chr21	40253379
chr21	40331021
chr21	40396274
chr21	40471540
chr21	40495932
chr21	40723211
chr21	40908716
chr21	41606525
chr21	41876367
chr21	42874753
chr21	42918852
chr21	43553654
chr21	43592732
chr21	43683836
chr21	43704941
chr21	43894716
chr21	43992842
chr21	44036702
chr21	44050697
chr22	35051169
chr22	36021674
chr22	35609668
chr3	14327302
chr3	12249887
chr3	12279160
chr3	12330430
chr3	12411229
chr3	12549961
chr3	12761651
chr3	13349577
chr3	13870819
chr3	13922330
chr3	13957649
chr3	14160312
chr3	14181534
chr3	14265395
chr3	14655445
chr3	12115077
chr3	14763329
chr3	14788438
chr3	15132108
chr3	15299197
chr3	15337537
chr3	15380264
chr3	15404181
chr3	15415903
chr3	15453143
chr3	15694924
chr3	15806594
chr3	15810424
chr3	15819254
chr3	12166983
chr3	12020683
chr22	35673024
chr3	9734799
chr3	8537717
chr3	8540121
chr3	8628300
chr3	8883998
chr3	8958053
chr3	8991413
chr3	8996794
chr3	9126296
chr3	9184306
chr3	9264179
chr3	9418834
chr3	9464464
chr3	9469600
chr3	9738237
chr3	12019866
chr3	10115118
chr3	10788997
chr3	10963278
chr3	11242029
chr3	11362388
chr3	11485926
chr3	11556120
chr3	11557946
chr3	11569537
chr3	11740072
chr3	11777987
chr3	11900200
chr3	11923379
chr3	15933854
chr3	16108393
chr3	16156262
chr3	24529427
chr3	23365959
chr3	23369360
chr3	23512563
chr3	23645421
chr3	23902864
chr3	24032579
chr3	24050918
chr3	24093195
chr3	24137902
chr3	24160320
chr3	24214643
chr3	24345210
chr3	24450081
chr3	24534607
chr3	16279007
chr3	24578441
chr3	24592295
chr3	24684943
chr3	24706864
chr3	24725428
chr3	25189576
chr3	25336046
chr3	25537369
chr3	25696220
chr3	25750755
chr3	25774376
chr3	25833864
chr3	27953690
chr3	23322078
chr3	23142901
chr3	22839069
chr3	20305212
chr3	16396658
chr3	16418504
chr3	16426162
chr3	16717358
chr3	16734879
chr3	16836309
chr3	16838154
chr3	16954957
chr3	17019911
chr3	17027728
chr3	17533266
chr3	17556283
chr3	17607919
chr3	17618776
chr3	17751077
chr3	17802984
chr3	18006151
chr3	18309693
chr3	18354953
chr3	18630583
chr3	18679088
chr3	19322267
chr3	19702762
chr3	19934042
chr3	20131609
chr3	20132061
chr3	20235502
chr3	8528658
chr3	8245288
chr3	7796224
chr22	41640280
chr22	39943258
chr22	40008437
chr22	40137543
chr22	40457597
chr22	40476368
chr22	40481022
chr22	40490256
chr22	40490807
chr22	40568823
chr22	40671277
chr22	40957718
chr22	41028005
chr22	41167050
chr22	41709041
chr22	43541274
chr22	41940671
chr22	42059969
chr22	42208015
chr22	42405841
chr22	42415954
chr22	42421140
chr22	42494185
chr22	42656463
chr22	42709920
chr22	42835708
chr22	43115485
chr22	43196551
chr22	43256893
chr22	39727672
chr22	39659025
chr22	39377114
chr22	39309555
chr22	35833836
chr21	30713628
chr22	36207963
chr22	36279106
chr22	36296755
chr22	36304025
chr22	36366013
chr22	36371303
chr22	36371814
chr22	36410556
chr22	36773554
chr22	36821420
chr22	36982355
chr22	37192784
chr22	37351753
chr22	38122697
chr22	38128662
chr22	38403787
chr22	38548858
chr22	38551554
chr22	38709154
chr22	38873701
chr22	39024217
chr22	39172080
chr22	39206072
chr22	39208571
chr22	39291297
chr22	43296879
chr22	43764228
chr3	6969617
chr3	459903
chr22	48425008
chr22	48585239
chr22	48748290
chr22	49542183
chr22	49680018
chr22	49860567
chr22	50090883
chr22	50151012
chr22	50270436
chr22	50274413
chr22	50306645
chr22	51051996
chr22	51132531
chr3	883832
chr22	43774068
chr3	2697208
chr3	3772885
chr3	4070950
chr3	4516373
chr3	4537203
chr3	4572682
chr3	4704583
chr3	4784790
chr3	5068593
chr3	5190620
chr3	5296789
chr3	5908956
chr3	6901609
chr22	48260675
chr22	47962202
