Chrom	position
chr6	34354397
chr7	27156204
chr1	18114269
chr22	40999402
chr6	1817625
chr5	124076818
chr3	99585295
chr17	65974827
chr14	78047483
chr10	123640437
chr10	76178347
chr8	124070656
chr3	41492110
chr10	33677377
chr6	45784537
chr6	26025988
chr19	41337927
chr8	12972049
chr3	112870523
chr8	110623679
chr15	101667747
chr2	172568623
chr9	14326740
chr12	68601180
chr16	19148644
chr4	20296310
chr17	38270864
chr7	69143708
chr4	82299663
chr14	52048213
chr6	40965296
chr15	99243291
chr4	88226017
chr3	159601487
chr5	70897576
chr10	134514279
chr6	47175272
chr6	116851723
chr2	200320318
chr1	151591134
chr6	157391888
chr4	129314429
chr13	55317257
chr2	211032176
chr2	177368775
chr20	18409645
chr8	121003083
chr12	54445950
chr1	3320508
chr8	28725803
chr3	32541929
chr5	100624530
chr4	90220150
chr4	90277472
chr4	109224753
chr17	48771712
chr3	45037024
chr7	81785694
chr3	48075638
chr17	57971831
chr2	33814726
chr3	23789484
chr16	73127701
chr4	88580537
chr1	168254856
chr13	24750643
chr3	18468269
chr17	46667653
chr3	44925722
chr4	107508927
chr10	101279989
chr17	57747009
chr5	98107296
chr1	162032716
chr1	162064251
chr17	58411247
chr10	95515901
chr12	54422729
chr8	30580628
chr9	82188677
chr6	76234416
chr1	151961019
chr1	151952952
chr6	25174387
chr1	164614253
chr9	79714485
chr2	36621996
chr9	128307542
chr3	34051755
chr1	164740975
chr6	94117052
chr11	131868090
chr5	179943643
chr13	41636506
chr7	82896649
chr13	52736853
chr6	132721097
chr14	75723005
chr5	73622865
chr9	130150872
chr10	62711213
chr6	151074774
chr14	74600934
chr16	54084642
chr6	133690142
chr5	145593287
chr7	28034482
chr10	53004642
chr17	70680237
chr12	46660968
chr4	39827605
chr10	52223957
chr13	74703965
chr6	82970137
chr8	120932106
chr10	45248466
chr12	12998249
chr5	76376960
chr9	22238201
chr12	13036419
chr16	53645333
chr19	16599872
chr8	121165997
chr5	77149539
chr6	132287778
chr3	72953565
chr14	77505787
chr10	74560356
chr14	100889281
chr5	137465139
chr4	83920318
chr7	127479309
chr4	82707320
chr14	99662288
chr20	19991486
chr14	99658457
chr17	59329424
chr17	59413574
chr6	155337349
chr1	179894590
chr2	19867576
chr5	139675136
chr13	51354589
chr4	76094768
chr10	73988214
chr12	2126692
chr8	109612611
chr14	90832677
chr9	128676054
chr14	89896146
chr1	184360240
chr5	95353794
chr13	50952884
chr5	73207973
chr12	10516128
chr4	54810053
chr17	46655019
chr3	11239314
chr20	20341356
chr21	40623374
chr8	38756792
chr17	25857861
chr12	95640539
chr21	38233235
chr7	2197506
chr5	121668967
chr2	169327331
chr12	67135912
chr12	99231314
chr1	78139828
chr16	86397928
chr20	42616316
chr16	86396971
chr11	106882931
chr7	65417131
chr6	74352467
chr17	29399432
chr8	70565235
chr12	102177254
chr6	168424934
chr5	53598278
chr11	27035463
chr15	65597158
chr2	102348789
chr12	104680549
chr15	64530124
chr4	157827650
chr15	82254958
chr17	33584540
chr5	123397520
chr20	44714273
chr1	66648493
chr21	33743829
chr2	134050031
chr12	71849356
chr20	50477043
chr6	107538652
chr11	86501479
chr1	51983175
chr8	42125402
chr5	34246216
chr5	33233342
chr20	51753284
chr6	107882119
chr5	108742635
chr17	13465978
chr15	72520922
chr1	59680574
chr17	13899401
chr5	15009801
chr2	150418975
chr8	56673760
chr9	113861834
chr20	60013494
chr9	112235949
chr12	88966789
chr4	187741888
chr11	96062040
chr4	183645703
chr12	92474446
chr6	52108244
chr21	30590296
chr2	134513206
chr4	154703345
chr15	83311607
chr11	11485166
chr16	77443368
chr22	44122369
chr8	37374869
chr15	56117598
chr5	124512005
chr5	58599324
chr1	36704251
chr11	115347426
chr17	42898191
chr22	47130570
chr11	116724538
chr22	49854826
chr8	81422483
chr1	112178079
chr11	116890243
chr9	89109773
chr3	4907591
chr4	123764273
chr6	34351079
chr10	116394655
chr8	17520599
chr2	60673020
chr2	54799546
chr6	100705909
chr2	54196474
chr2	48960274
chr6	158708371
chr3	16524659
chr13	21591383
chr10	106091452
chr17	41747636
chr4	141370236
chr4	154368772
chr2	65623023
chr11	11368008
chr12	109748710
chr6	41225208
chr7	69346135
chr7	69372956
chr16	81016502
chr12	110984351
chr9	94707967
chr22	30388588
chr4	151895237
chr9	126441195
chr5	124006574
chr15	60245992
chr9	94600289
chr11	113776947
chr15	60078375
chr4	149183180
chr12	65085832
chr4	148756962
chr6	38180477
chr8	37495677
chr2	172964534
chr7	69532105
chr20	33229953
chr1	39593359
chr10	126752291
chr5	58420136
chr4	143268530
chr10	123591473
chr8	121167115
chr5	36302485
chr5	77242543
chr10	11571503
chr1	233741045
chr17	79369431
chr1	233390035
chr10	12235465
chr3	169260240
chr3	141276908
chr6	1025153
chr10	12487755
chr7	111791174
chr7	116233637
chr1	8476129
chr3	159503384
chr3	159337321
chr10	33553186
chr18	48538225
chr13	94098716
chr18	48557867
chr3	194071269
chr14	58181257
chr10	33798412
chr6	150455710
chr1	2892595
chr4	26232800
chr3	185815598
chr6	4093781
chr14	67730406
chr3	106927100
chr3	157886123
chr6	2839461
chr13	95941510
