Chrom	position
chr12	11719053
chr12	6084395
chr11	69906593
chr6	69585087
chr11	76624916
chr15	65347000
chr17	74648177
chr4	120801408
chr7	68770845
chr11	72735816
chr16	84952741
chr1	212628283
chr10	78805300
chr17	35801751
chr5	122493543
chr15	34813069
chr4	75703307
chr15	63041101
chr2	162967377
chr11	128616326
chr3	169401127
chr15	31372729
chr1	176847203
chr3	101940815
chr17	70906975
chr7	44039372
chr21	39676338
chr20	35886719
chr16	4371535
chr11	128236221
chr6	47083743
chr20	51156673
chr7	101953735
chr2	66962786
chr8	92019318
chr17	35787247
chr6	43125287
chr12	132046737
chr16	65285747
chr2	237723829
chr22	25780869
chr1	22031642
chr10	130362449
chr11	113591366
chr6	111691576
chr8	123760838
chr11	116070788
chr4	173519345
chr11	119424934
chr7	3246387
chr12	124030766
chr16	57500654
chr12	24135705
chr7	67462981
chr15	74225046
chr15	74954670
chr7	156923306
chr13	91813462
chr15	79170479
chr15	70251088
chr5	91314396
chr15	78618656
chr5	68555013
chr3	43203246
chr2	130744770
chr1	8703428
chr7	960431
chr5	170353273
chr9	33454871
chr13	79659405
chr1	8707314
chr17	7706043
chr8	276454
chr14	32607529
chr11	123377542
chr16	58032918
chr21	45350016
chr11	57167695
chr2	142586957
chr16	64437882
chr7	128454561
chr10	98910190
chr5	154359387
chr7	138679878
chr5	157385163
chr21	35324144
chr16	85137514
chr10	110641449
chr16	85174586
chr9	126534991
chr5	154526418
chr4	15294390
chr21	38848430
chr12	12725917
chr10	103772490
chr13	114105671
chr5	169150282
chr10	116015066
chr13	91797765
chr5	150245701
chr5	149422701
chr4	12488807
chr5	1127995
chr16	57179668
chr1	162885431
chr19	933451
chr2	2108946
chr19	53869393
chr15	91335799
chr15	90143457
chr15	89449071
chr7	47067390
chr3	141084429
chr15	77975665
chr19	46847723
chr22	45246586
chr19	11384348
chr3	143784006
chr7	95841775
chr22	44110258
chr11	68040423
chr22	37741466
chr19	18733429
chr8	79822420
chr11	65489531
chr11	44453439
chr11	62429066
chr15	64802147
chr19	33722851
chr9	130423504
chr11	46380971
chr15	94600689
chr11	86746720
chr8	139426713
chr2	237298545
chr9	133586160
chr7	126052416
chr18	58629177
chr7	117929480
chr7	17662795
chr1	22342276
chr22	24970100
chr14	69943201
chr4	187072050
chr12	51371636
chr11	6607069
chr10	8739209
chr2	237291556
chr5	113294979
chr3	193788838
chr8	71011065
chr3	190036795
chr7	106844439
chr5	118520932
chr16	5502773
chr7	29606604
chr7	30930794
chr8	141942266
chr15	101149457
chr7	102261039
chr1	116648499
chr1	40844316
chr1	156711415
chr17	40451600
chr2	105438541
chr1	31170941
chr17	28973711
chr3	56890817
chr8	38442495
chr2	120902748
chr8	40543248
chr10	78260458
chr2	102064492
chr2	69164651
chr1	31172425
chr17	76029669
chr17	67491308
chr6	80210806
chr8	27673361
chr10	78588330
chr8	11742716
chr12	65306906
chr6	27754193
chr4	120871356
chr8	124041508
chr2	65539762
chr17	57752211
chr13	40430378
chr8	22397680
chr20	57469580
chr13	43487583
chr17	33447282
chr12	114673427
chr4	108255400
chr12	115455413
chr12	55730406
chr12	106780219
chr12	54135893
chr17	77471553
chr8	23494330
chr8	37074484
chr8	140496391
chr1	93660318
chr11	76577409
chr9	92359838
chr8	73421422
chr2	205836629
chr7	11539139
chr14	61472127
chr20	2729303
chr16	46757669
chr18	57630254
chr4	95540375
chr1	34771771
chr11	116427947
chr1	49694546
chr11	116459439
chr11	121464796
chr9	135543662
chr11	120516726
chr4	35108950
chr22	35587536
chr15	35312638
chr5	44646221
chr17	61477254
chr22	19906146
chr3	119661033
chr10	119655902
chr7	2513807
chr7	47482346
chr8	18851629
chr15	35810315
chr14	39884344
chr11	119892705
chr16	57273556
chr2	79956051
chr1	232872826
chr10	12979079
chr14	50061960
chr9	16515531
chr11	74710403
chr20	6055403
chr4	2767935
chr15	34609746
chr4	2595661
chr11	113550395
chr9	88745821
chr1	55813869
chr7	126701244
chr5	127426879
chr14	68938164
chr3	55854718
chr2	236774299
chr8	143039150
chr6	106112094
chr1	113979316
chr11	10778784
chr14	86296425
chr22	27633174
chr6	49302463
chr11	95147708
chr7	105588542
chr16	4392790
chr5	14954798
chr3	184574783
chr9	90330405
chr18	74256398
chr14	96095991
chr1	53642091
chr1	239566327
chr20	59437822
chr5	113367822
chr2	72013317
chr12	90836895
chr11	15011957
chr2	3604407
chr10	6239484
chr7	35370815
chr12	121392071
chr1	116687423
chr11	15884969
chr9	20244419
chr2	8479540
chr4	41731919
chr3	73622364
chr3	128264145
chr3	50182188
chr7	117835732
chr20	48631639
chr14	33765472
chr10	132239683
chr1	179782220
chr2	186068648
chr1	22262717
chr2	239586848
chr17	82864122
chr15	92617757
chr7	112566965
chr3	11644001
chr2	66987901
chr9	99411900
chr2	10298208
chr19	52694474
chr20	50016180
chr3	194323881
chr20	50040310
chr11	6683487
chr3	194301970
chr1	113217946
chr8	26611862
chr8	83910948
chr13	23430875
chr2	1593887
chr8	41300788
chr6	43391673
chr5	143835449
chr14	23013183
chr11	73271991
chr8	126091076
chr4	57056074
chr2	41947943
chr11	62472697
chr1	27428761
chr10	22022412
chr20	33562461
chr2	145123822
chr12	27697093
chr11	64502770
chr22	43101618
chr15	68991927
chr1	6517777
chr6	23218892
chr7	1289848
chr10	29254696
chr5	168885488
chr12	14426974
chr8	133689934
chr3	107987100
chr8	133794771
chr6	161255086
chr4	27198449
chr10	77164133
chr7	66627341
chr16	84922909
chr16	84827310
chr10	43857786
chr11	62400908
chr2	42973988
chr8	79831797
chr1	201268822
chr12	51388122
chr8	127106088
chr1	74811694
chr2	130332671
chr10	79229182
chr2	216536785
chr13	53074287
chr20	37914985
chr3	46566410
chr12	49984123
chr6	15343693
chr9	111098328
chr12	49233203
chr1	202589320
chr1	28822917
chr9	138038319
chr3	63343906
chr20	37332326
chr2	137942237
chr20	37319491
chr11	46379674
chr8	274449
chr1	201562442
chr4	19242117
chr2	43319752
chr12	39396013
chr18	23575151
chr10	76940118
chr18	76352116
chr22	43789543
chr20	14915520
chr14	23454603
chr13	35788017
chr18	9009055
chr7	136033645
chr10	15792240
chr4	52824993
chr1	18088440
chr5	51998072
chr5	154523925
chr3	23736147
chr8	11955660
chr3	20141975
chr3	141769678
chr15	47742542
chr19	43503696
chr9	34553806
chr16	70396787
chr1	24696585
chr5	151681036
chr4	7895093
chr13	113204221
chr9	4069941
chr4	151169426
chr1	15151698
chr22	37244170
chr17	76544114
chr1	76053157
chr12	1631364
chr19	40715760
chr20	19835993
chr4	53863847
chr15	75902354
chr19	41323816
chr16	81600541
chr5	154604091
chr6	163777372
chr6	91367033
chr15	70342965
chr12	115209376
chr5	107515725
chr9	4022862
chr3	156391029
chr14	94689754
chr11	80627544
chr11	72359271
chr9	98169330
chr12	104408846
chr9	129413079
chr5	107520127
chr11	57598276
chr6	90218682
chr2	80050399
chr3	157811480
chr9	130283677
chr14	96285778
chr7	39353856
chr19	46639559
chr14	94897771
chr11	80613835
chr1	210467568
chr8	143014127
chr5	96257026
chr6	72761953
chr1	56958653
chr6	84249899
chr5	81167709
chr12	112891393
chr9	7320344
chr1	242314304
chr12	103050460
chr5	73899206
chr1	55694498
chr22	43315171
chr2	104637374
chr9	129863284
chr9	117303812
chr12	106519852
chr7	41175714
chr6	88268696
chr12	95146948
chr3	61602639
chr2	207422549
chr22	42322380
chr6	85455817
chr11	61773558
chr12	116946268
chr2	80087046
chr5	104432167
chr3	64910206
chr12	116434348
chr2	209663302
chr12	115072871
chr12	112843457
chr14	104049840
chr15	55531245
chr7	68511451
chr9	96217551
chr2	47244158
chr5	111187294
chr2	54469836
chr2	125643624
chr1	228814357
chr13	95233408
chr8	134838135
chr1	220818910
chr12	3336707
chr3	29430620
chr13	102337202
chr1	47804271
chr6	115733651
chr1	25135336
chr1	25099447
chr13	39860073
chr5	155293778
chr5	154576566
chr3	115518628
chr6	29666121
chr6	166472004
chr5	154517364
chr5	154486469
chr6	114558371
chr3	116816006
chr13	113639945
chr8	94851679
chr3	54046761
chr2	60067185
chr6	33610952
chr13	35810494
chr5	147098665
chr8	103337977
chr8	133287594
chr6	113359745
chr8	133102745
chr9	124295338
chr13	52852665
chr13	48857791
chr6	14436969
chr5	179436639
chr8	101690921
chr12	52207376
chr5	179285611
chr12	42790946
chr13	47175504
chr12	39389459
chr5	176831234
chr2	43082653
chr5	174221634
chr12	32881299
chr13	46748543
chr13	79628686
chr2	143694523
chr6	22558415
chr13	79741172
chr13	79745352
chr12	29282640
chr3	36922960
chr3	103711798
chr12	26548399
chr5	172541276
chr2	149077112
chr1	198860576
chr6	122553914
chr1	48921065
chr14	32365137
chr9	129334371
chr2	11764610
chr1	37239407
chr1	21961514
chr1	37051532
chr1	176601525
chr5	124612211
chr5	124599738
chr7	23928644
chr8	91813089
chr11	103696286
chr3	9201451
chr2	8707724
chr7	25752365
chr14	76720487
chr2	111918768
chr5	122448116
chr3	8607657
chr11	97123423
chr1	208939872
chr6	47242648
chr11	93513993
chr3	4987051
chr1	238982872
chr5	116524192
chr6	49337011
chr6	52360243
chr3	58837372
chr1	53838475
chr9	129225975
chr5	113084963
chr3	11991920
chr11	113131284
chr7	771444
chr1	50346772
chr2	62341160
chr6	112202915
chr3	76047609
chr6	35003975
chr11	122751565
chr7	2929120
chr2	20492400
chr2	174536445
chr3	54861646
chr3	54914381
chr7	4189241
chr9	121650312
chr13	33904617
chr2	64580385
chr11	118605670
chr2	17000198
chr1	30698060
chr2	176104422
chr3	16174618
chr5	139893957
chr8	139790077
chr2	177530753
chr14	52063411
chr5	138230484
chr5	137414315
chr1	37363145
chr14	54600226
chr14	61577724
chr1	180930874
chr3	73604073
chr3	64027829
chr17	49519997
chr10	89519508
chr11	19767928
chr10	88951998
chr4	169039642
chr8	20282370
chr20	10644757
chr9	132003223
chr18	76700073
chr9	87558246
chr8	71862201
chr17	41908149
chr10	71251493
chr7	158086310
chr10	5563519
chr1	12184367
chr8	17908236
chr18	8120088
chr18	75338780
chr7	101391107
chr8	17663187
chr16	57749106
chr9	87569187
chr11	19792655
chr20	34065611
chr7	154330538
chr4	7082158
chr7	154554138
chr10	2891182
chr16	65489831
chr2	227033622
chr7	85324704
chr5	24398020
chr19	2016520
chr9	133881333
chr7	85815724
chr9	136207120
chr18	35231210
chr15	92831855
chr10	15345583
chr8	41474236
chr10	118610800
chr1	105632797
chr2	229130719
chr17	13746563
chr10	89520869
chr4	95513253
chr17	44957655
chr10	88347222
chr22	28112759
chr17	2960357
chr18	54871461
chr8	48707271
chr10	78980536
chr18	63090495
chr16	52067463
chr4	124019049
chr16	50425822
chr8	66127013
chr4	182724601
chr20	38393505
chr18	60846609
chr4	182090355
chr8	9058209
chr7	117277058
chr17	17781356
chr22	24817130
chr18	24959255
chr7	124084274
chr16	49698616
chr18	26854742
chr10	129495915
chr4	180042035
chr9	26462895
chr1	113059247
chr22	19996764
chr20	43096697
chr18	9905801
chr3	188199128
chr8	11949746
chr10	8117057
chr21	46213894
chr4	111792830
chr18	70470095
chr17	4588035
chr11	11463620
chr16	5504607
chr18	27110446
chr7	106042920
chr16	56861381
chr10	24393374
chr20	8019902
chr10	77663729
chr3	194213082
chr2	237315755
chr18	27605288
chr10	78295437
chr20	50321494
chr1	109954445
chr11	36253387
chr7	148607370
chr11	47004886
chr16	74337710
chr1	151821168
chr2	222356060
chr9	15225963
chr17	61555337
chr3	170623033
chr15	63083253
chr1	82927980
chr7	81112001
chr9	81037996
chr17	61487860
chr4	87073863
chr10	98425000
chr1	101482482
chr18	40926800
chr5	63085734
chr20	52994756
chr17	73719923
chr10	110718039
chr11	37353375
chr2	217434237
chr10	43737195
chr11	42960529
chr11	40567615
chr17	78352901
chr18	37466133
chr5	56764297
chr10	103492219
chr7	74033719
chr21	34202019
chr10	17199631
chr10	37015707
chr17	76709437
chr17	81479339
chr15	86572089
chr4	56241001
chr17	51331013
chr20	51129409
chr1	14505510
chr4	157804267
chr11	29601884
chr20	51444689
chr16	70143418
chr21	38797685
chr7	151436963
chr3	161401683
chr16	89072380
chr18	36446232
chr4	139763388
chr10	113058818
chr4	140092605
chr4	41885614
chr5	65075797
chr10	1272276
chr5	50881611
chr8	29905534
chr4	150411668
chr10	44261519
chr4	146655358
