Chrom	position
chr12	65563246
chr3	121264818
chr8	27695354
chr17	57184462
chr20	2451416
chr1	163291745
chr5	40756176
chr12	122124996
chr15	91260609
chr6	20402048
chr3	10068106
chr15	44117042
chr15	44119203
chr1	242011494
chr19	48867476
chr19	13030095
chr19	10947264
chr17	34257794
chr19	33463028
chr19	10679939
chr13	39612500
chr16	20817836
chr5	112312253
chr17	72869560
chr8	124084933
chr13	73301944
chr11	93394769
chr6	52149680
chr12	69080771
chr10	70231539
chr10	103911878
chr1	9555503
chr1	46713385
chr2	136634083
chr17	76183202
chr5	59995983
chr10	62538117
chr11	33183225
chr13	34117086
chr11	58912275
chr1	151253835
chr1	63988937
chr12	110940064
chr16	29801928
chr1	247095354
chr2	169746970
chr16	30064388
chr2	27008719
chr16	2318134
chr7	128116746
chr1	197115849
chr5	137514743
chr7	139044565
chr10	53459694
chr18	2571546
chr21	33651346
chr12	54673971
chr12	72233479
chr8	56987190
chr2	130939208
chr16	30583515
chr19	41770073
chr17	8113932
chr11	61560344
chr3	10028573
chr13	48611787
chr1	16173978
chr1	200589893
chr6	31126261
chr6	136571488
chr2	58468552
chr16	58426375
chr10	58121084
chr14	50065692
chr12	56843001
chr12	50419290
chr19	39926693
chr5	61708504
chr17	38444108
chr6	42897157
chr15	64386180
chr19	55919494
chr20	25388330
chr1	100598484
chr13	60738086
chr17	41277430
chr2	203130394
chr15	64673694
chr1	33502697
chr13	31040211
chr19	51307921
chr6	160210810
chr6	27833051
chr20	35402211
chr19	49891496
chr17	47755703
chr12	102513954
chr11	4116041
chr19	11266487
chr1	211848977
chr2	171785535
chr11	63742001
chr12	4648036
chr10	14996249
chr7	99699027
chr17	60501188
chr4	122745051
chr12	6960498
chr7	100025884
chr15	30918283
chr1	47779851
chr8	37962970
chr6	27862299
chr12	31479262
chr11	95523087
chr19	51182787
chr18	47901422
chr1	214776553
chr11	74303646
chr11	62623531
chr3	20227707
chr3	128598377
chr6	33359567
chr10	91461359
chr14	24711876
chr16	88870145
chr15	57025923
