Chrom	position
chr15	74546359
chr16	46390537
chr4	7650103
chr2	218287966
chr22	17098674
chr7	128237206
chr17	74780148
chr2	64946493
chr2	226772839
chr3	177410872
chr11	46671180
chr17	36189134
chr5	49601587
chr1	143247067
chr4	38667358
chr15	89815163
chr4	38857787
chr5	89294041
chr7	129958766
chr7	36283897
chr15	101451596
chr15	82018371
chr1	234963391
chr1	23913474
chr10	17851832
chr22	24434811
chr13	109700361
chr17	534288
chr15	31004503
chr20	4038179
chr16	30371184
chr17	58352182
chr11	121417335
chr4	143854845
chr1	221708256
chr16	85616022
chr12	89162953
chr16	69530863
chr17	30104807
chr9	76456418
chr12	56126318
chr10	71748989
chr4	169411000
chr1	64864281
chr19	17226328
chr14	76908981
chr9	79611515
chr10	42070579
chr9	120437141
chr16	10362487
chr2	207960349
chr15	75105065
chr4	98232371
chr1	28669968
chr6	139323792
chr15	42608285
chr21	39370625
chr3	153373811
chr9	120897341
chr4	81492155
chr4	49711543
chr16	11224285
chr9	89522583
chr16	11613950
chr2	8303701
chr21	8234496
chr17	28741657
chr5	172115029
chr2	60100241
chr1	165393203
chr7	80107500
chr3	128616786
chr1	143244998
chr10	128181017
chr5	148403522
chr5	87081674
chr5	91314489
chr1	167628237
chr3	69368413
chr8	25345609
chr14	100079192
chr19	35903806
chr1	123720150
chr1	168469848
chr5	49666215
chr11	51097972
chr22	21938274
chr10	72297380
chr3	19811871
chr12	124727526
chr1	89295413
chr6	134296098
chr1	202969060
chr3	14232984
chr10	42099132
chr9	64479286
chr4	2835305
chr15	30823572
chr9	63342706
chr7	77026553
chr2	74832291
chr19	2553023
chr17	1723224
chr17	83120426
chr12	116594434
chr13	41005054
chr1	235900680
chr14	100711758
chr7	75156768
chr1	198682007
chr1	181087562
chr5	160261148
chr12	132471233
chr17	36192537
chr4	123600178
chr9	35845112
chr20	54078485
chr15	66765956
chr17	57338772
chr4	73740638
chr10	110497692
chr19	54388239
chr7	138000357
chr19	54370621
chr19	51621381
chr15	52137909
chr15	69761044
chr15	52482092
chr19	8487666
chr5	61408796
chr3	197031631
chr16	34573070
chr1	67688937
chr16	66522349
chr5	159342018
chr2	62129771
chr4	143975720
chr13	51794067
chr19	10731755
chr11	122697852
chr18	25229278
chr8	52467384
chr7	82596035
chr1	205778152
chr8	96820983
chr12	75978105
chr6	16224581
chr15	63503382
chr14	45250381
chr11	53354109
chr19	8571160
chr9	44175535
chr1	124570275
chr15	67882588
chr5	180093829
chr19	35045865
chr12	10406979
chr7	58986193
chr10	11180534
chr2	212979985
chr9	72443506
chr15	83108734
chr7	140253002
chr12	31896800
chr1	17014027
