Chrom	position
chr10	95183889
chr2	119167253
chr8	17801590
chr17	82496802
chr1	36088960
chr3	13895215
chr9	94639379
chr20	53217215
chr6	142089043
chr9	96417378
chr20	18507753
chr18	77132312
chr11	364687
chr8	48514842
chr8	58411342
chr7	44749082
chr16	4624379
chr9	136950160
chr6	83194118
chr11	123580797
chr3	31041581
chr3	183116298
chr15	48177956
chr22	22195475
chr19	17859777
chr18	49561556
chr5	77077533
chr4	146637317
chr8	140457376
chr3	129004015
chr1	161039023
chr4	6910035
chr8	144466262
chr7	150368076
chr10	7818352
chr12	52948932
chr16	54284486
chr18	50195290
chr7	43926665
chr1	235079676
chr1	24319355
chr18	31943544
chr1	156910400
chr7	55951912
chr6	36130339
chr9	6681079
chr12	52192023
chr19	10543590
chr16	30395631
chr7	158705354
chr20	33654371
chr6	109690552
chr17	81832966
chr16	90019572
chr17	82666076
chr13	21671163
chr12	52906496
chr9	136488846
chr1	210234392
chr18	63970424
chr4	139302293
chr1	204214138
chr16	74774867
chr6	31197835
chr3	190322274
chr6	43247264
chr1	168225940
chr13	27830156
chr15	73346927
chr6	117906918
chr9	129178679
chr11	64878837
chr6	11535914
chr12	27014311
chr4	150079463
chr4	2009378
chr2	235371279
chr9	123268829
chr1	31394913
chr9	113349563
chr4	8158691
chr11	64245672
chr5	119071296
chr2	231710537
chr10	102461294
chr7	6503609
chr5	96662668
chr16	58025633
chr16	19068013
chr14	24367229
chr8	85177281
chr15	40782795
chr8	144373805
chr14	23551807
chr8	26111108
chr1	17119415
chr15	101008663
chr22	38057448
chr9	127785450
chr1	109397927
chr17	18260544
chr16	89201993
chr19	13051840
chr15	90903192
chr6	118934510
chr6	148972652
chr4	26319561
chr19	15196219
chr19	38264339
chr19	55642928
chr20	18056503
chr16	87765962
chr1	40668992
chr21	36141683
chr2	47370062
chr12	117969462
chr1	84690760
chr17	8799412
chr7	23105668
chr15	89750825
chr19	7944022
chr5	140108105
chr8	48709225
chr12	100574047
chr11	13111177
chr1	223364536
chr12	109573341
chr3	49470504
chr14	100159629
chr16	28292492
chr11	73983421
chr1	54199805
