Chrom	position
chr19	10717758
chr4	48780413
chr1	44721701
chr3	194769258
chr7	44848348
chr19	11155873
chr3	107522898
chr15	44195385
chr7	134646662
chr19	48469183
chr18	74292107
chr3	149086569
chr9	136886353
chr2	26785911
chr1	150236249
chr20	41618494
chr11	75815106
chr19	3971207
chr7	107168823
chr15	70099771
chr14	89416223
chr19	11739057
chr2	63050760
chr21	42974648
chr22	42080030
chr20	45857491
chr10	78407159
chr19	6372590
chr15	90352167
chr16	15591172
chr9	124658395
chr7	27662999
chr17	63622137
chr17	29294196
chr17	45620240
chr13	110615456
chr6	93419645
chr16	10744154
chr5	68549404
chr1	154983258
chr10	102502222
chr14	64338849
chr1	145958077
chr8	106726093
chr10	3220984
chr19	45370673
chr5	151771692
chr19	7629635
chr1	153923146
chr19	12551627
chr9	137241171
chr22	43015333
chr1	148522767
chr1	11262608
chr19	19032557
chr22	36776280
chr6	129684161
chr19	4246987
chr12	56646090
chr16	53503564
chr1	25430817
chr6	108558613
chr21	37366752
chr1	5992611
chr4	123396727
chr17	76671834
chr16	71895331
chr7	56106594
chr7	10973152
chr1	161225870
chr1	145281188
chr10	44978864
chr12	14774320
chr1	24415734
chr2	205944794
chr19	12441144
chr3	195443179
chr5	96808428
chr19	21020528
chr1	16514015
chr1	61078065
chr17	28041536
chr8	42152847
chr7	151232467
chr12	55817906
chr5	160119617
chr1	150697330
chr22	40636775
chr5	163437502
chr5	32313210
chr19	47048690
chr15	45279294
chr19	12294935
chr11	64335240
chr10	102743822
chr16	72665016
chr19	19138529
chr10	123154294
chr19	12401311
chr4	51842920
chr12	125049736
chr17	38752676
chr15	69160503
chr1	144412679
chr17	8173469
chr17	8288455
chr9	89662178
chr8	144147899
chr2	20446919
chr10	69451454
chr3	9844069
chr5	178204448
chr22	21045853
chr4	123397474
chr14	65411815
chr15	40405667
chr7	1138333
chr3	49786680
chr6	52664329
chr12	2812553
chr3	61251513
chr19	2841369
chr19	19385586
chr5	66596310
chr19	2740137
chr15	41283882
chr14	94026328
chr1	146052142
chr17	75393961
chr2	152717544
chr14	64505294
chr5	149960710
chr2	74458261
chr5	150758725
chr11	59058531
chr10	101031218
chr15	43493215
chr2	43637229
chr17	46225457
chr9	94166813
chr19	21141904
chr17	42025107
chr9	2015151
chr22	25236075
chr21	29024945
chr8	117520626
chr11	64723258
chr5	172420727
chr15	92900308
chr6	159106913
chr7	77798663
chr19	17289694
chr19	14529267
chr11	118928666
chr11	125592742
chr10	5890124
chr14	103122218
chr3	100492513
chr9	125143656
chr22	50200884
chr19	1205548
chr19	35702446
chr16	370583
chr19	16111842
chr4	474282
chr4	139083123
chr1	42846492
chr11	117144265
