Chrom	position
chr3	127075123
chr16	21517403
chr3	186653232
chr14	101366069
chr1	174276304
chr7	113118666
chr4	143404707
chr8	23421567
chr2	237669674
chr1	120176498
chr7	98200554
chr11	6434429
chr2	68789804
chr2	38607928
chr10	95295366
chr9	76472352
chr5	78294715
chr1	206541613
chr1	20213102
chr1	167803469
chr10	32942281
chr2	63976302
chr18	26190723
chr1	186082505
chr3	31952429
chr8	115452301
chr2	8545132
chr1	112664205
chr17	4892756
chr9	109418990
chr7	152341229
chr19	344969
chr15	31231006
chr11	130023388
chr8	69556444
chr3	149808406
chr16	13390254
chr19	57443490
chr3	99012255
chr7	47979722
chr1	30940450
chr8	127916120
chr7	65916083
chr4	306696
chr3	11297331
chr4	4944188
chr5	6188528
chr2	134918181
chr15	81866313
chr1	155244877
chr17	30715285
chr7	41686
chr13	40445729
chr11	123325703
chr10	43454874
chr19	37923245
chr3	58306270
chr14	25132984
chr3	16374879
chr11	132581129
chr3	197664898
chr9	6429486
chr2	234500577
chr13	59734546
chr10	22599251
chr6	2750166
chr19	37962501
chr20	36846186
chr14	88754083
chr1	109112814
chr17	32772650
chr5	141734653
chr22	50191601
chr2	202666706
chr19	35899897
chr7	130898319
chr17	32819348
chr22	33299787
chr13	110712362
chr5	141530039
chr19	42203932
chr12	113075397
chr19	10968709
chr12	53324896
chr7	76592107
chr2	8313384
chr3	197562177
chr3	184249748
chr4	152595700
chr10	5840461
chr2	64730619
chr16	89844220
chr21	42536055
chr3	79651593
chr7	121441097
chr8	18911424
chr16	71462305
chr1	67112654
chr5	139565558
chr15	44195362
chr17	59001544
chr8	93938745
chr3	143207441
chr1	24536701
chr3	45596507
chr15	66389623
chr17	78366634
chr16	25225204
chr1	167357542
chr1	173372776
chr22	37512243
chr7	18421706
chr3	121757315
chr7	105769320
chr20	3799977
chr5	133935339
chr15	101293337
chr2	23862184
chr16	50194616
chr11	48110015
chr8	27184271
chr14	55027279
chr4	119370632
chr11	64335264
chr4	53748482
chr6	33593256
chr16	29610668
chr12	132820242
chr8	81002141
chr8	100953170
chr4	165255653
chr8	103173901
chr15	99755950
chr8	6748623
chr1	31866620
chr1	206952007
chr1	211260295
chr10	119369630
chr20	63617274
chr1	31550395
chr7	73541920
chr2	62032344
chr10	122487617
chr1	30754870
chr20	62628428
chr16	87762493
chr17	38625057
chr4	101790676
chr7	101798402
chr2	165304254
chr2	134275625
chr7	66205238
chr17	38651459
chr12	95627015
chr1	198598992
chr18	75319998
chr3	59246956
chr5	40570921
chr16	87058938
chr2	150610872
chr16	30634397
chr1	206725780
chr14	70669307
chr9	126411674
chr15	51625466
chr3	48155311
chr5	173737219
chr19	10593332
chr13	41524613
chr7	102062254
chr2	156750242
chr2	60841037
chr7	152463248
chr20	41673726
chr3	170632956
chr5	158398746
chr3	189324926
chr1	110350028
chr3	133583619
chr11	64814960
chr18	63523853
chr3	23274429
chr3	57068704
chr14	71354334
chr1	12486934
chr1	220086348
chr15	90665894
chr1	76294652
chr22	36103186
chr20	51461020
chr14	102103163
chr1	25608796
chr10	79448852
chr1	25237058
chr2	15142271
chr4	625363
chr22	21007087
chr19	14604171
chr11	71830995
chr3	102234157
chr15	90595547
chr4	153085344
chr13	23845975
chr18	3035849
chr16	67685900
chr12	113393431
chr13	27148075
chr3	136075433
chr17	74234151
chr9	93138503
chr20	20603626
chr1	187791777
