Chrom	position
chr1	149939289
chr15	88638891
chr11	36149886
chr4	1043802
chr16	4944946
chr11	9364461
chr20	50166239
chr9	97922274
chr21	45364190
chr12	31749362
chr16	69530848
chr1	55429303
chr19	2169144
chr1	153566709
chr14	101972590
chr7	47786807
chr3	194089734
chr19	45455930
chr10	103908467
chr2	11744225
chr2	172253381
chr20	25237977
chr2	27720303
chr6	4358801
chr7	101138651
chr20	50440922
chr17	27353819
chr11	64855139
chr12	116819503
chr22	46013637
chr1	85607437
chr11	83071926
chr3	177360066
chr20	35305910
chr3	27534126
chr1	64898264
chr8	125513254
chr11	65382489
chr3	197031628
chr2	10936380
chr10	113087535
chr16	15591061
chr7	151754339
chr18	3603628
chr1	58784116
chr2	127064922
chr13	110870395
chr19	47244279
chr3	5023489
chr11	9566165
chr7	101100310
chr2	102227912
chr19	9075786
chr15	66803329
chr1	151311748
chr17	45371839
chr6	52517740
chr8	131856954
chr5	57693273
chr17	78592482
chr20	10511738
chr16	9047973
chr17	35063747
chr20	11267495
chr17	48972515
chr15	58332336
chr17	40314795
chr13	97141768
chr19	18281704
chr16	48123322
chr13	100392923
chr7	74279793
chr6	37791528
chr1	8873776
chr9	129334240
chr8	144767527
chr12	26274891
chr11	65472256
chr1	205284875
chr2	111699065
chr12	75978078
chr2	127408139
chr17	59837796
chr19	11536177
chr2	46315415
chr18	3653032
chr10	71860621
chr15	90165899
chr17	77234028
chr2	232988670
chr3	8629651
chr2	46873798
chr6	73580535
chr8	29665301
chr16	1002922
chr8	141026939
chr7	37032128
chr12	6278807
chr2	70142795
chr20	34391012
chr19	13880375
chr19	55216636
chr7	25125533
chr2	233974769
chr11	2400421
chr20	1416161
chr8	8310765
chr17	21288096
chr2	233350926
chr8	125430267
chr7	151687775
chr5	91280620
chr9	127919544
chr5	139518091
chr10	63707502
chr20	41003691
chr10	3810341
chr17	1115277
chr20	34526074
chr1	234772546
chr6	90369190
chr18	9743691
chr14	73058448
chr20	4135748
chr1	234975276
chr2	113241120
chr10	6275455
chr4	83548610
chr2	64831502
chr19	18678185
chr9	121287207
chr5	173764615
chr22	39174936
chr17	15920929
chr8	29737604
chr14	101073400
chr17	59786683
chr17	82267740
chr1	36386650
chr4	37648322
chr1	235910723
chr1	7402015
chr2	45938967
chr11	9613298
chr8	142676256
chr2	223725731
chr19	42268412
chr11	66892349
chr5	150317368
chr2	88600299
chr10	77350864
chr11	65915891
chr14	61103935
chr16	80027258
chr6	136610457
chr3	177345805
chr6	11318496
chr5	133240688
chr8	130528547
chr6	73704503
chr5	61408772
chr7	94301205
chr11	69122922
chr1	156660337
chr5	76806220
chr3	172130103
chr9	2844274
chr16	3020974
chr20	44693149
chr12	108838549
chr1	205122244
chr3	39147194
chr7	142556949
chr10	113073866
chr16	29291115
chr2	27321264
chr1	212559041
chr9	127579169
chr6	44058700
chr10	32980695
chr11	129143511
chr22	49970939
chr1	31701244
chr19	8355800
chr2	27799354
chr6	106325785
chr20	58624061
chr3	150372009
chr3	23685986
chr1	172934070
chr1	37471880
chr19	16279405
chr17	75124466
chr5	56350753
chr6	155026617
chr5	179819110
chr2	96557060
chr16	66516969
chr16	4943493
chr16	24701174
chr19	49640789
chr19	54020342
chr19	47315512
chr5	142362933
chr1	8197894
chr14	73760139
chr19	48326134
chr1	236097304
chr8	125219462
chr21	36430198
chr12	104671898
chr20	31836372
chr5	140564607
chr8	38528272
chr5	5340527
chr5	140711213
chr2	20579440
chr8	127854370
chr12	122896201
chr7	100015581
chr3	46935639
chr11	20112525
chr10	73252618
chr13	110412338
chr8	23074822
chr21	28993012
chr2	150133804
chr7	48085117
chr17	51153477
chr19	55207296
chr10	122063392
chr11	64335284
chr1	202589411
chr13	110965469
chr4	121711751
chr10	21337069
chr10	102152252
chr3	149180228
chr17	75785051
chr5	14264799
chr14	49862929
chr12	26691705
chr1	150604913
chr19	13851314
chr4	74659977
chr9	86348673
chr3	115790951
chr15	66883571
chr4	4248271
chr1	181112647
chr11	86524316
chr12	124917277
chr7	98419079
chr18	23719846
chr5	10551493
chr16	2835910
chr8	100900591
chr4	77076230
chr7	100867298
chr3	149340145
chr19	5828352
chr1	201713613
chr17	50051196
chr7	102876006
chr22	38701070
chr12	122400664
chr7	44885680
chr1	152048263
chr11	66418294
chr21	45427892
chr15	45456766
chr3	153138891
chr17	80792141
chr18	3624240
chr10	32139508
chr19	48568564
chr10	79157715
chr8	11854130
chr22	35630079
chr14	22537098
chr1	230104916
chr19	3968813
chr6	157763562
chr10	93458973
chr11	10659899
chr10	91901977
chr11	43920897
chr11	47947118
chr6	157764681
chr3	197712452
chr5	56123992
chr6	152095349
chr7	1537368
chr1	156130388
chr2	238864408
chr6	7975260
chr8	9075116
chr3	52287968
chr10	98461005
chr20	3811876
chr6	45445999
chr17	44138372
chr6	158040552
chr5	113513692
chr11	8329031
chr16	71895351
chr5	95859056
chr13	113493491
chr3	30606594
chr10	33134231
chr11	33161605
chr5	65035796
chr2	43294009
chr1	15352628
chr3	16060490
chr11	5280763
chr9	100429480
chr7	99408857
chr20	63682614
chr1	200483678
chr5	74685181
chr8	102806839
chr17	7060559
chr15	67024562
chr21	38787704
chr7	73715812
chr2	100291301
chr11	107840919
chr11	69297537
chr20	45344421
chr11	9759817
chr3	58049411
chr8	73356558
chr10	29659154
chr9	129488696
chr8	27617239
chr2	44087397
chr5	143246214
chr9	12814604
chr11	12044176
chr20	51750341
chr11	86743572
chr9	128635517
chr6	8085218
chr21	34527000
chr17	28335529
chr1	205294735
chr18	70422309
chr17	45124215
chr10	24902232
chr15	92804114
chr3	182212648
chr14	34497108
chr12	69689287
chr12	52147509
chr3	10192221
chr10	90921367
chr8	30812861
chr11	1772722
chr5	42950805
chr8	27614764
chr9	127562030
chr14	77303871
chr12	93785408
chr2	237501126
chr7	151727868
chr22	38178208
chr17	78862294
chr10	68153771
chr11	1572347
chr19	3155286
chr3	56132399
chr10	17228535
chr7	55133031
chr11	34685488
chr13	50245267
chr16	86664698
chr1	39183917
chr1	37534635
chr1	234997457
chr5	72848136
chr6	3912087
chr19	32373967
chr9	121282043
chr3	141368426
chr5	135247090
chr9	125243450
chr5	132866597
chr2	174039994
chr17	77088712
chr17	66275806
chr9	73149674
chr19	2543801
chr6	36441595
chr7	1520789
chr3	57060578
chr1	85329141
chr18	48998340
chr2	152200768
chr3	15769159
chr7	28686069
chr15	98897078
chr10	71871494
chr15	95247256
chr17	19004862
chr22	40652139
chr1	41496398
chr2	55050566
chr10	71851241
chr10	119306216
chr7	83468470
chr10	6239407
chr16	87779268
chr22	39308973
chr7	76291717
chr8	102654032
chr1	19011234
chr11	10490735
chr2	85499275
chr17	81095012
chr3	40971819
chr13	41194471
chr13	33126391
chr10	72320899
chr2	42133151
chr6	36442935
chr2	65366782
chr6	129684153
chr16	19107956
chr17	35587279
chr1	201714798
chr11	43831134
chr8	133218009
chr1	12550008
chr19	11095225
chr5	132389845
chr1	36464431
chr2	209496152
chr19	4870308
chr21	33947930
chr1	28885110
chr19	14006903
chr1	58848998
chr17	64707346
chr1	227357536
chr18	8891113
chr4	173252536
chr14	75536054
chr7	50535054
chr13	113187552
chr17	45293635
chr16	9127763
