Chrom	position
chr20	33915121
chr22	20067350
chr6	28557183
chr7	74408242
chr8	139272350
chr15	101979772
chr9	32136919
chr9	116157706
chr2	260889
chr7	27173554
chr11	34448817
chr19	46220737
chr4	152246901
chr4	54448503
chr1	156056172
chr5	125704380
chr3	67697947
chr12	115861469
chr16	81482243
chr8	142244817
chr3	10266625
chr19	39250396
chr11	704973
chr1	183042611
chr22	39699478
chr5	52773019
chr10	125795575
chr12	76294872
chr9	116267248
chr8	39912334
chr8	13224373
chr7	22481945
chr3	13405764
chr19	7717158
chr16	57896806
chr11	60648597
chr8	122361165
chr3	16374664
chr3	186076980
chr12	133047815
chr5	77570715
chr6	31623528
chr1	155063923
chr17	79075604
chr10	6321611
chr3	13041014
chr9	33415719
chr6	111893706
chr19	33888181
chr19	738622
chr12	49304141
chr12	89784758
chr3	47012238
chr17	63553697
chr3	141079935
chr10	33797036
chr19	18625814
chr11	119570112
chr5	156718453
chr1	65942188
chr14	38260749
chr12	111805539
chr12	755900
chr11	77867616
chr1	95587951
chr1	22102649
chr6	35383213
chr8	58721386
chr14	94425893
chr1	100054857
chr17	80304457
chr2	73228380
chr16	27285336
chr4	70689320
chr1	200232462
chr12	69198635
chr17	80526478
chr1	156441501
chr2	163436622
chr22	31982675
chr9	116412729
chr6	168134868
chr3	195782777
chr20	56152913
chr22	43196894
chr11	61345287
chr7	139952736
chr22	32211497
chr18	74766841
chr22	25797025
chr14	93451434
chr21	43655036
chr5	55230094
chr11	68625179
chr8	59008641
chr2	224888014
chr17	80225605
chr2	45600835
chr8	9640064
chr1	9561350
chr5	59968822
chr19	2639347
chr7	155602384
chr11	61537226
chr19	2650633
chr22	31828128
chr11	61867124
chr19	2636325
chr4	155481466
chr19	2474736
chr7	155062128
chr11	62235410
chr4	155903790
chr19	2540948
chr7	155445431
chr11	62063151
chr11	62027951
chr11	62012884
chr4	155540046
chr19	2576227
chr19	2577084
chr11	61515350
chr4	155539078
chr11	61822174
chr11	61769388
chr4	155517168
chr19	2611324
chr4	155498636
chr19	2685817
chr11	59866197
chr19	2740237
chr11	58648309
chr4	152015571
chr19	4131164
chr19	4145967
chr11	57407421
chr19	4153419
chr19	4173216
chr11	57270517
chr7	157348220
chr11	57221221
chr4	147558223
chr19	4400715
chr19	4424548
chr19	4518657
chr19	4523465
chr7	157936403
chr7	157953147
chr4	146652329
chr19	4542520
chr7	158170896
chr11	48131655
chr7	158373182
chr11	47963949
chr7	158378552
chr19	4769705
chr4	144146503
chr4	152020695
chr11	58694014
chr7	155746864
chr11	58713352
chr19	2783497
chr19	2791037
chr4	154427708
chr19	3034858
chr7	156320502
chr4	154190974
chr19	3066682
chr4	154096540
chr4	154049240
chr7	156418461
chr4	153960131
chr4	153872640
chr11	60612401
chr11	60609537
chr11	62282656
chr19	3327157
chr11	59578289
chr4	153408365
chr11	59521642
chr11	59411106
chr19	3411749
chr11	59325050
chr19	3429681
chr19	3553139
chr19	3710596
chr7	154861837
chr19	1897723
chr19	2463199
chr7	154705538
chr11	65719663
chr4	180207003
chr18	77958172
chr7	148160065
chr18	77977566
chr11	65659518
chr4	179335350
chr4	178313294
chr19	341754
chr19	485913
chr11	65621872
chr19	550228
chr19	556791
chr19	566581
chr19	571227
chr11	65341808
chr4	171011349
chr19	591662
chr7	149109607
chr11	65324909
chr11	65323433
chr7	149388267
chr4	170679063
chr11	65187586
chr4	170236201
chr7	149582901
chr19	917822
chr19	927118
chr11	65125647
chr4	180962950
chr18	76829272
chr4	183817118
chr18	72148467
chr7	142946307
chr18	71884078
chr4	184328398
chr11	67007503
chr7	142982671
chr4	184286780
chr18	71984218
chr18	72020606
chr11	66809283
chr7	143015979
chr11	66764542
chr11	66738536
chr18	72035396
chr11	66675534
chr11	65977176
chr7	143092828
chr11	66669595
chr18	72381633
chr18	72419180
chr4	184062396
chr18	72552646
chr4	184001841
chr7	143602032
chr11	66186349
chr7	143604166
chr18	74514178
chr4	183846634
chr4	183819465
chr4	170176016
chr4	170170873
chr4	169989827
chr4	159131669
chr11	63745141
chr4	159968114
chr19	1837976
chr19	1857466
chr11	63684647
chr19	1864308
chr7	151761091
chr7	151778351
chr19	4870324
chr7	152049014
chr11	63370746
chr4	159722422
chr7	152133887
chr7	152591682
chr7	151192203
chr19	2235617
chr4	158141543
chr19	2273844
chr11	62554169
chr7	152759194
chr4	157852676
chr11	62439131
chr19	2288394
chr7	154080367
chr4	157686643
chr11	62359087
chr19	2416729
chr7	154694988
chr11	63775415
chr4	162241732
chr11	65069483
chr11	64622630
chr19	993502
chr11	64933518
chr4	169961886
chr7	150086044
chr19	1065031
chr11	64832075
chr11	64808523
chr7	150102451
chr4	169926829
chr11	64745317
chr19	1183989
chr11	64661920
chr19	1203590
chr11	64614759
chr7	151157188
chr7	150475353
chr4	166424583
chr11	64520215
chr7	150681174
chr19	1283436
chr4	166288402
chr11	64122750
chr4	166233023
chr11	64005119
chr4	166143337
chr11	63986415
chr7	151104139
chr4	162721074
chr19	4866888
chr4	141075385
chr11	47578716
chr19	13143279
chr19	13171556
chr11	17373277
chr11	17186614
chr11	17099359
chr19	13254148
chr11	16827707
chr11	16826279
chr4	113178487
chr19	13302061
chr19	13306701
chr19	13700265
chr4	111561954
chr19	13991120
chr11	14706042
chr19	14134565
chr19	14170658
chr19	14182818
chr11	14634351
chr11	14605134
chr11	14595391
chr4	111119896
chr11	14521413
chr19	14475688
chr11	13162152
chr11	13157149
chr19	14613673
chr19	14629576
chr8	17251147
chr19	14630919
chr19	13162589
chr4	114092425
chr4	109513924
chr8	12615119
chr19	11593563
chr8	11658063
chr19	11641485
chr11	20621471
chr11	20180363
chr19	11887626
chr19	11908447
chr11	20000413
chr19	12034613
chr4	119748392
chr11	19932588
chr4	119590538
chr11	19575484
chr19	12404785
chr19	12436703
chr19	12441351
chr19	12606282
chr19	12656243
chr4	117279967
chr19	12833576
chr19	12894976
chr4	114468927
chr11	18137238
chr4	114325601
chr11	18022424
chr4	114102608
chr11	17791743
chr19	13044537
chr19	13094560
chr8	17364327
chr4	108605205
chr19	11455306
chr19	17241693
chr11	8835339
chr11	8816496
chr8	19122159
chr19	17246436
chr19	17247595
chr19	17250122
chr19	17270836
chr19	17355304
chr19	17371860
chr19	17378239
chr11	8008695
chr19	17414169
chr11	7634759
chr19	17451863
chr19	17577203
chr4	103371119
chr11	6676068
chr19	17907519
chr11	6624864
chr11	6411537
chr11	6374789
chr11	5644217
chr19	18049240
chr19	18057274
chr19	18102204
chr8	21990916
chr8	21995030
chr19	18333025
chr4	102097281
chr11	9007193
chr19	17208588
chr11	12621135
chr11	9384000
chr11	12434013
chr4	108543331
chr11	12245289
chr11	12244196
chr4	108136579
chr11	12107524
chr4	108104514
chr11	11970343
chr11	11313344
chr11	10921511
chr19	15742789
chr19	15754412
chr4	107208678
chr4	106958232
chr19	16152517
chr15	48483246
chr11	10373489
chr4	106819643
chr19	16204614
chr8	17753768
chr4	106395235
chr4	106100896
chr11	9952619
chr19	16575000
chr19	16595427
chr8	18027882
chr8	18523854
chr19	16600009
chr4	105649765
chr11	22702403
chr4	120628696
chr11	47572862
