Chrom	position
chr3	53270256
chr22	35372080
chr19	48963944
chr22	35377114
chr5	140711207
chr11	61972046
chr11	9364410
chr4	8303783
chr9	134407457
chr7	101100294
chr3	53236348
chr17	80254950
chr1	93909473
chr1	31170987
chr5	91314461
chr17	19753166
chr6	87723472
chr12	104286939
chr3	9977155
chr1	45522010
chr4	83548651
chr2	29130471
chr10	71860617
chr2	240387795
chr15	72237574
chr16	14310711
chr9	110256958
chr14	76956773
chr19	10502797
chr7	92809886
chr1	53326196
chr5	179819597
chr3	120678713
chr17	45949193
chr20	10511736
chr7	112423086
chr6	34657603
chr8	30727924
chr7	76380245
chr12	6891031
chr1	225817849
chr17	50661964
chr7	126701222
chr6	53548247
chr7	108246483
chr4	113837621
chr17	75096329
chr12	120087050
chr5	58260001
chr10	99776057
chr9	129570836
chr1	21022468
chr5	121274308
chr4	39515238
chr12	127083558
chr9	21591809
chr3	25582398
chr11	103625562
chr11	65419239
chr11	5280763
chr6	3001997
chr7	131110012
chr5	140718844
chr7	75938073
chr6	29965021
chr12	6430745
chr10	5020429
chr12	104219529
chr12	16349202
chr1	9300314
chr8	101376227
chr1	93662278
chr11	69420737
chr3	177810265
chr2	219217960
chr5	149806009
chr16	1379099
chr6	83431186
chr2	47089178
chr16	16022216
chr2	111321231
chr8	118881670
chr4	8228754
chr17	60469913
chr11	20364095
chr3	14410875
chr1	32725346
chr11	95925206
chr14	104677923
chr6	17703535
chr16	25048697
chr5	33850283
chr16	69727014
chr17	81923617
chr20	50292750
chr6	47135885
chr16	57810473
chr3	17639450
chr22	50170174
chr8	61722056
chr16	14501711
chr15	36428417
chr1	110004044
chr2	25997890
chr2	147829326
chr12	78759627
chr6	7732458
chr1	185484355
chr10	31129431
chr4	13921149
chr1	8197890
chr21	33761878
chr9	129168237
chr20	50166230
chr6	41961874
chr5	160316153
chr1	109719488
chr12	25276367
chr1	109792355
chr1	167820123
chr17	41645992
chr16	81405956
chr6	52929551
chr22	49970967
chr15	59543989
chr8	33105134
chr10	78256311
chr7	139916193
chr3	153138804
chr18	23719857
chr20	653463
chr3	172135932
chr2	156431217
chr1	78003476
chr6	145813452
chr5	74852137
chr1	234369962
chr9	128001945
chr2	209496159
chr9	5839478
chr3	12750364
chr16	24838914
chr3	124263383
chr6	32970238
chr15	43441065
chr13	28753684
chr19	34359590
chr9	120684601
chr8	130000076
chr20	41643754
chr2	213251761
chr14	90388636
chr3	129855994
chr2	127064928
chr3	144586599
chr21	34836243
chr7	83468473
chr17	37488385
chr12	88299804
chr5	174532695
chr18	59917696
chr12	104671904
chr16	89326216
chr1	117821948
chr6	34664489
chr15	80160786
chr11	1772696
chr3	45183484
chr20	58524996
chr19	45809928
chr2	205734598
chr8	119580591
chr3	184006367
chr4	73599466
chr15	81029810
chr3	49218784
chr20	31560294
chr1	84103546
chr12	80778302
chr14	89000741
chr12	123126746
chr1	89906820
chr6	31822233
chr9	72858435
chr1	204647715
chr3	170506734
chr1	196078899
chr4	88178475
chr6	33840193
chr5	39756078
chr13	44174851
chr10	24921561
chr11	34045171
chr19	29691109
chr18	60053880
chr5	142598301
chr5	107466300
chr16	65975291
chr15	100241764
chr12	58310969
chr6	3473306
chr4	40673075
chr2	109558674
chr12	124916524
chr12	88944485
chr2	113831409
chr6	3913219
chr18	70337332
chr10	62769747
chr1	28885105
chr15	67107164
chr2	232444570
chr2	68908675
chr18	9825777
chr21	36069870
chr6	41917699
chr10	5071913
chr2	19786599
chr2	233700267
chr1	225428864
chr3	114625025
chr10	3313993
chr9	94937681
chr7	87370857
chr2	191950688
chr3	31357122
chr18	74251818
chr1	156661530
chr8	61876953
chr17	64635850
chr6	85390983
chr12	96501240
chr13	32153191
chr4	128517883
chr12	112837710
chr6	56890768
chr17	72389370
chr2	25516943
chr7	74994142
chr20	14214209
chr4	77637100
chr17	29639457
chr8	143454776
chr12	108838560
chr9	137482387
chr2	8229779
chr17	55090424
chr2	161123422
chr2	183059737
chr1	37455228
chr16	15879614
chr17	45371762
chr15	44385208
chr9	105297056
chr1	42941928
chr17	65064825
chr6	13395502
chr2	191217759
chr14	56340162
chr11	13338631
chr7	43572685
chr10	110426061
chr18	76477092
chr1	84946114
chr9	111601851
chr20	36050972
chr8	53945091
chr7	134448858
chr4	6732788
chr16	14529253
chr4	113646016
chr6	116034536
chr10	95229877
chr7	134594039
chr14	58171266
chr11	15969579
chr12	92078372
chr5	69046555
chr1	45098137
chr17	76660033
chr10	119304131
chr11	126353490
chr14	91149571
chr8	71831477
chr2	45025131
chr17	57950993
chr21	45460838
chr2	45617284
chr9	116092065
chr4	37008386
chr10	86318202
chr20	50030167
chr12	645705
chr6	89035708
chr5	119324458
chr6	90198039
chr2	202039117
chr10	79317841
chr16	56813076
chr6	37638887
chr7	73775154
chr12	88247400
chr2	159069808
chr10	5291833
chr16	48123297
chr6	4402617
chr9	113455447
chr1	26849404
chr19	29688456
chr3	197117319
chr2	191867214
chr3	196339948
chr20	47392314
chr15	51869211
chr1	45266533
chr10	4941697
chr20	51687229
chr7	82204900
chr3	177360056
chr7	55547001
chr11	123454412
chr6	10759491
chr12	6532692
chr6	4358765
chr6	105522855
chr10	126199433
chr5	84288188
chr6	52508085
chr10	65891502
chr3	124812985
chr3	81743549
chr1	94545295
chr19	51350850
chr3	144590973
chr5	166883203
chr8	130503343
chr9	35924044
chr20	5066103
chr15	92429688
chr3	142976804
chr2	28269372
chr16	76947073
chr14	50061226
chr6	17907868
chr3	72018532
chr11	74806438
chr1	3313298
chr6	145749799
chr11	74288365
chr11	35579856
chr18	9869939
chr9	35072093
chr8	118788415
chr18	3653042
chr9	129955086
chr2	111699059
chr6	26066154
chr4	74682897
chr1	8880197
chr16	83953140
chr4	73704703
chr1	172980668
chr3	149373974
chr1	172934067
chr2	27016018
chr9	33619770
chr1	109824015
chr7	24733333
chr6	137681168
chr4	138242444
chr8	128065731
chr1	91282902
chr5	169856776
chr2	127414016
chr11	109946506
chr13	110456127
chr5	173778882
chr12	121801080
chr5	95842082
chr11	66950236
chr4	176879568
chr7	157490651
chr3	129687162
chr3	159787326
chr5	32760239
chr1	152168056
chr11	69301775
chr14	94602127
chr7	76373424
chr7	108211655
chr12	28035731
chr18	70907897
chr3	43584311
chr7	105648985
chr11	62368439
chr4	188976732
chr7	104964082
chr3	43773410
chr4	15150018
chr14	52343034
chr4	31557617
chr10	5284647
