Chrom	position
chr17	10119928
chr18	22914013
chr2	8540078
chr4	105683237
chr8	101492676
chr7	1559172
chr9	87766923
chr17	81037560
chr1	62180827
chr16	87945942
chr12	67520051
chr2	203579227
chr3	176167473
chr1	226107687
chr6	53744530
chr17	81722399
chr12	42757191
chr2	128305353
chr11	46898901
chr8	101438590
chr20	40664386
chr8	101437290
chr10	14991262
chr3	168878001
chr1	42943458
chr16	66278277
chr14	77008082
chr17	17078650
chr7	151819294
chr17	2346622
chr10	62112539
chr17	57016818
chr6	113494201
chr10	125064875
chr5	76290411
chr19	15136464
chr3	14406087
chr5	168359985
chr6	138818034
chr1	15912083
chr17	62861062
chr3	72628306
chr1	184590568
chr2	38409318
chr6	5034927
chr2	119283919
chr12	110345496
chr3	154060043
chr2	14288283
chr9	92152193
chr5	133065693
chr4	151035622
chr2	84474372
chr3	4438529
chr7	138304099
chr12	14929197
chr4	25300063
chr11	34274935
chr12	121227505
chr5	107217807
chr19	13162844
chr9	135438815
chr5	160924126
chr2	211766901
chr19	21439534
chr16	85492131
chr6	36154527
chr15	70093814
chr16	4369168
chr4	177511820
chr21	38234951
chr2	71024031
chr19	38291083
chr22	46597036
chr11	70048907
chr17	83089432
chr16	12899708
chr4	56753194
chr13	30486620
chr9	113341904
chr11	71745807
chr3	58112074
chr9	123327884
chr7	101608972
chr2	102505570
chr7	2733369
chr4	94540690
chr3	192273822
chr1	40899707
chr14	102692000
chr20	62427646
chr2	71050153
chr15	58330314
chr3	192897188
chr3	124592862
chr9	77663985
chr16	11359522
chr1	19787136
chr18	63075060
chr3	13229707
chr10	101111299
chr6	157221326
chr19	23822888
chr10	74206930
chr6	167751212
chr13	51674489
chr1	2002039
chr19	4801029
chr16	10594745
chr19	12786707
chr21	45513646
chr10	11874720
chr14	61356065
chr14	75200747
chr1	76687454
chr11	71912090
chr22	24303538
chr6	7201384
chr2	9951782
chr11	121478457
chr21	41536557
chr4	11614579
chr9	109345595
chr9	14251568
chr15	29812439
chr3	187750228
chr1	169891510
chr3	197541312
chr6	72216417
chr12	89226064
chr5	96734223
chr3	87359978
chr17	28528092
chr7	76293853
chr5	93801197
chr5	78504860
chr12	67593258
chr3	18758204
chr1	933266
chr17	76262951
chr5	73229375
chr10	99931060
chr14	64967173
chr2	99404607
chr12	101608660
chr8	38090073
chr1	27144588
chr12	87440375
chr14	91127657
chr18	31157618
chr11	65468981
chr19	33005586
chr19	48543624
chr11	57781777
chr13	21477244
chr9	83062976
chr10	49419196
chr4	185383660
chr3	193791797
chr17	79665116
chr15	59456365
chr15	58604628
chr11	77471960
chr16	88765142
chr14	99579325
chr11	72183599
chr20	33651217
chr7	22573147
chr2	133641689
chr9	96868918
chr12	1831167
chr7	116781185
chr10	42646864
chr2	149169818
chr22	40397123
chr22	41844691
chr6	35342336
chr5	36745407
chr6	19860673
chr7	131347404
chr9	125538263
chr22	31313557
chr19	47581788
chr1	85460763
chr22	31207401
chr1	85225267
chr4	48954937
chr15	40787664
chr22	30298522
chr14	75635116
chr19	45451033
chr1	6220446
chr13	98416575
chr3	52265542
chr4	28481765
chr6	139858642
chr3	51388809
chr3	128435369
chr17	41772371
chr2	241562064
chr12	1332592
chr9	70205882
chr6	73871105
chr10	77607018
chr19	49157782
chr17	82858513
chr3	73024978
chr21	14114463
chr19	10625490
chr8	81104487
chr5	134020313
chr1	1504978
chr10	84527666
chr1	223134204
chr17	50532711
chr2	62307085
chr8	37904209
chr3	94028633
chr12	14514378
chr12	31749372
chr11	71615179
chr7	12801429
chr1	23957315
chr6	143896789
chr1	115911480
chr10	88851886
chr1	36437074
chr11	38461111
chr22	29470664
chr17	28498137
chr1	8789804
chr22	28818685
chr17	40958248
chr2	64065729
chr2	148875046
chr11	112780934
chr7	137979376
chr18	79062931
chr13	49399985
chr22	27629443
chr17	80166604
chr8	26391238
chr4	8422521
chr10	91880563
chr4	168587484
chr19	2953338
chr6	138662682
chr19	7590480
chr5	55219138
chr5	149547149
chr1	161723980
chr20	25000389
chr1	162168409
chr1	45730670
chr4	26857743
chr15	41838522
chr6	10163349
chr6	4018816
chr1	184930128
chr9	133874248
chr2	101327943
chr8	70328052
chr12	26101543
chr11	126365577
chr4	84924639
chr1	48093906
chr4	116016488
chr20	48946070
chr2	96772042
chr18	44762070
chr4	110119532
chr22	41003287
chr2	98909780
chr7	30166374
chr2	33599490
chr3	134382065
chr11	129024241
chr16	85570620
chr6	151703320
chr3	80696561
chr12	52217513
chr2	36963273
chr12	16524599
chr5	142403809
chr1	8705328
chr9	128298992
chr2	9644787
chr2	105853862
chr4	53644816
chr1	85582518
chr9	135499750
chr4	68447379
chr22	49951376
chr6	15090019
chr1	50960444
chr20	14765014
chr1	183160149
chr1	26354239
chr10	24886472
chr19	13170011
chr1	26867994
chr11	7597899
chr1	182687565
chr8	27408389
chr6	28985548
chr12	14208101
chr8	29765459
chr20	36461160
chr2	132268612
chr2	70141333
chr9	107244048
chr1	74652810
chr10	89275570
chr11	34002626
chr19	1181847
chr19	34173347
chr5	94916833
chr7	21504245
chr18	23331462
chr21	37176819
chr9	84255159
chr7	44618912
chr11	11845263
chr19	11344580
chr6	108384193
chr5	91162876
chr9	94917060
chr11	2202513
chr3	174859255
chr8	38793343
chr17	14098436
chr19	4861339
chr2	162733181
chr20	38599757
chr13	46135370
chr9	90755681
chr17	50904624
chr17	83097077
chr3	120147580
chr1	202034982
chr3	182165446
chr3	182739300
chr2	25184562
chr20	33796728
chr19	6237033
chr10	69333423
chr1	40107738
chr2	120291547
chr19	40719003
chr14	75554788
chr11	74532699
chr13	107026112
chr8	53735006
chr5	128682458
chr12	8285900
chr20	58856203
chr22	45896693
chr19	49713684
chr18	3595978
chr15	70825227
chr17	35299284
chr16	50668791
chr1	150624329
chr3	197483492
chr15	40245411
chr9	93577871
chr17	82414878
chr2	101244622
chr3	154181633
chr9	2765423
chr14	90509031
chr15	64515345
chr11	71504689
chr3	183966432
chr10	57898491
chr10	59965569
chr3	31444641
chr7	6842820
chr5	128121882
chr15	71975736
chr4	101981832
chr17	82874628
chr8	141058197
chr2	32938231
chr2	159715743
chr16	30104693
chr1	113103255
chr1	214216991
chr1	177585680
chr7	50685907
chr10	73601718
chr10	17182020
chr10	110819013
chr13	106144359
chr4	7941316
chr16	68744920
chr11	48050101
chr4	90174904
chr1	93322535
chr3	42476968
chr3	58350470
chr8	56958743
chr22	46375412
chr6	108294827
chr16	80718655
chr2	229930928
chr10	30522815
chr9	112170446
chr19	5298516
chr6	45419752
chr3	160784966
chr1	162587504
chr12	22410679
chr1	23452137
chr5	92941989
chr13	108218438
chr7	36390379
chr3	49104911
chr12	3315367
chr1	156284272
chr9	34484870
chr19	38831345
chr14	95197779
chr21	15722880
chr12	47247602
chr2	111288341
chr13	40921936
chr3	192597699
chr6	136317188
chr7	73832361
chr19	16615112
chr1	22412691
chr12	131872436
chr12	89117523
chr19	34459827
chr2	220179517
chr17	82104192
chr22	49488109
chr6	134379254
chr19	48552104
chr17	17186144
chr17	74968542
chr4	56681414
chr1	8575180
chr16	67404895
chr12	32605525
chr3	150149960
chr2	216626375
chr16	85520990
chr8	52467199
chr1	20137194
chr10	102819300
chr8	63008086
chr1	9950555
chr13	75705048
chr17	50534428
chr12	120929401
chr8	19291613
chr19	10184763
chr22	20843705
chr22	36052800
chr4	169635163
chr5	157913170
chr3	128710001
chr11	3477126
chr9	128271300
chr22	20567678
chr8	9045324
chr16	19716404
chr10	80101068
chr6	157198550
chr10	92123333
chr2	29233685
chr4	175935219
chr21	36510192
chr20	31604283
chr1	229199413
chr7	128259906
chr16	3010012
chr19	12035830
chr9	125449764
chr20	45345809
chr20	36447298
chr7	142783548
chr21	45408085
chr15	78968929
chr5	145531578
chr5	38614375
chr12	62215671
chr10	132408082
chr5	38636857
chr1	87201153
chr15	34183174
chr1	39133309
chr1	246608966
chr19	12453691
chr6	158910574
chr5	56669265
chr18	48308219
chr12	120394844
chr8	123528377
chr4	105991165
chr5	168346653
chr21	34877667
chr10	93466255
chr1	2416462
chr1	39988867
