Chrom	position
chr9	128059431
chr2	121793930
chr17	53510666
chr9	117670574
chr1	100951566
chr15	39566313
chr20	31961809
chr19	41427188
chr2	43861936
chr1	156441543
chr2	198478405
chr12	73777815
chr18	74974849
chr14	61905902
chr13	82448516
chr8	102373297
chr15	62042818
chr4	88340923
chr6	76234333
chr6	139696723
chr2	220263743
chr12	55286084
chr8	134228899
chr6	12492784
chr6	36991335
chr14	65693840
chr3	188557197
chr12	95712132
chr13	99068799
chr2	30440918
chr9	112852179
chr1	246772184
chr12	13036462
chr6	52590773
chr12	102002368
chr2	18981838
chr15	42220419
chr6	35383194
chr3	183009655
chr5	142974912
chr8	94080707
chr2	201651331
chr10	67651023
chr8	79442843
chr2	102183453
chr17	50496831
chr5	57365870
chr2	127984378
chr15	84599717
chr11	94578996
chr2	208880417
chr1	185666130
chr1	172715731
chr11	34689879
chr2	43690527
chr7	99601732
chr1	229357432
chr15	69760250
chr15	70386067
chr1	184874918
chr4	83474420
chr7	22713105
chr5	173251324
chr12	120154523
chr5	17306206
chr20	58628627
chr7	99698258
chr15	90300325
chr4	92761659
chr11	60138383
chr17	5135689
chr5	147215087
chr15	66125153
chr4	55011058
chr7	44078933
chr1	80858313
chr3	140676163
chr5	39716950
chr11	94442046
chr7	22633862
chr10	98356596
chr12	96442302
chr14	32777567
chr6	48884370
chr9	82283206
chr20	37233677
chr18	56217326
chr1	24054195
chr1	61608741
chr1	200341356
chr1	66918003
chr5	23494870
chr14	89642607
chr15	81097680
chr15	82555901
chr7	29489698
chr2	190090936
chr9	82104719
chr6	109028697
chr10	76635866
chr10	52339944
chr9	3962601
chr17	46238141
chr2	201124465
chr3	133171923
chr8	93977251
chr10	51531303
chr5	104952466
chr17	55978896
chr2	190701598
chr7	99425110
chr4	173959867
chr11	60926324
chr3	189788991
chr6	156758875
chr21	16072560
chr3	181568989
chr2	180439134
chr14	62178423
chr10	20912041
chr8	42906100
chr7	22481969
chr2	100684383
chr10	127600747
chr5	143039396
chr18	29952233
chr7	83652102
chr12	26922316
chr7	110174909
chr8	142238750
chr5	82561225
chr14	63267471
chr2	165550114
chr10	28552380
chr6	81237419
chr2	26235314
chr12	12932696
chr8	117000192
chr12	6344876
chr22	31975977
chr3	59650319
chr12	53194775
chr10	122012861
chr3	8486261
chr2	120824908
chr12	46887838
chr5	34246223
chr1	235096601
chr5	42108783
chr7	105457614
chr8	29184948
chr15	69896459
chr11	30510337
chr12	50635202
chr3	192569798
chr1	147084394
chr7	23374452
chr8	119004479
chr3	176573849
chr11	67113623
chr15	69884427
chr14	38110511
chr13	70965993
chr8	29642520
chr19	18491099
chr9	89255177
chr14	92814680
chr5	78469684
chr5	168019131
chr21	43203814
chr2	240737732
chr17	39114528
chr19	42408757
chr12	22569009
chr3	44912129
chr8	129165488
chr10	114571808
chr4	42826786
chr7	84158963
chr3	40509691
chr1	55354265
chr14	77500684
chr21	35174140
chr4	47718240
chr4	41134527
chr1	149980838
chr10	127525388
chr20	58532822
chr7	23114766
chr18	55416139
chr1	21578580
chr21	44764381
chr9	110582273
chr4	169601127
chr17	74637851
chr2	231603853
chr4	106507429
chr14	36678114
chr3	70787252
chr6	140299184
chr8	102479501
chr13	24544067
chr16	84130403
chr5	153676552
chr15	70800360
chr6	10613511
chr8	62695446
chr17	79367930
chr20	45637990
chr21	37560529
chr10	95205554
chr6	49636114
chr12	93481299
chr4	89240317
chr5	132385496
chr11	86716486
chr12	31902455
chr19	51574391
chr10	98430834
chr15	39165605
chr8	113039068
chr3	101899707
chr7	80135529
chr3	143881058
chr11	46295599
chr14	68631726
chr1	232300274
chr13	50432841
chr2	38030344
chr16	2439032
chr4	158916166
chr3	58457249
chr3	193430153
chr3	148343211
chr11	5642625
chr15	29694045
chr10	123822911
chr11	111180358
chr14	37905873
chr9	140559300
chr2	75380597
chr8	26165706
chr4	151384054
chr17	15288849
chr10	62042805
chr7	87856479
chr2	7172079
chr3	39093480
chr5	70928172
chr17	78734651
chr7	122611590
chr9	128035135
chr22	50835650
chr19	33193131
chr3	32221945
chr12	46653025
chr18	28779483
chr1	204053591
chr1	184899245
chr15	99198298
chr15	62862510
chr6	49490824
chr6	43672730
chr1	41178203
chr11	111205577
chr2	181628511
chr15	52580735
chr15	94654172
chr7	20999076
chr12	103767153
chr1	94787473
chr11	57568197
chr8	126442500
chr6	3665082
chr16	14750496
chr1	22675085
chr18	70857133
chr10	12762579
chr8	113472388
chr5	142120234
chr1	189744067
chr11	76747614
chr17	25574632
chr4	88226018
chr6	15949758
chr7	47991185
chr6	109074056
chr16	81801987
chr14	61509114
chr4	81536486
chr10	57899323
chr1	226667275
chr3	172468269
chr1	244883195
chr3	196514790
chr11	107279629
chr9	90066189
chr19	2507268
chr2	213805012
chr13	111462400
chr17	57923094
chr11	12270177
chr16	14114249
chr4	89256303
chr12	59159973
chr5	158616335
chr6	92216417
chr18	30192764
chr10	68874927
chr20	47428843
chr5	19881050
chr3	166547819
chr1	22740844
chr13	99636580
chr16	54961365
chr11	129194631
chr6	11435136
chr7	6278136
chr2	48449222
chr17	58997679
chr19	54367857
chr7	1196757
chr19	11455178
chr9	33415777
chr2	26995429
chr1	75155708
chr2	233165952
chr9	88708799
chr3	169375314
chr16	69430648
chr7	96579255
chr22	29219063
chr1	202349471
chr3	161138695
chr12	89320019
chr11	58693998
chr13	95097280
chr8	59426001
chr10	89879100
chr1	42805977
chr7	17598764
chr6	141882514
chr4	77492626
chr2	186678588
chr10	110481855
chr7	5553940
chr3	185827032
chr9	89020285
chr7	7154573
chr10	5535836
chr6	113811750
chr2	198522490
chr13	108614832
chr12	54219252
chr7	17029695
chr10	5804690
chr3	174845205
chr6	154912071
chr4	169422685
chr8	123798264
chr17	37859769
chr7	27702765
chr12	115251169
chr4	54322151
chr1	8121518
chr3	101644609
chr12	124615426
chr5	90515151
chr11	76772373
chr22	41128870
chr8	135898914
chr3	38028600
chr1	161368035
chr8	30389192
chr9	130336997
chr6	23548071
chr2	55391213
chr8	53379727
chr20	32898463
chr16	14659448
chr1	197632607
chr2	33516585
chr5	5136259
chr5	58844913
chr13	34699208
chr14	90980061
chr1	42801953
chr14	65973800
chr8	19745508
chr17	59434202
chr6	15027311
chr11	86417595
chr16	80648015
chr6	147513608
chr4	162721051
chr4	37009985
chr9	83364630
chr8	82556229
chr9	140444883
chr18	21795970
chr6	90650326
chr19	47274381
chr7	4784665
chr5	123935543
chr5	179111109
chr20	39044089
chr8	98279866
chr11	117588716
chr7	21984447
chr4	40193343
chr11	76513016
chr15	94540566
chr13	106781820
chr9	129436174
chr2	10724742
chr8	62647129
chr15	45679766
chr5	127270792
chr7	79768713
chr15	59846508
chr4	102806944
chr15	86558525
chr6	83718548
chr12	46886495
chr1	53573471
chr1	234594293
chr13	101386789
chr3	171850720
chr6	108999297
chr15	39748047
chr7	115913503
chr17	59413563
chr4	6697636
chr1	162844005
chr14	61083580
chr3	105554668
chr11	84698986
chr10	112186125
chr4	102842741
chr18	69350016
chr7	98726344
chr16	68778854
chr19	48151661
chr19	7463814
chr15	68208094
chr6	126063758
chr3	113864311
chr6	131029630
chr5	127221092
chr8	644479
chr3	185514559
chr8	88178713
chr1	235459487
chr15	42563494
chr3	97646709
chr2	110402412
chr3	54356637
chr9	118257759
chr13	110228885
chr9	104151201
chr17	71423534
chr11	72784018
chr2	151022964
chr9	128300505
chr8	56940521
chr17	30130872
chr4	184681590
chr1	33808044
chr8	94678636
chr8	21124011
chr11	114186837
chr22	24903101
chr8	81397730
chr12	56520152
chr14	65078180
chr17	8657379
chr12	64199992
chr1	236552762
chr6	127668482
chr5	40775609
chr8	42764986
chr9	110893378
chr5	171810499
chr9	92762486
chr3	181854113
chr5	101558706
chr12	68108607
chr13	97578377
chr4	129482099
chr8	63436002
chr5	123997448
chr3	177077867
chr15	30104511
chr6	126039480
chr8	52811725
