Chrom	position
chr18	57476538
chr3	64368583
chr17	1230074
chr2	39151107
chr1	98430173
chr19	18380295
chr17	1998139
chr14	37544567
chr5	84131649
chr10	46064435
chr5	122419342
chr1	61978971
chr5	53477082
chr3	120591318
chr14	29822440
chr12	94586842
chr9	77142457
chr1	185697137
chr1	46364727
chr4	23821000
chr1	184803116
chr7	20607265
chr4	122331378
chr1	68582226
chr1	107430796
chr11	10669844
chr10	125912190
chr12	93677201
chr13	84713067
chr1	39973807
chr20	1384277
chr8	124563748
chr19	2953352
chr1	13881668
chr1	97169257
chr1	36163443
chr9	14180365
chr17	48795722
chr12	4707463
chr1	166754091
chr1	31897651
chr12	124188653
chr1	150206308
chr5	17216245
chr7	142088229
chr16	29765653
chr1	229844323
chr15	74349584
chr6	81774911
chr12	79707753
chr10	78528992
chr1	154337785
chr14	69531342
chr11	107831137
chr10	34845105
chr12	67915432
chr1	58183529
chr7	101816056
chr11	46171114
chr12	54456396
chr11	13930514
chr1	225772643
chr4	26039816
chr4	148503939
chr10	97328942
chr6	95593189
chr17	72992463
chr14	22561366
chr11	13604104
chr3	149042546
chr16	19660628
chr1	219232737
chr10	80662681
chr14	99980840
chr17	40850512
chr4	140008704
chr12	27888799
chr1	166609633
chr1	232975026
chr18	34222503
chr1	28648683
chr1	8248000
chr1	184025399
chr17	76660103
chr10	98333029
chr7	124085269
chr10	33396043
chr15	70831605
chr4	20519263
chr3	172317713
chr14	70359818
chr1	164205470
chr17	77916603
chr11	43967676
chr9	35258002
chr4	139921964
chr17	7045832
chr12	119685480
chr15	72033611
chr2	181546228
chr1	232665432
chr9	2466438
chr9	112065846
chr6	135033348
chr1	153709982
chr5	100130486
chr19	50869607
chr6	48080396
chr10	33287310
chr9	86519626
chr19	50850836
chr2	139083231
chr16	67786439
chr11	46519516
chr10	118305968
chr8	116959433
chr6	156994468
chr1	211184196
chr22	23527411
chr11	9875046
chr9	23505440
chr1	148522745
chr1	182203451
chr6	125232098
chr12	96465861
chr1	177441141
chr1	182280766
chr8	125286144
chr7	155637950
chr4	127975713
chr7	80374518
chr3	70277438
chr6	125718300
chr9	14888666
chr13	100235501
chr1	148373228
chr7	122122682
chr9	119951845
chr7	43894038
chr1	78451930
chr17	46774691
chr11	112318005
chr17	66724806
chr20	14413699
chr18	59974367
chr5	15900668
chr2	102669585
chr11	9076682
chr6	99080423
chr2	28930400
chr3	69282402
chr21	10359592
chr14	103422123
chr3	42345469
chr11	10645168
chr13	73667471
chr8	112465266
chr20	18417243
chr1	163922401
chr11	12534598
chr7	79236702
chr8	100692637
chr1	55473039
chr14	65408617
chr13	48038261
chr11	16766595
chr3	128708178
chr11	12874034
chr12	54033701
chr9	14344592
chr5	105883120
chr7	123399163
chr11	108557702
chr20	257608
chr8	140459733
chr10	96276992
chr9	123894309
chr5	32843771
chr11	77357750
chr2	100814791
chr12	30531543
chr7	99321558
chr2	135029702
chr1	149428438
chr6	134166880
chr3	70987057
chr21	37280101
chr4	101694089
chr17	42937115
chr17	70278541
chr14	101657623
chr14	64910215
chr14	70416944
chr1	28346600
chr3	44870713
chr5	133313936
chr3	188583705
chr4	78511129
chr3	179147390
chr15	55407731
chr6	3878625
chr8	27603443
chr3	179132900
chr3	132169433
chr1	93322535
chr2	166157497
chr2	225660564
chr14	32608738
chr1	113255540
chr12	63831422
chr7	128131931
chr1	234969701
chr4	76235790
chr1	83929286
chr2	76378387
chr1	84874607
chr18	24071323
chr11	97768006
chr5	68202178
chr6	142013540
chr11	36464935
chr1	9455767
chr7	138049642
chr12	70644116
chr9	85201188
chr7	108028240
chr1	93129720
chr3	177998365
chr6	87923448
chr17	29108929
chr8	97064962
chr8	80613127
chr12	63103648
chr14	89326602
chr14	88189756
chr4	61922901
chr14	80592783
chr3	108353158
chr20	32335000
chr1	161179953
chr16	52725692
chr16	53767001
chr15	59587326
chr12	66631359
chr8	133728198
chr1	39183992
chr1	39065606
chr19	11138003
chr1	235880183
chr19	11088835
chr1	222805529
chr1	119451912
chr7	94087929
chr6	140054036
chr8	8868255
chr15	59786216
chr8	58128948
chr12	19066588
chr11	34396429
chr7	139431201
chr19	18029849
chr1	38711599
chr11	34632167
chr1	222307353
chr12	64598317
chr7	64895348
chr13	85828369
chr10	15084275
chr1	203439349
chr3	178508635
chr12	19580387
chr4	37250432
chr3	78805071
chr19	3900100
chr9	97627673
chr1	205699653
chr12	71163160
chr2	151853700
chr1	220836219
chr18	71747684
chr17	34916412
chr1	107475090
chr9	5815682
chr2	218569270
chr1	161884601
chr10	34415443
chr6	111657284
chr14	72003040
chr13	43431679
chr10	50286573
chr17	82636714
chr9	76793370
chr13	43236758
chr8	1971290
chr3	177360054
chr1	207028126
chr1	113958535
chr4	6321313
chr7	30778361
chr1	176061251
chr3	185951011
chr12	58302782
chr2	216551449
chr5	149937952
chr1	8467582
chr5	31904459
chr7	75942415
chr12	76117228
chr1	107544461
chr12	49924726
chr9	90368765
chr4	40453574
chr13	44126086
chr1	233331573
chr8	13210415
chr14	94805779
chr3	54547191
chr14	92720187
chr7	128720683
chr4	132576914
chr2	150575703
chr22	43436480
chr9	111349011
chr17	30344554
chr2	79687434
chr10	112615154
chr14	34361475
chr8	76690255
chr1	224178936
chr3	177812652
chr1	237747237
chr12	12434980
chr9	20363965
chr22	42805305
chr1	189538610
chr6	138241766
chr5	68134669
chr1	206515082
chr21	32495429
chr2	171327260
chr1	92641331
chr5	131160322
chr18	73168739
chr14	35670044
chr8	26088774
chr10	77305898
chr7	12902093
chr9	117400232
chr1	233945140
chr9	126419666
chr6	43751445
chr9	92595270
chr10	48364862
chr8	109589416
chr5	76398983
chr5	73933465
chr3	106678903
chr5	109688862
