Chrom	position
chr12	51369017
chr1	203321103
chr1	9426523
chr14	22556471
chr9	95462819
chr8	124637649
chr8	60792998
chr19	17305523
chr19	4878805
chr1	160540326
chr12	124609329
chr3	15292325
chr8	101137271
chr19	13164530
chr12	89040288
chr6	159726974
chr6	135323394
chr20	44646426
chr16	81433339
chr8	143516644
chr14	95463553
chr17	57939914
chr14	106767057
chr11	62042226
chr22	26615382
chr9	120897318
chr12	31896806
chr1	181149864
chr12	132430420
chr1	231211595
chr10	43452272
chr4	53748540
chr12	32265191
chr5	1140415
chr5	139388699
chr6	29964980
chr9	114373104
chr16	85448743
chr12	57614780
chr5	130324292
chr16	68257423
chr20	53839728
chr8	51962375
chr1	235954966
chr1	204521353
chr11	66325478
chr5	89343894
chr12	9764963
chr16	85498838
chr5	172837936
chr6	53309754
chr1	23612151
chr12	62260991
chr1	27112444
chr15	77990734
chr20	25090882
chr11	45930285
chr8	81147464
chr2	60366345
chr6	42017278
chr12	116361450
chr14	101876710
chr9	36765982
chr19	13104491
chr16	27174253
chr12	123132239
chr19	35909465
chr19	54388234
chr8	141119824
chr17	31535878
chr12	116803225
chr5	151214788
chr17	78252508
chr15	67784542
chr15	78761707
chr1	206563259
chr20	36098469
chr3	187979752
chr14	50875548
chr7	106895464
chr22	23460909
chr1	234522707
chr7	1510932
chr12	52633528
chr10	1489301
chr15	73697277
chr1	25775074
chr2	110748698
chr8	134606134
chr9	129888641
chr10	119306762
chr9	94861181
chr9	112181375
chr11	122696791
chr4	40301885
chr6	13526843
chr17	29674510
chr22	24427963
chr16	3075075
chr9	37302534
chr22	46239775
chr4	6938443
chr14	105862210
chr6	42010628
chr17	45226214
chr9	93064496
chr17	28738858
chr20	50451172
chr6	15255687
chr11	65552175
chr11	68008932
chr16	11619681
chr20	10453392
chr8	54153598
chr4	173264824
chr6	129684179
chr2	38607952
chr16	29339428
chr2	101224008
chr16	88800144
chr16	66524135
chr16	11308958
chr5	139670454
chr3	108125748
chr2	68727208
chr3	49238655
chr1	117658924
chr9	95494532
chr1	199041756
chr7	92755235
chr19	16086578
chr19	10554184
chr10	74058294
chr17	64966017
chr1	1372179
chr7	22886147
chr1	154837857
chr6	136723984
chr6	24522546
chr3	194306513
chr2	15142307
chr2	4674204
chr9	113582077
chr3	141796632
chr21	33309083
chr15	31361730
chr1	182484712
chr19	7348930
chr3	15647781
chr1	165393170
chr10	80187639
chr2	10382818
chr19	12059762
chr6	148972646
chr14	91397639
chr16	53099159
chr22	22195558
chr22	23844614
chr4	9608540
chr2	74032622
chr14	35856286
chr2	127640222
chr6	30682684
chr10	79137981
chr5	173745363
chr12	92363843
chr20	17856424
chr2	136206835
chr18	63079209
chr9	120892909
chr12	96208931
chr4	183723349
chr2	112881400
chr4	86961820
chr3	5181942
chr21	38985795
chr15	74546422
chr17	1723224
chr1	23613265
chr1	23525970
chr17	68259223
chr4	2835338
chr22	19419888
chr2	25210439
chr21	42461023
chr15	92839841
chr12	108633757
chr5	178068588
chr17	68346701
chr10	72297386
chr19	19668358
chr10	124153177
chr17	29139184
chr4	40205537
chr11	122744151
chr11	64340226
chr17	74780193
chr1	23528785
chr6	25992020
chr7	1512979
chr11	64416295
chr10	52814695
chr1	23955358
chr17	1593023
chr4	67558667
chr19	35206597
chr1	212636884
chr12	122004410
chr6	89357530
chr1	40668994
chr19	2888778
chr6	87923086
chr17	57551608
chr13	99178892
chr9	126471168
chr16	88968292
chr22	39529280
chr2	128754342
chr19	35296207
chr5	151196739
chr8	85190214
chr17	77083778
chr16	30458903
chr6	149565718
chr17	17404092
chr7	108203771
chr17	75689738
chr19	2446514
chr2	10409320
chr10	103181441
chr5	60249033
chr16	27367587
chr13	49215184
chr17	34361602
chr19	18023978
chr17	29560472
chr17	19306513
chr14	73743783
chr4	80139127
chr17	48483633
