Chrom	position
chr1	143246976
chr16	46388678
chr16	1972036
chr21	8220004
chr10	128464587
chr7	95608919
chr1	143266438
chr1	143263452
chr1	143275883
chr9	137188612
chr1	634029
chr4	49141093
chr2	92081323
chr4	90210103
chr17	38825368
chr21	10270282
chr1	124450867
chr13	16113628
chr5	49666211
chr8	45929270
chr8	45933682
chr8	45937185
chr8	45940561
chr22	16315099
chr10	38485589
chr1	143202959
chr4	158672579
chr13	48305840
chr7	57495588
chr7	58033208
chr1	143256239
chr1	143235053
chr1	210653938
chr4	185112232
chr7	158151457
chr1	143245012
chr8	143669584
chr5	49666967
chr6	167676289
chr18	11947346
chr12	132144386
chr4	51107522
chr12	6336574
chr12	120446413
chr4	49138064
chr13	17590251
chr1	1724417
chr17	26603920
chr2	161278818
chr17	27247507
chr1	143185006
chr1	125181612
chr1	125173945
chr1	143264272
chr1	143212219
chr1	143197578
chr1	143253321
chr16	46384822
chr11	68839431
chr21	43262714
chr20	28513658
chr19	8367516
chr1	143218182
chr16	1025401
chr1	124054925
chr1	123853390
chr16	34596096
chr16	34576706
chr10	42070578
chr1	143234472
chr16	34071604
chr1	143230886
chr21	9823572
chr5	141524951
chr13	17481170
chr6	111602692
chr7	60928524
chr2	28870328
chr8	45527244
chr7	58445090
chr17	7220319
chr1	629940
chr5	134927065
chr4	119454725
chr12	35614992
chr3	48898847
chr6	170146309
chr17	25920205
chr4	49104742
chr13	16141607
chr7	60310856
chr1	123195738
chr10	42080603
chr13	18026067
chr4	49710578
chr1	123910627
chr13	17889419
chr4	56387481
chr1	124164762
chr19	35629037
chr16	34661229
chr13	17861015
chr1	124225369
chr2	90397785
chr1	124302241
chr12	2255834
chr13	17835935
chr13	17730120
chr16	34725999
chr1	125166625
chr13	17144839
chr4	49119531
chr21	8234506
chr4	49107447
chr16	34078894
chr7	56373548
chr2	90390700
chr2	90383836
chr10	40098470
chr10	40441144
chr19	38831950
chr10	40447328
chr19	51366625
chr19	55670492
chr10	40556862
chr6	58840466
chr10	40829724
chr10	41844587
chr1	31431930
chr15	68739908
chr7	62402841
chr4	118591704
chr7	61029155
chr10	41848520
chr15	76311617
chr10	41855847
chr7	60019553
chr1	246817981
chr10	41865995
chr7	58275855
chr10	41875445
chr6	143213628
chr10	39986499
chr2	89787336
chr20	31157786
chr10	39951402
chr17	21907354
chr18	4510957
chr7	158595266
chr1	143222249
chr1	143221867
chr17	21968899
chr17	22524440
chr17	22521393
chr10	133689438
chr22	49973768
chr1	143214015
chr16	46400133
chr1	143239251
chr7	158149112
chr16	46383343
chr8	45816025
chr1	2684168
chr16	46389651
chr10	40614776
chr16	34582240
chr10	38517449
chr7	60517875
chr1	143193922
chr7	152403927
chr16	34571543
chr10	41912755
chr10	41914962
chr19	36272120
chr4	49147780
chr20	43657527
chr16	34584743
chr12	112418836
chr19	54115732
chr16	88706501
chr10	38579028
chr1	228109296
chr2	108719435
chr20	31052201
chr4	49711534
chr8	45928026
chr13	17660963
chr2	222860100
chr10	73168056
chr8	10839881
chr17	21988733
chr1	143245827
chr10	41858451
chr16	46390534
chr22	12692356
chr7	62350359
chr1	143223547
chr20	28897444
chr2	26274276
chr16	46398921
chr1	143238328
chr21	44339402
chr9	124920603
chr5	178585697
chr19	48619256
chr4	8440767
chr1	143215931
chr10	80505690
chr1	124266811
chr13	16689022
chr6	157310586
chr1	125181357
chr5	49657267
chr1	143184807
chr10	42301533
chr2	68063044
chr10	42104627
chr9	33290417
chr1	124905525
chr7	112162385
chr10	42093459
chr1	143187376
chr17	26885775
chr10	42097249
chr7	45769073
chr3	9986871
chr10	38573494
chr19	10252166
chr2	20450551
chr2	237085902
chr14	75906811
chr13	16303696
chr11	68964044
chr12	111842017
chr16	46386430
chr2	121755623
chr15	77699706
chr6	17706941
chr4	49647866
chr10	126947386
chr15	72783775
chr17	17477001
chr16	46380894
chr21	8230726
chr9	131125607
chr19	38996324
chr4	189557684
chr11	4094792
chr2	90384460
chr21	10417867
chr7	90346660
chr19	29606281
chr2	142705226
chr16	34610276
chr7	62347844
chr20	29262782
chr12	123633777
chr18	79200737
chr17	25788643
chr17	21976458
chr4	499202
chr16	15094141
chr10	41903527
chr20	31187234
chr14	50116604
chr11	60842050
chr4	49098592
chr4	49108405
chr2	90391058
chr12	10613581
chr11	62839617
chr6	126340112
chr16	34581464
chr20	31157234
chr10	114938146
chr1	143216276
chr4	49102608
chr1	9428961
chr16	1420758
chr7	158147547
chr1	124261126
chr10	42099112
chr3	93470584
chr10	42080028
chr17	43361182
chr10	41884085
chr4	49091297
chr6	131951178
chr10	112183768
chr18	2571463
chr19	52028461
chr7	45111695
chr2	89840353
chr19	54133827
chr4	9238680
chr4	49709760
chr18	110619
chr2	89839662
chr7	1272340
chr9	92115432
chr12	68406289
chr10	124156220
chr6	157313009
chr13	17981698
chr17	80021766
chr17	43251706
chr2	90388157
chr10	127797537
chr17	782374
chr14	95972386
chr9	104991859
chr19	45958591
chr11	67428448
chr16	20741792
chr1	35641549
chr16	34575903
chr9	65389875
chr1	1574933
chr16	34581774
chr16	34593267
chr16	34594637
chr4	49121017
chr10	42096337
chr3	119463629
chr20	61329362
chr18	79619975
chr3	101561817
chr21	7258783
chr5	46491316
chr1	125170162
chr16	34901261
chr1	143207812
chr17	26808357
chr9	6015677
chr21	9246867
chr8	85655845
chr1	143193542
chr4	49144575
chr3	10026362
chr10	41889565
chr15	39597856
chr1	31644648
chr1	223992670
chr1	143240736
chr1	26432311
chr9	134183029
chr19	8362173
chr20	28889808
chr4	49638560
chr4	189881450
chr20	29263123
chr4	190177921
chr10	41881983
chr16	46387831
chr1	56074533
chr17	21888562
chr13	16145856
chr4	49635521
chr17	38880570
chr13	17866506
chr9	108247833
chr17	26101599
chr17	39927631
chr4	49655858
chr7	8152756
chr17	21986658
chr17	25115535
chr4	49657843
chr17	21890819
chr2	90381146
chr13	17499780
chr4	49150879
chr4	49145595
chr2	90392365
chr2	90382612
chr1	143195469
chr2	90380753
chr16	34583103
chr1	143265803
chr19	12696605
chr19	8355840
chr19	7450812
chr6	7975246
chr16	2268163
chr8	143541596
chr16	5500217
chr1	143232180
chr1	143231964
chr8	144233433
chr1	206924305
chr16	46384472
chr9	65075881
chr1	143225603
chr2	89838075
chr1	143220798
chr5	49658985
chr1	143219362
chr1	124255945
chr1	124327115
chr16	46381051
chr5	49599510
chr1	143210917
chr1	125175013
chr16	34919162
chr1	125182051
chr5	49601968
chr1	143195541
chr5	49602760
chr1	224012584
chr18	11851327
chr16	46391389
chr16	46393129
chr2	89828651
chr9	19161729
chr6	149546087
chr9	19129903
chr2	61888641
chr8	124474655
chr10	670291
chr16	86555202
chr16	82997090
chr1	246785682
chr5	71455596
chr16	68023287
chr6	106325783
chr5	160009081
chr4	113547708
chr1	186402707
chr16	46400866
chr4	121801352
chr14	91510575
chr1	236097361
chr14	105582921
chr16	46399450
chr18	158574
chr1	228103362
chr19	45598391
chr16	46396320
chr6	43059416
chr6	41787685
chr6	34757479
chr5	17526744
chr17	26854909
chr10	41868862
chr10	42070870
chr4	39458947
chr10	42073925
chr1	4144683
chr20	45791936
chr20	48516380
chr22	10780385
chr22	33122621
chr7	66844998
chr21	9246554
chr1	40161310
chr11	642763
chr8	85769618
chr12	82358403
chr7	144256289
chr8	23384345
chr3	64617036
chr21	42879589
chr22	19171679
chr10	69180213
chr21	43789540
chr1	9411268
chr7	58104708
chr7	57489829
chr10	42073731
chr11	34439332
chr1	53238507
chr4	49105161
chr4	49092920
chr20	31052542
chr2	241637670
chr8	47353424
chr10	41843270
chr6	131949400
chr14	24299796
chr1	143216563
chr11	67563758
chr11	67606941
chr3	196568553
chr14	34735034
chr7	152737917
chr20	31053704
chr4	105679330
chr9	118252239
chr1	143203591
chr10	41846129
chr19	357598
chr21	10363516
chr7	112449987
chr15	94577127
chr15	75275835
chr7	58925732
chr20	29088625
chr10	41860956
chr11	36309976
chr13	97026973
chr2	71618563
chr8	802150
chr2	69804579
chr2	69718740
chr2	189441079
chr19	1142130
chr7	158147714
chr4	10068
chr11	47216565
chr10	41859574
chr20	29885978
chr10	41875128
chr1	143232050
chr1	143187102
chr9	122264871
chr8	140404765
chr16	34586101
chr20	31165897
chr20	31187537
chr16	34593120
chr16	34588071
chr5	34179927
chr16	34587009
chr16	34586842
chr9	63817557
chr9	63821497
chr15	39584139
chr9	63823214
chr16	34066157
chr9	63823769
chr10	42073862
chr6	37433221
chr16	34077212
chr1	23392412
chr9	68779921
chr3	127574989
chr16	34595123
chr10	42083658
chr16	34597599
chr7	66921031
chr2	20823115
chr1	125179950
chr1	125179538
chr21	7942334
chr16	34902521
chr21	7926656
chr11	131680405
chr1	19156838
chr8	144125881
chr9	42388414
chr1	235078391
chr21	5358008
chr2	3181040
chr15	20363770
chr10	42166120
chr18	79069231
chr1	124569572
chr12	133181514
chr8	102654142
chr8	28401446
chr8	57210332
chr17	21896122
chr17	59565585
chr17	59853588
chr3	52410006
chr17	489053
chr13	21377567
chr2	94504353
chr2	90384199
chr2	91572670
chr16	71845977
chr22	31662224
chr11	585512
chr16	67227127
chr7	44885648
chr5	62412806
