Chrom	position
chr19	10565218
chr19	3648584
chr3	159763135
chr12	109881007
chr12	132466584
chr19	3517127
chr4	26319771
chr1	61391932
chr19	2049988
chr16	21541170
chr15	40115939
chr19	50357870
chr19	3877111
chr1	20101133
chr1	20496448
chr16	86893725
chr6	15811308
chr12	111561051
chr7	140507201
chr16	25258377
chr20	63794871
chr1	10679800
chr16	2008281
chr22	38418916
chr13	78603795
chr19	14185889
chr11	74726694
chr1	100546053
chr22	35583183
chr3	195814265
chr19	35114888
chr17	67049541
chr1	22132074
chr19	5621825
chr12	121184634
chr22	43129233
chr17	6069052
chr17	42116868
chr18	28108953
chr16	23409134
chr6	87741232
chr12	6835865
chr9	107613547
chr12	103957171
chr3	169354889
chr1	53861100
chr4	70158749
chr20	2944461
chr2	10331906
chr19	8154575
chr19	41706974
chr15	85854582
chr1	209513551
chr15	74274846
chr4	107655012
chr19	17283790
chr18	49844289
chr11	17352548
chr15	74579832
chr19	17859740
chr11	62082153
chr7	134886689
chr1	16324683
chr19	50708701
chr13	27578767
chr19	48260261
chr11	86069269
chr19	48543295
chr19	48584324
chr10	11603155
chr1	154407320
chr21	45646046
chr3	194112695
chr2	74441077
chr20	58706347
chr12	114914513
chr7	44566822
chr8	22765955
chr1	154187277
chr19	49869178
chr1	16236584
chr1	153958686
chr9	127937645
chr10	94002350
chr7	43582768
chr8	22042346
chr5	102296494
chr7	117653107
chr22	33897182
chr1	244654033
chr19	55321065
chr6	30647450
chr3	49112505
chr15	39887478
chr17	37373770
chr13	46636654
chr5	78912603
chr10	122127465
chr3	49674746
chr10	14074465
chr12	98837469
chr6	30101571
chr17	37495162
chr5	173984472
chr14	95291279
chr2	10721159
chr12	120579257
chr7	22332812
chr12	54292233
chr13	24229088
chr20	62366526
chr9	98263931
chr1	93666803
chr4	168816814
chr4	168632442
chr17	14309396
chr3	48664266
chr1	31170883
chr19	13906710
chr1	51235130
chr12	117125938
chr8	17766462
chr11	117876976
chr5	174725978
chr19	58304535
chr5	81171963
chr9	81652249
chr1	154878635
chr1	89525153
chr19	58581305
chr3	46977047
chr2	174681259
chr1	89632315
chr5	80953780
chr1	150560146
chr22	36332914
chr13	99870684
chr13	112849677
chr2	69370813
chr20	62008989
chr8	13042449
chr15	40477766
chr3	185559185
chr1	15738259
chr12	57733409
chr9	36873493
chr19	38738462
chr3	23811400
chr7	100082597
chr7	100101242
chr16	8842218
chr13	51998190
chr4	76579710
chr7	100353816
chr11	66720635
chr13	51802334
chr1	10722003
chr16	87203452
chr2	218396949
chr15	65271144
chr2	96870844
chr3	15330355
chr1	10555807
chr16	67883929
chr20	32287469
chr2	199955626
chr12	44848474
chr16	2252465
chr3	186615065
chr15	64236362
chr1	65255787
chr19	34382055
chr22	23174027
chr1	162856515
chr10	97407341
chr1	26960656
chr19	36064137
chr1	26976819
chr3	187741688
chr1	12178781
chr1	164787390
chr7	95867566
chr16	4018563
chr5	178504514
chr16	3821917
chr6	108560260
chr1	164598948
chr19	37210566
chr5	10520010
chr11	2983071
chr11	6531492
chr5	149513557
chr1	230517861
chr1	167556149
chr1	27357668
chr7	98879930
chr6	107387124
