Chrom	position
chr4	69832745
chr2	117814549
chr7	98211881
chr1	169148646
chr18	11005726
chr5	143596327
chr13	50245084
chr3	147184881
chr2	175063194
chr5	29759216
chr8	17051752
chr14	54197462
chr16	20598938
chr8	6748399
chr14	60815527
chr6	26956235
chr10	59073662
chr7	17099616
chr21	15441207
chr2	86623874
chr16	52398661
chr1	207104118
chr2	138282225
chr8	33560369
chr2	138276045
chr4	110194003
chr11	2211257
chr17	62086228
chr6	541012
chr8	37144927
chr17	61810274
chr2	206299792
chr2	138507452
chr2	138516533
chr8	37594379
chr14	36091269
chr2	138107478
chr6	167957366
chr4	109804347
chr2	138644955
chr8	37695711
chr14	36520747
chr2	138720386
chr4	109802136
chr17	61427030
chr11	1690067
chr8	37604626
chr17	62163984
chr17	62109624
chr8	32552567
chr2	134457977
chr4	112283432
chr5	181206867
chr11	6607060
chr17	63578491
chr17	63523147
chr17	63428448
chr11	6353602
chr17	62792322
chr4	112170580
chr17	62703951
chr2	136062592
chr4	112083400
chr6	168326497
chr4	111642311
chr2	138032491
chr17	62541308
chr11	3905595
chr17	62473268
chr8	33091913
chr2	137947946
chr6	168245474
chr6	188966
chr17	62239767
chr11	3712453
chr17	62205238
chr2	137975731
chr2	142745972
chr11	3091976
chr8	33139296
chr8	37736559
chr6	167762483
chr2	142863741
chr17	60190244
chr14	37413904
chr11	396650
chr2	147885012
chr2	147990011
chr4	107183366
chr11	308133
chr14	37466680
chr17	60558068
chr2	148362342
chr2	148411109
chr6	167421545
chr2	148509613
chr6	167398498
chr17	60305392
chr6	1190542
chr17	61417006
chr17	60139977
chr2	151619533
chr2	151642110
chr4	106264537
chr2	151760318
chr4	106258326
chr10	132194475
chr2	151993383
chr2	151995892
chr10	131885534
chr6	1335560
chr10	129793692
chr8	39038308
chr8	39109752
chr2	147809737
chr2	147083083
chr8	38184622
chr6	167502198
chr11	1652904
chr11	1401794
chr11	6703684
chr4	108744512
chr6	167761452
chr17	61339115
chr11	1264589
chr11	1239028
chr2	143034504
chr11	1051297
chr17	61328454
chr17	61301172
chr8	38037139
chr11	942400
