Chrom	position
chr1	169367926
chr1	25773670
chr3	53270177
chr2	71331626
chr2	65377892
chr19	16417917
chr16	2868000
chr21	41783672
chr4	39366447
chr7	129969916
chr6	52671004
chr15	72686419
chr6	131063408
chr22	38506407
chr2	46987224
chr10	98415283
chr20	47809831
chr7	40717455
chr20	16729883
chr12	48021986
chr2	38665972
chr1	147890352
chr1	10428209
chr8	101474417
chr6	7673183
chr19	12564281
chr13	77327199
chr11	30323034
chr11	33161701
chr8	48254209
chr11	66371752
chr1	155017365
chr12	96094407
chr1	185646404
chr1	20697051
chr5	74767135
chr18	3013488
chr11	123580772
chr7	112423066
chr16	4307948
chr7	80883692
chr3	54891790
chr19	45642244
chr7	131521904
chr19	44207469
chr1	204103006
chr20	58651130
chr12	54368829
chr12	51047947
chr7	128343943
chr9	93566575
chr10	114346570
chr22	40732878
chr1	234772602
chr19	13162869
chr3	195859481
chr2	69756272
chr8	24218842
chr10	110456954
chr11	74739995
chr2	231666503
chr19	893178
chr12	949746
chr14	94549602
chr19	14529812
chr6	125867844
chr7	102097834
chr7	100802370
chr20	45437000
chr11	73218553
chr1	77978264
chr15	79850002
chr4	102737323
chr18	74542170
chr15	83067365
chr10	27742258
chr11	102011303
chr20	3807572
chr10	48215680
chr17	72421320
chr10	37976603
chr3	157175120
chr15	70825327
chr9	19465077
chr3	42476996
chr4	153649678
chr3	195030962
chr12	19129407
chr5	72269294
chr6	42227022
chr11	9613392
chr15	90869789
chr8	143016118
chr10	97687499
chr7	150898750
chr6	41780069
chr1	85976232
chr2	160205744
chr2	191020379
chr7	6323190
chr1	156660319
chr3	187174190
chr15	35482197
chr3	52851614
chr11	134818709
chr9	127417320
chr1	202200422
chr1	39980669
chr14	54312340
chr12	31959323
chr2	75528374
chr2	231621148
chr10	26335530
chr5	97193235
chr1	181117803
chr2	120245579
chr5	168600646
chr1	15800309
chr14	50910823
chr5	111512548
chr5	104911123
chr12	32755259
chr3	42590722
chr17	17914087
chr10	88932781
chr10	72048681
chr7	100163239
chr1	68342877
chr11	34263597
