Chrom	position
chr19	49141000
chr2	239197510
chr17	38255611
chr20	3792546
chr17	53315805
chr19	7968581
chr3	23987420
chr19	49137889
chr12	26267446
chr12	107487677
chr17	38256958
chr1	160071034
chr17	38264585
chr11	45868837
chr3	4910187
chr11	65658063
chr17	8055824
chr1	7844256
chr19	797101
chr1	28052298
chr17	38225289
chr11	45881425
chr22	31686870
chr18	9136711
chr13	27998760
chr17	53342277
chr10	88731204
chr17	8059817
chr1	150254847
chr19	41076616
chr1	211752587
chr12	7000366
chr13	113951391
chr1	203830667
chr22	41763262
chr19	45681712
chr16	3550925
chr12	112451180
chr15	83316461
chr12	46384575
chr1	26799601
chr17	36452977
chr11	67159352
chr9	136024923
chr19	10764743
chr17	76836939
chr9	96928220
chr16	83986719
chr3	23986765
chr12	8179720
chr17	900288
chr11	63860077
chr17	8059922
chr1	154193148
chr2	70370020
chr1	202995439
chr20	32077631
chr2	238875555
chr17	42404368
chr1	11866241
chr1	26232985
chr15	73925877
chr1	61522738
chr19	55973084
chr22	41777808
chr10	6205727
chr8	109455787
chr14	62161973
chr17	45570023
chr17	8057708
chr7	95951482
chr17	73179165
chr17	7475888
chr10	133795542
chr6	53412975
chr1	1240244
chr19	41903298
chr5	154134615
chr2	30369480
chr1	145438356
chr8	28259624
chr22	19419928
chr17	8152651
chr16	1525071
chr15	68522440
chr18	51795762
chr3	105085518
chr10	50747170
chr22	50364574
chr15	63893001
chr9	127533893
chr22	41777405
chr1	39325557
chr20	56293716
chr16	75268030
chr12	117176037
chr22	41777242
chr17	8060023
chr8	62627183
chr1	32479233
chr3	184032275
chr15	98503717
chr3	9691016
chr19	49458065
chr2	216973950
chr12	58146292
chr19	6199660
chr1	231473706
chr17	38269592
chr19	5978257
chr17	73975716
chr19	2977404
chr19	41168888
chr15	52311304
chr10	93392964
chr17	42148057
chr22	32928836
chr3	170626603
chr19	11593524
chr16	4993401
chr2	239229106
chr5	172483311
chr2	20550779
chr13	31736132
chr5	131132792
chr2	203499465
chr6	151187465
chr10	99447313
chr17	79448554
chr16	23521864
chr6	122720683
chr1	154531352
chr17	3795585
chr16	74402178
chr2	113403001
chr4	83934290
chr7	916018
chr17	17109834
chr22	21213146
chr12	26676871
chr16	46424446
chr11	60609507
chr17	7739002
chr19	15236454
chr19	36545377
chr10	69644340
chr3	47517515
chr10	104677915
chr11	65479471
chr19	49138832
chr17	16342020
chr11	47664065
chr1	7831290
chr16	46420340
chr20	23338955
chr16	46428727
chr12	26277931
chr8	135844742
chr5	169911299
chr17	80246060
chr11	66726111
chr14	100705047
chr10	70883912
chr4	47465716
chr17	1933453
chr6	43149722
chr19	30335357
chr16	21531953
chr19	17530772
chr19	12902153
chr7	72936848
chr16	46387001
chr3	52091331
chr14	55574680
chr16	88923484
chr17	5185491
chr9	130461655
chr22	41418666
chr9	95088077
chr19	5720319
chr1	173837331
chr5	170815575
chr6	7313551
chr2	10183520
chr5	139944369
chr8	10697488
chr3	128598348
chr4	37688312
chr20	62587989
chr17	19266002
chr22	36903167
chr19	35810089
chr16	11945411
chr1	26758701
chr12	1769607
chr6	163835131
chr3	148709317
chr19	8008947
chr1	15853164
chr19	49122598
chr4	57302522
chr21	30257719
chr17	2296091
chr8	102218125
chr2	241499642
chr2	64978592
chr16	87422119
chr16	1458394
chr1	150898801
chr1	44440552
chr3	5028693
chr3	150480962
chr12	133613961
chr9	35657886
chr3	9038758
chr16	46435352
chr8	103425163
chr1	7844185
chr16	46412589
chr2	120980764
chr16	2255784
chr1	1840860
chr22	27055048
chr16	31044571
chr7	916104
chr17	4268553
chr7	1513875
chr7	106809087
chr10	101945820
chr22	22652473
