Chrom	position
chr6	158049811
chr9	136624073
chr3	189834148
chr1	209416251
chr3	37946268
chr10	103872386
chr12	46703101
chr7	369298
chr10	77898716
chr17	76597594
chr2	172197143
chr22	45537926
chr20	50844824
chr8	48709257
chr8	124856933
chr17	39377858
chr6	36667245
chr1	34755468
chr2	112814514
chr2	177170368
chr8	48696509
chr10	78920233
chr7	49866528
chr6	105373012
chr1	19361366
chr2	219286641
chr7	45034076
chr12	105971059
chr6	30811044
chr6	170224840
chr11	1830841
chr17	4854539
chr16	75486199
chr1	167663172
chr6	36676448
chr9	136108565
chr17	28407789
chr11	113384792
chr2	160220705
chr10	70146986
chr20	20603574
chr11	120055783
chr7	7100606
chr9	134380179
chr6	18353062
chr15	68641172
chr7	119733696
chr2	95260196
chr14	34843392
chr21	28633186
chr17	65064537
chr22	41280244
chr12	57096294
chr3	11530268
chr1	43582383
chr1	64263397
chr5	173292593
chr10	103115097
chr22	31254163
chr2	191171950
chr11	12066146
chr5	138505083
chr14	51382713
chr2	173124650
chr9	136109834
chr1	209816158
chr11	30198069
chr5	150492745
chr5	139232389
chr18	36672565
chr2	31390519
chr3	53270088
chr15	41804554
chr19	14525922
chr3	192850565
chr16	68658619
chr19	45447145
chr6	63598798
chr7	110534722
chr11	17798528
chr4	139888126
chr11	534755
chr14	22839363
chr19	41218697
chr2	28566081
chr17	80109799
chr1	58572867
chr4	164536995
chr17	41655868
chr9	92147455
chr2	37787101
chr1	174819150
chr9	78288678
chr1	24285380
chr20	37395048
chr11	57788593
chr3	52053813
chr20	56808930
chr6	138035194
chr8	47381717
chr9	131633628
chr13	113305329
chr9	130561275
chr13	79647842
chr10	122085495
chr8	48704455
chr16	53041884
chr5	151572871
chr12	50642963
chr11	65421337
chr9	127566468
chr2	74188436
chr21	26390425
chr5	57889580
chr1	99580585
chr6	89035737
chr7	40717495
chr16	88879726
chr17	50954432
chr14	22979386
chr17	28743173
chr15	39177759
chr9	137708785
chr12	122946955
chr6	137813533
chr15	101359108
chr10	24256200
chr4	82437813
chr11	57293243
chr9	73132496
chr11	62600077
chr15	71355457
chr9	90970834
chr17	28897032
chr3	48432701
chr20	23583725
chr16	10594789
chr9	116856377
chr6	36682658
chr3	48402476
chr2	112692755
chr12	123519339
chr2	26009056
chr1	118209836
chr11	102256458
chr1	206482801
chr9	129278604
chr12	120264726
chr2	236692030
chr2	233691538
chr19	19776661
chr10	125087751
chr12	19432029
chr12	124125643
chr3	159881978
chr6	30521213
chr4	183357175
chr6	78811018
chr1	214439639
chr3	42122846
chr22	40541513
chr10	97550174
chr5	77880113
chr12	109821145
chr14	64680445
chr16	87807131
chr10	80619244
chr9	38096424
chr17	40547697
chr17	40194458
chr1	42941201
chr12	47863688
chr5	112479615
chr1	205592210
chr12	52176194
chr15	59165918
chr6	37245000
chr1	112687575
chr22	37750067
chr6	79453701
chr7	101426839
chr7	4189386
chr11	12189766
chr3	139435118
chr20	45339365
chr10	95248023
chr1	16925757
chr10	89645281
chr1	54167968
chr2	137031941
chr14	49951013
chr17	7354436
chr1	16184815
chr6	104625734
chr3	37853900
chr1	210321709
chr1	27522586
chr18	80246435
chr2	151945356
chr11	118623486
chr19	45400447
chr16	81531645
chr8	8665233
chr22	42288921
chr17	62670553
chr12	40159066
chr13	27634403
chr2	1705173
chr14	89428995
chr16	81499858
chr17	15963945
chr4	76782102
chr7	50379276
chr16	81527077
chr17	31072348
chr3	4995124
chr2	24084391
chr6	150272741
chr3	126753451
chr12	57522337
chr9	90942807
chr22	30400377
chr2	128305394
chr17	69607375
chr7	73855576
chr8	29770635
chr9	82021422
chr22	31177640
chr2	98435878
chr12	68808944
chr11	76825131
chr3	190038179
chr16	28537311
chr15	80580389
chr4	26779772
chr4	2937500
chr5	31948247
chr4	76388635
chr7	2170146
chr9	129332333
chr10	128063991
