Chrom	position
chr1	145382873
chr1	148241589
chr11	62609041
chr1	148766960
chr17	41438522
chr1	147994263
chr21	16578973
chr12	120730926
chr12	120729572
chr1	17222684
chr4	153407013
chr1	11969853
chr12	7053079
chr1	148604950
chr14	61282343
chr1	78470136
chr1	149224202
chr1	11968274
chr17	19091420
chr7	72147921
chr7	94250206
chr7	116764866
chr19	6737376
chr1	45187421
chr17	33390780
chr2	141505413
chr15	65588538
chr8	33371116
chr4	83934357
chr1	206939816
chr5	111496485
chr11	125933067
chr10	60082430
chr6	130005358
chr22	43011389
chr14	77428371
chr12	9803505
chr3	185255419
chr7	87228760
chr1	28975205
chr3	177307825
chr5	55322860
chr5	67752722
chr19	48281761
chr5	72959914
chr19	12902212
chr5	90607705
chr19	10305738
chr2	11970571
chr3	113549647
chr1	68150932
chr3	187463425
chr3	138405790
chr3	41240969
chr3	37949605
chr1	16840501
chr22	43774501
chr9	127533798
chr21	36359427
chr20	52543244
chr9	107954262
chr20	13662256
chr1	39456866
chr4	77222730
chr2	122288550
chr2	113639029
chr1	65453483
chr2	101204754
chr1	45285545
chr18	109263
chr5	115988174
chr7	2595192
chr14	94425928
chr1	212769621
chr14	75745358
chr14	75348543
chr14	51342280
chr6	152078994
chr6	155545413
chr14	32729084
chr12	94624437
chr1	210547432
chr10	14227706
chr7	100271235
chr8	105598164
chr7	154794999
chr11	43890691
chr11	842672
chr10	120880131
chr10	75571663
chr6	130017071
chr6	116952802
chr1	144311275
chr17	56756864
chr1	147510959
chr18	3256858
chr18	3153417
chr3	61167706
chr17	70417525
chr5	157987516
chr1	155658743
chr17	57864006
chr17	56736512
chr9	4833345
chr1	161736019
chr6	29932810
chr9	26746810
chr15	90944189
chr15	85956858
chr1	197170670
chr6	86388447
chr6	106094484
chr3	58179212
chr17	28679427
chr3	101779889
chr1	6882724
chr5	123840171
chr20	19884000
chr20	19796300
chr13	24173795
chr6	123119449
chr6	126068106
chr20	13224629
chr6	129812321
chr20	20691597
chr4	26254189
chr9	84250281
chr1	38000244
chr6	130038646
chr18	48738123
chr11	110216670
chr5	118644809
chr11	100551999
chr4	13486138
chr20	1722578
chr1	32757504
chr10	31296789
chr15	45018977
chr11	78021825
chr1	206097835
chr20	35807613
chr18	21656353
chr4	6548518
chr11	95745531
chr18	28810678
chr11	86304119
chr1	1624265
chr6	118601562
chr15	38361429
chr6	119468696
chr14	95731983
chr10	26736494
chr4	70849870
chr5	116040714
chr8	142970870
chr19	909397
chr8	109085357
chr2	227168578
chr4	56428280
chr2	227055394
chr7	107420251
chr8	110605777
chr12	1771253
chr10	18899630
chr3	124919772
chr14	72516414
chr8	111173631
chr19	6202183
chr14	70142934
chr2	234665550
chr4	42659387
chr4	41258881
chr6	133285472
chr5	115962825
chr14	94456478
chr11	118709795
chr18	56217251
chr18	56219614
chr5	114970562
chr10	24755351
chr14	89857684
chr11	121330394
chr2	239197724
chr18	59623055
chr18	60035503
chr1	115010245
chr10	23635012
chr18	14190937
chr20	42219362
chr20	42763992
chr15	65597216
chr22	25797089
chr17	66770935
chr8	17013364
chr5	151199511
chr22	21213193
chr1	1677889
chr17	70680177
chr11	34256958
chr8	95453317
chr9	75058423
chr8	96150275
chr6	90813354
chr6	90817924
chr3	185935720
chr15	67547061
chr17	62631929
chr1	155532958
chr3	122292097
chr1	192500403
chr22	39052520
chr3	112395852
chr3	169940064
chr1	190729079
chr3	170147036
chr15	93347419
chr17	57915302
chr11	14883421
chr17	57926322
chr11	7621615
chr11	9587782
chr15	89010767
chr9	8961414
chr22	29664111
chr1	151080970
chr6	99778250
chr9	79786193
chr15	64539196
chr18	9673486
chr15	55953703
chr3	194406582
chr18	11005784
chr3	194883106
chr8	99305996
chr1	31342098
chr20	47139878
chr20	47113591
chr18	12000503
chr9	79087277
chr9	2055457
chr20	44600370
chr3	197043085
chr11	75479619
chr18	9092817
chr11	68611478
chr20	52824531
chr21	17865414
chr10	35379554
chr1	150446352
chr5	140098608
chr7	158439863
chr11	62420902
chr18	3247693
chr3	189042702
chr11	66738508
chr1	147874989
chr1	147860656
chr1	147806764
chr1	147735881
chr10	33797037
chr8	98640455
chr10	17071712
chr14	68816754
chr17	53522529
chr5	37379341
chr4	141556959
chr1	62625868
chr12	95497132
chr2	111623077
chr2	111506118
chr13	50819293
chr7	5624689
chr2	19688224
chr7	43809650
chr7	43689523
chr5	39784121
chr1	230241797
chr12	106696431
chr7	43115989
chr3	71133075
chr2	113561948
chr4	140871822
chr8	131147076
chr12	76029610
chr13	95299347
chr5	60625876
chr5	60624119
chr2	135400686
chr1	59758443
chr5	59968806
chr8	123792473
chr2	8518684
chr1	94316369
chr13	78596563
chr4	129439184
chr12	89278496
chr1	61294773
chr5	55916907
chr2	25524501
chr1	90292253
chr4	121765922
chr2	28615659
chr13	31318647
chr2	64896608
chr12	122314493
chr5	10250194
chr12	123850381
chr9	102196015
chr9	100551731
chr2	58269930
chr2	47979696
chr1	234908257
chr4	190861895
chr2	48478227
chr13	22101051
chr5	1555564
chr8	128320043
chr2	65763887
chr1	87258872
chr12	120740204
chr7	36155305
chr1	236695196
chr12	113652937
chr7	36358726
chr4	168143448
chr12	115861475
chr4	170281268
chr2	39719362
chr2	69281729
chr7	35064163
chr12	117543857
chr12	117581126
chr12	120451822
chr12	120559876
chr13	32505260
chr8	122361178
chr19	50179845
chr5	90568009
chr7	94122052
chr4	79583447
chr12	25084797
chr9	92714869
chr19	16603925
chr19	17186365
chr9	114791229
chr8	119001828
chr1	53117797
chr14	54361391
chr14	54080429
chr4	85156892
chr2	188941614
chr1	101757410
chr4	88238869
chr7	94234519
chr2	202016283
chr19	15288445
chr7	98393959
chr4	76979654
chr1	46598486
chr7	101337031
chr6	143380970
chr14	63938207
chr19	11203665
chr10	14647488
chr9	115154464
chr6	145588381
chr12	12699481
chr5	86417289
chr2	207586269
chr10	14226969
chr1	217804584
chr14	59642283
chr19	33767081
chr2	182170549
chr19	49990882
chr14	51715246
chr2	161080802
chr12	56403984
chr6	163422601
chr5	71778027
chr5	71616165
chr12	56756675
chr2	156002537
chr4	113200809
chr19	47291808
chr13	105701247
chr3	72194163
chr7	75544383
chr12	65019367
chr12	65507582
chr2	145129009
chr12	54698126
chr8	134495663
chr10	5489758
chr14	34513221
chr2	180133163
chr14	39901514
chr8	120614028
chr14	36678084
chr14	35949757
chr6	155448387
chr6	157390076
chr6	161657443
chr3	115858733
chr6	157882213
chr2	169796650
chr14	21572067
chr4	104119667
chr14	20811482
chr11	576308
chr2	48977746
chr16	85454570
chr1	17231788
chr3	150090649
chr5	179967517
chr10	103578303
chr16	57373678
chr8	80558032
chr1	19229170
chr8	82518402
chr8	54857761
chr3	42922620
chr3	51572685
chr3	42003659
chr3	13304255
chr8	80875910
chr3	56792887
chr10	98602888
chr1	6805353
chr10	112155705
chr8	39818713
chr22	50978159
chr17	8076717
chr6	35336438
chr3	58457298
chr10	92742365
chr10	124135155
chr1	16871160
chr10	104757946
chr6	56629217
chr17	41445338
chr6	10889774
chr16	20610262
chr10	55891839
chr16	31117284
chr1	182999381
chr3	50359046
chr10	62042807
chr8	37002434
chr9	21761529
chr9	21810003
chr1	180485121
chr1	11000322
chr1	17054969
chr6	31670915
chr3	159682315
chr17	26385078
chr6	47015426
chr10	64003226
chr10	67261143
chr3	10265517
chr10	99078888
chr6	25174283
chr3	133394734
chr1	8021619
chr8	43109360
chr3	5058421
chr3	147201560
chr10	120790391
chr16	4674460
chr5	176038542
chr16	10832831
chr17	48796979
chr6	2989904
chr10	94517068
chr6	32054662
chr16	15684900
chr17	43384880
chr3	4786302
chr8	61534955
chr10	88648850
chr5	176433859
chr10	90923513
chr17	48388058
chr3	39257886
chr16	55671028
chr16	81464972
chr16	27285345
chr10	74879351
chr8	42360615
chr3	4887672
chr10	102731094
chr10	120949542
chr3	48699299
chr10	127511980
chr3	113942274
chr10	99094631
chr3	105041989
chr6	35153152
chr6	35300208
chr6	152481699
chr6	152168398
chr6	157855892
chr14	31847387
chr14	31698379
chr14	30228994
chr6	35370543
chr6	157790886
chr6	154360684
chr3	105155748
chr6	155672657
chr6	158185721
chr6	157020315
chr14	37937463
chr6	35328365
chr6	154674206
chr6	35316425
chr14	32675362
chr14	40038517
chr6	153273424
chr6	152779523
chr14	39644289
chr6	152627020
chr6	155095145
chr6	157524798
chr16	48444080
chr14	39918080
chr6	35930222
chr15	100042533
chr6	158663785
chr6	163602334
chr13	111594873
chr13	111367686
chr13	111142931
chr13	110245280
chr13	109568213
chr16	53778597
chr13	108449904
chr13	107772765
chr13	107551988
chr13	107335763
chr16	53800599
chr6	32657455
chr13	103929584
chr13	103552893
chr13	102528531
chr13	101185985
chr16	54032147
chr16	54137434
chr13	101177814
chr13	101169612
chr13	101045181
chr13	100677223
chr13	100608946
chr13	100537404
chr6	32192686
chr16	53573879
chr6	32939976
chr6	158760370
chr6	33166428
chr6	158765795
chr14	23259651
chr6	159438909
chr16	51278161
chr6	160112389
chr6	34263636
chr6	160114511
chr14	21140294
chr6	160497285
chr6	160546352
chr14	50127004
chr6	160558453
chr6	160675986
chr13	114634203
chr13	114035553
chr16	52225646
chr13	113677218
chr13	113606262
chr6	34083319
chr13	113375669
chr6	33956240
chr6	162871606
chr13	113242555
chr6	33808039
chr6	33730020
chr6	152037769
chr14	52118289
chr14	50459852
chr14	62076459
chr14	65115292
