Chrom	position
chr1	79085998
chr4	30070076
chr2	220234337
chr11	16947533
chr2	74237354
chr6	149556424
chr19	46877367
chr3	9140635
chr10	89852931
chr3	58448968
chr14	97828783
chr6	143172359
chr14	97153207
chr3	60341762
chr10	89346172
chr6	142513675
chr14	96145608
chr6	142228963
chr6	141974909
chr10	88440972
chr6	141244379
chr3	69135453
chr6	138631641
chr10	92837664
chr6	137900958
chr10	93286062
chr14	95030967
chr3	58294649
chr4	190346701
chr6	143721796
chr6	143955803
chr3	55552604
chr6	147278775
chr14	100035107
chr6	147021379
chr6	146596215
chr6	146422107
chr14	99933773
chr6	146077569
chr10	84950570
chr10	86167599
chr10	86283453
chr10	86348895
chr6	145166484
chr3	57905923
chr10	87378749
chr10	87661093
chr10	87754130
chr14	99163040
chr3	71855046
chr10	88336519
chr3	72294606
chr14	100222084
chr10	100689658
chr3	85565499
chr6	130995946
chr14	90139158
chr6	129625481
chr10	99162527
chr14	90038043
chr14	89452570
chr3	87258476
chr14	87575823
chr10	100279054
chr14	86621159
chr14	93993587
chr6	127329778
chr6	127211395
chr10	101026435
chr6	126869218
chr3	88644391
chr14	86225266
chr6	124510896
chr6	122943890
chr14	84762105
chr6	121497170
chr3	85037480
chr3	84886328
chr3	84234474
chr3	84056406
chr14	93604434
chr6	135921421
chr6	134931195
chr3	77842572
chr3	77886960
chr3	79636517
chr3	79647948
chr3	81873751
chr6	134380655
chr3	81979056
chr10	96912887
chr3	83216351
chr6	134090200
chr6	134007061
chr6	133795854
chr3	83286714
chr10	97821193
chr10	97835934
chr6	132607360
chr3	83364692
chr14	90970121
chr14	100203342
chr3	55506105
chr10	81412643
chr6	156938729
chr15	26268163
chr6	169409000
chr10	72841964
chr6	168915126
chr10	72951350
chr3	34943816
chr3	36212437
chr3	36883904
chr3	38032254
chr10	73612291
chr6	164163206
chr6	164114374
chr6	163813715
chr6	162195379
chr3	38160727
chr10	74023581
chr3	38199262
chr10	74091756
chr3	39470301
chr10	74655187
chr14	106296702
chr15	29977141
chr3	31717057
chr15	31105804
chr3	29468362
chr10	65689826
chr7	2300658
chr10	66218302
chr10	68200766
chr15	34940268
chr3	28742379
chr15	34315089
chr10	68839084
chr15	34197748
chr7	1165941
chr3	31565261
chr15	33722991
chr10	69913658
chr15	33518960
chr10	70558450
chr7	520591
chr15	33503832
chr15	31363295
chr6	170814618
chr6	170445267
chr3	41026837
chr10	75792173
chr14	100362945
chr3	43746405
chr3	50631902
chr14	103658869
chr14	103588586
chr3	50746209
chr6	150730992
chr3	50752560
chr3	51812196
chr3	52265670
chr10	80460391
chr10	80473604
chr3	52350787
chr10	80621355
chr3	53749951
chr14	100860880
chr3	53983764
chr10	80844094
chr3	54719455
chr6	149186737
chr3	55022873
chr6	148869807
chr3	94816536
chr14	104238608
chr3	50188334
chr10	79378218
chr10	77732875
chr6	156883306
chr6	156776195
chr3	44002131
chr3	45706842
chr3	46931377
chr3	47032182
chr14	105251338
chr3	48858322
chr3	49256146
chr3	49383209
chr3	49568837
chr14	104611824
chr6	153909662
chr14	104549413
chr10	79239987
chr10	79254004
chr10	79270628
chr6	152504807
chr10	79323808
chr6	152370867
chr10	102774924
chr3	94996720
chr14	80857308
chr6	84343075
chr3	138372609
chr6	83445084
chr10	124500377
chr6	81688275
chr3	140012664
chr3	140082841
chr14	55289753
chr14	55104168
chr14	54744993
chr14	54613461
chr14	54296453
chr10	125816040
chr6	80457791
chr6	79844572
chr6	79223985
chr14	53393177
chr14	53205324
chr6	78940523
chr14	52961359
chr14	52260672
chr3	138193276
chr14	57550373
chr6	89256647
chr10	124202469
chr3	131454600
chr3	131514754
chr10	120847200
chr14	62770186
chr6	87894673
chr6	87090678
chr14	60283871
chr6	86310650
chr6	86208783
chr14	60121089
chr14	59574760
chr3	135352102
chr3	135528261
chr6	86066617
chr6	85757716
chr14	58797995
chr3	136062794
chr6	85428350
chr14	58425665
chr6	84769077
chr6	84695623
chr3	145422017
chr14	51995971
chr6	77544315
chr3	146143363
chr14	42361011
chr6	66634515
chr3	153993903
chr10	132729732
chr6	65099442
chr3	155448807
chr3	155503650
chr6	64247471
chr3	155508732
chr14	38358433
chr14	38181473
chr10	134023835
chr14	36569001
chr6	62333908
chr6	62242849
chr10	135137816
chr14	35860371
chr6	57485819
chr14	35034200
chr3	159543449
chr11	1244203
chr14	44121165
chr10	131300616
chr3	151574076
chr3	149883690
chr14	50417804
chr3	147944266
chr10	127897697
chr14	49932062
chr10	128467932
chr6	74102109
chr14	49511897
chr6	73232471
chr10	129282152
chr6	72426933
chr14	45582524
chr10	129554729
chr3	150094568
chr6	71832044
chr3	150918583
chr10	129778021
chr14	46342642
chr6	71081338
chr6	70990385
chr3	151261469
chr6	88866548
chr3	128758617
chr3	28092553
chr3	98878395
chr14	77371401
chr10	109232336
chr3	100293574
chr10	110181230
chr10	110187120
chr10	110500924
chr10	110955031
chr14	76199438
chr10	111486451
chr10	111771656
chr10	111892627
chr3	102515770
chr3	102919458
chr6	111402167
chr14	76026434
chr3	104107633
chr10	112183507
chr6	110641250
chr6	110529053
chr10	112379443
chr3	106831422
chr3	100085457
chr10	106851999
chr10	120730394
chr6	112008955
chr10	103305827
chr3	96562553
chr10	103505248
chr14	80191562
chr6	118211577
chr10	103828168
chr14	79035390
chr3	96904657
chr6	116027762
chr10	104526773
chr6	114963281
chr6	114365924
chr3	97775079
chr3	98140999
chr10	105525941
chr14	77762648
chr10	105616722
chr6	113349404
chr6	113305349
chr6	112704600
chr6	112565210
chr6	109566841
chr10	112869812
chr6	109021112
chr3	107177920
chr3	123337785
chr14	68260776
chr6	96920367
chr3	125648690
chr6	94334268
chr10	118534618
chr10	118575908
chr3	126614624
chr14	67184700
chr3	126956875
chr3	127150070
chr3	127351493
chr14	66073380
chr10	120092673
chr14	66005578
chr6	91405222
chr14	65903286
