Chrom	position
chr19	54674231
chr20	63327084
chr7	38932715
chr22	39399641
chr7	107743630
chr2	208025555
chr1	222713351
chr17	43483943
chr18	62715182
chr15	74461160
chr22	39145810
chr20	21126030
chr3	9649420
chr6	31665061
chr17	79009866
chr12	56126352
chr8	28401956
chr7	100100721
chr17	49678056
chr2	32277809
chr10	45594890
chr9	128771972
chr12	92146038
chr7	120950516
chr19	49813660
chr3	71584098
chr22	31290769
chr7	27663151
chr3	3179722
chr17	29931597
chr1	207321375
chr14	49768111
chr12	12611881
chr9	105244401
chr8	125430269
chr1	61077195
chr6	17600302
chr2	113889811
chr3	39051949
chr8	94553658
chr8	144902180
chr9	112333031
chr19	909398
chr12	57782754
chr19	41397459
chr6	30571275
chr2	202588865
chr6	139375511
chr8	98944310
chr1	3624794
chr15	64387774
chr6	33200119
chr22	24507130
chr15	41557804
chr19	46785032
chr9	133133930
chr19	1205760
chr6	144095820
chr2	32063507
chr17	45147855
chr9	40992274
chr4	54064538
chr17	58659094
chr9	134068499
chr8	127763592
chr19	54189999
chr16	29805537
chr7	138886678
chr4	6987029
chr11	36541146
chr1	54407733
chr20	17856234
chr4	184734261
chr12	68807914
chr7	107168832
chr8	26382979
chr9	2728235
chr5	160119640
chr20	1437359
chr1	202810799
chr22	41833010
chr10	12068702
chr17	63699445
chr5	179819189
chr19	42129579
chr7	157138412
chr2	189661287
chr19	49451835
chr12	31326289
chr4	68350085
chr10	67884536
chr4	2963454
chr4	139082957
chr5	150701087
chr2	96816175
chr11	85317140
chr11	6531514
chr9	15511254
chr12	12696718
chr10	23439041
chr6	138773754
chr8	116874842
chr19	12791352
chr5	151081152
chr1	204398668
chr4	7864001
chr2	73780178
chr22	38705628
chr6	53548175
chr21	32569973
chr17	28335500
chr15	49620996
chr14	68793498
chr17	64082216
chr7	102396247
chr19	49340469
chr12	25052466
chr5	36242102
chr3	141875604
chr2	117814601
chr6	156720010
chr3	177360050
chr19	47230687
chr12	118714189
chr13	40771234
chr12	110742866
chr1	151166022
chr8	33513653
chr1	109090696
chr22	36239642
chr6	89080702
chr3	193593170
chr2	148645367
chr12	8026389
chr2	159516636
chr11	102347136
chr19	49877462
chr5	148383896
chr7	135148065
chr11	130181468
chr8	123157251
chr4	140154210
chr1	37990097
chr2	191020376
chr13	50126512
chr19	48330296
chr2	148020894
chr2	30146621
chr12	46372819
chr12	53061598
chr6	26568797
chr3	52339806
chr17	59565570
chr14	45252161
chr20	19903404
chr10	12264655
chr16	4616488
chr10	92240758
chr3	129576972
chr7	141738290
chr15	70812268
chr13	102596363
chr2	156335751
chr6	151452300
chr17	81394149
chr8	51899200
chr1	178726392
chr10	43287487
chr13	33723969
chr7	74270029
chr13	52194469
chr5	141619157
chr19	55259276
chr6	142147139
chr1	150562945
chr7	44039339
chr16	69565889
chr15	65917272
chr5	173056340
chr14	58427692
chr5	98929677
chr15	40098963
chr14	54730379
chr1	24745068
chr11	117178730
chr20	17504977
chr7	157336959
chr4	73606693
chr17	75855505
chr14	89955824
chr14	22334165
chr11	57657584
chr11	62653389
chr12	71839723
chr8	100722201
chr11	64916441
chr7	5424030
chr11	64566730
chr5	54610729
chr14	102139771
chr2	96638416
chr17	7239594
chr19	56121440
chr11	114160144
chr15	65611187
chr1	193059457
chr4	184474700
chr1	159923824
chr6	142947600
chr15	92809349
chr13	30662726
chr3	172750529
chr5	168219939
chr7	116802996
chr14	22556434
chr3	71583733
chr4	119454693
chr7	140479397
chr10	132332066
chr8	134886667
chr7	43649926
chr15	50003873
chr19	40603927
chr8	21919472
chr2	231786383
chr8	22604644
chr10	101818464
chr1	226675220
chr11	7987154
chr1	209827973
chr1	27490333
chr3	155854550
chr1	101288756
chr2	241881608
chr3	187745431
chr3	158110044
chr2	121530980
chr3	157175104
chr13	50131272
chr13	77327222
chr1	93844490
chr3	196432442
chr5	94793505
chr16	4373192
chr4	85147610
chr7	25098573
chr9	5949337
chr16	88651592
chr5	96935215
chr2	111120672
chr4	6751725
chr1	205122297
chr18	35231242
chr5	81852020
chr5	141592408
chr8	55930647
chr16	15591097
chr10	124036038
chr1	120850871
chr12	89352686
chr9	35657878
chr17	8156759
chr8	119873632
chr3	53347647
chr1	192806100
chr1	145996729
chr11	95068744
chr2	208266202
chr18	9073816
chr10	97640595
chr14	77028910
chr3	49094611
chr16	1331903
chr19	10960772
chr16	23557501
chr5	39073437
chr7	149126347
chr10	6086555
chr17	64927742
chr2	44087390
chr4	25312762
chr2	98608529
chr7	91264361
chr12	121352585
chr21	38743250
chr10	30434059
chr14	63749025
chr22	43110574
chr11	72793750
chr17	42998200
chr4	140808087
chr22	40044765
chr2	191014304
chr5	94850454
chr1	146052161
chr1	31065779
chr9	6429416
chr15	50424308
chr6	106097985
chr3	136196529
chr14	63864506
chr12	34022426
chr5	91380117
chr19	39436085
chr14	55411890
chr19	47600437
chr5	42811988
chr17	19508166
chr12	57112099
chr14	76961906
chr16	8797747
chr1	76425333
chr6	27777846
chr12	54021818
chr10	80187633
chr12	53180696
chr3	45613008
chr15	38440515
chr17	59786666
chr2	223957423
chr17	82648497
chr9	37800751
chr1	45491505
chr6	31198025
chr11	118436317
chr6	133953179
chr14	20343308
chr12	110048609
chr1	28927059
chr17	58352213
chr9	124765009
chr7	157461420
chr2	218396295
chr11	60842050
chr10	86403560
chr17	43361128
chr17	43171090
chr5	81751424
chr19	45717411
chr10	122063402
chr16	75648692
chr19	45717555
chr17	44216455
chr1	154558987
chr10	18659256
chr1	155244834
chr10	13586947
chr7	40134670
chr20	2102397
chr1	248826320
chr6	30717589
chr19	37172813
chr8	123541316
chr11	57800704
chr6	31703397
chr9	33297684
chr14	65102505
chr21	44297842
chr11	113773827
chr3	52771059
chr1	109100121
chr21	32772022
chr2	134918655
chr7	100436524
chr3	122576338
chr3	71130638
chr2	53786965
chr6	165440123
chr1	207824045
chr15	82263550
chr2	39492263
chr1	24186675
chr8	11539145
chr7	43648908
chr19	7522525
chr9	92878132
chr2	97936421
chr5	160419170
chr1	42335361
chr4	37749669
chr5	163505919
chr9	68546691
chr4	140156654
chr9	28355272
chr2	241102376
chr11	65382537
chr3	41199453
chr2	219279225
chr1	65066837
chr2	86441145
chr11	268853
chr8	28093109
chr18	56869382
chr20	325455
chr10	72354985
chr17	7836985
chr11	11246712
chr6	24936911
chr1	27322251
chr1	16644739
chr7	44999923
chr13	45341274
chr11	86069230
chr10	68153835
chr11	2400505
chr20	53926698
chr9	33474100
chr15	64703364
chr2	190319918
chr6	53410829
chr5	17278148
chr15	59413125
chr12	6689441
chr19	13116801
chr14	55102402
chr14	60657368
chr7	121438650
chr22	31292485
chr6	37155674
chr11	46936671
chr1	42147123
chr7	44019296
chr2	136126087
chr1	161766290
chr1	109076071
chr7	47979592
chr7	107169819
chr17	43251722
chr11	75824495
chr4	138242443
chr4	2243941
chr9	37371296
chr6	139325422
chr20	1466893
chr12	48852248
chr19	37210695
chr2	70095350
chr4	26857662
chr16	69339623
chr2	201069581
chr8	143952212
chr5	103258530
chr1	93079190
chr9	137086922
chr13	28138189
chr4	110198742
