Chrom	position
chr17	55455131
chr9	2802688
chr12	132866568
chr14	35403967
chr8	17896138
chr6	7698327
chr11	122186650
chr15	92804172
chr15	58470097
chr7	77410313
chr10	63114196
chr11	114154715
chr21	44968258
chr12	31749462
chr9	115944537
chr14	35374534
chr9	89388419
chr3	122651799
chr3	43709237
chr6	12492580
chr12	63918169
chr6	117442053
chr13	113916375
chr6	127347403
chr2	46967356
chr17	55496492
chr8	94065951
chr7	28083841
chr8	40484644
chr11	57434839
chr20	54132934
chr12	95654330
chr2	45938840
chr14	34368575
chr2	226403576
chr6	13407874
chr5	122479231
chr7	117582286
chr18	70431324
chr22	45743054
chr5	120139237
chr15	45641590
chr15	32850330
chr7	94580773
chr15	49856041
chr22	20904790
chr22	24208117
chr3	12353995
chr22	27218162
chr3	149373887
chr2	12456609
chr6	3517496
chr1	66182895
chr8	40373447
chr2	122236656
chr10	122469178
chr2	160566958
chr2	180731171
chr4	103425017
chr2	199738949
chr8	73358597
chr3	189393842
chr4	74654381
chr20	10352565
chr4	24210519
chr8	125232988
chr8	125452162
chr1	2234724
chr20	23225560
chr8	141239669
chr20	31610912
chr20	37701910
chr2	150587103
chr6	132734832
chr2	85705773
chr9	108580139
chr8	25199176
chr8	11671508
chr11	75763036
chr5	17306142
chr2	38148631
chr5	17305239
chr1	31111418
chr15	53534343
chr21	34908519
chr14	94599342
chr15	63247351
chr21	39682044
chr21	38831727
chr14	88044303
chr5	75095551
chr6	134109754
chr4	76219489
chr15	70430264
chr1	51170544
chr1	15788258
chr5	143555369
chr9	83933964
chr1	36487118
chr21	43639942
chr4	85475175
chr2	42836249
chr2	190528871
chr4	184813601
chr22	27252430
chr5	55934292
chr17	62782077
chr2	152432359
chr1	91845208
chr5	43432698
chr8	133231498
chr8	47369598
chr10	33876773
chr8	107140998
chr7	23334780
chr7	34064796
chr10	52452874
chr10	80495379
chr9	35471061
chr8	61773301
chr3	111904946
chr3	120160177
chr12	92071253
chr3	45635807
chr11	128208044
chr3	30511805
chr8	29770647
chr11	14258390
chr10	50395492
chr13	21069762
chr10	33156211
chr11	78290398
chr14	52458135
chr8	133182571
chr6	137148908
chr3	128010391
chr1	200372223
chr8	125637606
chr3	30597441
chr7	139723612
chr3	85007377
chr9	72586918
chr13	42720566
chr8	25175420
chr9	16413604
