Chrom	position
chr5	175815877
chr19	38687125
chr22	37966542
chr12	75724022
chr14	75536159
chr2	42064292
chr6	42694474
chr11	68227539
chr3	14693109
chr5	38383193
chr1	32879702
chr5	141742471
chr11	64072335
chr15	66789970
chr8	131027603
chr16	80647822
chr20	3140615
chr6	125519133
chr7	100048226
chr2	16938593
chr22	30122911
chr16	22692274
chr19	10655252
chr16	28874733
chr16	23551748
chr21	44727134
chr10	71892699
chr6	44306484
chr5	141071570
chr1	15573549
chr1	110198816
chr1	234820191
chr19	4298821
chr16	29986665
chr9	97545563
chr2	118228102
chr3	141998990
chr14	77424624
chr12	53569002
chr8	78310703
chr19	4870338
chr13	109614014
chr19	55972684
chr17	73869156
chr5	102455894
chr2	71451228
chr17	37309444
chr6	41340473
chr2	187460085
chr6	31510158
chr11	47376991
chr2	218196579
chr12	116796870
chr19	30302257
chr6	165463048
chr2	242089469
chr10	86373589
chr4	40578924
chr22	18038329
chr15	90638883
chr12	3424705
chr12	109098466
chr19	42924310
chr9	35193954
chr16	56998708
chr2	75776765
chr18	44497982
chr17	8280148
chr19	49057280
chr6	34360753
chr1	185621647
chr16	49052387
chr19	41256232
chr12	48136160
chr3	53290368
chr7	73768547
chr3	50638547
chr10	18601823
chr17	77895412
chr5	172337952
chr4	104707342
chr17	1363674
chr2	102857401
chr8	131495620
chr15	68569977
chr1	102900179
chr1	35332069
chr13	101045186
chr3	50473735
chr9	131785786
chr1	36902530
chr14	105556983
chr1	31627467
chr15	75063537
chr3	156530559
chr1	19908894
chr17	79283178
chr14	57649613
chr22	27471482
chr2	191333984
chr14	61805386
chr1	228318856
chr8	129665743
chr14	31699057
chr1	155036977
chr14	77480527
chr10	43601444
chr19	11513031
chr11	67173643
chr5	148697086
chr5	138598658
chr5	158868597
chr20	31408315
chr20	36021078
chr16	19097953
chr17	6374213
chr19	1383844
chr2	63528187
chr10	32395087
chr8	19674812
chr5	149730226
chr10	30811786
chr20	3776532
chr7	25933800
chr11	47600573
chr2	10897838
chr9	130547149
chr12	93735397
chr2	65086638
chr6	35455610
chr16	2723788
chr19	17355641
chr12	125170636
chr15	31727649
chr9	95871665
chr1	41898448
chr17	8062270
chr16	2244988
chr16	103035
chr10	96892913
chr7	101331609
chr3	167806322
chr1	245206126
chr12	10364964
chr17	73765757
chr19	727331
chr2	11887300
chr21	16582741
chr12	103096467
chr2	136611175
chr22	29977284
chr16	28957081
chr18	46548137
chr11	44876924
chr3	32989378
chr16	48417948
chr1	93459819
chr20	2362143
chr7	116764812
chr10	51565101
chr20	56039956
chr22	43011352
chr10	105726467
chr10	99167626
chr12	89511524
chr7	30199648
chr8	145614549
chr3	158506317
chr12	55285959
chr6	84302685
chr9	95748667
chr20	32065307
chr8	134045661
chr21	35296438
chr20	33463764
chr14	103061120
chr11	132028214
chr12	125001581
chr15	90701520
chr2	208123315
chr1	25051784
chr7	44835839
chr1	20834475
chr17	80023810
chr8	144300765
chr19	952939
chr4	58030439
chr7	17139296
chr7	40174333
chr14	48386799
chr21	40159827
chr10	50627357
chr10	11758054
chr17	4151356
chr15	51413448
