Chrom	position
chr22	51001398
chr19	42829609
chr8	146228296
chr14	74227047
chr18	61035049
chr19	40926930
chr19	12904448
chr19	13262708
chr2	86422662
chr5	78810477
chr3	27526165
chr2	110371772
chr19	34919250
chr22	21213220
chr17	43394674
chr9	136203058
chr20	524515
chr6	2989851
chr5	137800789
chr12	114404128
chr12	6833168
chr10	6186818
chr9	131218264
chr19	4182587
chr17	40346463
chr6	31926872
chr1	9599379
chr5	139641103
chr2	187440182
chr19	39322566
chr2	24299306
chr8	42698475
chr6	18155570
chr8	103918638
chr10	16478989
chr3	156892890
chr4	140217020
chr11	95976535
chr2	157189340
chr22	35796003
chr12	122125076
chr11	46722261
chr7	5569340
chr1	8157601
chr12	52445150
chr3	9691151
chr5	41904310
chr9	33165946
chr9	35103182
chr7	45151367
chr6	126240318
chr19	54960250
chr8	90914203
chr22	43539480
chr8	143696906
chr11	2421728
chr8	22552919
chr11	57425221
chr9	7799818
chr1	151138514
chr11	76758808
chr2	88927166
chr14	39644290
chr6	28129535
chr12	117176044
chr19	16296042
chr5	133450208
chr1	33283010
chr19	1507927
chr4	95373978
chr12	109125450
chr10	5932002
chr19	10217038
chr2	120770526
chr1	11967964
chr6	31633664
chr7	100034133
chr14	105282452
chr12	6772397
chr12	50616507
chr22	37374257
chr12	64798067
chr5	271480
chr20	33872606
chr10	106098397
chr6	693126
chr17	55927431
chr10	64576504
chr19	7459939
chr7	75157502
chr1	169337316
chr21	37692415
chr1	151162702
chr16	12010016
chr12	69979200
chr15	85259452
chr20	626323
chr10	16859499
chr7	44084197
chr17	57697205
chr17	78389190
chr16	15982557
chr7	111846574
chr1	110091209
chr19	50879627
chr16	30645667
chr12	112037390
chr4	13629453
chr19	19516342
chr1	20987983
chr9	139001529
chr1	155278501
chr7	1544048
chr16	2732432
chr1	150552119
chr20	60877858
chr22	39928929
chr15	83736034
chr2	42396296
chr6	159420881
chr2	66662244
chr17	80606289
chr17	75084721
chr1	2323216
chr1	153931228
chr22	39916328
chr15	40615703
chr3	101405612
chr16	74700829
chr13	27825502
chr10	7860348
chr2	220408608
chr19	19626991
chr19	52185002
chr6	36409338
chr1	169863162
chr19	16653316
chr7	72298980
chr19	44439473
chr19	2950662
chr1	85742527
chr19	8454823
chr15	91191994
chr20	62496534
chr19	16607026
chr2	201936674
chr11	93861983
chr5	140044380
chr3	48754766
chr7	2281852
chr13	111365435
chr7	123389213
chr9	127631355
chr12	56584073
chr3	47324092
chr2	191879060
chr10	15902517
chr12	498506
chr1	231114780
chr2	114514370
chr16	31044720
chr5	140998716
chr3	9404735
chr19	37064232
chr1	28655536
chr9	34329382
chr4	74124870
chr13	100153607
chr17	74667870
chr6	134274249
chr12	133405517
chr13	52768585
chr1	53662457
chr2	241525741
chr11	62529097
chr11	3078742
chr2	3383411
chr6	25179470
chr19	54372539
chr9	95432571
chr8	144363882
chr2	86790289
chr11	64863620
chr5	892904
chr11	62366801
chr3	124620344
chr5	74532864
chr7	157100742
chr10	131934655
chr7	77427831
chr19	14063253
chr9	103115217
chr9	88969358
chr1	149982685
chr14	81687724
chr17	73901179
chr16	1832825
chr2	55746730
chr19	7694608
chr3	57583215
chr6	28048731
chr19	39903095
chr19	17830176
chr3	48701609
chr17	47269998
chr10	114206835
chr14	21979571
chr6	138170685
chr22	29949770
chr2	70369984
chr7	75115630
chr6	34725261
chr3	139108511
chr2	128848647
chr21	47706201
chr10	73291484
chr6	144416792
chr20	44420541
chr1	150293977
chr9	91933374
chr15	93352554
chr10	105156336
chr1	86042798
chr20	2451472
chr7	102004250
chr4	187112631
chr9	21996625
chr12	56223458
chr17	76837107
chr11	10772728
chr6	166756091
chr9	19380293
chr19	16683421
chr4	171011408
chr5	102455883
chr16	88878458
chr2	73520820
chr1	52137721
chr1	154955693
chr14	75760996
chr20	16710605
chr12	74931577
chr22	36925322
chr19	3971352
chr1	155826911
chr19	17326162
chr9	102582206
chr4	148538491
chr1	101360425
chr12	56435729
chr1	151432023
chr1	156163833
chr12	50135344
chr3	88108274
chr2	96931805
chr5	82373358
chr8	144373542
chr7	75677342
chr1	93811437
chr7	44240526
chr16	70333080
chr15	75746301
chr1	155990780
chr7	66386081
chr4	6717820
chr17	40086840
chr7	135347143
chr17	16439169
chr3	9438823
chr6	28367536
chr5	137827886
chr1	228353613
chr18	72163447
chr13	73356224
chr3	42003776
chr18	3262021
chr8	37756909
chr16	2205707
chr1	1510108
chr2	3622791
chr19	19256972
chr2	21022856
chr9	131644298
chr5	176882496
chr15	44580879
chr16	718057
chr11	63742033
chr19	941002
chr16	3018951
chr1	20834663
chr1	32404012
chr12	120105760
chr16	577598
chr19	38865198
chr16	1756046
chr4	84031744
chr1	1342653
chr13	29233246
chr12	117348712
chr3	47555014
chr2	216176739
chr11	77705843
chr14	100680754
chr19	58816653
chr3	101232167
chr22	46731598
chr16	2653356
chr16	85833234
chr2	241075727
chr12	122710606
chr6	142468394
chr19	46366603
chr20	1099164
chr10	51623388
chr17	26989027
chr11	64008315
chr19	36139210
chr8	144911571
chr2	86669943
chr2	241500579
chr2	242041789
chr13	76112042
chr19	58978378
chr2	178417613
chr8	144416827
chr19	33667805
chr21	30365240
chr10	135207680
chr19	4723974
chr22	46431957
chr12	120907549
chr12	34175350
chr11	62389643
chr19	59031233
chr19	4457965
chr2	58468596
chr14	96000991
chr1	16767214
chr10	43932443
chr19	47759717
chr2	242576914
chr19	42748994
chr19	47852577
chr6	149867305
chr19	36422582
chr12	38710512
chr11	75110523
chr19	37825545
chr12	133264021
chr4	493010
chr22	21356423
chr1	3566699
chr11	65769667
chr1	1655892
chr19	49990696
chr1	1590624
chr7	5862738
chr1	109618685
chr20	24973537
chr1	203259801
chr1	109825908
chr1	1310837
chr11	67195858
chr4	8442453
chr16	58549360
chr20	32251625
chr2	73964560
chr10	95195985
chr16	68692675
chr14	67826620
chr7	32535162
chr19	10230606
chr6	3069181
chr1	115259374
chr8	30601806
chr16	70380805
chr7	5085436
chr8	145981033
chr20	35234022
chr21	34753096
chr14	45431271
chr8	8860370
chr19	13056634
chr19	33463029
chr20	34824332
chr20	5093786
chr19	12900813
chr12	124118262
chr20	34542366
chr7	72349856
chr4	24586196
chr2	74756886
chr11	65266450
chr2	3605972
chr16	53088828
chr9	37592612
chr9	139305120
chr8	37620062
chr22	22020512
chr16	72699011
chr14	75469438
chr10	71930345
chr3	197463751
chr11	69490099
chr22	45559728
chr5	1345257
chr6	41755354
chr2	219081769
chr17	33905647
chr2	148778392
chr5	137911240
chr2	233415304
chr20	43595103
chr17	1303524
chr17	78010398
chr17	4634756
chr20	62284682
chr16	89284029
chr14	24711868
chr19	1905790
chr5	125849975
chr16	19729592
chr19	1897783
chr5	137879184
chr1	38478319
chr5	130971140
chr19	45542352
chr19	19774590
chr11	30344567
chr2	224822141
chr2	230786113
chr16	20911804
chr17	79633741
chr7	99613168
chr11	47600562
chr4	152020713
chr2	32390904
chr16	771234
chr9	123555752
chr16	88636785
chr9	115607207
chr22	40440159
chr5	140071034
chr2	234160212
chr1	235324556
chr19	44860834
chr16	87799631
chr7	92076732
chr11	28129865
chr2	232527223
chr4	95129031
chr4	56719837
chr17	80250767
chr2	216974108
chr7	140098361
chr15	72668440
chr16	699291
chr7	128695139
chr3	45730622
chr2	120980776
chr13	115079812
chr11	107328612
chr6	35436178
chr7	97881605
chr16	29802000
chr11	57508866
chr2	170681434
chr9	130981158
chr11	8704286
chr16	1823137
chr12	76174134
chr8	87521052
chr19	1876241
chr8	33342692
chr12	132195515
chr2	9983590
chr10	14996152
