Chrom	position
chr6	17291982
chr1	180926731
chr15	69133684
chr1	218671715
chr1	39897026
chr11	95341453
chr11	111308270
chr5	142784037
chr1	162011525
chr5	163571889
chr15	41900076
chr9	130422002
chr11	762546
chr10	35409439
chr6	109817082
chr10	77775056
chr1	201926196
chr2	200178290
chr5	176733597
chr12	6202580
chr5	178144122
chr12	121767810
chr20	45918530
chr22	19104717
chr17	2000010
chr1	111736077
chr11	85685390
chr1	1299128
chr1	174974827
chr16	85928547
chr18	10953960
chr1	15489265
chr10	34740166
chr9	134556881
chr5	79319057
chr1	67674913
chr1	25953179
chr11	70467278
chr2	55120812
chr18	10041404
chr6	43847763
chr7	73560128
chr4	175435611
chr17	1764426
chr1	41614125
chr6	150273965
chr8	31820326
chr3	129567300
chr17	17041333
chr8	77130764
chr3	127775974
chr20	1370128
chr10	93695901
chr10	30868783
chr11	69956350
chr4	41072324
chr6	133697914
chr8	22255739
chr18	68428267
chr1	60903741
chr15	90100066
chr9	38030051
chr17	3879326
chr12	96427429
chr1	232066664
chr10	124678406
chr2	223545975
chr20	13800862
chr13	101706903
chr19	1667818
chr9	113469239
chr9	19571117
chr10	119375778
chr9	110443690
chr14	83706681
chr17	78390405
chr20	36852378
chr5	98214883
chr1	167852885
chr11	78030703
chr22	36492289
chr10	104300931
chr6	90219366
chr6	111791594
chr1	201656737
chr8	61548949
chr2	18991910
chr22	28424812
chr15	43514407
chr18	77134338
chr17	13518823
chr4	181566665
chr10	48551876
chr1	25541044
chr2	85309234
chr4	80208770
chr11	65288878
chr18	59049902
chr8	92304533
chr3	99972557
chr6	17868067
chr4	79852399
chr2	95303720
chr8	13131132
chr5	142869982
chr5	78586416
chr17	61020313
chr2	74764262
chr10	50622066
chr6	29964989
chr1	35370468
chr22	24181616
chr12	122023983
chr20	3818516
chr1	21303613
chr12	29744037
chr10	93872907
chr22	45329765
chr22	45328929
chr6	17962573
chr12	57895078
chr3	117756774
chr14	51396530
chr2	9108385
chr2	46879107
chr2	189082776
chr7	143405321
chr1	23581398
chr22	23113168
chr1	54973316
chr9	107003472
chr12	116876246
chr10	78510719
chr11	129287039
chr8	92888134
chr14	60151926
chr6	5046610
chr2	30359101
chr2	24721676
chr4	1208104
chr1	43318366
chr4	25812184
chr10	78963833
chr2	85089784
chr9	110647556
chr5	176599832
chr2	109659569
chr10	103908521
chr8	104682178
chr16	2161446
chr14	85247244
chr10	75030024
chr10	22801919
chr8	20361861
chr13	106987647
chr16	2150884
chr4	26172242
chr1	198669324
chr2	85758781
chr5	100803572
chr9	38339677
chr17	78366435
chr12	123097861
chr15	64501496
chr8	144372457
chr4	88675189
chr13	39766120
chr13	79796358
chr6	30528177
chr11	10599594
chr12	42706099
chr3	73730133
chr17	7889243
chr7	116906607
chr12	75837922
chr13	39101482
chr10	95196236
chr2	223868215
chr4	165418303
chr8	97856997
chr13	75404915
chr15	72912323
chr7	32583978
chr10	30858070
chr2	171724506
