Chrom	position
chr16	87790137
chr9	114908337
chr16	87807100
chr3	4986999
chr15	22964505
chr20	54123831
chr20	31610902
chr1	202113032
chr19	36137139
chr7	2524344
chr19	12783998
chr16	4369202
chr12	53825472
chr1	202023248
chr16	4945978
chr7	73715765
chr14	93959606
chr5	91219374
chr12	53221107
chr1	12596072
chr17	17840433
chr20	63707897
chr20	49768476
chr12	47753549
chr14	73756759
chr12	52215754
chr19	40257229
chr1	202087118
chr3	53155920
chr3	124837883
chr8	133769217
chr3	192852033
chr21	14877902
chr15	82942783
chr19	13162813
chr1	15800257
chr16	29291028
chr2	33070341
chr19	40921231
chr14	103693637
chr21	15210445
chr19	13051773
chr7	99208176
chr9	129773840
chr3	150345293
chr20	31573062
chr15	31296816
chr7	130894324
chr8	121776461
chr9	129334266
chr3	193872479
chr3	150237735
chr18	3624199
chr5	134466554
chr16	46388678
chr16	10594731
chr20	34390955
chr9	128027080
chr8	127669026
chr13	33126312
chr12	52280670
chr15	69594560
chr9	16336053
chr6	1641500
chr8	11730851
chr2	227407915
chr20	47576774
chr13	112913652
chr2	28377352
chr19	41774701
chr8	13276733
chr16	23148739
chr2	64975549
chr6	17393949
chr15	70198004
chr12	6278634
chr14	96104826
chr18	48991051
chr9	129460528
chr22	50282649
chr1	202108425
chr1	12604576
chr14	105559523
chr15	74546383
chr12	53230696
chr6	30742962
chr12	116529253
chr2	99636805
chr14	105603635
chr10	77972391
chr7	27136149
chr19	39130548
chr20	63682721
chr1	156471758
chr3	72628249
chr7	27277721
chr2	96557006
chr7	74610407
chr16	85466176
chr19	38321777
chr17	38454771
chr14	101481166
chr1	215583558
chr7	88227144
chr12	52970020
chr9	33415800
chr1	172746609
chr11	65382127
chr4	139677262
chr9	114084472
chr4	3463375
chr19	19549995
chr3	183291891
chr20	36085961
chr16	88763638
chr3	46666836
chr9	127545497
chr14	100137408
chr19	16003740
chr1	109246388
chr21	41605739
chr19	44748564
chr12	116813421
chr11	69301912
chr17	59845742
chr9	1050463
