Chrom	position
chr19	18290445
chr19	34677641
chr9	114718999
chr10	71748957
chr18	77067555
chr20	43950302
chr18	44725879
chr2	201252733
chr3	17151823
chr16	66522405
chr16	3075190
chr14	34043923
chr16	11233284
chr22	37150099
chr17	76192120
chr3	50601286
chr21	31354821
chr17	8941590
chr12	104688046
chr11	86287345
chr16	26598327
chr7	151839195
chr6	37050356
chr2	191020405
chr2	9782383
chr6	130513974
chr5	157272040
chr1	58816339
chr17	51153503
chr9	85940895
chr4	26197614
chr10	110504258
chr4	48129771
chr5	157025420
chr20	51405021
chr11	133945379
chr1	203289724
chr15	69761109
chr3	195804510
chr5	67207105
chr12	4507119
chr2	197199023
chr11	123382049
chr14	93978489
chr15	60479286
chr16	50684170
chr3	108293223
chr8	37891968
chr15	85331130
chr6	90234150
chr5	142357123
chr19	16371724
chr12	642827
chr2	62705501
chr12	110079623
chr6	33856839
chr1	202835788
chr7	92685279
chr15	69759228
chr2	176826484
chr1	12511060
chr8	60929368
chr9	98102117
chr17	77128081
chr11	3057427
chr10	12448947
chr1	150567531
chr2	32165813
chr11	3014511
chr2	239327072
chr6	129767372
chr10	103911046
chr2	239267562
chr16	68356587
chr13	20476041
chr9	124870380
chr8	29490666
chr20	5611149
chr14	65850609
chr10	110503185
chr18	63200224
chr12	2812731
chr11	65928222
chr9	99093049
chr5	170297801
chr9	89701497
chr9	133133909
chr9	114898875
chr10	73922199
chr7	100516265
chr4	100093697
chr10	72261478
chr20	41157094
chr19	36128050
chr19	34350428
chr2	7450683
chr1	40862708
chr16	56989494
chr20	3420300
chr1	89259720
chr17	57600281
chr7	54759366
chr6	44704620
chr5	53041401
chr17	3796648
chr9	88304240
chr18	24019849
chr8	143547385
chr10	6072722
chr17	78343852
chr21	42528037
chr13	114142804
chr2	196068573
chr7	32905479
chr11	62653205
chr9	70563884
chr11	96254284
chr3	50612016
chr11	3049960
chr21	35045978
chr16	50547663
chr6	41936262
chr22	39774172
chr17	80847715
chr17	48511303
chr4	184474792
chr10	30027479
chr2	96486249
chr14	61452733
chr11	65421393
chr19	10797758
chr12	53267920
chr19	41310376
