Chrom	position
chr20	30556384
chr11	66189262
chr19	50490537
chr13	99305845
chr15	64679972
chr11	65190265
chr6	139695768
chr5	170814500
chr16	68554722
chr10	88137098
chr14	106267710
chr16	85454523
chr19	50441096
chr15	63385925
chr11	111293892
chr4	84377140
chr5	150827073
chr8	142726294
chr12	69684954
chr15	74908063
chr4	1404401
chr20	13765577
chr18	45973169
chr1	154193137
chr1	9551293
chr1	33936249
chr17	33639905
chr17	2731906
chr19	18350364
chr10	102840878
chr1	9687225
chr20	34973114
chr11	61334860
chr13	103792809
chr17	80509880
chr14	105282469
chr16	24869981
chr20	1881133
chr12	45342698
chr9	10268964
chr1	6305299
chr14	93380617
chr20	30200815
chr13	99221976
chr17	26684556
chr12	31753363
chr10	29408510
chr1	21985788
chr3	13689937
chr6	159125409
chr9	132586484
chr1	6614630
chr9	91801118
chr2	55920942
chr19	7294426
chr12	42538687
chr19	36311079
chr1	75198832
chr9	112083427
chr16	89772503
chr16	1877217
chr5	134240397
chr1	24439189
chr1	111289493
chr19	12876991
chr18	34850193
chr17	74519341
chr9	126872784
chr7	76067379
chr15	89962781
chr11	12910481
chr2	238683605
chr3	48442447
chr5	172221176
chr22	46390893
chr1	165738131
chr11	47429784
chr5	74063038
chr1	35390609
chr19	15543613
chr9	34494159
chr7	30711662
chr1	18582993
chr17	5372386
chr16	84341933
chr18	32966664
chr7	1032944
chr22	29949893
chr22	45949803
chr4	77069625
chr8	127889043
chr7	152133892
chr22	44263907
chr22	45371623
chr5	159846094
chr16	29911416
chr1	236666691
chr13	115000305
chr11	64764539
chr16	57791321
chr17	80023746
chr16	67706794
chr15	99202641
chr12	108608460
chr15	42783405
chr15	89149079
chr1	7727771
chr15	58520099
chr4	185395912
chr2	8822204
chr3	128324393
chr17	29877137
chr2	3622790
chr16	10989394
chr22	31627305
chr2	205010157
chr2	232578716
chr11	66442862
chr16	87695332
chr22	30608714
chr17	32965458
chr19	19257014
chr22	30787259
chr8	122654685
chr17	33124900
chr6	126274316
chr5	37413256
chr11	69485187
chr10	105004602
chr2	15777584
chr7	75831201
chr1	150141361
chr2	16734684
chr17	80170765
chr20	47835941
chr11	70496609
chr1	35252259
chr8	20054721
chr6	43231375
chr17	79779807
chr20	23976982
chr22	36220511
chr10	43844092
chr1	94224675
chr2	201677259
chr20	22672451
chr1	227923040
chr14	25275610
chr21	34733724
chr3	40351079
chr11	46414280
chr2	233415373
