Chrom	position
chr5	61408682
chr1	23562454
chr1	148522734
chr20	31604335
chr20	31608646
chr21	36430207
chr20	50166253
chr6	19804813
chr17	43251699
chr20	31573156
chr3	93470560
chr11	111879259
chr2	8678887
chr3	53350836
chr7	39589869
chr19	13164687
chr22	23521919
chr5	56123920
chr10	86868547
chr17	25920219
chr11	43644162
chr1	146035695
chr10	61765816
chr7	101100304
chr6	30717605
chr22	35372075
chr10	29254691
chr1	16678311
chr10	25493341
chr8	123157294
chr7	73886260
chr7	12715862
chr14	23112922
chr9	129863219
chr13	26983140
chr10	40829791
chr8	133540348
chr1	149708718
chr2	121530971
chr12	11799059
chr1	149636886
chr11	9364520
chr5	142357078
chr10	92756415
chr16	15591117
chr1	161523918
chr6	26571909
chr22	35377096
chr11	59960636
chr15	64430461
chr17	78666052
chr17	26881386
chr1	161399775
chr5	91280628
chr21	10325827
chr15	66702227
chr4	123349569
chr6	135323368
chr6	27650971
chr9	19380233
chr19	13102859
chr6	37183414
chr6	28881383
chr1	145465612
chr18	48781502
chr12	32005672
chr6	28951047
chr17	69047540
chr7	50497186
chr5	95712694
chr1	161531127
chr6	28729332
chr21	8220003
chr2	127408137
chr9	37197258
chr14	102317060
chr10	45470785
chr2	85934349
chr16	88491819
chr7	128783443
chr11	59707042
chr1	17054129
chr5	80205101
chr2	170014056
chr6	28789819
chr2	6909950
chr2	30253245
chr1	164712405
chr22	19891725
chr19	2543810
chr10	98910230
chr9	120580222
chr2	68121228
chr6	28658288
chr10	97789129
chr21	14454516
chr22	40711741
chr14	58239950
chr11	75768726
chr1	66916509
chr10	67764517
chr11	62841521
chr11	12201358
chr6	13395560
chr1	123195737
chr1	121016912
chr1	160540325
chr19	40823072
chr1	248873854
chr19	2540872
chr15	78860593
chr5	181206862
chr17	58659161
chr10	9825582
chr16	3150676
chr15	49621048
chr16	3152910
chr6	26521231
chr19	2263784
chr6	125780310
chr20	31610797
chr1	167715568
chr7	129958823
chr11	13105515
chr1	234876526
chr6	42017336
chr1	191824022
chr17	82494793
chr11	83008088
chr12	120293130
chr15	67091420
chr3	177360007
chr16	87384104
chr9	95462790
chr10	22229577
chr6	143450746
chr5	140711315
chr11	126420555
chr3	157175135
chr8	10777463
chr18	48948621
chr1	147084618
chr14	20633032
chr3	72144925
chr17	68019981
chr1	148038763
chr6	37302268
chr17	64707276
chr6	27688222
chr1	58899181
chr4	105708719
chr10	84525209
chr17	58631760
chr2	130337207
chr4	71857972
chr13	87124187
chr16	3158913
chr15	74461326
chr6	16215705
chr4	54571455
chr1	44721643
chr19	4724075
chr12	54304516
chr14	73741678
chr13	40771228
chr1	161540246
chr11	5280739
chr6	70337665
chr10	17426008
chr1	174159350
chr6	27591882
chr2	85772487
chr19	13069818
chr11	122559942
chr12	104467558
chr21	14753990
chr10	43418155
chr15	26082310
chr11	93718397
chr12	49869240
chr6	27605715
chr4	49121020
chr18	79507203
chr5	154654095
chr4	121711779
chr17	39153826
chr12	120291735
chr2	54589742
chr6	44002301
chr2	20567640
chr3	65039954
chr6	26532987
chr9	133004333
chr12	108700367
chr11	13111107
chr7	76380214
chr2	226772816
chr12	23757749
chr10	40878866
chr3	197444440
chr21	17454835
chr11	72112885
chr6	26556563
chr1	64864294
chr16	46386438
chr4	184684969
chr21	34908610
chr22	36368701
chr1	204507102
chr10	120851267
chr13	28408699
chr15	68991916
chr3	193660856
chr16	30658012
chr17	75035110
chr7	64999633
chr15	45198689
chr11	28110269
chr6	28796033
chr21	8234509
chr2	38543043
chr18	58611839
chr6	79545128
chr6	27902976
chr16	22195795
chr14	31059769
chr7	107836538
chr6	161255040
chr19	33177080
chr3	44518438
chr17	78272360
chr5	82337
chr9	84343398
chr6	28863761
chr12	124921810
chr15	70448113
chr7	140242161
chr15	64387802
chr16	636816
chr1	149712630
chr20	10511734
chr22	29821555
chr8	141026873
chr2	201787673
chr17	49192522
chr5	181191764
chr6	26568848
chr1	25413351
chr10	32446123
chr16	9047983
chr15	82540558
chr6	16031390
chr10	4867747
chr2	44167981
chr1	31154849
chr11	114160180
chr5	133932845
chr3	45689053
chr12	98509190
chr15	40593908
chr9	35111848
chr7	58434577
chr7	139340696
chr18	9877502
chr9	97051974
chr13	44917997
chr19	47227622
chr1	185284847
chr16	22297164
chr14	20681679
chr1	28885099
chr1	28884041
chr2	102336035
chr12	96036027
chr17	61175486
chr1	202076258
chr3	5026647
chr11	59566420
chr1	146039411
chr11	59560397
chr6	28896304
chr6	26322834
chr7	83468468
chr2	8615986
chr15	65869148
chr14	20609414
chr4	48212374
chr22	39174945
chr16	75043293
chr6	27777915
chr1	179047165
chr6	27303842
chr2	145693313
chr17	8222297
chr6	28648287
chr8	102811396
chr2	43426632
chr2	61288233
chr1	65231301
chr1	204506532
chr15	89335072
chr4	139943536
chr16	67562307
chr1	214419845
chr11	118415866
chr5	172943449
chr10	6920562
chr16	85535592
chr11	95147652
chr11	69297527
chr6	27519518
chr11	38539052
chr1	181153145
chr3	126911530
chr1	120850864
chr2	112706420
chr1	143245010
chr19	1021634
chr10	50550511
chr19	4724696
chr6	27215165
chr2	121075329
chr6	27592874
chr17	8120369
chr2	100292304
chr6	155080236
chr1	51236232
chr5	128038855
chr11	62396867
chr2	48265331
chr1	23558513
chr1	12449017
chr11	114216046
chr2	55419955
chr2	168774281
chr1	57218923
chr19	51508269
chr1	151070584
chr18	11925946
chr8	115427732
chr16	71426498
chr12	117042470
chr1	167714717
chr1	93079181
chr6	22025787
chr7	151039558
chr1	224503673
chr19	16258601
chr1	12604554
chr6	163777449
chr2	219526064
chr6	109304642
chr7	149691249
chr3	178170845
chr16	113667
chr9	128558559
chr2	169012389
chr5	81751433
chr12	45992004
chr2	215619265
chr5	135272007
chr16	3157449
chr12	108838555
chr1	204647721
chr3	101530541
chr7	23802394
chr1	120942701
chr5	54325818
chr1	144551809
chr8	23494335
chr16	70779120
chr8	55848049
chr15	45048901
chr7	37357777
chr2	237085811
chr6	693083
chr13	93224698
chr6	27795932
chr2	70249060
chr5	181218357
chr13	94549728
chr17	62143759
chr22	26632762
chr6	36350992
chr11	69449939
chr2	178273915
chr6	27547817
chr12	104408801
chr5	180093806
chr1	26432195
chr2	157324513
chr3	196182054
chr11	33941762
chr17	38867651
chr17	38869373
chr12	62910734
chr17	75087780
chr1	155244844
chr10	31031947
chr12	124927923
chr7	131586426
chr6	3393149
chr22	40329329
chr16	88497994
chr11	66348126
chr4	86961860
chr22	31244168
chr3	193853832
chr3	72744521
chr1	234724171
chr20	47360777
chr3	183884986
chr12	123719760
chr6	144886877
chr4	70903403
chr17	34885304
chr10	117411618
chr1	47181375
chr6	28953323
chr1	234523782
chr6	35731985
chr5	74327146
chr20	50451308
chr7	92916968
