Chrom	position
chr8	100907468
chr5	48372
chr8	139847725
chr8	142342787
chr4	70158729
chr17	41212991
chr17	82441466
chr10	3046570
chr4	183723372
chr8	143405333
chr18	33803106
chr3	195717058
chr19	511486
chr1	39845610
chr22	26648212
chr19	17305517
chr1	110120119
chr1	20487170
chr1	201531981
chr17	78413506
chr13	113617563
chr5	135009566
chr6	167409997
chr22	31618244
chr15	92839921
chr13	113497502
chr16	46394800
chr2	128305790
chr17	41167672
chr2	132582065
chr17	82122483
chr10	127939902
chr15	58294366
chr1	15179242
chr8	143737837
chr20	20254426
chr17	80195538
chr16	83814478
chr7	44264555
chr2	10325770
chr10	78920241
chr1	143247067
chr6	3309615
chr16	46388711
chr11	11252625
chr1	3857541
chr6	148972653
chr5	49666215
chr4	3257296
chr17	27245512
chr22	50729546
chr10	41875046
chr7	108178571
chr6	169933466
chr12	132430436
chr11	116635925
chr11	71568822
chr17	82330544
chr1	150981504
chr16	70658133
chr19	11797729
chr1	110185408
chr21	43779904
chr2	7031853
chr8	142339787
chr9	81776632
chr2	235371161
chr13	19960213
chr16	89230462
chr1	1176054
chr3	183116307
chr8	28657984
chr4	51107357
chr8	139645684
chr21	8234502
chr1	54989762
chr12	57815760
chr15	88639052
chr15	47301677
chr19	18633497
chr4	1032649
chr21	45434058
chr2	10907265
chr19	45809710
chr1	15736234
chr5	6766856
chr10	133689434
chr17	1162731
chr11	16097604
chr17	41072122
chr7	155594433
chr6	21501119
chr4	182867859
chr20	35462440
chr16	57816602
chr7	1556415
chr5	159202
chr12	132237427
chr10	47377771
chr21	8220006
chr6	164101640
chr18	62979383
chr19	40691354
chr22	21938330
chr17	3558753
chr8	101514632
chr16	57770592
chr15	47929490
chr1	110112908
chr13	27001849
chr18	76392540
chr16	89142645
chr13	27006788
chr16	1078595
chr8	60793005
chr16	4579189
chr2	85758752
chr4	1365804
chr7	108442241
chr17	82666080
chr3	194329742
chr7	130154528
chr22	43129261
chr16	4260517
chr15	74269892
chr13	27857566
chr5	443681
chr5	176816214
chr17	41255603
chr3	167735606
chr3	42734000
chr9	105064694
chr8	29773566
chr8	139679274
chr10	80252677
chr16	46386433
chr2	177947
chr8	20294408
chr1	143263454
chr1	211925287
chr19	4585010
chr1	41372452
chr18	48031133
chr3	128309270
chr8	8892534
chr19	44792476
chr9	93814361
chr5	146261721
chr1	228868342
chr17	41026983
chr12	76644891
chr10	101587986
chr11	804195
chr8	142795768
chr1	143264266
chr17	81416745
chr7	83060411
chr4	49149774
chr16	2042326
chr2	3504827
chr16	3491121
chr14	63089005
chr1	205273730
chr4	49657587
chr11	115870062
chr1	32248416
chr1	236169214
chr7	158976068
chr10	89684170
chr6	168061889
chr17	74333087
chr9	137797467
chr1	634030
chr19	12059770
chr16	85360578
