Chrom	position
chr1	161623525
chr2	60840967
chr17	31538238
chr18	35616990
chr5	140718898
chr1	226360564
chr7	5538676
chr5	141619127
chr16	87895758
chr8	64900714
chr8	64695172
chr4	6181022
chr6	117771577
chr12	123767781
chr10	70588490
chr20	19779792
chr7	2165964
chr19	5680605
chr12	125419034
chr3	12607296
chr9	128031119
chr10	23069204
chr2	200455018
chr4	2787526
chr14	35416263
chr4	137640360
chr9	135939509
chr20	5848964
chr10	48337164
chr9	105355967
chr20	48365020
chr16	69469940
chr3	172592294
chr4	104869137
chr5	124936046
chr2	102301936
chr2	201252640
chr3	170632925
chr12	108455884
chr3	196685093
chr5	32312992
chr2	100247748
chr1	67333113
chr9	109418959
chr1	181159791
chr16	84166902
chr8	60781027
chr5	149805922
chr7	44460494
chr14	34043918
chr11	9060930
chr6	137258288
chr13	40026421
chr1	108559804
chr12	4507020
chr15	50107717
chr13	99332189
chr2	168495691
chr13	42548866
chr21	35049206
chr13	45329803
chr10	8133258
chr10	1094453
chr11	133175229
chr18	58887691
chr6	143549862
chr10	80459229
chr15	56356802
chr2	174593700
chr12	8648792
chr13	32646018
chr12	9741918
chr2	191110043
chr5	43064963
chr15	39623690
chr17	49748902
chr14	32206115
chr2	23487928
chr1	161217536
chr14	23606210
chr6	130513939
chr2	155145942
chr1	100941316
chr15	41487930
chr13	28268880
chr1	98871682
chr4	146049916
chr9	22105139
chr13	114263748
chr13	113931221
chr10	88117366
chr1	6745216
chr10	26551311
chr1	200970159
chr9	95822904
chr9	137762566
chr1	199081904
chr9	98575761
chr14	97697950
chr5	96935162
chr7	151769266
chr20	46111325
chr16	50121856
chr12	67452357
chr16	57609831
chr15	85331091
chr10	62456736
chr6	54877823
chr3	99484032
chr5	99027632
chr10	14919147
chr20	64063062
chr11	103028472
chr11	107264331
chr5	107605193
chr8	27963030
chr14	92281092
chr11	105740375
chr2	190515972
chr4	119370612
chr14	20295256
chr1	99794081
chr19	2168977
chr11	47900012
chr1	97791421
chr19	2475903
chr9	27785910
chr2	61044724
chr20	63730891
chr11	102430452
chr9	27573430
chr8	26630223
chr14	22071222
chr14	21385348
chr3	125129104
chr6	161038554
chr9	27366217
chr10	16440849
chr10	16195403
chr3	9731536
chr3	125141631
chr9	26803088
chr6	159467754
chr9	21814055
chr3	100104308
chr11	107864274
chr9	21121268
chr2	187990098
chr13	112767908
chr10	14009829
chr3	127229058
chr11	47374089
chr1	101293602
chr6	158653682
chr21	14567770
chr3	100087382
chr3	7447613
chr6	158471542
chr13	110942462
chr3	6808073
chr5	107285950
chr1	101728290
chr13	110658413
chr2	62202559
chr11	108648480
chr17	7552826
chr19	955037
chr13	114049114
chr6	162621506
chr13	113817155
chr13	113604298
chr13	113587056
chr9	21761518
chr5	159409997
chr21	13947207
chr1	101100864
chr4	73536154
chr9	21357764
chr5	107389301
chr9	21160370
chr3	127075132
chr21	14453568
chr5	159458468
chr10	17023593
chr4	76301625
chr17	4966404
chr3	122589577
chr17	1865645
chr17	2087853
chr2	195559817
chr4	78750285
chr3	122497634
chr6	170272093
chr19	24031607
chr9	34451712
chr14	91108474
chr8	23129806
chr9	34377186
chr8	23145757
chr5	151612907
chr1	91892123
chr9	34123858
chr11	95325050
chr17	1723238
chr10	59060972
chr4	78056693
chr3	12187810
chr14	89331594
chr7	930209
chr2	58064348
chr1	89692969
chr7	36391958
chr14	89426075
chr7	923416
chr4	80423181
chr3	122481614
chr11	91300195
chr7	36677965
chr10	22666654
chr2	59888201
chr16	57462650
chr8	22877720
chr14	33791190
chr11	48107238
chr1	92537137
chr3	124657337
chr1	94036961
chr2	191322156
chr10	17984219
chr3	124007384
chr7	37766118
chr14	22858792
chr5	156819761
chr4	76607688
chr11	47920558
chr10	18651690
chr4	76516135
chr17	4563599
chr3	124639870
chr9	97397442
chr11	110349882
chr1	94284717
chr11	100908932
chr17	4207182
chr16	56860525
chr17	2711894
chr3	122893495
chr6	167056550
chr14	28831292
chr19	24062372
chr1	92587668
chr11	95506065
chr3	11272413
chr17	3694091
chr8	23529616
chr19	3094365
chr19	3327145
chr14	24313356
chr14	24195702
chr7	152341253
chr20	62740359
chr1	44721667
chr1	93079154
chr6	158290252
chr11	110857546
chr9	20526856
chr17	27544763
chr18	69949123
chr9	5844949
chr9	5841898
chr2	218980145
chr1	113794092
chr5	180367508
chr13	79385966
chr6	150007194
chr11	121236287
chr18	69897883
chr3	4409653
chr13	78022362
chr6	149761623
chr13	77697399
chr2	177207243
chr2	177148895
chr9	5437355
chr3	99506091
chr13	80049051
chr17	21034462
chr18	72181545
chr17	18781220
chr2	179096410
chr18	73680068
chr18	73670741
chr18	72985856
chr13	93794359
chr10	8366048
chr7	39733485
chr13	80339965
chr13	88651718
chr6	150897594
chr18	70419119
chr21	29019212
chr6	150720904
chr18	70059060
chr3	4508256
chr9	5389277
chr3	134294470
chr11	118316799
chr9	5275016
chr6	2081636
chr16	50698354
chr21	31656452
chr11	123904167
chr9	4465040
chr10	6052786
chr1	117062157
chr9	4422006
chr13	73223613
chr17	29618134
chr1	117643143
chr4	42357496
chr13	71054578
chr4	121256564
chr1	117656446
chr6	2940640
chr2	69054628
chr6	148831277
chr6	1670235
chr1	116764740
chr11	46303098
chr11	122808698
chr17	28046618
chr4	47531885
chr11	122856767
chr6	468019
chr6	474979
chr17	28278450
chr1	116390363
chr6	1470224
chr1	116503824
chr10	6270456
chr13	75762716
chr9	4826518
