Chrom	position
chr18	21612443
chr5	154754983
chr5	43120873
chr7	4642103
chr9	92293776
chr2	70086954
chr2	241701549
chr1	92832177
chr2	197499916
chr20	17968696
chr7	44986510
chr4	163494708
chr17	63773857
chr20	38435253
chr2	172000018
chr17	42833332
chr1	244863213
chr1	44775682
chr9	133336386
chr2	38751203
chr3	12841416
chr1	101026012
chr3	52686056
chr7	45111688
chr8	100722608
chr12	54281020
chr19	5790849
chr17	51153595
chr3	184314776
chr7	6009442
chr19	10106389
chr12	112409442
chr19	55655444
chr12	69585610
chr9	89318397
chr11	18394451
chr8	108248575
chr17	17591689
chr5	112160972
chr2	10120697
chr2	202265985
chr12	57772101
chr15	41115681
chr6	89819791
chr3	40457484
chr11	62856058
chr11	73788082
chr5	82278215
chr3	131502901
chr6	35468478
chr3	128123815
chr4	151099752
chr6	73520847
chr9	132669950
chr17	38853636
chr17	7572548
chr1	156338496
chr10	78033961
chr1	42683079
chr8	22245308
chr1	203861627
chr17	28720146
chr17	75896749
chr2	3575375
chr19	17932726
chr2	68157909
chr12	21657416
chr1	67430584
chr15	88621349
chr16	89560812
chr17	35142305
chr17	50719583
chr11	73876766
chr11	33161333
chr5	171388573
chr14	59484101
chr17	51166742
chr17	1400150
chr3	51995815
chr5	10250534
chr11	34105647
chr16	23557338
chr2	74835017
chr19	29942140
chr9	19380129
chr12	64222257
chr20	18137860
chr12	2812904
chr10	119165470
chr3	194135105
chr2	69914333
chr5	40835153
chr15	92809347
chr16	1964759
chr2	61888531
chr14	24188849
chr19	5690377
chr3	39406882
chr12	49060882
chr1	45550823
chr16	70523948
chr1	52698141
chr16	11851514
chr22	36529094
chr9	124861850
chr8	66429056
chr11	63671579
chr22	21629349
chr16	18790227
chr6	13615197
chr2	108719379
chr6	113971504
chr12	56725278
chr20	324502
chr11	75399635
chr1	42682142
chr19	1407333
chr17	44070689
chr5	150449645
chr7	66921080
chr9	69035809
chr13	29595063
chr7	44123312
chr11	60842073
chr5	181243784
chr2	27217462
chr19	9584496
chr6	31795713
chr1	31065727
chr1	38012495
chr2	15591713
chr7	100081951
chr17	77088707
chr8	143829330
chr12	116910906
chr17	39200392
chr7	22854333
chr12	120201077
chr10	5813806
chr8	10839907
chr17	40113402
chr19	1438485
chr6	36874664
chr3	170870139
chr1	155609992
chr12	120194753
chr16	69132628
chr12	56468530
chr2	130342934
chr11	506818
chr2	112542550
chr7	100100610
chr15	82540362
chr17	78840826
chr18	13726585
chr5	146182595
chr13	75549439
chr19	1864275
chr5	176388588
chr8	73293495
chr18	26226499
chr8	144792319
chr1	114716829
chr20	35092894
chr17	5468949
chr19	2783559
chr17	4704145
chr5	62403846
chr10	988477
chr17	5439075
chr8	48008330
chr12	53675991
chr5	141619272
chr1	156741104
chr2	74198592
chr21	39313823
chr19	18571729
chr1	23344330
chr6	3259119
chr17	8249343
chr9	136728270
chr7	44797080
chr6	33272150
chr19	5720213
chr5	132556966
chr6	42879948
chr6	24721628
chr1	209827974
chr10	42638182
chr11	47408351
chr2	32356964
chr5	90474526
chr1	222465622
chr20	34302995
chr19	41397360
chr1	214281627
chr12	121352407
chr11	73779534
chr17	76557792
chr1	155194530
chr19	39435925
chr3	128681073
chr3	184249579
chr6	43229371
chr7	76048166
chr10	43407844
chr3	197950254
chr7	30594821
chr19	18001187
chr1	154220708
chr1	220046517
chr11	62839565
chr9	129626416
chr14	49586279
chr1	32817347
chr14	92794067
chr16	30698670
chr10	30349061
chr2	55693825
chr6	143843408
chr4	128288266
chr11	20387740
chr3	66221047
chr9	127803066
chr10	6163867
chr8	54135223
chr1	26620983
chr1	109619753
chr11	65890669
chr6	150866335
chr6	85643857
chr12	6568244
chr9	2844053
chr5	159209799
chr16	69754876
chr4	108620688
chr9	4793004
chr6	32968718
chr6	8102319
chr1	180502643
chr12	93467693
chr17	74203787
chr2	202911652
chr15	34038615
chr19	45079198
chr3	136196726
chr17	58249868
chr22	30591898
chr19	32345826
chr1	28736836
chr19	40662982
chr19	6280226
chr1	23691903
chr3	57556095
chr16	67846949
chr2	216498958
chr11	18322427
chr12	107685681
chr2	215312091
chr19	17860141
chr2	32011055
chr21	43789555
chr9	97983095
chr16	71462186
chr15	66504748
chr17	7573682
chr14	65102863
chr19	49677575
chr9	133418049
chr13	27424695
chr9	33473908
chr19	12945824
chr1	244835319
chr8	143609282
chr22	37686451
chr6	10694982
chr10	94362963
chr1	28885149
chr12	110403590
chr6	5003924
chr4	56387462
chr19	10701441
chr4	109815797
chr3	196942537
chr1	1308377
chr11	66328482
chr13	27251622
chr21	42879255
chr3	142578729
chr6	7389865
chr9	136245575
chr19	36215192
chr13	30464550
chr11	119018251
chr9	122264837
chr5	6633054
chr14	20455222
chr10	100987568
chr15	55196915
chr1	11273524
chr5	138575406
chr11	57741392
chr7	150368517
chr3	23917245
chr3	38346806
chr3	119468939
chr8	26291818
chr1	34859912
chr4	103076535
chr16	70346881
chr1	28643199
chr3	48089246
chr14	91418160
chr2	121755530
chr11	123741652
chr4	56435857
chr17	17206473
chr1	6199539
chr16	3500917
chr4	39458807
chr7	128343846
chr9	128322513
chr1	167714621
chr16	56931974
chr19	36114964
chr16	2268002
chr5	34915719
chr21	41879571
chr1	154558986
chr14	21511285
chr2	231463856
chr11	32583840
chr4	94207995
chr16	68023248
chr12	50401090
chr17	81937404
chr17	81977594
chr20	31547411
chr22	36507135
chr1	53220479
chr14	72926702
chr15	49621022
chr15	50686841
chr20	63980992
chr7	149262180
chr4	20700281
chr20	31514447
chr19	51108379
chr10	103396688
chr21	32392978
chr4	2963389
chr16	2682418
chr14	58427186
chr7	25125418
chr16	30407299
chr8	102412963
chr9	3526350
chr5	151771957
chr6	17706129
chr4	44678598
chr7	16646395
chr17	76726973
chr1	26432124
chr7	100852581
chr7	105012765
chr9	97922398
chr2	117814681
chr2	28870329
chr1	26695724
chr20	46089936
chr12	576248
chr12	123602130
chr16	1493221
chr12	121888647
chr5	134738408
chr1	168225806
chr6	43517142
chr19	57279892
chr22	20982080
chr18	12408000
chr19	10096300
chr7	726607
chr14	77800362
chr2	10448024
chr5	139274155
chr2	121736871
chr16	1420822
chr2	101002363
chr5	73498500
chr7	103344827
chr3	4978661
chr16	8797832
chr17	47650782
chr6	110982073
chr16	22297374
chr1	7961685
chr11	75768444
chr12	53007107
chr4	53366063
chr20	50931832
chr4	139555516
chr15	75204898
chr17	36601622
chr6	44257447
chr3	184248963
chr9	37120135
chr9	35096510
chr7	1474231
chr19	10502940
chr22	39319559
chr6	41921524
chr2	73234428
chr19	49496093
chr10	43408970
chr9	130693933
chr17	83051718
chr2	10689973
chr1	25998281
chr1	44030239
chr11	107858604
chr11	77637781
chr2	73984876
chr20	49979172
chr9	133348322
chr16	3024230
chr12	130872574
chr9	33290534
chr16	28212173
chr14	95534466
chr1	11060195
chr7	141738410
chr12	123633737
chr3	101686626
chr12	88035476
chr19	15432770
chr19	1672517
chr12	131929249
chr14	64388358
chr7	873537
chr1	229626214
chr8	85177817
chr6	34238192
chr9	133149501
chr16	69339774
chr2	189784523
chr17	58007284
chr2	39779223
chr5	69369490
chr11	88337753
chr1	2412842
chr10	102450556
chr18	80034510
chr2	68362195
chr19	12723963
chr3	183698077
chr19	10252222
chr1	224434917
chr21	45541820
chr3	15065257
chr7	111562162
chr3	133805854
chr1	16440624
chr19	55408154
chr1	179026385
chr4	98928899
chr10	73247359
chr5	66144608
chr20	44960534
chr2	99155074
chr2	112645729
chr14	35122279
chr6	30571348
chr19	1269713
chr10	68956304
chr22	20117492
chr5	116085379
chr17	38752506
chr7	74174164
chr13	49691450
chr15	74843314
chr1	165827988
chr22	39502328
chr15	78437871
chr7	44490590
chr20	49278288
chr9	137086706
chr1	32179908
chr1	234610927
chr2	86440744
chr19	10654387
chr17	2030142
chr7	156949747
chr9	114611243
chr10	43606455
chr19	4246931
chr5	271687
chr11	62881353
chr17	7687528
chr2	110212531
chr19	38849400
chr9	100352919
chr1	156501189
chr1	156601448
chr2	231710333
chr16	89721233
chr10	133394289
chr1	211259088
chr19	7903725
chr6	143511503
chr19	19033906
chr12	56116758
chr7	2314627
chr1	26693368
chr1	173867815
chr7	44573898
chr19	46788573
chr3	160565776
