CHR	TSS	Gene-Symbol	Category	Strand	TS_ID	bigCategory	ID	DukeUq	RepeatMaskerFrac	geneGC
chr1	69091	OR4F5	WGS	1	OR4F5	WGS	chr1_68091_70091	0.434083	0.1625	0.3745
chr1	139379	AL627309.1	WGS	-1	AL627309.1	WGS	chr1_138379_140379	0.129	0.25	0.553
chr1	367640	OR4F29	negativeControl	1	OR4F29	WGS	chr1_366640_368640	0.04875	0	0.4085
chr1	622053	OR4F16	negativeControl	-1	OR4F16	WGS	chr1_621053_623053	0.055125	0	0.4095
chr1	739137	AL669831.1	WGS	-1	AL669831.1	WGS	chr1_738137_740137	0.521583	0.2805	0.421
chr1	818043	AL645608.2	WGS	1	AL645608.2	WGS	chr1_817043_819043	0.581667	0.4895	0.3915
chr1	861118	SAMD11	WGS	1	SAMD11	WGS	chr1_860118_862118	1	0.0315	0.6965
chr1	866445	AL645608.1	WGS	-1	AL645608.1	WGS	chr1_865445_867445	0.992	0.0355	0.622
chr1	894670	NOC2L	WGS	-1	NOC2L	WGS	chr1_893670_895670	0.882625	0.376	0.665
chr1	895967	KLHL17	WGS	1	KLHL17	WGS	chr1_894967_896967	0.975667	0.271	0.745
chr1	901877	PLEKHN1	WGS	1	PLEKHN1	WGS	chr1_900877_902877	1	0.013	0.6745
chr1	917497	C1orf170	WGS	-1	C1orf170	WGS	chr1_916497_918497	1	0.011	0.636
chr1	935552	HES4	WGS	-1	HES4	WGS	chr1_934552_936552	1	0.0315	0.733
chr1	948803	ISG15	WGS	1	ISG15	WGS	chr1_947803_949803	0.958542	0.286	0.551
chr1	955503	AGRN	WGS	1	AGRN	WGS	chr1_954503_956503	0.998417	0.2595	0.7545
chr1	1009687	RNF223	WGS	-1	RNF223	WGS	chr1_1008687_1010687	1	0.0625	0.6615
chr1	1051478	C1orf159	WGS	-1	C1orf159	WGS	chr1_1050478_1052478	0.9945	0.22	0.7115
chr1	1109283	TTLL10	WGS	1	TTLL10	WGS	chr1_1108283_1110283	0.945542	0.279	0.621
chr1	1141951	TNFRSF18	WGS	-1	TNFRSF18	WGS	chr1_1140951_1142951	1	0	0.6745
chr1	1149512	TNFRSF4	WGS	-1	TNFRSF4	WGS	chr1_1148512_1150512	0.953167	0.2195	0.658
chr1	1167381	SDF4	WGS	-1	SDF4	WGS	chr1_1166381_1168381	0.999	0.233	0.6985
