Chrom	position
chr16	3383107
chr21	45243799
chr3	49233755
chr3	171854833
chr12	3407900
chr1	30092645
chr22	49767436
chr22	19648604
chr9	95422857
chr1	244576455
chr19	34550045
chr6	44443022
chr9	94472249
chr14	54572586
chr9	94267551
chr1	67067845
chr10	22070583
chr1	67513816
chr19	34570324
chr7	65404223
chr8	18151213
chr5	179845133
chr10	25094809
chr8	124810893
chr15	72947889
chr1	151907589
chr17	77174817
chr19	34917339
chr17	77167894
chr7	67357890
chr14	39056244
chr5	176765885
chr19	6292236
chr19	34976775
chr2	144747760
chr2	54020985
chr12	1747796
chr10	21198039
chr19	33246112
chr8	10093948
chr15	66889487
chr22	45796171
chr6	5324175
chr7	50246764
chr16	74913026
chr14	68865743
chr14	68801791
chr1	32458999
chr4	98846181
chr10	132052309
chr7	50583468
chr3	183242624
chr6	42712114
chr20	35196529
chr17	17424769
chr20	33737196
chr6	1828177
chr1	154295789
chr19	7759365
chr10	21208044
chr8	130657700
chr14	60958317
chr14	60232380
chr1	31458483
chr12	1421304
chr22	46571833
chr2	54058657
chr1	154076617
chr4	127749148
chr12	9336846
chr9	91705575
chr7	87328502
chr17	28262316
chr15	81918964
chr14	20118968
chr19	4242007
chr3	10542696
chr8	22520600
chr2	28155838
chr5	168728992
chr8	106673961
chr2	240532229
chr9	112284072
chr10	103534050
chr2	240473363
chr19	3467982
chr12	30784698
chr17	76646916
chr3	12566483
chr2	24894945
chr1	228242518
chr6	88031703
chr3	12865469
chr17	68332131
chr3	129917600
chr12	32044143
chr21	43913109
chr7	138527844
chr15	90379474
chr10	99740455
chr1	227814197
chr7	138370022
chr2	31694096
chr4	145606149
chr1	181163850
chr15	79920316
chr21	46449062
chr1	151737672
chr6	163508125
chr6	67458496
chr7	73387441
chr1	27680454
chr20	35573021
chr7	73963467
chr5	175141639
chr3	149831087
chr9	100407217
chr14	33876452
chr10	29117985
chr15	76763743
chr19	5535105
chr14	31330132
chr12	12770476
chr5	173592284
chr3	143173436
chr16	58360253
chr4	139638510
chr12	14351740
chr5	172825833
chr7	75806762
chr17	27695464
chr1	229810339
chr6	160983579
chr4	2132654
chr15	79915955
chr4	94426989
chr4	94326000
chr9	91444222
chr17	428587
chr15	45235009
chr11	62223348
chr9	14655147
chr11	63581411
chr11	63791944
chr1	160806996
chr6	30869423
chr10	7861692
chr2	86750439
chr3	196983391
chr2	108707519
chr14	103363042
chr2	86500563
chr1	52542492
chr2	108870258
chr2	96377502
chr4	38299078
chr4	38339129
chr2	86271442
chr7	18081806
chr1	53206274
chr14	101741104
chr22	42104529
chr19	21519704
chr20	4095832
chr9	72845250
chr2	85881977
chr8	510550
chr1	113479886
chr11	70751340
chr2	95149630
chr3	197243042
chr2	239970197
chr10	5519195
chr19	14718679
chr4	2026053
chr2	100362469
chr4	1485463
chr10	5034828
chr4	1182495
chr4	1088969
chr6	28326537
chr19	13680912
chr15	42760461
chr2	98497291
chr15	43128626
chr4	6058746
chr2	102801303
chr10	760820
chr9	37564270
chr16	87817577
chr7	158933905
chr11	59923893
chr6	28089245
chr1	162476824
chr15	27735255
chr19	16882328
chr7	21377791
chr2	106235598
chr16	89868104
chr6	27633403
chr4	16145145
chr9	37474633
chr18	8411700
chr9	6174111
chr14	100155178
chr7	33070462
chr6	13972798
chr11	10044888
chr7	3781800
chr2	121682974
chr11	9452228
chr11	94220011
chr7	43354137
chr14	90823714
chr22	45366928
chr20	29066557
chr8	143669247
chr7	43831101
chr11	111483599
chr2	127820265
chr22	24716794
chr6	36178714
chr2	85380243
chr3	193714732
chr9	89274120
chr11	4140436
chr8	142973448
chr22	23925403
chr1	235670372
chr10	17262715
chr7	44524915
chr19	32891760
chr10	17263781
chr11	119291095
chr16	75122112
chr14	70333469
chr2	130955078
chr17	7538260
chr19	29691071
chr19	11221309
chr11	86972943
chr22	43096622
chr22	32706335
chr17	82341107
chr15	49710015
chr11	72667648
chr19	11942892
chr11	17371827
chr11	74866726
chr11	74871213
chr6	32249463
chr15	50964272
chr15	51484979
chr11	76335195
chr11	76776665
chr15	52033877
chr11	13538221
chr20	25402784
chr18	9503071
chr14	93520234
chr2	72762510
chr4	55284516
chr19	11606686
chr7	5094857
chr14	92789593
chr8	144665795
chr7	4553177
chr1	38978343
chr22	44612074
chr2	70651934
chr5	154878802
chr2	38412632
chr3	33209529
chr3	120039814
chr18	80022846
chr1	12748979
chr8	55545229
chr12	56864509
chr12	56882612
chr19	49369171
chr12	56909581
chr17	40760819
chr10	44944579
chr7	111942890
chr5	133377955
chr1	93243439
chr1	212826000
chr17	58911932
chr7	111796875
chr19	58507788
chr13	41175759
chr10	67971511
chr6	105713718
chr13	41148874
chr9	136029292
chr17	58950706
chr6	107447846
chr6	148672159
chr18	80056324
chr10	73317448
chr3	101308312
chr10	74817242
chr20	63916733
chr5	139171957
chr8	30147522
chr6	137134661
chr3	45277799
chr7	128777943
chr17	39823844
chr19	328321
chr9	129302149
chr8	90777542
chr12	119957363
chr9	129475179
chr1	92327963
chr17	47373215
chr9	129513452
chr12	120337935
chr10	92858102
chr2	6845544
chr7	135156505
chr1	14842099
chr18	80088982
chr5	135203207
chr10	73258801
chr20	56521150
chr13	40874572
chr2	230231022
chr2	9066083
chr8	60301724
chr12	68547504
chr3	39299452
chr1	108190438
chr16	10340641
chr8	65845517
chr1	203235120
chr6	118574464
chr9	135645058
chr6	140020404
chr16	30097122
chr17	60433224
chr18	47997680
chr16	4061096
chr6	122439206
chr19	50843425
chr7	107036734
chr3	42915088
chr5	112854845
chr12	132194242
chr5	112563622
chr20	51300348
chr1	7791189
chr6	122505377
chr5	43084665
chr9	133502272
chr7	131337089
chr10	86952889
chr7	129661839
chr7	103264278
chr2	229738212
chr10	62699322
chr3	32043039
chr6	110922778
chr6	157958283
chr3	87924718
chr9	132697457
chr19	57566594
