Chrom	position
chr17	47500249
chr2	132496668
chr17	8076745
chr6	149322694
chr10	104609970
chr10	104669949
chr22	35724689
chr22	33974062
chr22	33906605
chr22	33093773
chr22	31527889
chr22	31198924
chr10	106584370
chr10	111725387
chr2	260928
chr10	111728832
chr22	37040481
chr22	30608690
chr22	30112918
chr22	29949893
chr22	29791130
chr22	28926788
chr22	28093522
chr22	26062460
chr10	113638088
chr10	113790375
chr22	36197520
chr22	38156393
chr22	37420051
chr22	25018761
chr22	45659832
chr10	100022435
chr10	100069526
chr22	44871800
chr22	44263911
chr22	44035329
chr10	101500190
chr22	42932348
chr22	42499694
chr22	41756274
chr22	40984930
chr22	40552147
chr22	39925359
chr22	39874624
chr22	39795735
chr22	39220703
chr22	38574178
chr22	38213932
chr22	38175340
chr22	25797118
chr10	114021325
chr10	113987449
chr21	40279156
chr10	120183520
chr21	44132011
chr21	43870334
chr21	43813549
chr21	43213070
chr10	121544388
chr21	42905968
chr21	41160447
chr21	40451818
chr21	40196441
chr10	99762239
chr21	38526369
chr21	37854117
chr10	124671610
chr21	36280823
chr21	35403333
chr21	34949238
chr10	125795663
chr10	125803076
chr21	34705551
chr10	119354427
chr21	45203270
chr21	45287081
chr21	45925799
chr22	24298914
chr10	114133782
chr22	23747038
chr22	22337227
chr10	114503335
chr22	21364075
chr10	114767264
chr10	114833725
chr22	21271469
chr22	21132242
chr22	20861858
chr10	116037423
chr22	18955845
chr10	116746720
chr22	18559015
chr21	47449667
chr10	117894134
chr21	46467390
chr21	46456700
chr22	46032173
chr22	48708029
chr22	46731565
chr10	80819169
chr10	79606577
chr10	79671620
chr10	79704448
chr10	79711441
chr3	56962906
chr3	56528890
chr3	54222402
chr10	80724986
chr3	51740910
chr3	51428587
chr10	82032760
chr3	51231861
chr10	80844185
chr10	80853841
chr10	80865235
chr3	50310547
chr3	50297971
chr3	50209223
chr3	49706016
chr10	81952498
chr3	57960662
chr3	58035079
chr3	58175047
chr3	58179277
chr10	74739118
chr10	74856644
chr10	74870211
chr3	78893686
chr3	73002880
chr3	72104350
chr3	71793509
chr3	69650049
chr3	69454437
chr10	76079983
chr3	68995658
chr3	67164422
chr3	66551738
chr3	64764358
chr3	64020158
chr3	63053924
chr10	77337525
chr3	58449590
chr3	58438165
chr3	49221525
chr3	48699296
chr22	47154929
chr22	51038718
chr3	13837341
chr10	94417024
chr3	13328569
chr3	10795865
chr3	10550403
chr3	10502042
chr3	4762624
chr3	3221378
chr22	51213721
chr22	50978233
chr10	86051350
chr10	97596497
chr10	97601884
chr22	50835635
chr22	50679672
chr22	50090866
chr22	49314630
chr10	98786554
chr22	48966918
chr21	33302087
chr3	16102034
chr10	93884803
chr3	22668292
chr3	22943374
chr3	45688779
chr10	87963468
chr3	42895458
chr3	42743086
chr3	42341658
chr10	89260592
chr3	41309722
chr3	41240945
chr3	40999664
chr3	39330027
chr3	38175218
chr3	32599345
chr3	32456563
chr3	31961264
chr3	31634467
chr3	31418747
chr3	27626583
chr3	25898616
chr3	24040656
chr21	34297583
chr21	30264691
chr10	74225980
chr11	43518959
chr11	34746704
chr2	239165375
chr2	238480811
chr11	35381829
chr2	238400358
chr11	36088637
chr2	235914416
chr2	235780003
chr2	235597863
chr2	234475329
chr11	34435059
chr2	234160212
chr11	44265393
chr11	46148886
chr11	46414303
chr11	46519262
chr2	230025129
chr2	228686430
chr2	228669836
chr2	228336813
chr2	242593018
chr2	242646155
chr2	227603879
chr20	2876015
chr20	9282561
chr11	24066746
chr20	5988425
chr11	27076880
chr20	5495029
chr20	4942594
chr20	4933079
chr11	28131818
chr20	2929821
chr20	2451454
chr2	242760469
chr20	2349468
chr20	2327983
chr11	33039700
chr20	1450882
chr20	1089357
chr11	33721373
chr20	656326
chr20	98388
chr2	242769786
chr11	47211062
chr2	227515031
chr21	26979836
chr2	198478480
chr2	204513204
chr2	204192827
chr2	203977251
chr11	60391832
chr2	203906163
chr2	203545419
chr11	61066546
chr11	61334861
chr2	201015575
chr2	191909144
chr2	206583895
chr11	62012888
chr11	62027957
chr2	189857723
chr2	187247891
chr11	62316510
chr11	62414111
chr11	62420866
chr2	184074521
chr2	182542885
chr2	204808916
chr2	206817462
chr11	47376940
chr2	219712557
chr2	227424448
chr11	47475938
chr11	47600577
chr11	47745831
chr2	224791838
chr2	220507381
chr2	220196468
chr2	220173054
chr2	219860942
chr11	57270527
chr2	210636484
chr2	219260989
chr2	218767631
chr2	217237076
chr2	216847285
chr2	216698768
chr2	216658811
chr2	216622880
chr2	215275833
chr2	211413868
chr20	10200309
chr11	22618393
chr20	13399530
chr20	48099342
chr20	50633632
chr11	919313
chr20	50352633
chr11	1423006
chr20	49988995
chr11	1711283
chr11	2232517
chr20	48217172
chr11	2554152
chr20	47833859
chr20	52724408
chr11	2753866
chr11	2831303
chr11	2844502
chr20	47139885
chr20	46542068
chr20	45236122
chr20	44669705
chr20	44658215
chr20	44575172
chr20	52486545
chr20	53129550
chr20	13662284
chr10	131934663
chr21	16813631
chr21	16315530
chr20	62958920
chr20	62356780
chr20	62284694
chr20	62273604
chr20	62092923
chr20	62017395
chr20	61747976
chr10	133302454
chr20	56162554
chr10	134007974
