Chrom	position
chr1	569410
chr16	46422627
chr16	46386010
chrUn_gl000212	40865
chr16	46421832
chr4	49123039
chr4	49151726
chr4	49659598
chr16	46407406
chr10	101380361
chr3	196625715
chr10	42600027
chr6	34216856
chr2	90383288
chr16	46423626
chr2	90381382
chr4	49110422
chr2	90385777
chrUn_gl000228	118375
chr16	89984438
chr2	92269347
chr2	90390194
chr1	568070
chr8	37553244
chr4	3838640
chr4	49104625
chr10	104192373
chr11	118307046
chr4	49653485
chr17	79926011
chr16	46428708
chr16	46434049
chr17	46297200
chr1	565328
chr16	46424593
chr10	42384768
chr2	235271806
chr5	134262750
chr16	71929302
chr3	141087230
chr10	77054753
chr16	46428796
chr4	49650717
chr16	46386845
chr7	127460526
chrUn_gl000220	129325
chr13	28540247
chr11	65265015
chr12	132061450
chr9	67787434
chr18	46065328
chr16	46393020
chr16	46424444
chr16	46417262
chr16	46432833
chr10	38778117
chr16	46433296
chr1	45769807
chr16	46396758
chr16	46435341
chr2	90388065
chr3	5028705
chr10	42365176
chr15	66993583
chr5	123423628
chr17	69028949
chr16	46420345
chr4	49112072
chr9	123631175
chr17	22020722
chr7	29833312
chr6	52190863
chr2	122513152
chr1	16489001
chr10	42389160
chr1	203488676
chr2	90391401
chr10	77190186
chr19	40791608
chr1	204616869
chr10	42380266
chr1	7962947
chr4	116895106
chr8	95961611
chr7	5633887
chr19	6199543
chr1	33202522
chr9	29875673
chr19	7717128
chr8	145010925
chr5	165501552
chr2	36498127
chr16	80500110
chr6	139717379
chr1	94725367
chr2	198364737
chr2	90392893
chr4	56212652
chr6	49858920
chr15	59646348
chr4	140545807
chr15	71378313
chr4	57773722
chr2	89872107
chr1	17796793
chr6	92008493
chr15	64722644
chr9	27679511
chr22	18880233
chr22	20326069
chr2	90388776
chr10	72215260
chr18	67373558
chr17	37607619
chr12	12186543
chr20	55500413
chr7	147304476
chr4	184104569
chr11	77191177
chr18	28367583
chr17	79367875
chr8	3103009
chr7	68697870
chr12	118558530
chr5	97768308
chr19	49540246
chr17	47049940
chr5	165515598
chr4	101732395
chr4	100566367
chr2	89879142
chr4	69317686
chr16	46426982
chr2	74374946
chr1	94579701
chr4	93441913
chr4	90480073
chr2	85083074
chr19	47950839
chr16	46422934
chr5	151282982
chr9	75295727
chr4	150085662
chr19	2151753
chr1	44126265
chr17	8958180
chr4	138464605
chr17	2303006
chr18	76743742
chr17	836897
chr16	78026463
chr5	146940803
chr17	31520167
chr4	57711195
chr18	24537054
chr5	18736288
chr4	49107469
chr16	51215457
chr5	141854928
chr5	144024109
chr16	47113968
chr17	40075376
chr2	171571717
chr12	115077027
chr1	179498802
chr1	170115256
chr10	105668192
chr10	111929079
chr1	96941090
chr21	17614124
chr3	109074755
chr11	61267751
chr11	94383318
chr11	94390346
chr11	100849362
chr1	71928115
chr7	83324900
chr7	82841189
chr12	32166586
chr12	89345880
chr7	69074056
chr16	46418744
chr7	67711376
chr12	122020758
chr12	122238073
chr22	17716336
chr7	147717910
chr7	150433251
chr8	72131405
chr8	112163179
chr1	221889035
chr3	62869981
chr3	16728884
chr8	86755269
chr10	24658714
chr8	82808337
chr8	73914325
chr1	214490129
chr1	213405412
chr10	67033023
chr8	59035327
chr3	87777145
