Chrom	position
chr6	139696729
chr5	123997378
chr19	41427207
chr7	99698263
chr10	95205552
chr1	33808044
chr3	71257984
chr2	208890237
chr3	39093485
chr17	79367930
chr8	126442497
chr17	5135688
chr7	4784652
chr7	95238208
chr14	35008884
chr11	108464668
chr9	128059438
chr7	99601702
chr12	95712105
chr15	66125163
chr10	123822911
chr3	177077861
chr3	30300507
chr6	90650324
chr14	54080761
chr17	78235351
chr8	80875896
chr3	47324067
chr3	172468275
chr3	8486255
chr21	37513902
chr2	220263726
chr2	127984389
chr14	77500685
chr3	5028671
chr4	77129719
chr7	1196760
chr7	27702766
chr9	140444886
chr4	140004128
chr11	119205122
chr14	31699032
chr2	71147098
chr3	185827033
chr11	46295603
chr8	5997626
chr16	69430644
chr9	136009306
chr3	15643167
chr1	3541354
chr8	102373302
chr15	50296051
chr14	61905929
chr7	148892701
chr5	73088806
chr2	44314553
chr9	33415772
chr2	225350219
chr18	3449191
chr6	6759550
chr8	52811720
chr8	142238752
chr19	11670177
chr10	105358796
chr11	63933541
chr3	45698475
chr7	1576987
chr10	76952021
chr12	53343733
chr17	40897019
chr2	74007319
chr19	3968795
chr1	235111070
chr17	30130929
chr12	115122195
chr17	59413558
chr4	153877964
chr12	56520156
chr1	32787523
chr5	134073589
chr15	82555897
chr6	37140184
chr15	60667021
chr11	125985987
chr19	37663698
chr2	43861912
chr19	7463813
chr18	55710893
chr1	16693598
chr14	90422159
chr12	120755611
chr18	3448011
chr8	224477
chr9	75443468
chr5	180313096
chr1	23888926
chr5	72251871
chr3	58457250
chr11	128377142
chr15	69884439
chr4	141075361
chr7	5553947
chr8	30389189
chr3	98312701
chr17	8435610
chr6	151713054
chr1	65532514
chr8	97940859
chr12	50635204
chr17	75118078
chr14	74551464
chr1	145542771
chr15	52580735
chr7	74408240
chr12	19284011
chr11	67914687
chr3	9691111
chr9	89020281
chr6	52590779
chr5	56946374
chr4	75067958
chr12	120154550
chr1	12676130
chr2	32502884
chr11	134132086
chr17	26662497
chr10	92681177
chr15	59846497
chr10	99400355
chr9	117670531
chr6	41536532
chr1	156441511
chr17	37139504
chr19	49955097
chr1	21665348
chr22	24903102
chr9	130717858
chr5	179246180
chr12	100535806
chr7	17170115
chr3	59650315
chr4	79583360
chr10	98430838
chr6	75244422
chr16	68778856
chr12	12764828
chr2	121793935
chr1	156195346
chr5	177015822
chr9	34073327
chr12	115094124
chr19	7694567
chr14	81685813
chr9	133569031
chr21	38432826
chr8	80996632
chr19	18491114
chr22	21811633
chr20	45443686
chr14	38016250
chr20	45191342
chr3	177292186
chr14	93644518
chr16	29816829
chr6	47102631
chr3	188557261
chr22	39571014
chr11	67113630
chr9	75207784
chr2	97073408
chr15	62862508
chr12	6480443
chr2	239194600
chr3	184089573
chr2	163439149
chr14	103995350
chr7	36298229
chr11	5642623
chr9	92762481
chr15	68208099
chr1	145438368
chr3	32338440
chr17	202629
chr5	125874996
chr1	59281027
chr1	22740844
chr1	181053433
chr2	31712412
chr6	11435145
chr5	133862638
chr12	120740355
chr2	47257408
chr3	122084626
chr3	170025893
chr12	125391403
chr1	28306278
chr16	2439033
chr4	77492616
chr12	89746451
chr11	96220672
chr8	67687262
chr21	36237752
chr15	38732714
chr3	129033916
chr4	69215824
chr15	93347472
chr3	140676174
chr13	96146574
chr10	99078987
chr3	23848647
chr6	43672733
chr7	37011245
chr5	153676552
chr1	12664547
chr4	157863324
chr1	1714571
chr16	54464577
chr8	124970085
chr8	135898920
chr7	30588582
chr20	14387339
chr4	37649906
chr6	26597191
chr19	33193122
chr15	67749511
chr2	11076542
chr1	202779921
chr22	36635663
chr8	21776972
chr14	64010045
chr16	87898422
chr6	49524416
chr9	114111259
chr10	6128511
chr4	2965195
chr9	140559294
chr1	117396457
chr12	31902457
chr8	59426002
chr18	43779659
chr13	97794027
chr10	127600730
chr1	109633292
chr11	102322451
chr15	66797506
chr14	56584845
chr2	36877386
chr5	123935536
chr20	49435189
chr16	4323122
chr4	25070725
chr17	74262133
chr9	78990248
chr16	73054475
chr15	70800360
chr22	40552214
chr14	50108704
chr12	101853843
chr15	63449592
chr10	54212557
chr2	47630032
chr7	5466466
chr3	124605533
chr1	204367767
chr10	32384241
chr2	200942037
chr3	42172014
chr5	127270765
chr22	50580454
chr17	57642946
chr18	46473081
chr2	208710109
chr6	15949756
chr7	107384079
chr10	33553363
chr1	109724142
chr10	126433467
chr2	65528394
chr6	6697230
chr11	57568196
chr6	11277560
chr10	12028754
chr1	8121518
chr10	62042797
chr14	22802607
chr4	169075156
chr7	113725934
chr14	23122459
chr20	48782651
chr15	67439515
chr19	46696583
chr9	82104723
chr22	30021711
chr7	101526632
chr22	21132211
chr10	104489146
chr7	99678639
chr19	38570876
chr1	59351180
chr8	22414095
chr7	22599685
chr10	102133188
chr16	85833857
chr15	91379718
chr18	52615829
chr16	51272115
chr6	43667534
chr11	844318
chr17	41071062
chr15	42220422
chr17	12310098
chr15	74753506
chr4	39516795
chr13	99636573
chr2	169868862
chr6	30524815
chr3	126108162
chr21	37560534
chr1	75155713
chr10	33084741
chr16	87422016
chr1	51983867
chr2	149403053
chr11	129194634
chr13	28535043
chr11	62420957
chr2	213805023
chr10	105264305
chr10	99094518
chr22	31686740
chr10	114847324
chr3	142166260
chr10	12762582
chr1	29432611
chr12	46886491
chr4	54930697
chr19	12034557
chr13	36920000
chr18	12337064
chr2	231603857
chr1	147084396
chr1	63788120
chr6	24313803
chr1	53581736
chr5	162806775
chr6	26544870
chr12	94136351
chr1	101754276
chr12	46121257
chr11	12014187
chr4	6697632
chr13	25268424
chr16	46910675
chr22	41128862
chr8	30891730
chr2	64873598
chr12	122885223
chr1	54422621
chr3	64672292
chr10	71152682
chr14	62004474
chr11	8861680
chr17	33390780
chr4	139289344
chr12	13045737
chr6	85474337
chr8	95908022
chr3	38028600
chr5	150017269
chr8	146252313
chr2	54799587
chr17	17349735
chr2	182675654
chr10	80218952
chr1	161735984
chr17	39058441
chr19	41829596
chr10	22802939
chr2	56070496
chr4	111028315
chr19	35497460
chr9	111034413
chr6	111273599
chr14	65693871
chr19	16528726
chr4	159823934
chr2	227515115
chr4	169620559
chr2	203453603
chr4	158916158
chr6	42847602
chr9	110011720
chr17	70515178
chr6	34921607
chr8	126676854
chr1	16447667
chr14	50469939
chr4	48701680
chr5	173251291
chr13	42519331
chr19	32864896
chr4	140934056
chr22	31451765
chr1	234748399
chr15	26327581
chr1	57044093
chr7	22713098
chr16	4666493
chr3	161608066
chr2	118845932
chr10	114571804
chr17	64708194
chr6	49421016
chr19	40791597
chr17	1673582
chr9	129436169
chr17	63019113
chr14	80469715
chr18	8341802
chr15	40391152
chr1	22257737
chr20	32150088
chr17	44849941
chr5	172410795
chr5	102130531
chr18	9073830
chr19	2507273
chr14	23067215
chr7	100995755
chr2	65605227
chr1	8242568
chr7	105128548
chr16	23336363
chr17	53510732
chr9	34512793
chr10	120499778
chr6	113964342
chr10	102098413
chr22	46440487
chr7	22481959
chr17	37617530
chr1	162327648
chr10	114853423
chr2	152266463
chr12	116967043
chr1	235096617
chr17	55163224
chr4	184424837
chr8	19296188
chr1	22675099
chr17	8657375
chr5	59743497
chr2	114466778
chr10	12110680
chr1	54547451
chr2	120824915
chr17	66790239
chr6	35133682
chr5	153666905
chr4	923891
chr19	42985115
chr1	204183558
chr2	233165957
chr20	44400038
chr16	84130404
chr17	35848505
chr3	30701062
chr20	48808963
chr12	55286068
chr13	73632920
chr22	36424894
chr1	185703296
chr13	52572312
chr5	17306203
chr16	4664901
chr3	190529793
chr2	25745120
chr19	42408763
chr6	125905850
chr21	18873932
chr8	26059681
chr5	95066578
chr10	94050214
chr8	28244449
chr6	15027304
chr9	79062554
chr21	47744084
chr1	42805979
chr5	108746327
chr2	121228012
chr10	71206518
chr16	77393129
chr16	4423181
chr1	150206402
chr1	109935846
chr17	77810050
chr7	91388761
chr2	43454426
chr12	26922311
chr17	41321964
chr12	95098529
chr7	47991185
chr12	77015554
chr6	74405577
chr5	78469689
chr6	44205440
chr14	68631728
chr4	102787071
chr17	57930711
chr20	44992682
chr9	93799730
chr3	193852735
chr3	27402165
chr4	77101151
chr16	1739341
chr11	6633964
chr20	30292570
chr2	201270881
chr22	39541830
chr19	50380724
chr4	89744921
chr7	100887727
chr12	92320818
chr6	132259418
chr4	183370091
chr10	8092758
chr2	68667898
chr14	31927712
chr11	74451083
chr10	43891668
chr3	34053720
chr3	143881068
chr1	179568926
chr2	33516588
chr4	77491709
chr2	85648642
chr2	55336879
chr9	112956719
chr2	8640866
chr8	141474388
chr3	188012859
chr5	137673625
chr2	37812523
chr15	69760240
chr3	46607744
chr5	10354478
chr2	26995416
chr15	71104607
chr9	79071263
chr19	54367852
chr6	30070975
chr16	56967033
chr4	124426973
chr15	67907780
chr16	80574912
chr11	10373502
chr21	39664519
chr5	39716934
chr16	57844345
chr2	19769206
chr1	204053593
chr18	9475535
chr8	48905676
chr7	77755389
chr5	142974871
chr6	32121995
chr10	33445127
chr17	39114529
chr1	184874903
chr7	99291216
chr22	41684474
chr20	3203696
chr10	3235285
chr7	65210830
chr5	171810447
chr1	185555152
chr7	66460709
chr10	101768661
chr1	33722601
chr1	221915728
chr4	21770159
chr4	108605210
chr11	118787693
chr7	33709055
chr1	95163621
chr3	71076279
chr12	25539246
chr14	65973757
chr1	221888974
chr21	37326066
chr2	96926268
chr11	122754237
chr6	159274588
chr11	76650336
chr13	27597081
chr15	79244483
chr7	17279613
