Chrom	position
chr2	174219444
chr2	25895868
chr2	44589080
chr4	120375861
chr10	113943530
chr17	63557702
chr1	228674917
chr18	76829215
chr5	912666
chr9	140083054
chr12	56132265
chr22	41865000
chr7	140624830
chr12	132628936
chr10	63661071
chr12	124118319
chrUn_gl000220	119506
chr1	94375323
chr1	228674808
chr1	1510300
chr17	63557317
chr4	83812418
chr19	36103625
chr3	67408384
chr2	208394787
chr8	95003880
chr12	131311027
chr16	88772878
chr2	237994509
chr7	99717004
chr6	158939729
chr12	131249302
chr17	36981619
chr9	139760871
chr14	58666717
chr7	66309984
chr1	243265098
chr3	10028540
chr1	714059
chr1	53704214
chr9	27573828
chr1	936268
chr2	128145548
chr21	47343275
chr3	10068078
chr20	39632189
chr7	150660234
chr2	109335898
chr17	77188726
chr7	30634432
chr1	19536844
chr6	110501632
chr10	102430937
chr1	32110259
chr2	240065772
chr12	110011056
chr18	45275686
chr7	158622299
chr19	38042254
chr19	30097180
chr1	208137062
chr7	98246864
chr2	95787642
chr7	98050489
chr1	156698644
chr7	814338
chr4	492983
chr17	76837097
chr3	52444057
chr21	38120229
chr9	33001630
chr2	19548187
chr16	2022022
chr3	39425827
chr19	51014799
chr5	53813486
chr17	685577
chr3	51428579
chr19	36119926
chr18	77439763
chr22	50623950
chr3	197807615
chr6	149867235
chr7	45808661
chr17	76554647
chr14	66258351
chr7	157940238
chr22	26879825
chr1	70671342
chr3	141594909
chr7	99717184
chr6	31940038
chr10	76970436
chr5	179554227
chr15	73076120
chr22	46041642
chr17	35236230
chr19	7616312
chr14	105837332
chr18	158532
chr8	133787588
chr8	135490883
chr16	25118478
chr1	11710667
chr18	832256
chr22	44258441
chr10	35416107
chr18	2571487
chr3	3168643
chr19	16437759
chr4	119512878
chr1	109289194
chr16	71879842
chr6	17707191
chr6	168228399
chr17	1196934
chr13	23489860
chr2	240566462
chr12	7070661
chr12	123380746
chr7	66127776
chr10	114886493
chr1	224180331
chr21	45209389
chr5	78810420
chr21	44086264
chr10	124740150
chr2	62115831
chr5	95297771
chr14	24769036
chr12	120884214
chr9	6015648
chr17	62045517
chr5	64859101
chr9	120250002
chr2	241099988
chr5	80597368
chr11	77185434
chr4	39460592
chr7	72395578
chr15	29396139
chr19	56666682
chr2	177005787
chr16	1413589
chr1	228297013
chr14	55738829
chr4	164088085
chr9	94877710
chr16	89641212
chr9	130890632
chr22	33382207
chr19	6531101
chr1	91487582
chr10	89264651
chr3	185000695
chr3	44803178
chr22	33056400
chr1	233377019
chr12	98987414
chr22	47158455
chr6	117996524
chr21	44299691
chr5	112849389
chr7	149321840
chr16	20753159
chr8	110552387
chr3	156534819
chr14	32030610
chr6	33176231
chr3	186335008
chr7	155589839
chr20	56785058
chr3	43328022
chr16	88852032
chr9	86755579
chr5	176085205
chr14	21131323
chr14	21560819
chr2	24299248
chr5	177580923
chr9	80851005
chr1	20834660
chr7	156701788
chr21	43430464
chr21	43092882
chr4	155471765
chr3	156877994
chr3	154042322
chr8	125486919
chr12	82752205
chr7	151708234
chr7	158387985
chr18	25755466
chr17	79917700
chr20	55043654
chr16	84105759
chr19	47987536
chr7	6144372
chr21	40762488
chr6	137398058
chr11	116523842
chr2	105953965
chr2	170440851
chr9	134000961
chr2	242577066
chr7	157941707
chr6	126277842
chr6	126661258
chr3	12883074
chr19	16683336
chr22	38610683
chr17	719072
chr20	4045349
chr8	66754347
chr1	41807829
chr6	23137133
chr19	58838678
chr1	40626972
chr14	105030545
chr13	101327241
chr5	11135924
chr20	4573392
chr12	1800150
chr13	103498101
chr4	1404406
chr5	22580485
chr5	96519208
chr18	12702867
chr16	66785657
chr20	17999910
chr4	130014782
chr11	134667774
chr10	45960618
chr15	56538425
chr1	35208439
chr12	52546026
chr3	184053687
chr18	77748628
chr10	49864418
chr19	59025482
chr19	1940782
chr14	105219449
chr5	86708760
chr2	3605926
chr1	48176342
chr1	47882338
chr6	15248989
chr19	1240371
chr22	44225065
chr16	70380778
chr1	52607711
chr13	77566237
chr16	10134611
chr20	61202235
chr15	66679104
chr1	44820964
chr9	102584078
chr12	10766208
chr20	62134335
chr16	68057161
chr16	89439827
chr16	71496163
chr6	10642793
chr16	8729376
chr1	42801027
chr2	6913461
chr10	29759434
chr10	50970450
chr8	21967254
chr8	2074397
chr6	143381792
chr10	74927836
chr4	8527513
chr8	10874064
chr5	1645185
chr3	158288936
chr4	8442496
chr20	719843
chr1	26758797
chr6	31763638
chr19	50979555
chr13	31191705
chr4	148605378
chr6	31939784
chr22	39323478
chr13	113863019
chr16	2318133
chr19	50354372
chr2	159580540
chr15	20545643
chr6	139456135
chr17	80210926
chr1	86620947
chr17	17380300
chr10	88137146
chr8	2075753
chr16	19179077
chr8	99953352
chr19	51373863
chr5	180288261
chr1	29562969
chr17	15903032
chr15	70752415
chr18	13726629
chr18	13824075
chr13	111342993
chr10	66794071
chr20	2797511
chr20	2644866
chr19	3626916
chr17	16118769
chr19	54057843
chr16	3582931
chr17	38083889
chr16	3333464
chr3	38206544
chr20	59904433
chr4	8690122
chr22	39097061
chr7	1199880
chr4	146019402
chr8	17104394
chr7	1311961
chr6	150401962
chr19	3706227
chr8	12958030
chr17	79093634
chr4	86831223
chr15	64443716
chr11	518814
chr3	119182503
chr12	112279797
chr15	41047477
chr3	196669456
chr15	27564832
chr11	45215368
chr19	34269071
chr2	74425722
chr1	181159201
chr1	1334803
chr10	134729973
chr7	106300718
chr9	138304588
chr4	3378279
chr17	21415254
chr17	33446917
chr18	43146493
chr7	43432774
chr3	141457035
chr17	33914277
chr2	206790717
chr17	48474913
chr4	57253676
chr1	9409591
chr10	129948421
chr11	68671325
chr5	159414536
chr19	10527415
chr3	196295467
chr19	36024376
chr2	231921453
chr18	56975916
chr14	91976903
chr9	34958309
chr16	28857768
chr19	10982140
chr22	50050644
chr7	125258594
chr7	124570029
chr7	75795922
chr1	5570117
chr19	11492452
chr19	15288462
chr11	605892
chr6	89856064
chr1	160054060
chr14	97207937
chr11	1520809
chr15	101458351
chr19	13941665
