Chrom	position
chr16	84594266
chr9	121353810
chr5	157025476
chr1	185420966
chr11	14320243
chr17	68356659
chr17	36066737
chr14	52325276
chr18	45938565
chr15	67102405
chr17	74730836
chr4	112288732
chr3	184608357
chr6	96466358
chr1	28169528
chr2	230781668
chr2	203994902
chr8	130245080
chr3	189324856
chr1	159800367
chr15	95447054
chr6	108896255
chr12	120250604
chr1	111593132
chr17	61139331
chr8	134278445
chr19	46263098
chr15	69759208
chr1	32799182
chr10	89334218
chr2	97745640
chr15	31511912
chr18	69897894
chr10	130127869
chr10	333859
chr13	99859966
chr8	127732693
chr9	134301971
chr2	47487324
chr14	93978431
chr14	34044002
chr8	100832559
chr17	37765041
chr17	3713003
chr10	3228065
chr17	3763485
chr12	75641249
chr12	12172220
chr4	101527380
chr5	67207113
chr11	86486866
chr7	121530565
chr11	86287276
chr12	94305750
chr14	72594624
chr6	35710464
chr15	91858010
chr10	31930491
chr8	124757673
chr17	59786717
chr2	46537234
chr12	10602849
chr2	43426638
chr6	236160
chr9	21761525
chr4	185165706
chr1	234230701
chr5	170331340
chr5	50593891
chr5	159412441
chr16	85055735
chr6	148204227
chr1	12449688
chr9	95724720
chr19	6670284
chr4	153115998
chr15	50260519
chr19	55626540
chr13	50255794
chr9	114082660
chr3	28234685
chr6	135128757
chr2	12006099
chr1	67274865
chr3	28326640
chr3	20104424
chr8	25345613
chr15	56538029
chr10	77801614
chr5	148855845
chr16	88637350
chr3	33030975
chr16	89026267
chr1	228794303
chr19	16139944
chr20	23416157
chr8	130243073
chr7	150668611
chr2	161167055
chr6	15023607
chr6	32685763
chr22	21767267
chr10	33025269
chr1	16123125
chr1	84862957
chr6	52176773
chr17	78474773
chr6	28884593
chr6	52227699
chr2	7744999
chr2	234032652
chr8	48949738
chr10	73849342
chr2	176852778
chr10	6270475
chr1	159827793
chr2	197199106
chr9	71647403
chr10	97590530
chr2	233079642
chr2	12709340
chr6	167706414
chr2	7725728
chr22	39961601
chr19	3133521
chr10	7484623
chr11	35067331
chr3	172132456
chr1	160638222
chr14	67875378
chr2	223941906
chr2	181123916
chr7	77122425
chr6	130132375
chr10	69093475
chr1	156097222
chr1	154445238
chr15	39427378
chr1	156065406
chr1	15346092
chr14	100640596
chr5	40386478
chr11	2387857
chr11	119691166
chr7	36785121
chr12	68539323
chr6	127880646
chr2	8588692
chr11	44862369
chr1	168410575
chr8	140597202
chr10	69055474
chr9	91151158
chr1	156127354
chr5	143693953
chr7	76009120
chr1	89128982
chr9	123641097
chr2	15177242
chr6	130513956
chr2	41896711
chr1	231612863
chr4	26308779
chr9	93064576
chr14	24053390
chr15	63093765
chr15	39624938
chr7	25856930
chr12	10304269
chr6	130215680
chr12	10286123
chr14	89466643
chr16	89020521
chr1	184743260
chr1	200905958
chr1	198557117
chr16	68752857
chr3	69282306
chr1	192516982
chr6	40789352
chr4	1203727
chr21	34845957
chr6	89375737
chr2	147297998
chr17	14359490
chr8	108907495
chr9	86337684
chr6	112286210
chr3	68088372
chr18	62846527
chr12	31896766
chr6	37110827
chr1	244964201
chr21	33385001
chr14	91867623
chr2	71083073
chr19	44753513
chr9	5841917
chr17	42484572
chr21	34974410
chr3	56753382
chr10	50513195
chr13	46751991
chr1	198681981
chr17	39167751
chr13	98504532
chr3	50573692
chr5	96657281
chr17	47217501
chr5	37738277
chr6	75496485
chr1	193479434
chr3	50588599
chr14	100068862
chr14	89067477
chr11	88536093
