Chrom	position
chr19	40443374
chr1	155017450
chr12	132687436
chr12	48022002
chr3	9792571
chr17	64919612
chr9	32384555
chr18	44679134
chr10	97687492
chr16	4253924
chr20	16729887
chr9	38069590
chr7	36367316
chr3	48301427
chr20	45993595
chr9	93566572
chr12	8082296
chr19	39238040
chr1	110338445
chr17	41865644
chr20	31514520
chr4	39366447
chr19	16417916
chr20	44388692
chr5	74767111
chr4	145619346
chr10	72048679
chr12	15789695
chr12	31959332
chr16	81403692
chr12	51047941
chr10	110456894
chr11	9613386
chr10	12264415
chr16	75433329
chr12	949725
chr20	45437023
chr1	147172408
chr12	9064993
chr11	66856273
chr16	97127
chr12	111397172
chr13	42271680
chr5	111512549
chr1	91501335
chr11	16738630
chr14	68137982
chr19	39436074
chr1	64343684
chr13	77327194
chr1	1859548
chr5	61311270
chr15	77527406
chr19	12564272
chr6	52839762
chr19	45423742
chr2	191020401
chr6	43703072
chr7	92447511
chr10	94363082
chr20	50744559
chr12	14257992
chr2	218672099
chr15	74382564
chr2	207770028
chr16	72778
chr10	103686310
chr10	12069001
chr9	94783341
chr2	11155013
chr1	20213102
chr5	55712455
chr1	70410986
chr20	32031475
chr1	205504898
chr16	89167575
chr14	51651475
chr9	32526369
chr17	5287029
chr14	94549596
chr7	128343951
chr15	72686338
chr1	28736696
chr11	86069324
chr20	23606720
chr20	25696923
chr10	73906821
chr5	271531
chr8	141169292
chr11	30323033
chr7	55964995
chr4	153649674
chr12	133130252
chr3	54891840
chr17	63621821
chr7	129949113
chr17	60599964
chr8	140464900
chr4	15681582
chr2	231666513
chr6	150016986
chr3	196318385
chr1	42165919
chr11	74739992
chr19	12666864
chr6	52815619
chr12	49778353
chr11	119018461
chr7	144836093
chr7	129969934
chr11	62727449
chr3	38496385
chr16	81141346
chr11	62839593
chr14	91127656
chr16	83898894
chr5	41925200
chr9	133239278
chr19	3968785
chr1	89890324
chr14	96100652
chr5	91280763
chr20	3807577
chr10	27742261
chr11	45105723
chr5	1633945
chr2	24490881
chr10	29784575
chr19	53520775
chr5	60700252
chr6	32854212
chr18	76802255
chr15	79850000
chr7	6323182
chr1	45550729
chr3	49674301
chr13	72221492
chr14	33849378
