Chrom	position
chr20	55043495
chr15	74838612
chr1	112135695
chr5	150827142
chr11	6411547
chr4	13658319
chr7	76961414
chr8	124408768
chr3	42642061
chr22	39377500
chr10	74385862
chr2	191885034
chr3	12933637
chr3	128444935
chr17	49230879
chr1	89357288
chr6	80487864
chr17	79604225
chr1	249120201
chr15	31781020
chr17	49199315
chr16	2186210
chr10	69644337
chr15	68177040
chr1	32671316
chr17	66016124
chr17	37213263
chr13	113946543
chr9	130890583
chr5	138739751
chr16	48278190
chr1	155248202
chr2	65610180
chr2	70418190
chr16	25123035
chr22	32146185
chr6	31367789
chr1	111162216
chr13	45492184
chr4	17578671
chr19	41035217
chr6	30875769
chr12	57674182
chr6	107780841
chr12	125425371
chr2	112812856
chr10	98400887
chr3	100120046
chr17	47866534
chr17	1933393
chr2	98262399
chr12	123237317
chr17	8059784
chr2	99771569
chr19	7985884
chr1	228297089
chr12	50236926
chr3	183892491
chr1	10458896
chr12	96017501
chr2	219260956
chr12	56862263
chr1	38022511
chr2	55843039
chr22	41048231
chr20	10015545
chr19	1275967
chr8	681405
chr1	165567471
chr5	176087996
chr3	137665351
chr14	77428364
chr19	2169098
chr16	2014781
chr3	169684560
chr1	154600489
chr2	177419354
chr9	34665575
chr21	19192058
chr2	178129636
chr2	32390867
chr11	110300607
chr10	105156275
chr7	16685704
chr10	43903278
chr8	49427098
chr1	155715519
chr17	73851608
chr2	10952983
chr1	40626994
chr1	9189588
chr19	41768452
chr1	32404231
chr20	34330566
chr8	29120770
chr1	16162436
chr22	29977179
chr2	65267954
chr3	9932309
chr13	41706931
chr3	129158881
chr6	43484730
chr10	99205886
chr13	76123876
chr22	47169976
chr8	67351353
chr19	10981551
chr19	48825313
chr11	95523691
chr15	52311338
chr16	3018908
chr12	70636754
chr16	3072459
chr20	60877898
chr4	83351615
chr1	183439410
chr10	27444200
chr2	20252764
chr11	77705763
chr14	66974838
chr3	52570559
chr17	18061575
chr6	4018927
chr1	155579941
chr1	112297771
chr5	158636709
chr1	35657750
chr10	51572390
chr5	137800497
chr2	204193630
chr5	137785801
chr1	37945405
chr2	148778476
chr14	103851604
chr19	2785360
chr12	57634434
chr3	190142473
chr14	52780921
chr11	62446675
chr4	83295405
chr19	39616363
chr5	132298521
chr10	134145561
chr5	86563589
chr12	100661049
chr16	27324962
chr1	26186044
chr7	156686075
chr1	154245093
chr3	44240348
chr11	33183012
chr12	49524670
chr9	131709918
chr16	28833976
chr19	13265224
chr9	96215927
chr17	45307321
chr17	73266840
chr3	134204879
chr2	106810930
chr1	118148203
chr12	56075369
chr16	284487
chr7	137686974
chr8	10697479
chr14	58666666
chr1	165600032
chr14	50470245
chr6	64282285
chr3	143690535
chr12	113796225
chr10	102133138
chr15	98503780
chr22	37957850
chr4	3785652
chr15	101547323
chr2	187351390
chr5	130970923
chr7	20370294
chr16	15248934
chr5	176883510
chr1	76190379
chr7	95099931
chr11	65265050
chr12	57483781
chr18	54318530
chr5	177632409
chr19	54960258
chr8	79578271
chr1	178695531
chr5	132387719
chr11	57425015
chr9	35657841
chr9	116037885
chr17	2615176
chr12	124997395
chr2	73441422
chr1	244517256
chr19	38715116
chr16	30645820
chr10	99078716
chr19	48281704
chr10	99447202
chr19	6110669
chr15	83736055
chr6	126661189
chr5	89825454
chr17	61819393
chr21	40285451
chr19	1099690
chr19	12893452
chr9	27573815
chr5	101632189
chr16	31191410
chr10	101190603
chr9	136223786
chr4	152020724
chr15	91446617
chr12	51420135
chr14	77279255
chr19	4639217
chr17	7123236
chr6	163148820
chr9	32552285
chr18	9073829
chr20	49347828
chr3	128598306
chr14	39639597
chr12	6833153
chr17	7210859
chr14	55493843
chr17	7155527
chr19	50836795
chr12	111806975
chr19	36870015
chr16	89766729
chr20	3451573
chr11	65266476
chr15	31618669
chr3	171178160
chr6	83777368
chr7	102985279
chr8	77912251
chr9	98637329
chr19	36390660
chr5	87564831
chr10	75255804
chr11	119389673
chr15	89878262
chr2	70370041
chr3	52188765
chr5	140998788
chr11	65686837
chr16	88878639
chr7	100813291
chr2	242498605
chr19	36394770
chr17	62502337
chr2	231714977
chr1	234509416
chr1	155197245
chr4	164088081
chr17	47439851
chr5	176432961
chr2	220549952
chr1	205718483
chr2	61991454
