Chrom	position
chr18	3790888
chr8	37703518
chr10	13557157
chr3	177835163
chr8	37517327
chr8	37479474
chr1	62272152
chr8	8872381
chr21	38985107
chr5	147805188
chr1	160647051
chr9	6959816
chr5	147484248
chr9	129863370
chr22	35478147
chr12	54359341
chr7	117828972
chr7	831912
chr1	235090811
chr16	15591209
chr7	92634291
chr9	121613606
chr6	42742660
chr2	44362846
chr1	25688818
chr1	233113142
chr17	77235660
chr2	15818370
chr10	86889179
chr4	86961847
chr7	91325893
chr21	36098015
chr3	157608011
chr6	25174087
chr5	109688913
chr16	87388655
chr20	53899779
chr17	48555469
chr17	5526980
chr19	38862774
chr1	22019225
chr3	152406587
chr5	96567322
chr4	126850429
chr10	107232276
chr3	182331504
chr1	8649205
chr1	167792042
chr9	70608219
chr5	102622459
chr4	128387132
chr6	14639350
chr2	177659971
chr10	74589387
chr10	29646697
chr8	76581669
chr2	143451812
chr17	81343268
chr5	35665321
chr22	43313695
chr14	103122195
chr14	104224287
chr6	110682633
chr15	48582636
chr17	76029655
chr1	69264118
chr17	75691920
chr14	56412847
chr5	21152718
chr4	67204637
chr15	61174580
chr6	118187835
chr13	108266531
chr18	58639969
chr14	72451647
chr14	22484262
chr1	89909177
chr14	77903447
chr11	73521869
chr15	58332287
chr3	115513598
chr2	25076798
chr5	98929669
chr8	19067653
chr8	126964524
chr1	116359299
chr1	64470113
chr10	36539119
chr13	45220205
chr11	110076869
chr3	71227587
chr2	85587669
chr1	151988622
chr1	45543874
chr3	49238614
chr7	146656030
chr2	111624884
chr5	16791614
chr9	79257060
chr1	23907908
chr9	33225731
chr2	119525858
chr10	61898515
chr5	127358432
chr12	86660938
chr21	25903858
chr12	27619534
chr12	71524832
chr17	68813343
chr17	59829386
chr4	102564940
chr22	21942543
chr7	39811433
chr1	203047455
chr5	62329285
chr20	44993584
chr12	53366125
chr7	24821652
chr6	157529432
chr21	29656955
chr15	40092565
chr5	41763295
chr12	29243282
chr20	11217908
chr2	227460168
chr10	69861730
chr20	52493579
chr21	37435402
chr17	39069540
chr5	54215350
chr3	102229312
chr10	44978873
chr6	37315093
chr2	29322279
chr16	72927903
chr14	80974439
chr11	10109423
chr14	81427553
chr2	36357194
chr17	5017028
chr7	6484422
chr8	23881460
chr8	25385370
chr18	48923078
chr1	38783763
chr20	19758947
chr11	100926112
chr8	19385940
chr18	24530911
chr4	40909504
chr1	210239472
chr8	2102126
chr3	71050810
chr13	44243280
chr8	130330039
chr14	45253422
chr19	34962532
chr6	45445932
chr10	75402631
chr19	35039170
chr2	64273513
chr8	10062206
chr3	78917758
chr10	48470261
chr2	60413926
chr4	86968727
chr3	113565720
chr1	201535324
chr11	57358792
chr18	52319560
chr9	77975251
chr1	54273173
chr18	74524398
chr3	133210173
chr19	46347526
chr9	136052286
chr5	96582517
chr5	99020425
chr15	38069220
chr20	62822935
chr10	76071807
chr16	85050659
chr17	55660323
chr14	69460247
chr8	50000206
chr4	147768291
chr6	150582281
chr4	149987500
chr14	24114728
chr8	54629500
chr6	18269341
chr15	38668078
chr19	49451940
chr12	46388908
chr1	206631231
chr4	153235193
chr4	7650149
chr9	96778186
chr6	146423561
chr10	15182569
chr8	37326170
chr10	98349632
chr16	11328747
chr16	87777718
chr20	60211297
chr11	34890978
chr12	38890370
chr17	57548545
chr10	17216285
chr8	36503144
chr13	102128699
chr21	32772065
chr8	37393254
chr1	97895482
chr12	68497906
chr10	121245009
chr1	84854553
chr12	57280348
chr11	12843147
chr8	37716907
chr10	43251509
chr4	183142999
chr9	91151101
chr19	42467661
chr5	68549410
chr2	73828918
chr4	173252562
chr11	34655001
chr12	7658520
chr4	121723
chr17	81553930
chr12	116143575
chr1	172109562
chr2	237208682
chr12	116548063
chr7	94060913
chr12	116604219
chr7	95897940
chr3	4519164
chr9	123927943
chr15	47196278
chr5	143054677
chr12	89051288
chr5	143064418
chr6	100730743
chr1	192516938
chr5	81751061
chr2	174395667
chr1	41783432
chr2	172046309
chr12	2335244
chr6	56050792
chr12	7499061
chr7	47227973
chr5	104372649
chr12	19288757
chr2	222442836
chr9	5844834
chr5	107389292
chr17	48163234
chr5	124652166
chr5	40410744
chr9	128193072
chr2	217361041
chr1	231106481
chr16	2593719
chr1	183843511
chr14	58749413
chr22	40760427
chr4	83075856
chr7	47970317
chr14	54681900
chr15	96887913
chr9	1458681
chr2	196234065
chr5	35858104
chr6	108560260
chr12	112798260
chr2	191377408
chr3	14432400
chr11	4058396
chr8	95802135
chr20	9218778
chr7	123643974
chr7	104979278
chr2	130824534
chr10	29254713
chr17	22521391
chr6	75496282
chr14	57480268
chr2	113325089
chr13	25901838
chr1	21324395
chr11	122070184
chr7	122803540
chr18	9743738
chr7	23176207
chr5	148808991
chr4	56803625
chr2	86413956
chr2	85886779
chr2	85785249
chr4	110166114
chr19	3036285
chr11	33930556
chr5	147712697
chr10	111661217
chr5	82991850
chr17	66945693
chr1	225769900
chr4	71406514
chr11	128595360
chr11	132072099
chr2	165576613
chr1	8971191
chr4	101678257
chr9	85743441
chr20	52032092
chr7	27151052
chr1	224685081
chr1	35809054
chr7	105429968
chr14	61660773
chr19	7013939
chr10	34781181
chr17	51457096
chr14	65170840
chr14	58560436
chr4	113384809
chr8	103184882
chr19	5080256
chr19	6863648
chr19	5091873
chr4	306773
chr19	5826790
chr9	32201031
chr4	4488633
chr5	175378701
chr19	566563
chr17	48602819
chr11	36373807
chr4	7655700
chr4	10671544
chr8	134474158
chr18	11180339
chr4	55947520
chr15	32870746
chr1	44986602
chr18	8587162
chr5	136037157
chr11	29527752
chr5	147935189
chr17	64969150
chr5	147504163
chr18	3985214
chr8	140699545
chr8	140944571
chr5	146007422
chr8	143516242
chr14	99821967
chr4	79250072
chr17	67444363
chr11	26297375
chr10	61941380
chr17	80219612
chr9	3137146
chr17	71870644
chr4	84920896
chr4	88737791
chr1	39398788
chr11	33723712
chr18	28486351
chr11	14240446
chr18	55634697
chr4	10704241
chr8	112616606
chr14	71943701
chr18	63311447
chr8	117033455
chr18	61842413
chr5	170572593
chr11	45880354
chr18	59921795
chr18	58263629
chr18	57771318
chr8	123086046
chr10	43965723
chr11	35801430
chr8	124247516
chr1	54327450
chr8	125385985
chr18	50425417
chr4	32570062
chr17	59155234
chr17	59435467
chr18	46278666
chr5	159404533
chr4	38675678
chr15	33155070
chr14	89221309
chr14	57493040
chr8	59106725
chr19	10928681
chr7	75617885
chr1	239263919
chr3	13647813
chr7	102286304
chr2	172446746
chr12	120302264
chr1	168466324
chr6	104654004
chr12	116534526
chr1	172286736
chr7	90613203
chr2	199738992
chr2	201118602
chr2	201432218
chr12	10069296
chr2	207239333
chr2	207405345
chr1	231530158
chr7	76294815
chr22	39658519
chr2	168626307
