Chrom	position
chr19	17305545
chr2	203014625
chr1	8848967
chr2	191020351
chr6	28383538
chr8	130302539
chr11	36541229
chr17	76106238
chr1	109075989
chr15	74382489
chr9	114587715
chr1	169367919
chr2	33599324
chr1	41003879
chr3	184371784
chr12	4538493
chr21	34615472
chr10	92843235
chr10	92290449
chr19	10027811
chr11	65420200
chr17	7886120
chr1	155135201
chr17	64507712
chr17	73228916
chr18	3454047
chr12	21501628
chr18	59823760
chr10	122954360
chr3	10754185
chr16	53435624
chr6	16771117
chr3	113577942
chr9	128072439
chr9	105064717
chr16	58336885
chr9	122498988
chr11	67357051
chr8	143281789
chr2	201780949
chr11	66045294
chr17	21280211
chr1	155045039
chr19	2060183
chr1	205256307
chr5	57650497
chr9	89549248
chr10	6086523
chr19	45769489
chr1	151254685
chr15	62060573
chr16	3003947
chr15	57706554
chr8	11943810
chr12	57936244
chr4	6974626
chr12	124609259
chr17	50152153
chr15	50003883
chr3	195002175
chr6	52285016
chr15	45037290
chr20	54207792
chr7	155070172
chr3	27134407
chr12	68809001
chr19	44305134
chr15	70825278
chr10	1110292
chr15	75029482
chr2	127398479
chr17	30698080
chr9	129790525
chr2	61905644
chr17	68457880
chr16	70779169
chr21	34745600
chr16	68520810
chr1	59759598
chr6	106979566
chr7	124929942
chr9	5450523
chr10	63133164
chr4	94207849
chr9	131373455
chr19	14217530
chr6	90285788
chr18	839499
chr17	7889275
chr17	7933245
chr6	19804810
chr14	61695269
chr10	73785581
chr14	58171288
chr17	2244903
chr7	100050000
chr17	58352355
chr6	29964975
chr10	42782680
chr1	156123858
chr19	510817
chr9	76456361
chr22	29716921
chr6	31834583
chr12	27022549
chr12	56360429
chr9	129175914
chr1	12616166
chr19	21329461
chr1	179815004
chr6	52551619
chr7	44044569
chr1	23825446
chr3	111989289
chr14	49641998
chr12	56637094
chr11	62622114
chr16	87765968
chr16	1812909
chr3	66822487
chr3	66972049
chr3	10026353
chr11	62082174
chr5	109468955
chr8	117330299
chr11	120401011
chr1	44800122
chr16	83814453
chr9	5833208
chr7	32490482
chr19	46786288
chr6	57089905
chr10	62804488
chr5	177517244
chr15	41661977
chr16	79600918
chr20	50166167
chr1	45512791
chr2	219217981
chr13	23656879
chr9	126499368
chr19	49813688
chr17	1717608
chr11	47248661
chr12	4649089
chr3	51389510
chr4	184734469
chr21	32612581
chr17	7843675
chr6	40912517
chr14	77208896
chr12	6724097
chr7	91941660
chr14	76947342
chr14	76918961
chr2	11478075
chr12	7131245
chr4	88284717
chr1	29182120
chr1	29202961
chr10	75230770
chr1	53014917
chr8	144241830
chr10	94964028
chr3	127548166
chr14	59190121
chr13	108215562
chr6	26123192
chr16	71462326
chr6	150815248
chr3	27369475
chr19	11797716
chr8	144467773
chr6	148972644
chr9	89604961
chr22	23857784
chr12	1605358
chr17	7191664
chr14	102795220
chr14	102139090
chr18	41955230
chr17	28727025
chr2	39593990
chr2	57760003
chr22	20885705
chr17	62066106
chr2	85772614
chr11	10366787
chr11	85854907
chr22	37607240
chr19	1113558
chr5	140244694
chr7	20172899
chr15	89773237
chr15	84588249
chr1	165631282
chr15	84980648
chr20	35992924
chr11	106076945
chr9	34458679
chr12	106227044
chr11	116788083
chr9	116737260
chr19	40603920
chr3	184345867
chr2	95165454
chr1	7975455
chr17	41662863
chr7	144127900
chr10	7818358
chr16	71895300
chr6	32953376
chr10	7788026
chr4	154550372
chr10	43348657
chr19	35879945
chr18	23453142
chr10	28664018
chr12	71938886
chr6	51959965
chr10	98460924
chr7	7099785
chr1	50268235
chr11	65382860
chr2	85561454
chr14	70417005
chr22	24247700
chr19	10942225
chr7	129218702
chr1	53238700
chr14	96204743
chr1	236097335
chr8	8892585
chr19	2783432
chr17	8376806
chr14	99605494
chr15	90293546
chr15	66386684
chr10	113093649
chr11	112321992
chr8	142718308
chr6	52652238
chr2	218396920
chr11	65275152
chr19	17855733
chr7	98879867
chr17	81926690
chr12	14717021
chr9	70420995
chr11	33039281
chr10	3777271
chr14	64823419
chr11	797388
chr7	123534557
chr1	155648785
chr19	49987397
chr16	25031771
chr21	33491542
chr6	166352092
chr8	93975361
chr9	122159957
chr20	1734672
chr7	150369276
chr15	38440487
chr17	7243125
chr4	173252425
chr19	13862426
chr3	101686859
chr6	47097587
chr14	67359792
chr2	169507903
chr4	169270207
chr3	195907953
chr1	32520541
chr17	7627958
chr16	14501718
chr7	127589003
chr14	104078123
chr10	110211406
chr7	148966921
chr13	25114437
chr12	56126425
chr13	26985515
chr13	45464664
chr15	90954745
chr8	40201905
chr9	131383368
chr6	169800901
chr7	65745835
chr15	84631297
chr5	150487841
chr17	4909193
chr20	1393255
chr11	34358036
chr2	112941970
chr17	7052264
chr6	28212769
chr10	89302067
chr3	69084984
chr11	118930371
chr6	37103460
chr4	85127795
chr7	74026972
chr12	89384576
chr1	93062366
chr3	123066957
chr5	151288431
chr4	140595201
chr16	81768438
chr1	26432107
chr20	12925308
chr2	85300505
chr19	2151854
chr2	200864695
chr8	102808528
chr5	39218035
chr19	12401373
chr19	45404284
chr9	34646540
chr19	16078917
chr1	33182211
chr19	11344607
chr11	45772099
chr17	47067565
chr17	46213050
chr16	46621503
chr16	2252438
chr6	156780528
chr7	139732239
chr6	151847272
chr16	88559170
chr1	39398857
chr16	53773396
chr21	41768805
chr1	33342380
chr1	35451226
chr5	178121171
chr1	77779698
chr14	77034357
chr5	133566193
chr3	127591038
chr19	1905758
chr2	158539399
chr8	143218629
chr14	49598686
chr12	123250857
chr3	14371940
chr5	96663149
chr8	60793103
chr7	101144220
chr8	37591569
chr2	223945331
chr15	64387822
chr6	29967722
chr11	61733545
chr10	119029363
chr4	6709998
chr4	118278608
chr12	120686878
chr3	184249593
chr10	13586933
chr14	20413547
chr8	30744124
chr5	33440987
chr2	15730642
chr1	169486210
chr16	23641292
chr16	56014179
chr5	62720116
chr3	138774784
chr8	119920007
chr3	32240323
chr10	71851252
chr12	52980982
chr20	4937762
chr1	221742388
chr20	35145362
chr11	33040033
chr12	6835842
chr19	17334909
chr6	85923109
chr20	20860369
chr17	17237423
chr1	20470368
chr16	53703971
chr17	81566963
chr11	65468976
chr2	231666531
chr11	9759742
chr5	54310702
chr20	62577038
chr17	64961948
chr22	39343725
chr22	24894618
chr20	38408736
chr3	129245904
chr10	97037556
chr9	122828681
chr17	77542926
chr3	127233564
chr9	135972146
chr13	95271438
chr11	7665855
chr21	29300366
chr5	132963508
chr8	101137307
chr14	90513720
chr18	47929931
chr2	84516462
chr14	75661192
chr2	237512962
chr6	37819348
chr8	142383485
chr19	42269202
chr1	110106283
chr9	35736292
chr2	98704917
chr12	49580672
chr17	19993010
chr14	73752934
chr1	32817366
chr20	34312885
chr5	138543405
chr3	125520351
chr15	88467664
chr10	14878282
chr6	81752820
chr15	88455211
chr2	53971535
chr16	20806472
chr13	32539135
chr11	61567376
chr9	132114350
chr2	218898361
chr17	60139959
chr1	45979281
chr17	42388806
chr15	80696542
chr17	42135798
chr12	110449797
chr7	5045771
chr17	75289580
chr16	2389027
chr8	55521088
chr11	77066943
chr1	21022475
chr9	136841463
chr11	119493975
chr11	6390427
chr17	59893805
chr3	10758825
chr19	40443393
chr16	85351140
chr9	83620932
chr10	121900691
chr3	58010431
chr16	5092407
chr2	37084276
chr1	26698165
chr1	234523705
chr21	37060496
chr16	3129735
chr16	81314818
chr2	30711760
chr4	147768262
chr19	33078259
chr2	237774887
chr10	118424006
chr7	108526118
chr5	96936054
chr1	235253384
chr12	109020988
chr6	113995906
chr12	57591198
chr3	167717125
chr11	61446428
chr17	1413465
chr17	1485051
chr17	1491016
chr15	59174995
chr9	111631179
chr2	71068586
chr17	40499723
chr9	133418177
chr7	101244418
chr1	150067763
chr1	59947483
chr4	103019679
chr19	49865416
chr15	40894459
chr17	82267814
chr15	40892048
chr9	137390714
chr3	141308854
chr15	69462942
chr11	61817003
chr6	47083715
chr16	2004079
chr19	3710461
chr11	48307922
chr9	37592681
chr22	36439988
chr9	108272146
chr1	47388949
chr15	95259687
chr19	49850691
chr5	146825253
chr10	102678960
chr11	129332072
chr11	6568650
chr3	183884912
chr17	40113319
chr15	42495548
chr19	11384307
chr22	36286663
chr10	102661410
chr4	26788128
chr1	206583871
chr1	213987958
chr17	82330545
chr1	27234654
chr12	92144153
chr14	73027093
chr16	83953692
chr1	25233251
chr14	39266567
chr18	3448416
chr7	134547729
chr2	30146591
chr14	24299811
chr21	29019322
chr12	45727732
chr6	28648816
chr3	69052260
chr14	23237972
chr5	148383789
chr19	15433289
chr2	177149043
chr1	10679794
chr6	28606878
chr15	74988188
chr13	79406497
chr6	30691136
chr3	48188421
chr3	65871594
chr1	94247901
chr14	35121933
chr4	145731285
chr2	233349309
chr4	143375871
chr3	119677538
chr19	11346487
chr3	48898859
chr8	65644662
chr10	21194618
chr2	47069897
chr6	152983054
chr14	36773253
chr2	27771759
chr19	12441201
chr18	657484
chr14	20680179
chr6	149061174
chr12	81129084
chr4	108118716
chr1	40949065
chr3	54891807
chr12	15590569
chr14	58245082
chr20	10111442
chr8	81721409
chr11	90223209
chr2	161796342
chr15	75802170
chr3	51982629
chr5	140241495
chr11	47416344
chr17	3667482
chr4	99563711
chr3	53134822
chr22	20418417
chr3	52123285
chr2	38378184
chr10	70331950
chr9	131418673
chr16	69396627
chr16	69404563
chr1	30824474
chr13	95296782
chr9	127901076
chr7	97104852
chr4	108173486
chr3	98039662
chr12	89526140
chr19	14574424
chr19	39445597
chr7	87600975
chr14	49868391
chr10	47047802
chr8	94719729
chr17	9646062
chr6	27792180
chr2	234135805
chr11	469828
chr7	101085347
chr1	156295705
chr6	139978034
chr1	183281748
chr19	14572114
chr1	9429098
chr11	64166662
chr15	75274512
chr17	8190354
chr19	7872033
chr17	81821870
chr3	57596137
chr14	55102472
chr4	185426238
chr16	67481165
chr6	26189096
chr16	67816819
chr1	202810808
chr7	99504667
chr7	135148032
chr12	65169351
chr2	27380759
chr7	149854846
chr17	76727269
chr6	3002094
chr11	16632447
chr6	56542807
chr15	65832764
chr5	96715014
chr7	36390382
chr15	22840056
chr17	74738518
chr11	75814732
chr19	18520289
chr3	32781752
chr11	74726686
chr20	25391079
chr1	27416711
chr5	95646853
chr6	113995126
chr1	27395574
chr8	73504689
chr10	100365047
chr18	42175162
chr17	29931523
chr16	76881
chr1	3776144
chr11	33971275
chr5	56270780
chr14	103103728
chr10	7687463
chr14	103385335
chr20	645624
chr1	161389842
chr6	44237638
chr17	73370034
chr19	55259262
chr3	132417441
chr11	120952932
chr5	57173703
chr1	150876905
chr3	165206935
chr5	168269441
chr19	51690504
chr1	162056209
chr11	19253357
chr17	50630740
chr7	1507154
chr16	15591032
chr7	44606433
chr18	54224857
chr1	243255786
chr17	42387790
chr7	158856518
chr7	42888409
chr6	113858959
chr9	122125293
chr12	132523989
chr9	31839484
chr15	49046527
chr15	67254538
chr4	15150060
chr15	67148628
chr1	86915729
chr13	19960242
chr10	113563682
chr9	126558248
chr22	28918238
chr11	71929023
chr11	133947508
chr9	122099433
chr1	224106947
chr3	153161207
chr5	180091371
chr11	124115431
chr9	136625421
chr15	40069393
chr10	103577059
chr7	153062141
chr1	47263048
chr17	38598706
chr11	71448663
chr15	52652140
chr17	38677212
chr12	54579904
chr1	13749283
chr19	55653844
chr6	52517712
chr10	120851160
chr2	106193118
chr8	18084010
chr7	73743072
chr5	159987600
chr17	48025380
chr19	5968126
chr2	98909671
chr12	113246007
chr3	126208842
chr12	112900515
chr9	137168302
chr20	47357785
chr9	16133932
chr11	77127301
chr11	118924965
chr5	119452799
chr8	100953330
chr3	123642535
chr3	125585782
chr3	158659955
chr5	37668739
chr22	22770344
chr11	66958389
chr10	93542206
chr8	143430900
chr12	96720165
chr17	47649119
chr4	76208524
chr16	53099713
chr1	230104861
chr12	114798597
chr9	38088159
chr8	97553536
chr3	129120678
chr14	95534718
chr5	122845389
chr16	31382719
chr7	27740759
chr20	33555234
chr1	161045197
chr11	83071832
chr2	237858491
chr17	45152159
chr9	37466569
chr1	15154199
chr3	121545962
chr17	45160990
chr14	95432331
chr3	157137570
chr5	43064950
chr3	120693628
chr14	93132657
chr4	499174
chr9	95426822
chr10	122865075
chr2	27321144
chr1	183306817
chr22	41414614
chr2	237723859
chr20	382100
chr22	36426431
chr3	9749994
chr22	40024916
chr17	49408259
chr13	110913645
chr17	2786527
chr5	114450126
chr22	29821440
chr19	45506404
chr12	64796351
chr19	20776191
chr8	124998503
chr5	180799350
chr3	15601824
chr22	31970310
chr3	58217306
chr17	75105903
chr12	124917429
chr10	118755074
chr8	123922261
chr10	61902320
chr7	30594184
chr5	177309846
chr3	4977704
chr22	31750071
chr21	42315454
chr6	27890807
chr18	3297568
chr19	35269840
chr19	46856261
chr1	31944531
chr1	45011308
chr2	26018345
chr16	89910459
chr2	26299674
chr11	16613872
chr12	57772206
chr3	4984159
chr14	22598251
chr3	9986824
chr17	47841417
chr1	39845742
chr13	112886081
chr5	173888329
chr1	44674096
chr10	63712466
chr7	30026855
chr11	12248534
chr2	25041451
chr20	10849173
chr17	74852553
chr12	89346602
chr4	148442505
chr8	124200283
chr7	37201719
chr2	178112312
chr12	46473843
chr4	158020471
chr17	9575860
chr1	155308564
chr6	157763494
chr5	1140516
chr10	78029617
chr17	57946991
chr9	125241526
chr17	64145742
chr5	134649676
chr5	39624738
chr1	154567965
chr20	3818517
chr11	46383345
chr10	76051409
chr2	20356243
chr7	72830195
chr11	9613352
chr7	72632810
chr20	3795926
chr12	52026077
chr19	57477387
chr6	150686146
chr5	52799602
chr17	8209965
chr17	28855048
chr6	150668629
chr11	46809042
chr7	23474794
chr17	13297310
chr3	42831428
chr22	19085367
chr20	5804970
chr17	57875506
chr19	41859900
chr5	14664493
chr5	13957231
chr17	16521473
chr19	36140922
chr17	80760838
chr7	23273273
chr12	45544012
chr2	200713274
chr7	76393162
chr17	80833305
chr2	230867440
chr8	69994763
chr17	81044814
chr10	79374758
chr1	150562203
chr10	79195596
chr1	111508370
chr17	79742159
chr1	154973715
chr5	1345242
chr22	38766263
chr17	19672143
chr3	38961107
chr12	52164017
chr17	64029108
chr10	131885623
chr4	173025195
chr6	22148266
chr12	68686864
chr10	102743693
chr17	50867847
chr12	45991808
chr13	30977945
chr21	45646042
chr19	19026807
chr12	54325144
chr17	4967945
chr12	106357641
chr12	55019949
chr17	39209073
chr13	99201519
chr19	19373252
chr12	92141714
chr8	123065758
chr13	99501323
chr10	110857646
chr8	125091800
chr1	40040777
chr19	44654595
chr11	11967053
chr1	184905739
chr6	2246371
chr12	105084695
chr13	48155998
chr5	71601829
chr12	52372745
chr7	13981271
chr7	67193363
chr11	712982
chr11	33802815
chr22	49931112
chr4	184264396
chr19	55280207
chr22	38241106
chr6	3139402
chr5	59036536
chr1	9890452
chr2	208266141
chr10	100912688
chr5	61408771
chr12	32657701
chr2	190882014
chr12	53180594
chr1	153967317
chr12	53251618
chr1	48093902
chr13	41061206
chr1	147892887
chr10	102403909
chr12	32535449
chr13	31162339
chr19	797103
chr8	94895198
chr2	54577192
chr14	104342175
chr6	43951381
chr9	122264800
chr6	43174396
chr1	161166309
chr12	2885442
chr20	62794156
chr6	132513066
chr4	56468215
chr20	62923567
chr3	128171045
chr14	93139431
chr6	132823180
chr19	4915366
chr16	48244335
chr7	149147482
chr14	106848531
chr11	69297388
chr15	39172169
chr2	65436489
chr18	50374990
chr15	41231095
chr15	40953400
chr3	141460313
chr11	70650497
chr8	57225379
chr4	41077837
chr1	23562416
chr4	38667272
chr1	205659085
chr7	150378214
chr12	108747
chr15	28977608
chr11	67391806
chr3	125150679
chr1	202143899
chr7	140063038
chr2	43774181
chr4	87011854
chr10	27240404
chr12	10722101
chr7	128880271
chr1	61338284
chr19	7916865
chr10	29409603
chr2	42133068
chr14	65103569
chr10	30384897
chr14	65020169
chr10	32139482
chr16	69619737
chr2	38603581
chr7	129948969
chr4	86922537
chr11	65497441
chr20	19964831
chr4	75920151
chr4	75990911
chr20	21303853
chr3	121835217
chr3	121574579
chr2	47233217
chr10	21497358
chr9	75890526
chr18	32921615
chr19	6736692
chr1	160046657
chr12	8046064
chr1	6414493
chr11	65900610
chr11	130003221
chr11	72684767
chr7	158705016
chr15	44728817
chr6	75935155
chr2	101152897
chr6	75368242
chr8	100680983
chr20	34069399
chr15	68925019
chr19	1826253
chr6	73523749
chr3	194871576
chr15	98881752
chr15	67147254
chr20	33811308
chr3	195915078
chr2	74844164
chr16	648196
chr11	113289739
chr20	41650694
chr1	222465416
chr3	182136328
chr1	212456074
chr1	212567349
chr20	36399818
chr1	212981288
chr3	182212678
chr1	213051260
chr8	41490605
chr3	186098016
chr3	184561655
chr1	78004811
chr15	76148104
chr19	1041090
chr15	84981316
chr6	108498030
chr15	64989905
chr11	118195365
chr20	47196550
chr8	9369147
chr6	119309195
chr4	6783747
chr16	3961618
chr16	4184090
chr1	168834648
chr16	4330436
chr20	32255444
chr1	234326787
chr6	53180450
chr1	2189768
chr11	73779753
chr1	207032794
chr8	6706490
chr8	6406642
chr1	234612714
chr1	85544808
chr2	106582720
chr8	20304109
chr15	63504399
chr18	62526606
chr1	1505062
chr8	21919538
chr8	20543079
chr1	84753746
chr15	61835672
chr6	118469197
chr11	119084777
chr3	158791508
chr9	115262606
chr8	100396447
chr15	58987593
chr1	232704970
chr4	102761028
chr15	23036118
chr9	81587797
chr7	108497272
chr4	103400624
chr14	39170368
chr16	83887272
chr16	70428233
chr9	6757052
chr16	84116865
chr18	13216209
chr10	44978929
chr10	46283045
chr14	60091277
chr19	11036104
chr6	142947659
chr14	56422774
chr21	36773369
chr7	112940004
chr11	62858319
chr2	171922853
chr14	50545826
chr19	10928618
chr4	105474088
chr2	174998632
chr18	10230304
chr1	8703540
chr11	72434614
chr5	80407453
chr11	129854041
chr12	71839909
chr3	142857146
chr19	9324091
chr11	129881791
chr15	42107614
chr19	12919323
chr12	104456815
chr6	47434801
chr9	120584235
chr5	78972851
chr17	39200028
chr20	13639068
chr12	104064471
chr7	47292981
chr10	104274846
chr14	34983037
chr6	31862818
chr1	153566648
chr17	51861120
chr4	23877874
chr16	10944525
chr7	993376
chr15	50765481
chr15	50828953
chr20	51661819
chr6	30717595
chr8	6708207
chr8	6816448
chr17	65750809
chr9	62863482
chr7	43261505
chr2	218444824
chr17	51153553
chr1	237492552
chr19	48619329
chr20	31852870
chr11	73307526
chr13	20773902
chr5	181218361
chr15	92667397
chr22	29311173
chr20	44683776
chr17	40417357
chr5	81299785
chr5	168047565
chr15	92654308
chr7	901535
chr8	274657
chr8	380305
chr7	44039272
chr3	20041663
chr8	406983
chr18	54828925
chr1	179706560
chr11	59616190
chr10	103908477
chr9	128081208
chr6	31902478
chr11	83286299
chr8	145020233
chr9	70414190
chr18	12890650
chr5	134026681
chr4	40841207
chr14	24216104
chr2	63699142
chr3	93980484
chr17	76501586
chr12	53345430
chr17	32659527
chr1	150697327
chr11	83092971
chr16	88857067
chr6	44456429
chr22	46078834
chr3	136194524
chr2	127068150
chr9	35812219
chr2	62197807
chr10	133329934
chr14	32259857
chr15	74546255
chr2	230739148
chr5	134874326
chr7	149195620
chr22	46035934
chr12	111597258
chr22	38870448
chr7	100190255
chr11	61603257
chr1	153881207
chr20	2452336
chr19	18741803
chr17	1648980
chr12	54368861
chr1	246907658
chr15	40846093
chr12	56565903
chr15	40695718
chr3	141829052
chr1	248838250
chr3	71208882
chr6	46849182
chr9	124223533
chr9	92138216
chr11	27205515
chr10	103396431
chr1	31182564
chr15	72670978
chr1	89804879
chr2	64617266
chr19	43525498
chr3	140186604
chr15	35325570
chr20	2101959
chr4	37716048
chr9	33391312
chr18	9073710
chr5	132190373
chr21	44736822
chr5	72245161
chr10	102449749
chr17	76354297
chr19	52296939
chr8	133570549
chr3	151305256
chr19	48554002
chr4	4183127
chr15	65184585
chr1	231211599
chr22	35381035
chr12	67648032
chr18	60053915
chr8	127891870
chr11	62839586
chr9	137176779
chr15	60255611
chr3	196712328
chr11	120548079
chr2	222318386
chr12	62935275
chr16	97181
chr7	30594757
chr3	10460372
chr22	32660440
chr12	109093612
chr3	12135205
chr15	58470217
chr1	186482884
chr1	58546854
chr16	3031769
chr2	70785542
chr12	120302554
chr19	46851060
chr7	26079186
chr1	15090572
chr14	49879835
chr1	184930061
chr19	33521793
chr12	109900294
